RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Justin Rose,69,70.34,861,1224,-0.25
2,2,Bubba Watson,68,69.95,831,1188,-0.3
3,3,Lee Westwood,60,69.75,678,972,-0.27
4,T4,Camilo Villegas,79,69.55,964,1386,-0.26
5,T4,Boo Weekley,74,69.53,826,1188,-0.21
6,T4,Russell Knox,72,69.36,824,1188,-0.25
7,14,Robert Garrigus,89,69.23,1109,1602,-0.28
T8,8,Brendon de Jonge,115,69.17,1382,1998,-0.28
T8,7,Jason Dufner,83,69.17,1021,1476,-0.29
10,9,John Merrick,83,69.13,983,1422,-0.25
11,10,Will Claxton,99,69.06,1181,1710,-0.26
12,13,Hunter Mahan,88,68.97,1018,1476,-0.24
13,12,Ben Curtis,62,68.87,719,1044,-0.26
14,11,Billy Horschel,63,68.79,681,990,-0.25
15,15,Louis Oosthuizen,65,68.78,780,1134,-0.28
16,17,John Senden,81,68.59,963,1404,-0.27
17,16,Greg Owen,90,68.58,1111,1620,-0.25
18,19,Roberto Castro,92,68.41,1059,1548,-0.24
19,18,Steve Stricker,73,68.33,861,1260,-0.29
20,20,Richard Lee,71,68.29,799,1170,-0.27
21,26,Sean O'Hair,84,68.25,1032,1512,-0.27
22,21,J.J. Henry,93,68.24,1044,1530,-0.21
23,22,Jim Furyk,85,68.19,1031,1512,-0.25
24,24,Heath Slocum,93,67.84,1038,1530,-0.22
25,23,Roland Thatcher,55,67.8,598,882,-0.24
26,27,Kevin Stadler,85,67.75,939,1386,-0.24
27,30,Harris English,98,67.74,1195,1764,-0.26
28,31,Daniel Summerhays,81,67.68,938,1386,-0.24
29,32,Tiger Woods,69,67.58,815,1206,-0.29
30,29,Bill Lunde,83,67.56,912,1350,-0.24
31,38,Josh Teater,97,67.5,1130,1674,-0.26
32,34,Webb Simpson,77,67.47,923,1368,-0.3
T33,33,Kyle Reifers,86,67.41,995,1476,-0.23
T33,35,Seung-Yul Noh,105,67.41,1177,1746,-0.27
T35,37,Ricky Barnes,92,67.36,1067,1584,-0.22
T35,T40,Tim Herron,88,67.36,1067,1584,-0.24
37,25,Mathew Goggin,65,67.3,739,1098,-0.25
38,46,Scott Dunlap,57,67.21,617,918,-0.19
39,43,Chad Campbell,84,67.13,1015,1512,-0.23
40,39,Bo Van Pelt,84,67.07,1002,1494,-0.3
41,T40,Kyle Stanley,86,67.06,1014,1512,-0.27
42,36,Gary Christian,91,66.99,1025,1530,-0.25
43,42,Nathan Green,73,66.92,783,1170,-0.26
44,28,Alexandre Rocha,62,66.87,674,1008,-0.2
45,44,Kris Blanks,65,66.84,770,1152,-0.22
46,47,Graham DeLaet,79,66.74,901,1350,-0.25
47,55,Charles Howell III,98,66.61,1175,1764,-0.25
T48,45,Chris Kirk,93,66.6,1067,1602,-0.27
T48,T59,Cameron Tringale,88,66.6,1055,1584,-0.24
50,49,Adam Scott,59,66.57,695,1044,-0.28
51,50,Bud Cauley,99,66.55,1186,1782,-0.26
52,51,Keegan Bradley,90,66.54,1054,1584,-0.29
53,52,Ernie Els,80,66.52,934,1404,-0.24
54,T59,John Mallinger,74,66.51,838,1260,-0.24
55,48,D.A. Points,88,66.48,1053,1584,-0.25
56,77,Charlie Beljan,61,66.46,634,954,-0.27
57,53,John Huh,99,66.44,1184,1782,-0.26
58,54,Nick Watney,97,66.43,1124,1692,-0.27
59,T80,Scott Stallings,78,66.38,932,1404,-0.24
60,56,Rory McIlroy,60,66.36,645,972,-0.33
T61,T57,Ryan Moore,89,66.35,1063,1602,-0.3
T61,T57,Charley Hoffman,88,66.35,1051,1584,-0.26
T63,T61,David Hearn,95,66.32,1134,1710,-0.24
T63,T61,Jeff Overton,101,66.32,1158,1746,-0.29
T65,64,William McGirt,96,66.3,1098,1656,-0.24
T65,69,Vaughn Taylor,81,66.3,895,1350,-0.26
67,65,Graeme McDowell,55,66.26,644,972,-0.29
68,76,Matt Every,80,66.23,906,1368,-0.27
T69,T61,Steve Wheatcroft,56,66.22,596,900,-0.22
T69,T67,Kevin Streelman,89,66.22,1037,1566,-0.25
T69,66,Vijay Singh,99,66.22,1180,1782,-0.26
72,T67,John Rollins,81,66.16,917,1386,-0.26
73,75,Chez Reavie,83,66.13,988,1494,-0.21
74,70,David Toms,60,66.09,690,1044,-0.24
75,71,Jhonattan Vegas,77,66.07,892,1350,-0.26
76,72,Jason Kokrak,79,66.0,891,1350,-0.24
77,T87,D.J. Trahan,73,65.94,819,1242,-0.22
T78,74,Johnson Wagner,88,65.91,1044,1584,-0.25
T78,73,Blake Adams,107,65.91,1222,1854,-0.26
80,T80,Robert Allenby,76,65.79,900,1368,-0.22
81,78,Dustin Johnson,70,65.75,793,1206,-0.29
82,79,Scott Piercy,95,65.73,1124,1710,-0.3
83,84,Jeff Maggert,83,65.66,981,1494,-0.25
84,86,Jerry Kelly,84,65.63,945,1440,-0.24
85,83,Bobby Gates,87,65.39,977,1494,-0.25
86,85,Matt Kuchar,86,65.38,965,1476,-0.27
87,,Henrik Stenson,51,65.37,553,846,-0.25
88,82,Michael Bradley,63,65.35,694,1062,-0.22
T89,91,Cameron Beckman,81,65.3,905,1386,-0.23
T89,T92,Brendan Steele,77,65.3,858,1314,-0.21
T89,T87,Martin Laird,77,65.3,858,1314,-0.27
92,95,Danny Lee,74,65.24,775,1188,-0.27
93,89,Bill Haas,79,65.17,915,1404,-0.25
94,108,Ryan Palmer,81,65.16,950,1458,-0.28
95,90,Garth Mulroy,59,65.11,668,1026,-0.28
96,94,Pat Perez,81,65.05,925,1422,-0.28
97,96,Davis Love III,64,65.02,749,1152,-0.27
98,97,Rickie Fowler,84,64.99,971,1494,-0.26
99,98,Sergio Garcia,57,64.98,655,1008,-0.28
100,T99,Luke Donald,63,64.96,725,1116,-0.28
101,101,Zach Johnson,95,64.95,1099,1692,-0.3
102,104,Rod Pampling,88,64.93,935,1440,-0.24
103,103,Bryce Molder,83,64.91,923,1422,-0.25
104,T99,Rocco Mediate,70,64.84,747,1152,-0.25
105,107,Ben Crane,73,64.81,840,1296,-0.31
T106,106,Stuart Appleby,75,64.79,828,1278,-0.24
T106,109,Miguel Angel Carballo,73,64.79,758,1170,-0.23
108,T92,Kyle Thompson,51,64.78,548,846,-0.2
109,102,Matt Jones,53,64.74,571,882,-0.23
110,111,Brandt Jobe,57,64.68,617,954,-0.24
111,T112,Ken Duke,104,64.61,1163,1800,-0.28
112,105,Jason Bohn,81,64.59,872,1350,-0.24
113,T112,Dicky Pride,62,64.51,627,972,-0.26
T114,115,J.B. Holmes,90,64.5,952,1476,-0.28
T114,110,Scott Brown,65,64.5,685,1062,-0.25
116,116,Jimmy Walker,101,64.3,1169,1818,-0.29
T117,134,Stewart Cink,71,64.26,775,1206,-0.22
T117,117,Tim Clark,60,64.26,694,1080,-0.24
119,114,Gavin Coles,72,64.23,763,1188,-0.25
120,118,Phil Mickelson,79,64.14,912,1422,-0.31
121,124,Kevin Chappell,91,64.11,1004,1566,-0.24
122,T120,Mark Wilson,84,64.03,899,1404,-0.22
123,119,Billy Mayfair,90,64.02,991,1548,-0.22
T124,122,Troy Matteson,100,64.01,1083,1692,-0.24
T124,127,Gary Woodland,70,64.01,795,1242,-0.25
126,140,Martin Flores,95,63.98,1071,1674,-0.26
127,T120,Brian Harman,101,63.92,1162,1818,-0.28
128,125,Carl Pettersson,92,63.89,1058,1656,-0.29
T129,T137,Tom Gillis,75,63.85,862,1350,-0.28
T129,123,Arjun Atwal,79,63.85,839,1314,-0.24
T129,136,Mark Anderson,75,63.85,793,1242,-0.26
132,126,Brandt Snedeker,81,63.75,895,1404,-0.31
133,T128,Geoff Ogilvy,73,63.66,825,1296,-0.26
T134,130,Chris Couch,61,63.65,676,1062,-0.28
