RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Brandt Snedeker,81,0.86,55.901,65
2,2,Luke Donald,63,0.818,39.258,48
3,3,Jonas Blixt,72,0.804,51.477,64
4,6,Brian Gay,91,0.704,54.888,78
5,5,Bryce Molder,83,0.666,47.29,71
6,7,Martin Flores,95,0.656,53.826,82
7,4,Derek Lamely,64,0.636,35.62,56
8,8,Aaron Baddeley,73,0.604,33.197,55
9,11,Gavin Coles,72,0.591,33.67,57
10,9,Zach Johnson,95,0.568,42.0,74
11,10,Phil Mickelson,79,0.562,33.707,60
12,12,Bo Van Pelt,84,0.542,35.208,65
13,14,Jason Day,57,0.526,24.741,47
14,15,Y.E. Yang,64,0.516,24.781,48
15,16,Greg Chalmers,88,0.506,37.934,75
16,13,Ben Curtis,62,0.505,24.238,48
17,17,Matt Kuchar,86,0.472,31.151,66
18,19,Ryan Palmer,81,0.453,32.168,71
19,18,Carl Pettersson,92,0.444,35.496,80
20,20,James Driscoll,83,0.434,30.362,70
21,21,Ben Crane,73,0.432,26.762,62
T22,22,Jimmy Walker,101,0.427,38.829,91
T22,25,Brendon Todd,78,0.427,26.891,63
24,23,Ryan Moore,89,0.424,34.312,81
25,24,Jim Furyk,85,0.423,27.493,65
26,26,Sergio Garcia,57,0.4,17.601,44
27,32,Brian Davis,91,0.37,29.211,79
28,28,Michael Thompson,80,0.355,23.097,65
29,37,Ryuji Imada,78,0.351,24.242,69
30,29,Ken Duke,104,0.349,31.447,90
31,31,Johnson Wagner,88,0.346,26.284,76
32,33,Tiger Woods,69,0.339,16.282,48
33,30,David Mathis,83,0.338,23.324,69
34,27,Daniel Chopra,55,0.331,14.231,43
T35,T35,Spencer Levin,81,0.33,21.79,66
T35,T35,Keegan Bradley,90,0.33,23.445,71
37,38,Kevin Kisner,69,0.303,16.053,53
38,42,Stewart Cink,71,0.301,16.239,54
39,39,Jeff Overton,101,0.293,26.961,92
40,47,William McGirt,96,0.282,22.289,79
41,34,Charlie Wi,86,0.279,20.398,73
42,41,Billy Hurley III,70,0.276,15.721,57
43,43,Jonathan Byrd,69,0.262,14.686,56
44,44,David Hearn,95,0.261,23.003,88
45,46,Brandt Jobe,57,0.257,11.553,45
46,40,Nathan Green,73,0.248,14.162,57
T47,45,George McNeill,85,0.238,16.899,71
T47,48,Geoff Ogilvy,73,0.238,13.063,55
49,50,Blake Adams,107,0.232,20.406,88
50,55,Tommy Biershenk,74,0.224,12.972,58
51,51,Scott Piercy,95,0.221,19.034,86
52,49,Tom Gillis,75,0.217,14.94,69
53,52,Webb Simpson,77,0.211,13.911,66
54,54,Ryo Ishikawa,54,0.196,7.249,37
