RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Rory McIlroy,60,2.347,1.072,1.002,0.273,40
2,2,Tiger Woods,69,1.971,0.553,1.224,0.194,48
3,3,Bubba Watson,68,1.809,1.485,0.265,0.059,51
4,4,Justin Rose,69,1.762,0.355,0.84,0.567,53
5,5,Jim Furyk,85,1.329,0.225,0.83,0.275,65
6,6,Dustin Johnson,70,1.324,0.72,0.638,-0.035,53
7,7,Adam Scott,59,1.302,0.605,0.494,0.203,41
8,8,Jason Dufner,83,1.293,0.553,0.519,0.222,64
9,10,Robert Garrigus,89,1.212,0.797,0.68,-0.264,74
10,9,Kyle Stanley,86,1.181,0.786,0.439,-0.043,70
11,11,Vijay Singh,99,1.167,0.435,0.52,0.212,81
12,12,Steve Stricker,73,1.161,0.116,0.898,0.147,54
13,13,Lee Westwood,60,1.143,0.628,0.681,-0.166,40
14,14,Louis Oosthuizen,65,0.98,0.496,0.478,0.006,49
15,17,Boo Weekley,74,0.973,0.668,0.466,-0.162,58
16,15,John Senden,81,0.96,0.503,0.473,-0.016,62
17,16,Brendon de Jonge,115,0.939,0.185,0.754,0.0,102
18,18,Webb Simpson,77,0.912,0.222,0.319,0.371,66
19,19,Matt Kuchar,86,0.91,0.11,0.49,0.309,66
20,20,Padraig Harrington,67,0.908,0.193,0.331,0.384,45
21,21,Bo Van Pelt,84,0.895,0.45,0.665,-0.22,65
22,22,Phil Mickelson,79,0.86,-0.103,0.566,0.398,60
23,23,Charl Schwartzel,56,0.84,0.356,0.445,0.039,40
24,24,Luke Donald,63,0.824,-0.188,0.582,0.43,48
25,,Henrik Stenson,51,0.809,0.343,0.297,0.169,42
26,26,Davis Love III,64,0.803,0.206,0.635,-0.038,52
27,25,Keegan Bradley,90,0.791,0.68,0.238,-0.127,71
28,28,Ernie Els,80,0.727,0.272,0.462,-0.006,65
29,29,Rickie Fowler,84,0.72,0.458,0.228,0.034,66
30,30,Greg Owen,90,0.714,0.336,0.367,0.012,77
31,27,Chad Campbell,84,0.708,-0.04,0.751,-0.004,73
32,31,Sergio Garcia,57,0.704,0.346,0.075,0.283,44
33,32,Kevin Stadler,85,0.702,0.351,0.711,-0.359,70
34,35,Will Claxton,99,0.679,0.524,0.318,-0.163,86
35,33,Bud Cauley,99,0.655,0.065,0.201,0.388,91
T36,34,Graeme McDowell,55,0.654,0.49,0.641,-0.478,38
T36,38,Sean O'Hair,84,0.654,0.255,0.25,0.149,76
38,36,Hunter Mahan,88,0.65,0.4,0.372,-0.122,64
39,39,Scott Piercy,95,0.635,0.476,0.202,-0.042,86
40,40,Zach Johnson,95,0.629,0.112,0.342,0.176,74
41,45,Charles Howell III,98,0.625,0.098,0.257,0.27,77
42,41,Pat Perez,81,0.603,0.099,0.272,0.232,69
43,42,Graham DeLaet,79,0.6,0.5,0.334,-0.234,71
44,43,K.J. Choi,71,0.599,0.064,0.153,0.382,56
45,44,Jeff Overton,101,0.59,0.434,0.236,-0.08,92
46,46,Seung-Yul Noh,105,0.579,0.355,0.102,0.122,85
47,47,Charley Hoffman,88,0.567,0.334,0.356,-0.123,76
48,49,Bill Haas,79,0.564,0.472,-0.18,0.273,61
49,50,Nick Watney,97,0.563,-0.016,0.586,-0.007,76
50,52,J.B. Holmes,90,0.553,0.585,-0.219,0.186,78
51,57,Ryan Palmer,81,0.55,0.485,0.258,-0.193,71
52,54,Kris Blanks,65,0.547,0.192,0.558,-0.203,60
53,48,Bill Lunde,83,0.546,0.052,0.449,0.044,67
T54,56,Marc Leishman,84,0.543,-0.209,0.559,0.193,76
T54,55,Roberto Castro,92,0.543,0.244,0.03,0.269,75
56,53,Heath Slocum,93,0.518,0.248,0.427,-0.158,75
57,T63,Matt Every,80,0.516,-0.051,0.377,0.191,64
58,65,Tim Herron,88,0.508,0.152,0.193,0.163,76
59,58,Jason Day,57,0.498,0.121,0.102,0.275,47
60,37,Trevor Immelman,76,0.487,-0.14,0.242,0.384,57
61,51,John Rollins,81,0.465,0.627,-0.269,0.107,71
62,59,Ian Poulter,57,0.461,0.186,0.068,0.207,38
63,70,Billy Horschel,63,0.459,0.546,0.028,-0.116,48
64,T61,Geoff Ogilvy,73,0.453,0.158,0.168,0.127,55
65,T63,Martin Laird,77,0.449,0.374,0.175,-0.099,54
66,60,Chris Kirk,93,0.439,0.032,0.444,-0.037,85
T67,T66,Ryan Moore,89,0.424,0.163,0.27,-0.009,81
T67,T66,Carl Pettersson,92,0.424,0.041,0.334,0.049,80
69,68,Tim Clark,60,0.422,0.285,0.151,-0.014,50
70,T61,Ben Curtis,62,0.401,-0.044,0.408,0.036,48
71,71,John Huh,99,0.397,0.391,0.031,-0.025,85
72,69,D.A. Points,88,0.394,0.067,0.329,-0.003,80
73,72,John Merrick,83,0.385,0.202,0.23,-0.047,72
74,74,Rory Sabbatini,84,0.356,0.247,-0.021,0.129,72
75,82,Josh Teater,97,0.338,0.57,-0.231,-0.001,83
76,77,David Toms,60,0.331,0.131,0.012,0.189,44
77,75,Kevin Streelman,89,0.322,0.11,0.184,0.028,77
78,78,J.J. Henry,93,0.309,0.051,0.126,0.133,71
T79,73,John Mallinger,74,0.305,-0.086,0.184,0.206,63
T79,76,Ken Duke,104,0.305,0.019,0.309,-0.023,90
81,79,Bob Estes,78,0.288,-0.454,0.396,0.347,65
82,81,Ricky Barnes,92,0.285,-0.29,0.499,0.075,82
83,87,Jonas Blixt,72,0.257,-0.1,-0.01,0.367,64
T84,83,Freddie Jacobson,61,0.254,-0.071,0.306,0.02,44
T84,86,Cameron Tringale,88,0.254,0.195,0.056,0.003,77
86,84,Kevin Na,80,0.252,-0.255,0.301,0.206,65
87,85,Jonathan Byrd,69,0.244,-0.22,0.406,0.058,56
88,80,Gary Christian,91,0.226,0.17,0.124,-0.067,75
89,88,Brian Davis,91,0.224,-0.012,0.146,0.09,79
90,94,Gary Woodland,70,0.204,0.32,0.153,-0.269,53
91,90,Kevin Chappell,91,0.181,0.228,-0.186,0.138,72
92,107,Russell Knox,72,0.179,0.049,0.025,0.105,56
93,104,Daniel Summerhays,81,0.178,0.2,-0.066,0.045,68
94,96,Camilo Villegas,79,0.17,0.08,0.208,-0.117,73
T95,89,Chez Reavie,83,0.16,0.125,0.136,-0.101,66
T95,T91,Ben Crane,73,0.16,0.102,-0.138,0.195,62
97,103,Jeff Maggert,83,0.158,0.287,0.084,-0.214,78
98,93,Brandt Snedeker,81,0.15,-0.276,0.11,0.316,65
99,97,Greg Chalmers,88,0.136,-0.335,0.012,0.459,75
100,T91,Rod Pampling,88,0.133,0.061,-0.131,0.203,69
101,95,Billy Mayfair,90,0.128,0.08,-0.083,0.131,78
102,T101,Blake Adams,107,0.124,0.237,-0.055,-0.057,88
103,105,Harris English,98,0.123,0.286,-0.038,-0.124,87
104,106,Tom Gillis,75,0.122,0.207,-0.274,0.189,69
105,100,Jimmy Walker,101,0.12,-0.243,0.105,0.258,91
106,T101,Scott Dunlap,57,0.089,0.062,0.252,-0.226,46
107,117,Scott Stallings,78,0.081,0.393,-0.113,-0.198,68
108,99,Brian Harman,101,0.068,0.337,-0.37,0.101,88
109,127,Robert Karlsson,54,0.062,-0.04,0.072,0.03,41
110,111,Chris Couch,61,0.041,0.377,-0.131,-0.205,54
111,98,Chris Stroud,86,0.04,-0.236,-0.049,0.325,75
112,112,Johnson Wagner,88,0.039,-0.027,0.376,-0.31,76
113,110,Kyle Reifers,86,0.038,0.056,0.056,-0.074,74
114,116,Jerry Kelly,84,0.01,-0.018,-0.218,0.245,73
115,121,Charlie Wi,86,0.004,-0.197,-0.229,0.43,73
T116,120,Vaughn Taylor,81,-0.001,-0.327,0.165,0.16,64
T116,115,David Hearn,95,-0.001,-0.022,-0.21,0.231,88
T118,114,Danny Lee,74,-0.003,-0.202,-0.031,0.23,59
T118,113,Bobby Gates,87,-0.003,0.331,-0.016,-0.318,76
120,109,Richard Lee,71,-0.01,0.106,-0.187,0.071,57
121,118,William McGirt,96,-0.029,-0.092,0.11,-0.047,79
122,119,Garth Mulroy,59,-0.041,-0.004,0.143,-0.179,46
123,133,Charlie Beljan,61,-0.064,0.797,-0.226,-0.635,43
124,122,Spencer Levin,81,-0.069,-0.207,-0.041,0.18,66
125,108,Mathew Goggin,65,-0.084,0.108,-0.292,0.099,55
T126,128,Nick O'Hern,78,-0.096,-0.86,0.34,0.424,68
T126,123,Rocco Mediate,70,-0.096,-0.106,-0.09,0.1,58
128,126,Hunter Haas,69,-0.12,0.123,-0.02,-0.223,52
129,130,Mark Wilson,84,-0.143,-0.255,0.043,0.069,68
130,125,Jason Bohn,81,-0.144,-0.11,0.128,-0.162,66
131,135,D.J. Trahan,73,-0.147,0.088,-0.085,-0.15,62
T132,132,Andres Romero,68,-0.187,-0.216,0.078,-0.049,54
T132,131,Troy Matteson,100,-0.187,-0.066,0.075,-0.196,83
134,124,Kyle Thompson,51,-0.189,-0.204,0.204,-0.189,37
135,134,Robert Allenby,76,-0.198,-0.449,0.537,-0.286,66
136,136,Brandt Jobe,57,-0.204,0.198,-0.222,-0.18,45
137,129,Dicky Pride,62,-0.221,-0.287,0.002,0.064,49
138,137,George McNeill,85,-0.226,-0.149,-0.023,-0.053,71
T139,T138,Ángel Cabrera,54,-0.234,0.198,-0.306,-0.126,37
T139,T138,Ryo Ishikawa,54,-0.234,-0.199,0.069,-0.104,37
141,141,Martin Flores,95,-0.238,0.077,-0.507,0.192,82
142,140,Michael Thompson,80,-0.25,-0.375,0.317,-0.192,65
143,143,Jason Kokrak,79,-0.263,-0.044,-0.173,-0.045,69
144,142,Stuart Appleby,75,-0.282,-0.003,-0.437,0.158,65
145,144,Justin Leonard,79,-0.29,-0.401,-0.117,0.227,68
146,145,Scott Brown,65,-0.303,0.17,-0.255,-0.219,51
147,150,Cameron Beckman,81,-0.336,-0.226,0.058,-0.167,69
148,151,J.J. Killeen,101,-0.342,-0.063,-0.492,0.213,84
149,147,Bryce Molder,83,-0.345,-0.632,0.1,0.188,71
150,149,Nathan Green,73,-0.348,-0.479,0.048,0.083,57
