RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bubba Watson,68,315.5,41652,132
2,2,Charlie Beljan,61,311.6,33027,106
3,3,Robert Garrigus,89,310.3,55241,178
4,4,Dustin Johnson,70,310.2,40948,132
5,5,Rory McIlroy,60,310.1,32868,106
6,6,J.B. Holmes,90,309.7,50785,164
7,7,Jason Day,57,308.6,33333,108
8,8,Kyle Stanley,86,306.9,51249,167
9,9,John Daly,50,306.7,28216,92
T10,T10,Jhonattan Vegas,77,304.6,45697,150
T10,T10,Adam Scott,59,304.6,35335,116
12,12,Scott Piercy,95,304.5,57860,190
13,T13,Graham DeLaet,79,304.3,45649,150
14,T13,Jason Kokrak,79,304.1,45616,150
15,15,Ryan Palmer,81,303.1,48797,161
16,16,Keegan Bradley,90,302.7,52663,174
17,17,Scott Stallings,78,302.4,46871,155
18,18,Gary Woodland,70,301.6,40413,134
19,T19,Seung-Yul Noh,105,300.4,58274,194
20,21,Harris English,98,300.3,58851,196
21,T19,Bobby Gates,87,300.2,49837,166
22,22,Ángel Cabrera,54,299.7,29375,98
T23,T23,Louis Oosthuizen,65,299.5,37141,124
T23,T23,Troy Kelly,68,299.5,37140,124
25,T26,Brandt Jobe,57,299.2,31714,106
26,T26,Troy Matteson,100,298.9,56196,188
27,25,Josh Teater,97,298.6,55543,186
28,28,Martin Laird,77,298.2,42945,144
29,T29,Lee Westwood,60,298.1,31596,106
30,T32,Harrison Frazar,56,297.7,32147,108
31,T29,Sean O'Hair,84,297.5,49980,168
32,35,Tiger Woods,69,297.4,39856,134
T33,34,Erik Compton,81,297.2,43385,146
T33,T32,Tommy Gainey,98,297.2,57955,195
35,T36,Carl Pettersson,92,297.1,54366,183
T36,31,Boo Weekley,74,296.8,39173,132
T36,38,Nick Watney,97,296.8,55800,188
38,39,Jimmy Walker,101,296.5,59902,202
39,T36,Davis Love III,64,296.3,37929,128
40,T43,Bo Van Pelt,84,296.1,49152,166
41,42,Greg Owen,90,295.9,53268,180
42,46,Charl Schwartzel,56,295.8,31652,107
43,T43,Mark Anderson,75,295.7,40806,138
T44,40,Edward Loar,59,295.6,31329,106
T44,45,Daniel Chopra,55,295.6,30151,102
46,47,Charley Hoffman,88,295.5,51712,175
T47,48,Vijay Singh,99,295.4,58486,198
T47,41,John Rollins,81,295.4,45487,154
49,49,Martin Flores,95,295.0,54877,186
50,T51,Robert Karlsson,54,294.7,30353,103
T51,T51,Ernie Els,80,294.6,45951,156
T51,50,Charles Howell III,98,294.6,57448,195
53,53,Phil Mickelson,79,294.4,46511,158
54,T54,Chris Couch,61,293.8,34664,118
T55,T54,Matt Jones,53,293.7,28779,98
T55,56,Garth Mulroy,59,293.7,33477,114
57,57,Padraig Harrington,67,293.6,36995,126
T58,T58,John Merrick,83,293.3,46346,158
T58,T61,Kevin Chappell,91,293.3,51033,174
60,60,Rickie Fowler,84,293.2,48676,166
61,T61,Hunter Mahan,88,293.1,48073,164
62,T63,Kevin Stadler,85,292.9,45114,154
63,T58,Kevin Streelman,89,292.8,50945,174
T64,T66,Jason Dufner,83,292.4,47367,162
T64,T66,Sergio Garcia,57,292.4,32747,112
T66,68,Bill Haas,79,292.2,45002,154
T66,T63,D.J. Trahan,73,292.2,40330,138
T68,T69,Ricky Barnes,92,292.0,51393,176
T68,T69,Andres Romero,68,292.0,35042,120
T68,T69,Aaron Baddeley,73,292.0,42048,144
T68,T69,Jeff Overton,101,292.0,56645,194
72,65,Danny Lee,74,291.9,38533,132
73,73,Chris Kirk,93,291.8,51938,178
74,75,Bud Cauley,99,291.6,57161,196
T75,T76,Pat Perez,81,291.5,45763,157
T75,74,Stephen Gangluff,57,291.5,29732,102
77,T76,Scott Brown,65,291.2,34366,118
78,78,James Driscoll,83,291.1,46000,158
79,T82,John Senden,81,291.0,45108,155
T80,T79,Trevor Immelman,76,290.9,44218,152
T80,T84,Justin Rose,69,290.9,39277,135
82,T79,Mathew Goggin,65,290.8,35477,122
83,T84,Roberto Castro,92,290.6,49981,172
84,T79,Bill Lunde,83,290.5,43582,150
T85,88,Cameron Tringale,88,290.4,50815,175
T85,86,Will Claxton,99,290.4,55182,190
T87,T82,Camilo Villegas,79,290.3,44701,154
T87,91,Brian Harman,101,290.3,58632,202
89,89,Billy Horschel,63,290.2,31918,110
T90,T93,Geoff Ogilvy,73,290.1,41189,142
T90,90,Chad Campbell,84,290.1,48742,168
T92,87,Kyle Reifers,86,290.0,47554,164
T92,T95,Ryo Ishikawa,54,290.0,26678,92
94,92,J.J. Killeen,101,289.9,53920,186
95,97,Sangmoon Bae,81,289.8,44332,153
T96,T93,Miguel Angel Carballo,73,289.5,37634,130
T96,,Henrik Stenson,51,289.5,27213,94
T96,99,Jonathan Byrd,69,289.5,39371,136
T99,T100,Marc Leishman,84,289.4,48620,168
T99,98,Tim Herron,88,289.4,50934,176
101,T95,Daniel Summerhays,81,289.3,44558,154
102,102,Derek Lamely,64,289.1,35852,124
103,T106,Tom Gillis,75,289.0,43355,150
104,T100,Roland Thatcher,55,288.9,28312,98
T105,105,George McNeill,85,288.8,46206,160
T105,T106,Brendon de Jonge,115,288.8,63831,221
T105,104,Rod Pampling,88,288.8,46210,160
T105,T112,Stewart Cink,71,288.8,38127,132
T105,103,Brendan Steele,77,288.8,42162,146
110,T108,Brandt Snedeker,81,288.7,45035,156
111,110,Webb Simpson,77,288.6,43872,152
112,T108,Blake Adams,107,288.4,59410,206
113,T112,John Huh,99,288.3,57075,198
114,111,Matt Bettencourt,80,288.2,41495,144
115,T114,J.J. Henry,93,288.1,48972,170
116,T114,Kevin Kisner,69,287.9,35127,122
T117,T116,Hunter Haas,69,287.6,36236,126
T117,T116,Ryan Moore,89,287.6,50911,177
