RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Rory McIlroy,60,68.873,3760,- 40.848,54
2,2,Tiger Woods,69,68.904,4675,- 58.454,67
3,3,Jim Furyk,85,69.304,5888,- 66.464,84
4,4,Jason Dufner,83,69.456,5731,- 35.636,82
5,5,Matt Kuchar,86,69.477,5743,- 45.884,82
6,6,Adam Scott,59,69.533,4091,- 58.096,58
7,7,Justin Rose,69,69.549,4775,- 45.636,68
8,8,Dustin Johnson,70,69.564,4702,- 41.188,67
9,9,Bubba Watson,68,69.639,4619,- 22.814,66
10,10,Luke Donald,63,69.687,4362,- 41.405,62
11,11,Louis Oosthuizen,65,69.707,4430,- 38.435,63
12,12,Bo Van Pelt,84,69.718,5829,- 42.395,83
13,13,Padraig Harrington,67,69.736,4444,- 50.628,63
14,14,Zach Johnson,95,69.821,6599,- 35.818,94
15,15,Brandt Snedeker,81,69.84,5468,- 20.455,78
16,16,Steve Stricker,73,69.865,4907,- 16.454,70
17,17,Sergio Garcia,57,69.928,3958,- 42.056,56
18,18,Keegan Bradley,90,69.984,6189,- 30.408,88
19,19,Carl Pettersson,92,70.013,6474,- 32.830,92
20,20,Phil Mickelson,79,70.03,5565,- 32.636,79
21,21,Webb Simpson,77,70.04,5331,- 7.987,76
22,22,John Senden,81,70.05,5487,- 23.093,78
23,24,Robert Garrigus,89,70.066,6264,- 28.148,89
24,23,Lee Westwood,60,70.084,3822,- 37.474,54
25,27,Ernie Els,80,70.131,5519,- 48.783,78
26,26,Brendon de Jonge,115,70.137,8070,- 4.205,115
27,28,Jason Day,57,70.152,3895,- 36.628,55
28,29,Vijay Singh,99,70.156,6984,- 38.602,99
29,30,Ian Poulter,57,70.176,3965,- 35.133,56
30,25,Davis Love III,64,70.194,4526,- 33.616,64
31,31,Jeff Overton,101,70.197,7093,- 3.085,101
32,33,Graeme McDowell,55,70.229,3829,- 36.651,54
33,,Henrik Stenson,51,70.239,3610,- 27.836,51
34,32,Jonas Blixt,72,70.244,5050,7.585,72
35,34,Ryan Palmer,81,70.252,5716,- 25.585,81
36,35,Seung-Yul Noh,105,70.256,7120,- 24.157,101
37,36,Charl Schwartzel,56,70.281,3826,- 30.848,54
38,37,Ryan Moore,89,70.3,6278,- 21.334,89
39,41,Hunter Mahan,88,70.346,5823,- 54.647,82
40,38,Will Claxton,99,70.369,6963,3.547,99
41,39,Ken Duke,104,70.376,7318,1.081,104
42,42,Pat Perez,81,70.378,5578,- 18.123,79
43,43,John Huh,99,70.384,7004,- 35.937,99
44,44,Charles Howell III,98,70.385,6927,- 29.318,98
45,46,Scott Piercy,95,70.409,6697,- 8.103,95
46,48,Greg Chalmers,88,70.417,6169,- 42.713,87
47,49,Bob Estes,78,70.418,5532,- 39.383,78
48,45,Roberto Castro,92,70.434,6340,- .968,90
49,50,Geoff Ogilvy,73,70.436,5111,- 39.642,72
50,40,Greg Owen,90,70.444,6368,- 28.026,90
51,52,Bud Cauley,99,70.458,6982,- 6.646,99
52,53,Bill Haas,79,70.484,5519,- 21.271,78
53,51,Billy Horschel,63,70.494,4143,16.147,59
54,57,Kevin Stadler,85,70.525,5733,- 20.460,81
T55,47,Ben Curtis,62,70.538,4382,- 8.631,62
T55,56,Martin Flores,95,70.538,6725,- 23.877,95
57,59,Jimmy Walker,101,70.556,7136,- 9.857,101
58,60,Freddie Jacobson,61,70.561,4301,- 67.319,60
59,T54,Chad Campbell,84,70.566,5950,- 22.429,84
60,61,Nick Watney,97,70.577,6666,- 31.750,94
61,58,Blake Adams,107,70.586,7576,- 23.304,107
62,63,Rickie Fowler,84,70.606,5911,- 50.711,83
63,64,Sean O'Hair,84,70.615,5937,- 5.358,84
64,T54,John Rollins,81,70.618,5448,- 10.382,77
65,65,Graham DeLaet,79,70.624,5594,- 14.709,79
66,66,Kyle Stanley,86,70.633,5965,- 31.819,84
67,67,Kevin Na,80,70.634,5599,- 18.875,79
68,69,Harris English,98,70.688,6947,- 19.581,98
T69,70,Tim Clark,60,70.697,4266,- 24.193,60
T69,77,Charlie Wi,86,70.697,6123,- 43.044,86
71,62,John Mallinger,74,70.699,4960,- 11.091,70
72,71,John Merrick,83,70.701,5577,8.378,79
73,72,Ben Crane,73,70.708,5093,- 2.036,72
74,73,Michael Thompson,80,70.718,5698,- 40.556,80
75,75,Daniel Summerhays,81,70.722,5736,- 7.553,81
76,,William McGirt,96,70.729,6794,- 4.045,96
77,78,David Toms,60,70.74,4112,- 9.062,58
78,79,Jonathan Byrd,69,70.753,4842,- 30.804,68
79,87,Brian Gay,91,70.767,6152,4.714,87
80,81,Spencer Levin,81,70.776,5629,- 37.730,79
81,85,Tim Herron,88,70.781,6240,- 11.246,88
82,93,Matt Every,80,70.789,5670,- 6.877,80
83,84,David Hearn,95,70.802,6720,6.204,95
84,76,Brian Davis,91,70.807,6459,- 15.546,91
85,68,Richard Lee,71,70.809,4721,23.185,67
86,91,Tom Gillis,75,70.812,5322,- 11.122,75
87,74,Gary Christian,91,70.82,6154,7.367,87
T88,82,Brian Harman,101,70.821,7164,- 11.058,101
T88,89,Kevin Streelman,89,70.821,6313,- 9.888,89
90,88,Marc Leishman,84,70.831,5996,- 46.196,84
91,92,Ryo Ishikawa,54,70.854,3730,- 45.586,52
92,83,Dicky Pride,62,70.871,4113,- 2.485,58
93,86,Chris Stroud,86,70.878,6096,- .451,86
94,T95,John Daly,50,70.879,3273,- 12.588,46
95,90,Jeff Maggert,83,70.883,5878,5.248,83
96,97,K.J. Choi,71,70.886,5001,- 38.969,70
97,T95,Kevin Chappell,91,70.89,6194,- 26.600,87
98,80,Chris Kirk,93,70.891,6286,23.341,89
99,98,Johnson Wagner,88,70.899,6254,- 14.895,88
100,105,Russell Knox,72,70.905,4792,29.538,68
101,94,Heath Slocum,93,70.911,6307,4.100,89
102,103,J.B. Holmes,90,70.924,6111,- 11.556,86
103,104,J.J. Henry,93,70.939,6324,- 10.466,89
104,99,D.A. Points,88,70.946,6243,.227,88
105,100,Billy Mayfair,90,70.948,6110,- 8.484,86
