RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Joe Durant,96,72.86,1259,1728,-0.24
2,2,Briny Baird,113,72.17,1416,1962,-0.27
3,3,Dan Forsman,98,71.88,1268,1764,-0.24
4,4,Chad Campbell,105,71.79,1318,1836,-0.28
5,5,Tom Lehman,87,70.51,1028,1458,-0.27
6,6,Jim Furyk,104,70.3,1278,1818,-0.3
7,7,John Senden,111,69.97,1335,1908,-0.25
8,8,Mike Heinen,89,69.86,1094,1566,-0.28
9,11,Retief Goosen,69,69.79,804,1152,-0.3
10,9,David Sutherland,77,69.75,904,1296,-0.24
11,10,Bob Tway,89,69.74,1067,1530,-0.27
12,15,Vijay Singh,106,69.47,1263,1818,-0.33
13,12,David Peoples,96,69.36,1186,1710,-0.25
14,13,Paul Stankowski,67,69.32,836,1206,-0.31
15,17,Robert Allenby,87,69.31,998,1440,-0.28
16,14,Jeff Brehaut,110,69.29,1322,1908,-0.26
17,16,Joey Sindelar,93,69.17,1133,1638,-0.24
18,18,Chris Smith,92,68.96,1142,1656,-0.25
19,22,Kirk Triplett,92,68.91,1104,1602,-0.27
T20,T27,Kenny Perry,98,68.81,1189,1728,-0.26
T20,T19,John Huston,76,68.81,929,1350,-0.33
T20,T19,J.J. Henry,100,68.81,1189,1728,-0.24
23,21,Shaun Micheel,97,68.79,1164,1692,-0.25
T24,T23,Hal Sutton,81,68.75,990,1440,-0.25
T24,T23,Jeff Sluman,106,68.75,1287,1872,-0.26
26,26,Tiger Woods,74,68.63,840,1224,-0.34
27,T27,Spike McRoy,103,68.54,1246,1818,-0.24
28,25,Ernie Els,65,68.52,740,1080,-0.29
29,29,Carlos Franco,99,68.5,1196,1746,-0.26
30,37,Davis Love III,85,68.45,961,1404,-0.31
31,30,David Gossett,92,68.38,1120,1638,-0.26
32,31,Marco Dawson,86,68.34,1021,1494,-0.25
33,32,Hidemichi Tanaka,112,68.25,1376,2016,-0.26
T34,33,Stephen Ames,91,68.23,1093,1602,-0.31
T34,39,Jerry Kelly,108,68.23,1265,1854,-0.28
36,34,Duffy Waldorf,90,68.15,1055,1548,-0.28
37,35,Pat Bates,111,68.12,1312,1926,-0.24
38,38,John Riegger,55,68.08,625,918,-0.26
39,40,Andrew Magee,91,67.99,1077,1584,-0.26
40,36,David Toms,90,67.97,991,1458,-0.27
41,41,Kent Jones,74,67.95,844,1242,-0.28
42,42,Ian Leggatt,71,67.89,831,1224,-0.24
43,47,Charles Howell III,120,67.87,1405,2070,-0.27
44,43,Kevin Sutherland,97,67.86,1136,1674,-0.27
45,44,Mathew Goggin,90,67.84,1038,1530,-0.23
46,45,Glen Day,103,67.83,1221,1800,-0.29
47,48,Brandt Jobe,77,67.75,939,1386,-0.25
48,49,Woody Austin,107,67.64,1254,1854,-0.29
49,50,Thomas Levet,85,67.6,1010,1494,-0.22
50,51,Tom Gillis,71,67.57,827,1224,-0.25
51,52,Harrison Frazar,88,67.52,1033,1530,-0.28
