RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Arron Oberholser,80,67.28,327,486
2,2,Chris Riley,96,65.65,409,623
3,3,Vijay Singh,106,64.86,360,555
4,4,Corey Pavin,88,63.9,377,590
5,6,David Peoples,96,63.74,334,524
6,5,Jim Furyk,104,63.33,342,540
7,7,Brandt Jobe,77,63.31,283,447
8,8,Stewart Cink,104,63.26,396,626
9,9,Jeff Sluman,106,63.25,370,585
10,11,Dan Forsman,98,63.1,313,496
11,14,Pat Bates,111,62.7,385,614
12,15,Steve Stricker,59,62.62,253,404
13,13,Mike Weir,80,62.47,288,461
T14,12,Kirk Triplett,92,62.45,311,498
T14,17,David Frost,80,62.45,326,522
16,19,Paul Goydos,86,62.15,330,531
17,20,Jay Williamson,93,62.09,362,583
18,10,Nick Price,65,62.04,255,411
T19,T22,Brett Quigley,92,61.87,331,535
T19,T22,Patrick Sheehan,101,61.87,383,619
21,21,Jay Haas,89,61.84,329,532
22,24,Robert Damron,96,61.83,392,634
23,18,Kenny Perry,98,61.78,333,539
24,25,Stuart Appleby,90,61.7,327,530
25,26,Loren Roberts,87,61.63,347,563
26,16,Tim Herron,102,61.58,375,609
27,T27,Skip Kendall,110,61.57,407,661
T28,29,Tom Pernice Jr.,105,61.46,405,659
T28,34,Jerry Kelly,108,61.46,362,589
30,30,Mike Sposa,72,61.31,263,429
31,31,Rod Pampling,87,61.28,307,501
32,32,Neal Lancaster,110,61.11,385,630
33,33,Stephen Ames,91,61.1,311,509
34,35,Mark Calcavecchia,84,61.03,332,544
35,36,Tim Petrovic,108,60.97,389,638
36,38,Per-Ulrik Johansson,96,60.95,359,589
37,T39,Geoff Ogilvy,86,60.89,316,519
38,T39,Justin Leonard,80,60.81,287,472
39,41,Hidemichi Tanaka,112,60.78,389,640
40,37,Brad Faxon,97,60.76,384,632
41,42,Tom Byrum,97,60.75,387,637
42,58,Fred Funk,112,60.65,390,643
T43,T43,Garrett Willis,97,60.62,374,617
T43,T43,Paul Gow,62,60.62,234,386
45,47,Scott Verplank,97,60.57,341,563
46,45,Andrew Magee,91,60.55,307,507
47,46,Dicky Pride,73,60.53,273,451
48,48,Brent Geiberger,51,60.49,196,324
49,50,Matt Gogel,77,60.47,286,473
50,49,Steve Flesch,110,60.44,388,642
T51,T52,John Riegger,55,60.41,177,293
T51,T52,Steven Alker,87,60.41,351,581
53,60,David Toms,90,60.39,282,467
54,54,Billy Andrade,100,60.31,386,640
55,51,Ernie Els,65,60.29,205,340
56,55,Glen Day,103,60.28,349,579
57,61,Tiger Woods,74,60.16,231,384
58,56,Shigeki Maruyama,87,60.15,323,537
59,59,Brian Gay,100,60.0,393,655
60,62,Scott Laycock,71,59.91,269,449
T61,T63,Jeff Brehaut,110,59.9,351,586
T61,T63,Dudley Hart,66,59.9,251,419
63,65,Aaron Baddeley,71,59.87,285,476
64,66,Kevin Sutherland,97,59.85,322,538
65,67,Richard Johnson,89,59.79,342,572
66,68,Ben Crane,94,59.76,355,594
67,69,Doug Barron,90,59.73,350,586
68,75,Charles Howell III,120,59.7,397,665
69,70,John Senden,111,59.69,342,573
70,71,Chris Anderson,96,59.61,369,619
71,T76,Davis Love III,85,59.59,264,443
72,72,Donnie Hammond,92,59.58,339,569
73,57,Briny Baird,113,59.52,325,546
74,T78,Robert Allenby,87,59.5,263,442
75,73,Billy Mayfair,105,59.46,377,634
76,74,Gavin Coles,69,59.33,283,477
77,T76,Esteban Toledo,109,59.29,386,651
78,T78,Deane Pappas,75,59.24,298,503
79,80,Len Mattiace,94,59.22,382,645
80,81,Scott McCarron,86,59.21,315,532
81,82,Jim Carter,95,59.08,361,611
T82,T83,Bob Estes,92,59.0,318,539
T82,T83,Cliff Kresge,102,59.0,364,617
84,85,Notah Begay III,92,58.88,348,591
85,86,Robert Gamez,114,58.85,399,678
86,94,Bob Tway,89,58.75,272,463
87,95,Jonathan Kaye,91,58.64,302,515
88,88,Cameron Beckman,86,58.61,286,488
89,89,Steve Allan,53,58.59,191,326
90,90,Glen Hnatiuk,92,58.52,316,540
91,91,Dean Wilson,82,58.49,310,530
92,93,J.J. Henry,100,58.26,314,539
93,96,Jonathan Byrd,101,58.12,383,659
94,92,Chris DiMarco,98,58.08,320,551
95,97,Olin Browne,113,58.07,385,663
96,98,Matt Kuchar,63,58.06,227,391
T97,99,Todd Fischer,97,58.05,364,627
T97,87,Retief Goosen,69,58.05,202,348
99,100,Carl Paulson,101,58.01,355,612
100,101,Carlos Franco,99,58.0,319,550
101,102,Woody Austin,107,57.83,347,600
102,103,Brian Henninger,56,57.82,218,377
103,104,Hal Sutton,81,57.78,260,450
104,105,Harrison Frazar,88,57.75,287,497
105,106,Tim Clark,79,57.73,280,485
T106,T107,David Gossett,92,57.72,299,518
T106,T107,Pat Perez,95,57.72,355,615
108,109,K.J. Choi,112,57.53,359,624
109,110,Darron Stiles,93,57.46,312,543
T110,T111,Joey Sindelar,93,57.43,290,505
T110,T111,Alex Cejka,98,57.43,313,545
112,113,Bernhard Langer,65,57.37,249,434
113,114,Rory Sabbatini,95,57.33,348,607
114,115,Jeff Maggert,81,57.2,290,507
T115,T116,Mark Brooks,90,57.17,339,593
T115,T116,Mark Wilson,82,57.17,299,523
117,118,John Maginnes,87,57.14,324,567
118,119,John Morgan,81,57.12,305,534
119,120,John Rollins,89,57.02,329,577
120,121,Shaun Micheel,97,57.01,301,528
121,122,Brent Schwarzrock,60,56.94,197,346
122,123,J.P. Hayes,79,56.91,276,485
123,124,Craig Perks,82,56.87,298,524
124,125,Bob Burns,88,56.81,313,551
125,126,Duffy Waldorf,90,56.8,280,493
126,127,Kent Jones,74,56.78,226,398
127,128,John Huston,76,56.77,239,421
128,129,Craig Barlow,95,56.76,315,555
129,130,Aaron Barber,94,56.67,323,570
130,131,Spike McRoy,103,56.64,324,572
131,132,Jay Don Blake,77,56.6,270,477
132,133,Lee Janzen,83,56.58,288,509
133,134,Carl Pettersson,80,56.53,290,513
134,135,Fred Couples,71,56.45,245,434
135,136,Anthony Painter,87,56.38,336,596
136,137,Adam Scott,52,56.37,177,314
137,138,Brad Elder,51,56.35,182,323
138,139,Jesper Parnevik,102,56.34,360,639
139,140,Marco Dawson,86,56.24,266,473
140,141,Paul Stankowski,67,56.22,208,370
141,142,Steve Lowery,86,56.21,285,507
142,143,Rocco Mediate,80,56.15,251,447
143,144,Luke Donald,88,56.12,307,547
144,145,Tommy Armour III,66,56.1,216,385
T145,T146,Paul Azinger,73,56.09,267,476
T145,T146,Ben Curtis,69,56.09,244,435
147,148,Heath Slocum,101,55.96,324,579
148,149,Kenichi Kuboya,91,55.94,320,572
149,150,Frank Lickliter II,94,55.91,317,567
150,151,Brian Bateman,70,55.81,216,387
151,152,Phil Mickelson,87,55.8,279,500
152,153,Peter Lonard,96,55.79,323,579
153,154,Tom Gillis,71,55.42,220,397
154,155,Greg Chalmers,98,55.4,364,657
155,156,Brenden Pappas,105,55.32,333,602
156,157,Peter Jacobsen,75,55.28,246,445
157,158,Akio Sadakata,83,55.14,268,486
158,159,Andy Miller,75,55.13,285,517
159,160,Joel Edwards,60,55.06,212,385
160,161,Jason Gore,83,54.93,323,588
161,162,David Sutherland,77,54.85,215,392
162,166,Chad Campbell,105,54.83,284,518
163,163,J.L. Lewis,99,54.79,326,595
164,164,Mathew Goggin,90,54.67,269,492
165,165,Joe Durant,96,54.58,256,469
166,167,Ian Leggatt,71,54.45,214,393
167,175,Darren Clarke,61,54.39,192,353
168,168,Thomas Levet,85,54.34,263,484
169,169,Jason Caron,74,54.29,266,490
170,170,Mike Heinen,89,54.24,256,472
T171,T171,José Coceres,62,54.2,239,441
T171,T171,Hank Kuehne,73,54.2,239,441
173,173,Gene Sauers,87,54.05,300,555
174,176,Tom Lehman,87,53.02,228,430
175,177,Jason Buha,61,52.8,198,375
176,178,Kenneth Staton,59,52.42,184,351
177,179,Rich Beem,80,52.35,267,510
178,180,Sergio Garcia,62,52.3,182,348
179,181,"Dave Stockton, Jr.",79,52.24,268,513
180,182,Todd Barranger,78,52.1,273,524
181,183,Mark O'Meara,69,52.03,243,467
182,184,Mike Grob,83,51.87,250,482
183,185,Cameron Yancey,58,51.46,211,410
T184,T186,Ty Tryon,52,51.23,187,365
T184,T186,Vance Veazey,66,51.23,229,447
186,189,Jeff Klein,60,50.36,211,419
187,190,John Daly,56,49.72,178,358
188,191,Kaname Yokoo,56,49.34,188,381
189,192,Michael Clark II,54,48.3,156,323
190,193,Chris Smith,92,47.86,246,514
