RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Hank Kuehne,73,321.4,44994,140
2,2,John Daly,56,314.3,34576,110
3,4,Phil Mickelson,87,306.0,48049,157
4,5,Darren Clarke,61,304.9,32928,108
5,6,Ernie Els,65,303.3,36398,120
6,7,Vijay Singh,106,301.9,60982,202
7,8,Sergio Garcia,62,300.9,34306,114
8,9,Mike Heinen,89,300.8,52340,174
9,T10,Brenden Pappas,105,300.3,61266,204
10,12,Mathew Goggin,90,299.8,50965,170
T11,T10,Tiger Woods,74,299.5,40735,136
T11,T13,Deane Pappas,75,299.5,43431,145
13,T13,Retief Goosen,69,299.4,38320,128
14,15,Andrew Magee,91,299.3,52684,176
T15,17,Davis Love III,85,299.2,46671,156
T15,16,Adam Scott,52,299.2,27523,92
17,18,Todd Barranger,78,298.8,44223,148
18,19,Harrison Frazar,88,298.7,50786,170
19,20,Carlos Franco,99,298.0,57811,194
20,T21,Brian Bateman,70,297.2,38929,131
21,23,Jason Gore,83,296.7,48957,165
T22,25,Ty Tryon,52,295.9,28994,98
T22,24,Jonathan Kaye,91,295.9,52085,176
24,28,Jonathan Byrd,101,295.3,59354,201
T25,T29,Jason Caron,74,295.2,41030,139
T25,T29,Brent Schwarzrock,60,295.2,33658,114
27,T26,Kenny Perry,98,295.1,56947,193
T28,32,Ian Leggatt,71,294.8,40095,136
T28,T29,Robert Allenby,87,294.8,47160,160
30,T26,K.J. Choi,112,294.7,61302,208
T31,36,Charles Howell III,120,294.6,67748,230
T31,T33,Chad Campbell,105,294.6,60091,204
T31,T33,Scott McCarron,86,294.6,47433,161
T31,T33,Neal Lancaster,110,294.6,62453,212
35,T37,Stuart Appleby,90,294.4,50054,170
36,T37,Tommy Armour III,66,294.3,37078,126
T37,T39,Craig Barlow,95,293.9,54658,186
T37,T39,Kenneth Staton,59,293.9,32917,112
T39,T41,Brent Geiberger,51,293.8,29972,102
T39,T41,Paul Stankowski,67,293.8,39073,133
41,43,Rich Beem,80,293.6,45210,154
T42,T44,Carl Paulson,101,293.4,59270,202
T42,T44,Fred Couples,71,293.4,39021,133
T44,T46,Rory Sabbatini,95,293.3,54256,185
T44,T46,Andy Miller,75,293.3,43413,148
T46,T48,J.J. Henry,100,293.2,56301,192
T46,T48,Patrick Sheehan,101,293.2,57465,196
T46,T48,Chris Smith,92,293.2,53942,184
49,51,Marco Dawson,86,292.9,48616,166
50,52,Peter Lonard,96,292.8,52699,180
51,53,Brandt Jobe,77,292.7,45075,154
52,54,Briny Baird,113,292.2,63692,218
T53,T55,John Senden,111,291.8,61856,212
T53,T55,Geoff Ogilvy,86,291.8,47858,164
55,57,Darron Stiles,93,291.6,51321,176
T56,T59,John Morgan,81,291.0,45396,156
T56,T59,Vance Veazey,66,291.0,38124,131
58,58,Tim Herron,102,290.9,57596,198
T59,T61,Woody Austin,107,290.8,59912,206
T59,T61,Steve Allan,53,290.8,28212,97
T59,T61,Jason Buha,61,290.8,33735,116
62,64,Craig Perks,82,290.7,45929,158
63,65,David Sutherland,77,290.4,41822,144
64,66,Rod Pampling,87,290.1,47577,164
65,67,J.L. Lewis,99,289.7,55629,192
66,68,Brett Quigley,92,289.6,50383,174
67,T69,Cameron Beckman,86,289.4,48036,166
T68,T69,Mike Weir,80,289.2,43084,149
T68,72,Ben Crane,94,289.2,53207,184
70,73,Tom Pernice Jr.,105,289.1,58684,203
71,T74,Shaun Micheel,97,288.9,54027,187
T72,T76,Kevin Sutherland,97,288.8,53713,186
T72,T74,David Toms,90,288.8,46779,162
T72,T69,Bob Tway,89,288.8,49101,170
T72,T76,Steve Lowery,86,288.8,46205,160
T76,T78,Mike Sposa,72,288.5,39237,136
T76,T78,Cameron Yancey,58,288.5,31735,110
78,80,Duffy Waldorf,90,288.4,49600,172
79,81,Jeff Brehaut,110,288.3,61117,212
80,82,Greg Chalmers,98,288.2,54750,190
81,83,Stewart Cink,104,288.0,57608,200
T82,T84,Per-Ulrik Johansson,96,287.9,54709,190
T82,T84,David Gossett,92,287.9,52402,182
T82,T84,Aaron Baddeley,71,287.9,38585,134
T85,T87,Garrett Willis,97,287.7,54670,190
T85,T87,Robert Gamez,114,287.7,65019,226
T87,T89,Mark Calcavecchia,84,287.6,48313,168
T87,T89,Mike Grob,83,287.6,46017,160
T89,T91,Anthony Painter,87,287.5,48018,167
T89,T91,Brad Elder,51,287.5,28179,98
T89,T91,Pat Perez,95,287.5,52895,184
92,94,Thomas Levet,85,286.9,47623,166
93,95,Tom Lehman,87,286.8,46461,162
94,96,Joe Durant,96,286.7,55041,192
95,97,Kent Jones,74,286.6,39548,138
T96,T98,Tom Gillis,71,286.5,38969,136
T96,T98,Cliff Kresge,102,286.5,57010,199
T96,T98,Paul Gow,62,286.5,34949,122
99,102,Stephen Ames,91,285.9,50886,178
T100,103,John Riegger,55,285.7,29138,102
T100,101,Steve Flesch,110,285.7,60568,212
102,104,Hal Sutton,81,285.5,45679,160
T103,T105,Brian Henninger,56,285.3,31381,110
T103,T105,Jay Williamson,93,285.3,51919,182
105,107,Lee Janzen,83,285.2,45345,159
