RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
1,1,Vijay Singh,18,4.0,5.0,
2,2,Jim Furyk,15,2.0,1.0,1.0
3,3,Tiger Woods,12,5.0,2.0,
T4,T4,Davis Love III,11,4.0,1.0,1.0
T4,T4,Kenny Perry,11,3.0,1.0,1.0
T6,T4,Chris DiMarco,10,,1.0,2.0
T6,T4,Mike Weir,10,3.0,,4.0
T6,T4,Jerry Kelly,10,,,1.0
T9,9,Robert Allenby,9,,,1.0
T9,T10,Chad Campbell,9,1.0,3.0,
T9,T10,Retief Goosen,9,1.0,1.0,3.0
T9,T10,Steve Flesch,9,1.0,,
T9,T10,Fred Funk,9,,1.0,1.0
T14,T10,Brad Faxon,8,,3.0,1.0
T14,T10,Jay Haas,8,,2.0,
T14,T16,Scott Verplank,8,,1.0,1.0
T14,T16,Jonathan Kaye,8,1.0,1.0,
T18,T24,Chris Riley,7,,2.0,1.0
T18,T16,Briny Baird,7,,1.0,1.0
T18,T16,Geoff Ogilvy,7,,1.0,1.0
T18,T16,Bob Tway,7,1.0,2.0,1.0
T18,T16,David Toms,7,2.0,1.0,
T18,T16,Ernie Els,7,2.0,,
T18,T16,Phil Mickelson,7,,,1.0
T25,T24,J.L. Lewis,6,1.0,1.0,
T25,T24,Bob Estes,6,,1.0,1.0
T25,T24,Nick Price,6,,2.0,1.0
T25,T24,Stewart Cink,6,,2.0,
T25,T24,Tim Herron,6,,2.0,2.0
T25,T31,Charles Howell III,6,,2.0,
T25,T24,K.J. Choi,6,,1.0,
T32,T31,Rory Sabbatini,5,1.0,,
T32,T31,John Rollins,5,,1.0,
T32,T31,Jonathan Byrd,5,,1.0,
T32,T31,Stuart Appleby,5,1.0,3.0,
T32,T31,Darren Clarke,5,1.0,,
T32,T31,Rod Pampling,5,,,1.0
T32,T31,Brenden Pappas,5,,1.0,1.0
T32,T31,Kirk Triplett,5,1.0,1.0,
T32,T31,Rocco Mediate,5,,2.0,
T41,T41,Tom Pernice Jr.,4,,,1.0
T41,T41,Tim Petrovic,4,,1.0,1.0
T41,T41,Fred Couples,4,1.0,,
T41,T41,Dan Forsman,4,,,
