RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Dustin Johnson,75,317.7,45109,142
2,2,Bubba Watson,71,315.2,40351,128
3,3,Jason Day,75,313.7,45166,144
4,4,Adam Scott,51,311.6,27425,88
5,5,J.B. Holmes,89,309.9,47731,154
6,6,Charlie Beljan,76,309.8,41516,134
7,7,Tony Finau,106,309.0,64897,210
8,8,Brooks Koepka,84,308.2,49312,160
9,9,Patrick Rodgers,57,307.7,31997,104
10,10,Keegan Bradley,87,306.1,48362,158
11,11,Jason Kokrak,88,305.6,53789,176
12,12,Gary Woodland,81,305.5,39709,130
13,13,Ryan Palmer,80,305.2,43955,144
14,14,Justin Rose,69,303.5,37636,124
15,15,Justin Thomas,106,303.2,63667,210
16,16,Brendan Steele,88,302.9,50277,166
17,T17,Charles Howell III,105,302.7,62968,208
T18,19,Steven Bowditch,103,302.1,59213,196
T18,T17,Daniel Berger,97,302.1,58001,192
20,21,Robert Garrigus,70,301.7,39218,130
21,20,Jimmy Walker,89,301.6,48854,162
T22,T22,Phil Mickelson,70,300.5,42068,140
T22,T22,Martin Laird,77,300.5,45672,152
24,24,Charl Schwartzel,67,300.4,32438,108
T25,T26,Lee Westwood,56,300.0,26404,88
T25,T26,Sergio Garcia,59,300.0,28802,96
27,28,Jhonattan Vegas,90,299.9,48585,162
28,30,Ángel Cabrera,53,299.7,31763,106
T29,29,Charley Hoffman,97,298.9,55596,186
T29,31,Hudson Swafford,97,298.9,56192,188
31,T32,Louis Oosthuizen,68,298.8,35261,118
32,34,Graham DeLaet,65,298.7,38236,128
T33,35,Carlos Ortiz,100,298.4,54309,182
T33,T32,Harris English,105,298.4,60286,202
35,36,Paul Casey,87,297.8,46450,156
T36,T40,Russell Henley,87,297.1,46941,158
T36,T38,Robert Streb,110,297.1,65357,220
38,42,Lucas Glover,79,296.9,46911,158
T39,43,Martin Flores,95,296.8,53430,180
T39,T38,Rickie Fowler,76,296.8,40367,136
41,T40,Scott Piercy,90,296.7,53410,180
42,44,Will Wilcox,58,296.6,29064,98
43,37,Henrik Stenson,63,296.4,33202,112
44,45,Shawn Stefani,94,296.3,55704,188
45,46,Morgan Hoffmann,85,296.1,47382,160
46,47,Matt Jones,89,296.0,45585,154
T47,T49,Andres Romero,69,295.3,38683,131
T47,T49,Sean O'Hair,86,295.3,50792,172
49,51,Alex Prugh,84,295.2,46642,158
T50,T52,James Hahn,94,295.1,52523,178
T50,T52,Hunter Mahan,88,295.1,46626,158
T50,T52,Derek Ernst,75,295.1,41308,140
53,T55,Billy Horschel,99,295.0,51924,176
54,57,Jamie Donaldson,50,294.9,25363,86
55,58,Marc Leishman,74,294.8,35962,122
56,59,Davis Love III,51,294.7,27703,94
T57,T55,Hideki Matsuyama,95,294.5,48885,166
T57,60,Andres Gonzales,90,294.5,50069,170
59,61,Max Homa,78,294.2,42957,146
60,62,Aaron Baddeley,76,294.1,42941,146
61,63,Nick Watney,91,294.0,52919,180
T62,T64,Jim Herman,88,293.8,51121,174
T62,T64,Greg Owen,58,293.8,33492,114
64,67,Geoff Ogilvy,50,293.7,27608,94
T65,T68,Stewart Cink,77,293.6,42869,146
T65,T68,Roger Sloan,56,293.6,29946,102
67,70,Kevin Chappell,86,293.5,48133,164
68,71,Sam Saunders,83,293.2,47492,162
69,T64,Patrick Reed,103,292.9,53893,184
70,72,Seung-Yul Noh,65,292.7,35705,122
71,73,Retief Goosen,81,292.6,42725,146
T72,T74,J.J. Henry,94,292.3,52035,178
T72,T74,Nick Taylor,91,292.3,53198,182
T74,T76,Camilo Villegas,83,292.2,48512,166
T74,T76,Tom Hoge,83,292.2,45576,156
76,79,Boo Weekley,79,292.0,43223,148
77,80,Byron Smith,59,291.9,31521,108
T78,81,Scott Stallings,60,291.8,30351,104
T78,T76,Jordan Spieth,91,291.8,48431,166
80,82,Ernie Els,57,291.7,30925,106
81,83,Carl Pettersson,106,291.6,61245,210
T82,84,Bill Haas,89,290.7,47675,164
T82,T85,Johnson Wagner,68,290.7,38958,134
T82,T85,Chesson Hadley,101,290.7,56398,194
85,87,Vijay Singh,78,290.6,44760,154
86,T88,Padraig Harrington,60,290.5,34857,120
87,90,Jason Gore,76,290.4,41522,143
88,91,Scott Pinckney,88,290.3,50510,174
89,92,John Senden,80,290.2,38303,132
T90,T93,Cameron Percy,72,290.0,40016,138
T90,T93,Rory Sabbatini,81,290.0,44074,152
92,T88,Sangmoon Bae,98,289.8,53911,186
T93,T95,Kevin Streelman,95,289.5,48052,166
T93,T95,Oscar Fraustro,58,289.5,30691,106
T93,T95,Bo Van Pelt,81,289.5,45159,156
T93,T95,David Lingmerth,90,289.5,49223,170
97,99,Webb Simpson,81,289.4,45146,156
T98,T100,Michael Thompson,83,289.3,46280,160
T98,T100,Gonzalo Fernandez-Castaño,81,289.3,43974,152
100,T103,Ryo Ishikawa,90,289.2,48578,168
T101,T105,Derek Fathauer,81,288.8,43903,152
T101,T105,Michael Putnam,87,288.8,46210,160
103,108,Blayne Barber,76,288.6,42718,148
104,T100,Matt Kuchar,97,288.5,53658,186
T105,110,Erik Compton,86,288.4,49020,170
T105,T105,Brandt Snedeker,98,288.4,51920,180
107,111,Steve Wheatcroft,87,288.3,47276,164
T108,T112,Scott Brown,97,288.2,55336,192
T108,T112,Adam Hadwin,95,288.2,53029,184
T110,T114,Ben Martin,93,288.1,51851,180
T110,T114,John Peterson,84,288.1,48402,168
112,116,Kyle Reifers,96,288.0,52407,182
113,117,Brian Harman,90,287.9,51255,178
114,109,Kevin Kisner,104,287.8,59862,208
115,118,Bill Lunde,50,287.7,25893,90
116,119,Jonas Blixt,78,287.6,37389,130
117,120,Jonathan Byrd,69,287.5,34782,121
118,121,Jonathan Randolph,72,287.2,40203,140
T119,T122,Andrew Svoboda,80,287.1,44207,154
T119,T122,Brice Garnett,81,287.1,43070,150
T121,T124,Jason Dufner,76,286.7,36692,128
T121,T124,Ian Poulter,68,286.7,34978,122
123,126,Matt Every,73,286.6,35534,124
124,127,Eric Axley,57,286.4,30932,108
125,128,Chez Reavie,56,286.3,31494,110
126,129,George McNeill,93,286.2,53225,186
127,130,Nicholas Thompson,90,286.0,46912,164
128,131,Chris Kirk,76,285.8,39439,138
129,132,Tyrone Van Aswegen,58,285.6,30277,106
130,133,Brendon de Jonge,106,285.3,57635,202
T131,T134,Chad Campbell,97,285.2,55327,194
T131,T134,Troy Merritt,91,285.2,49623,174
133,136,John Merrick,78,285.0,41606,146
134,137,Jeff Overton,94,284.8,49554,174
135,138,Pat Perez,96,284.6,52364,184
136,139,Russell Knox,96,284.4,54605,192
137,141,Daniel Summerhays,101,284.0,57365,202
138,142,Luke Guthrie,84,283.9,43727,154
T139,T143,Sung Joon Park,79,283.7,43126,152
T139,T143,Spencer Levin,99,283.7,54461,192
T141,T146,Jim Renner,68,283.3,36827,130
T141,T146,Ricky Barnes,82,283.3,41926,148
T141,T146,Alex Cejka,94,283.3,52119,184
144,149,Fabián Gómez,83,283.2,46448,164
145,145,Danny Lee,120,283.1,65103,230
146,150,Chris Stroud,84,283.0,45275,160
147,152,Robert Allenby,63,282.7,30534,108
T148,151,Zach Johnson,90,282.6,48615,172
T148,153,Ryan Moore,81,282.6,39568,140
150,154,Whee Kim,71,282.4,38976,138
151,155,Jim Furyk,71,281.9,36084,128
152,T156,Cameron Tringale,96,281.8,54114,192
153,158,Francesco Molinari,56,281.6,29849,106
154,159,Greg Chalmers,58,281.5,27583,98
155,160,D.A. Points,72,280.8,38744,138
156,161,David Hearn,97,280.6,54445,194
157,162,Scott Langley,94,280.5,51323,183
158,163,William McGirt,103,280.4,57762,206
159,164,Kevin Na,98,280.1,48732,174
T160,T165,Roberto Castro,54,279.8,25185,90
T160,T165,John Huh,102,279.8,56527,202
162,167,Mark Wilson,89,279.2,47456,170
163,168,Tim Wilkinson,73,279.1,36840,132
164,169,Andrew Putnam,68,278.7,35114,126
165,170,Mark Hubbard,79,278.5,42325,152
166,171,Chad Collins,79,278.4,43438,156
167,172,Steven Alker,62,278.3,33396,120
168,173,Ken Duke,93,278.1,48946,176
169,174,Bryce Molder,91,277.9,48359,174
170,176,Jerry Kelly,79,277.2,43515,157
171,177,Jason Bohn,95,277.1,52655,190
172,178,Luke Donald,71,277.0,37123,134
173,179,Colt Knost,90,276.6,47030,170
T174,T180,Brian Stuard,97,276.5,48666,176
T174,T180,K.J. Choi,66,276.5,32070,116
176,182,Brendon Todd,96,276.4,48638,176
177,183,Heath Slocum,57,275.8,26480,96
178,184,Brian Davis,86,275.5,42983,156
179,185,Jon Curran,83,273.5,43209,158
180,186,Zac Blair,108,273.1,56528,207
181,187,Billy Hurley III,83,271.9,40778,150
182,188,Justin Leonard,61,271.6,33131,122
183,189,Ben Crane,62,271.0,30893,114
184,190,David Toms,62,270.0,31315,116
