RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Bubba Watson,71,1.876,1.194,0.684,-0.002,56
2,2,Henrik Stenson,63,1.774,0.448,1.244,0.082,44
3,3,Jim Furyk,71,1.658,0.064,1.081,0.513,52
4,4,Jordan Spieth,91,1.583,0.494,0.618,0.471,66
5,5,Jason Day,75,1.52,0.772,0.461,0.287,57
6,7,Justin Rose,69,1.471,0.55,0.692,0.228,49
7,6,Hideki Matsuyama,95,1.388,0.496,0.637,0.254,70
8,8,Webb Simpson,81,1.346,0.225,0.582,0.539,64
9,9,Dustin Johnson,75,1.326,0.96,0.579,-0.212,54
10,10,Paul Casey,87,1.202,0.392,0.991,-0.182,63
11,11,Lucas Glover,79,1.17,0.591,0.691,-0.111,72
12,12,Keegan Bradley,87,1.088,0.436,0.389,0.263,64
13,13,Zach Johnson,90,1.081,0.24,0.605,0.236,70
14,14,Sergio Garcia,59,1.067,0.442,0.468,0.157,36
15,15,Brendan Steele,88,1.005,0.363,0.6,0.041,76
16,16,J.B. Holmes,89,0.949,0.427,0.253,0.268,66
17,17,Justin Thomas,106,0.926,0.352,0.385,0.188,96
18,18,Jason Dufner,76,0.922,0.242,0.399,0.281,48
19,20,Will Wilcox,58,0.863,0.662,0.144,0.058,41
20,21,Francesco Molinari,56,0.859,0.324,0.572,-0.037,43
21,23,Russell Knox,96,0.827,0.098,0.622,0.107,87
22,24,Louis Oosthuizen,68,0.825,0.339,0.397,0.088,47
23,22,Matt Kuchar,97,0.817,0.136,0.202,0.479,77
24,25,Ryan Palmer,80,0.813,0.356,0.529,-0.072,54
25,26,Vijay Singh,78,0.812,0.152,0.42,0.241,69
26,28,Rickie Fowler,76,0.779,0.123,0.59,0.066,57
27,27,Robert Streb,110,0.712,0.309,0.175,0.228,96
28,30,Kevin Na,98,0.711,-0.329,0.381,0.66,71
29,19,Bill Haas,89,0.689,0.14,0.422,0.126,71
30,36,Daniel Berger,97,0.682,0.372,0.526,-0.217,83
31,31,Boo Weekley,79,0.671,0.548,0.108,0.015,67
32,32,Nick Watney,91,0.661,0.31,0.238,0.112,81
33,29,Brooks Koepka,84,0.66,0.407,0.2,0.052,65
34,33,Tony Finau,106,0.634,0.383,0.224,0.027,92
35,34,Charl Schwartzel,67,0.629,0.669,-0.132,0.092,41
36,35,Roberto Castro,54,0.612,0.079,0.347,0.187,36
37,37,Adam Scott,51,0.601,0.682,0.114,-0.195,32
