RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,2,Aaron Baddeley,76,0.722,47.649,66
2,1,Jimmy Walker,89,0.692,44.265,64
3,4,Daniel Summerhays,101,0.644,57.333,89
4,6,Lee Westwood,56,0.595,19.046,32
5,7,Brandt Snedeker,98,0.588,44.074,75
6,5,Jason Day,75,0.586,33.407,57
7,8,Brendon Todd,96,0.582,44.219,76
8,9,Russell Henley,87,0.579,38.773,67
9,17,Jordan Spieth,91,0.571,37.665,66
10,15,Harris English,105,0.56,49.298,88
11,11,Greg Chalmers,58,0.529,19.028,36
12,12,Zac Blair,108,0.527,46.359,88
13,13,Andrew Putnam,68,0.525,28.357,54
14,16,Bryce Molder,91,0.508,39.105,77
15,19,Erik Compton,86,0.469,32.862,70
16,20,Henrik Stenson,63,0.436,19.205,44
17,18,Brooks Koepka,84,0.421,27.372,65
18,21,K.J. Choi,66,0.415,23.677,57
19,22,Matt Jones,89,0.401,26.87,67
20,14,Patrick Reed,103,0.394,29.919,76
21,23,Hunter Mahan,88,0.39,25.348,65
22,24,Troy Merritt,91,0.384,31.459,82
23,26,Robert Streb,110,0.381,36.561,96
24,29,Danny Lee,120,0.374,37.446,100
25,25,Pat Perez,96,0.364,30.224,83
26,27,Hudson Swafford,97,0.36,29.896,83
27,28,David Hearn,97,0.358,30.442,85
28,30,Jamie Donaldson,50,0.349,11.182,32
29,31,Colt Knost,90,0.348,25.734,74
30,32,Steve Wheatcroft,87,0.345,24.849,72
31,34,Carl Pettersson,106,0.335,32.204,96
32,36,Will Wilcox,58,0.322,13.22,41
33,41,Matt Kuchar,97,0.316,24.322,77
34,37,Blayne Barber,76,0.313,19.696,63
35,38,Billy Hurley III,83,0.311,19.597,63
36,33,Rickie Fowler,76,0.309,17.616,57
37,40,Derek Fathauer,81,0.301,19.834,66
38,42,Scott Pinckney,88,0.294,21.766,74
39,43,Luke Donald,71,0.289,15.579,54
40,45,John Huh,102,0.279,24.869,89
41,46,Phil Mickelson,70,0.262,14.421,55
42,39,Sangmoon Bae,98,0.26,22.865,88
43,47,Jerry Kelly,79,0.25,16.49,66
44,48,Billy Horschel,99,0.244,17.841,73
45,35,Kevin Kisner,104,0.24,22.516,94
46,49,Jason Bohn,95,0.239,20.775,87
47,50,Brian Harman,90,0.236,18.39,78
48,51,Adam Hadwin,95,0.235,19.029,81
49,44,Kevin Na,98,0.233,16.544,71
50,52,Morgan Hoffmann,85,0.232,15.981,69
51,53,Justin Leonard,61,0.231,12.475,54
52,54,Ian Poulter,68,0.225,10.82,48
T53,55,George McNeill,93,0.212,18.879,89
T53,61,Bubba Watson,71,0.212,11.875,56
55,57,Johnson Wagner,68,0.203,11.571,57
56,58,Ben Crane,62,0.201,10.452,52
57,59,Camilo Villegas,83,0.195,14.447,74
58,60,Andres Romero,69,0.19,10.244,54
59,62,Andres Gonzales,90,0.177,13.481,76
60,63,Carlos Ortiz,100,0.172,14.293,83
61,64,Sean O'Hair,86,0.169,13.657,81
T62,T65,Kevin Chappell,86,0.168,12.628,75
T62,T65,Chesson Hadley,101,0.168,14.951,89
64,67,Ryan Moore,81,0.16,9.741,61
65,68,Ricky Barnes,82,0.159,10.048,63
66,69,Michael Thompson,83,0.153,11.506,75
67,70,Eric Axley,57,0.15,6.438,43
68,71,Ryan Palmer,80,0.147,7.937,54
69,T83,Steven Bowditch,103,0.144,12.687,88
70,73,Jonathan Randolph,72,0.132,7.408,56
71,72,Dustin Johnson,75,0.128,6.932,54
72,74,Ben Martin,93,0.127,9.748,77
73,75,Cameron Tringale,96,0.125,9.874,79
74,76,Jonas Blixt,78,0.122,6.345,52
75,77,Bo Van Pelt,81,0.118,7.687,65
76,78,Brian Stuard,97,0.116,9.144,79
77,79,Nick Taylor,91,0.112,9.329,83
78,80,Luke Guthrie,84,0.11,7.472,68
79,81,Jeff Overton,94,0.105,7.851,75
80,82,Stewart Cink,77,0.102,6.712,66
81,T83,Martin Laird,77,0.1,7.32,73
