RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
149,T153,Gonzalo Fernandez-Castaño,81,63.92,886,1386,-0.24
150,155,Jamie Donaldson,50,63.83,540,846,-0.25
151,156,K.J. Choi,66,63.8,712,1116,-0.26
152,157,Greg Chalmers,58,63.79,620,972,-0.28
153,158,Luke Guthrie,84,63.75,941,1476,-0.28
154,159,J.B. Holmes,89,63.66,974,1530,-0.33
155,160,Andrew Svoboda,80,63.6,893,1404,-0.25
156,161,Chesson Hadley,101,63.59,1156,1818,-0.29
157,162,Fabián Gómez,83,63.52,949,1494,-0.27
158,T153,Steven Bowditch,103,63.43,1176,1854,-0.29
159,163,Troy Merritt,91,63.37,1038,1638,-0.25
160,164,Ben Crane,62,63.22,660,1044,-0.22
161,165,Brian Stuard,97,63.2,1058,1674,-0.26
162,166,Erik Compton,86,63.18,978,1548,-0.28
163,167,Oscar Fraustro,58,63.17,614,972,-0.26
164,168,Roger Sloan,56,63.14,591,936,-0.26
165,169,Camilo Villegas,83,63.05,942,1494,-0.26
166,170,Carl Pettersson,106,63.0,1202,1908,-0.29
167,171,Max Homa,78,62.99,839,1332,-0.26
168,174,Sangmoon Bae,98,62.93,1110,1764,-0.28
169,173,Heath Slocum,57,62.79,599,954,-0.23
170,175,Jonas Blixt,78,62.71,824,1314,-0.29
171,176,Justin Leonard,61,62.57,687,1098,-0.24
172,177,Aaron Baddeley,76,62.46,832,1332,-0.3
173,178,Tim Wilkinson,73,62.44,798,1278,-0.24
174,179,Brian Davis,86,62.26,919,1476,-0.24
175,180,Retief Goosen,81,62.19,862,1386,-0.26
176,181,Andres Romero,69,61.7,733,1188,-0.27
177,182,Phil Mickelson,70,61.51,775,1260,-0.31
178,183,Derek Fathauer,81,61.33,850,1386,-0.28
179,184,Eric Axley,57,61.21,606,990,-0.26
180,185,Morgan Hoffmann,85,61.11,935,1530,-0.31
181,186,Padraig Harrington,60,61.02,659,1080,-0.25
182,188,Ricky Barnes,82,60.47,849,1404,-0.29
183,189,Andrew Putnam,68,59.9,690,1152,-0.27
184,190,Matt Every,73,58.1,732,1260,-0.24
