RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Chad Collins,79,66.18,319,482
2,2,Jason Day,75,65.34,247,378
3,5,Steven Bowditch,103,65.19,442,678
4,13,Jordan Spieth,91,65.03,331,509
5,4,Jonathan Byrd,69,64.92,248,382
6,6,Zac Blair,108,64.81,418,645
7,7,Jerry Kelly,79,64.46,312,484
8,8,Sung Joon Park,79,64.42,315,489
9,9,Webb Simpson,81,64.38,291,452
10,11,Billy Hurley III,83,64.17,317,494
11,12,William McGirt,103,64.09,382,596
12,14,David Toms,62,63.96,236,369
13,16,Matt Kuchar,97,63.78,361,566
14,17,John Peterson,84,63.47,304,479
15,15,Brandt Snedeker,98,63.27,379,599
16,22,K.J. Choi,66,63.12,255,404
17,23,Rory Sabbatini,81,63.11,296,469
18,24,Jim Furyk,71,62.93,219,348
19,19,Kevin Na,98,62.87,381,606
20,T25,Bryce Molder,91,62.85,340,541
21,10,Kevin Kisner,104,62.66,396,632
22,28,Brendon Todd,96,62.63,362,578
23,29,John Huh,102,62.6,400,639
24,30,Will Wilcox,58,62.55,167,267
25,27,Henrik Stenson,63,62.24,178,286
26,31,Carl Pettersson,106,62.18,439,706
27,32,Cameron Tringale,96,62.09,380,612
28,18,Patrick Reed,103,61.99,393,634
29,34,Ben Crane,62,61.98,238,384
30,T25,Hideki Matsuyama,95,61.92,309,499
31,21,Bill Haas,89,61.9,299,483
32,45,Bubba Watson,71,61.89,229,370
33,35,Troy Merritt,91,61.83,371,600
34,36,Justin Leonard,61,61.8,254,411
35,38,Jon Curran,83,61.72,295,478
36,42,Harris English,105,61.65,373,605
37,39,Justin Thomas,106,61.55,365,593
38,40,Mark Hubbard,79,61.52,283,460
39,41,Steven Alker,62,61.5,222,361
40,43,Kyle Reifers,96,61.36,335,546
41,44,Louis Oosthuizen,68,61.3,217,354
T42,T46,Matt Jones,89,61.27,337,550
T42,T46,David Lingmerth,90,61.27,348,568
44,49,George McNeill,93,61.21,344,562
45,33,Sangmoon Bae,98,61.16,400,654
46,50,Luke Donald,71,61.14,269,440
47,56,Rickie Fowler,76,61.1,267,437
48,51,Aaron Baddeley,76,61.0,305,500
49,37,Zach Johnson,90,60.98,300,492
50,52,Vijay Singh,78,60.97,289,474
51,53,Jason Bohn,95,60.9,324,532
52,64,Danny Lee,120,60.86,451,741
53,54,Jonathan Randolph,72,60.8,273,449
54,55,Ian Poulter,68,60.76,240,395
55,57,Scott Brown,97,60.69,369,608
T56,T58,Steve Wheatcroft,87,60.68,321,529
T56,T58,Brian Davis,86,60.68,338,557
T56,T58,Eric Axley,57,60.68,233,384
59,48,Daniel Berger,97,60.66,330,544
60,61,Ryan Palmer,80,60.57,275,454
61,63,Erik Compton,86,60.53,345,570
62,65,Alex Cejka,94,60.39,343,568
63,66,Mark Wilson,89,60.37,297,492
64,67,Chris Kirk,76,60.3,281,466
65,68,Ryan Moore,81,60.25,294,488
66,69,Brian Stuard,97,60.23,371,616
67,70,Martin Laird,77,60.17,281,467
68,72,Brendan Steele,88,60.08,286,476
T69,T73,Ricky Barnes,82,60.0,333,555
T69,T73,Pat Perez,96,60.0,333,555
T71,T75,Chris Stroud,84,59.92,311,519
T71,T75,Russell Knox,96,59.92,302,504
73,77,Boo Weekley,79,59.91,275,459
74,78,Greg Owen,58,59.81,192,321
75,79,D.A. Points,72,59.78,269,450
76,80,Spencer Levin,99,59.75,331,554
77,81,Brian Harman,90,59.63,322,540
78,82,Hunter Mahan,88,59.6,301,505
79,71,Robert Streb,110,59.57,364,611
80,84,Blayne Barber,76,59.51,266,447
81,85,Jamie Donaldson,50,59.48,182,306
82,86,Johnson Wagner,68,59.47,226,380
83,87,Sean O'Hair,86,59.42,328,552
84,89,Phil Mickelson,70,59.38,288,485
T85,90,Retief Goosen,81,59.35,311,524
T85,83,J.B. Holmes,89,59.35,330,556
87,91,Kevin Chappell,86,59.32,312,526
88,92,Chad Campbell,97,59.31,325,548
89,93,Jhonattan Vegas,90,59.25,317,535
90,94,Max Homa,78,59.23,292,493
91,95,Brendon de Jonge,106,59.19,367,620
92,96,Morgan Hoffmann,85,59.16,352,595
93,97,Scott Langley,94,59.15,346,585
94,T104,Justin Rose,69,59.14,207,350
95,99,Michael Putnam,87,59.08,270,457
96,100,Camilo Villegas,83,59.06,326,552
97,101,Colt Knost,90,58.93,297,504
98,102,Jeff Overton,94,58.8,334,568
99,103,Martin Flores,95,58.77,305,519
100,98,Charley Hoffman,97,58.74,336,572
101,T104,Fabián Gómez,83,58.72,320,545
102,106,Ken Duke,93,58.71,337,574
103,107,Nick Watney,91,58.69,314,535
104,108,Kevin Streelman,95,58.66,298,508
105,88,Scott Piercy,90,58.63,316,539
106,109,Tom Hoge,83,58.59,283,483
107,110,Jonas Blixt,78,58.57,287,490
108,111,James Hahn,94,58.46,335,573
109,112,Sergio Garcia,59,58.41,191,327
110,113,Adam Hadwin,95,58.39,327,560
T111,T115,Francesco Molinari,56,58.33,161,276
T111,T115,Tim Wilkinson,73,58.33,280,480
113,117,Nick Taylor,91,58.32,340,583
114,118,Jason Kokrak,88,58.3,302,518
115,119,Keegan Bradley,87,58.25,286,491
116,120,Tyrone Van Aswegen,58,58.2,188,323
117,121,Stewart Cink,77,58.13,218,375
118,122,Jim Herman,88,58.02,246,424
119,114,Dustin Johnson,75,57.85,247,427
