RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Dustin Johnson,47,11.95,561.46,-304.42,417.83,
2,2.0,Jordan Spieth,50,10.47,523.28,-315.45,428.51,
3,3.0,Hideki Matsuyama,51,8.94,455.7,-218.69,284.99,
4,4.0,Justin Thomas,52,8.54,444.14,-149.08,386.47,
5,5.0,Jon Rahm,40,7.88,315.06,-54.96,322.57,
6,8.0,Rory McIlroy,43,6.58,283.13,-252.53,122.65,
7,6.0,Jason Day,40,6.58,263.21,-301.93,128.56,
8,7.0,Rickie Fowler,50,6.55,327.37,-204.87,278.9,
9,9.0,Henrik Stenson,47,6.47,304.23,-249.69,145.3,
10,10.0,Sergio Garcia,43,6.37,273.99,-150.7,221.11,
11,11.0,Brooks Koepka,49,6.03,295.61,-135.19,214.18,
12,13.0,Matt Kuchar,52,5.65,293.56,-136.16,216.73,
13,14.0,Justin Rose,45,5.56,250.02,-176.85,213.77,
14,12.0,Alex Noren,44,5.55,243.99,-106.98,136.87,
15,16.0,Paul Casey,49,5.38,263.81,-141.39,170.2,
16,15.0,Marc Leishman,52,5.19,269.96,-93.92,246.32,
17,17.0,Tommy Fleetwood,52,4.48,233.13,-67.57,225.22,
18,18.0,Francesco Molinari,48,4.41,211.55,-92.29,149.25,
19,19.0,Rafa Cabrera Bello,52,4.3,223.53,-109.58,151.84,
20,20.0,Patrick Reed,52,4.21,219.13,-177.87,128.71,
21,21.0,Louis Oosthuizen,48,4.17,199.99,-127.25,151.14,
22,22.0,Adam Scott,45,4.04,181.83,-171.38,71.66,
23,23.0,Charley Hoffman,52,3.92,204.08,-81.47,182.16,
24,26.0,Kevin Kisner,52,3.9,202.67,-113.27,186.77,
25,24.0,Daniel Berger,52,3.8,197.49,-105.14,138.84,
26,25.0,Kevin Chappell,52,3.61,187.73,-100.97,123.33,
27,27.0,Charl Schwartzel,50,3.43,171.42,-120.9,100.85,
28,29.0,Brian Harman,52,3.43,178.18,-54.06,173.46,
29,28.0,Tyrrell Hatton,50,3.39,169.73,-106.2,85.09,
30,30.0,Phil Mickelson,45,3.39,152.52,-114.8,86.96,
31,33.0,Pat Perez,40,3.26,130.34,-41.09,119.52,
32,66.0,Xander Schauffele,52,3.16,164.1,-11.53,151.02,
33,31.0,Thomas Pieters,49,3.15,154.57,-92.05,117.64,
34,32.0,Jason Dufner,52,3.13,162.76,-69.5,132.44,
35,34.0,Matt Fitzpatrick,52,3.03,157.72,-109.15,94.63,
36,35.0,Bernd Wiesberger,52,3.0,155.78,-97.01,108.16,
37,41.0,Webb Simpson,49,2.98,146.13,-58.71,129.36,
38,38.0,Jhonattan Vegas,52,2.94,153.01,-57.7,110.22,
39,36.0,Si Woo Kim,52,2.92,152.08,-73.4,106.3,
40,40.0,Bill Haas,51,2.91,148.2,-92.83,103.79,
41,39.0,Brandt Snedeker,47,2.9,136.15,-123.88,76.42,
42,37.0,Branden Grace,52,2.89,150.27,-149.73,75.74,
43,42.0,Zach Johnson,50,2.78,139.15,-113.22,107.88,
44,51.0,Russell Henley,51,2.76,141.0,-53.88,132.87,
45,43.0,Gary Woodland,51,2.75,140.23,-82.45,92.4,
46,44.0,Ryan Moore,47,2.67,125.29,-86.97,66.67,
47,46.0,Adam Hadwin,52,2.61,135.67,-47.95,136.28,
48,45.0,Jimmy Walker,51,2.58,131.66,-119.84,44.18,
49,53.0,Tony Finau,52,2.52,131.11,-64.89,112.59,
50,50.0,Billy Horschel,48,2.43,116.52,-63.87,84.55,
51,47.0,Wesley Bryan,46,2.43,111.66,-38.2,100.72,
52,49.0,Yuta Ikeda,52,2.42,125.75,-82.56,44.83,
53,48.0,Ross Fisher,51,2.41,122.97,-64.28,88.48,
54,55.0,Kyle Stanley,52,2.4,124.79,-27.69,117.51,
55,56.0,Ian Poulter,47,2.35,110.61,-39.3,105.74,
56,52.0,Hideto Tanihara,52,2.34,121.52,-69.12,70.81,
57,54.0,Bubba Watson,48,2.33,111.99,-169.91,48.13,
58,57.0,J.B. Holmes,48,2.32,111.58,-106.95,52.58,
59,60.0,Brendan Steele,49,2.3,112.76,-72.72,76.89,
60,59.0,Emiliano Grillo,52,2.26,117.78,-115.21,48.12,
61,58.0,Russell Knox,52,2.26,117.39,-129.11,34.54,
62,61.0,Lee Westwood,48,2.22,106.78,-78.09,61.02,
63,62.0,Charles Howell III,48,2.14,102.51,-57.47,86.59,
64,63.0,Danny Willett,49,2.09,102.49,-158.55,11.68,
65,67.0,Haotong Li,51,2.05,104.58,-37.26,79.56,
66,64.0,James Hahn,52,2.04,105.85,-64.95,66.57,
67,65.0,Kevin Na,52,2.02,105.09,-96.97,68.11,
68,68.0,Anirban Lahiri,52,2.0,103.9,-65.72,76.23,
69,69.0,William McGirt,52,1.98,102.92,-81.6,55.76,
70,76.0,Patrick Cantlay,40,1.97,78.9,-7.76,86.65,
71,70.0,Jordan L Smith,49,1.96,96.2,-32.1,74.6,
72,71.0,Martin Kaymer,50,1.95,97.45,-83.14,55.82,
73,72.0,Chris Wood,51,1.9,97.07,-89.63,53.75,
74,75.0,Peter Uihlein,47,1.89,88.62,-27.85,87.55,
75,74.0,Sean O'Hair,52,1.88,97.97,-56.94,68.32,
76,73.0,Byeong Hun An,52,1.87,97.27,-97.55,60.59,
77,77.0,Alexander Levy,48,1.86,89.28,-45.71,60.79,
78,78.0,Scott Hend,52,1.79,93.14,-64.76,45.3,
79,79.0,Hudson Swafford,52,1.78,92.48,-39.4,90.94,
80,80.0,Steve Stricker,40,1.77,70.62,-35.6,44.92,
81,81.0,Jamie Lovemark,52,1.73,89.94,-52.95,67.08,
82,83.0,Thorbjørn Olesen,52,1.72,89.19,-64.97,49.89,
83,84.0,Jeunghun Wang,52,1.7,88.39,-67.02,47.22,
84,82.0,Andy Sullivan,52,1.69,87.82,-87.7,37.86,
85,85.0,Scott Piercy,49,1.67,81.99,-95.39,16.7,
86,87.0,Bryson DeChambeau,52,1.63,84.85,-28.86,63.53,
87,86.0,Shane Lowry,50,1.61,80.68,-89.16,46.46,
88,88.0,Søren Kjeldsen,52,1.61,83.9,-90.89,41.32,
89,89.0,Dylan Frittelli,52,1.61,83.79,-35.69,64.39,
90,91.0,Grayson Murray,46,1.59,73.22,-20.57,50.98,
91,90.0,Martin Laird,50,1.59,79.55,-34.83,60.38,
92,92.0,Keegan Bradley,52,1.58,81.93,-47.23,58.44,
93,96.0,Lucas Glover,50,1.57,78.51,-33.11,60.08,
94,97.0,Joost Luiten,52,1.56,80.98,-66.24,34.03,
95,94.0,Sung Kang,52,1.55,80.69,-37.06,74.98,
96,95.0,Danny Lee,52,1.54,80.2,-81.5,61.24,
97,93.0,Satoshi Kodaira,52,1.52,79.09,-41.87,48.7,
98,98.0,Graham DeLaet,46,1.5,69.08,-31.74,61.58,
99,101.0,Fabrizio Zanotti,50,1.5,74.86,-40.51,67.05,
100,99.0,Chez Reavie,52,1.48,76.94,-43.3,59.88,
101,100.0,David Horsey,48,1.47,70.69,-41.7,40.05,
102,103.0,Ryan Fox,52,1.47,76.56,-35.86,48.82,
103,102.0,Bud Cauley,43,1.47,63.12,-18.58,58.69,
104,104.0,Jason Kokrak,52,1.46,75.95,-48.21,41.85,
105,105.0,Julian Suri,40,1.44,57.66,-2.79,57.57,
106,106.0,Ollie Schniederjans,52,1.43,74.29,-29.9,65.97,
107,110.0,David Lingmerth,52,1.42,73.66,-74.15,45.81,
108,107.0,Mackenzie Hughes,52,1.42,73.63,-26.69,43.18,
109,116.0,Shugo Imahira,52,1.41,73.17,-28.28,54.85,
110,108.0,Richard Sterne,41,1.4,57.56,-29.77,15.66,
111,109.0,Jim Herman,52,1.39,72.41,-56.7,48.49,
112,112.0,Daniel Summerhays,52,1.39,72.03,-62.97,37.08,
