RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Francesco Molinari,56,76.88,572,744
2,2,David Toms,62,74.5,602,808
3,3,Chez Reavie,56,71.89,560,779
4,4,Justin Leonard,61,71.7,613,855
5,5,Jason Bohn,95,71.58,947,1323
6,6,Steven Alker,62,71.41,597,836
7,8,Colt Knost,90,71.24,852,1196
8,7,Zach Johnson,90,71.21,873,1226
9,9,Jerry Kelly,79,70.45,775,1100
10,10,Brendon Todd,96,70.24,918,1307
11,11,Ryan Moore,81,70.05,767,1095
12,12,Henrik Stenson,63,69.91,590,844
13,13,Heath Slocum,57,69.51,513,738
14,14,John Huh,102,69.44,975,1404
15,15,Brian Stuard,97,69.31,899,1297
16,16,Spencer Levin,99,69.09,932,1349
17,17,Jim Furyk,71,69.08,621,899
18,18,Will Wilcox,58,68.98,516,748
19,19,Nicholas Thompson,90,68.7,821,1195
20,20,Kevin Streelman,95,68.63,875,1275
21,21,Cameron Tringale,96,68.5,922,1346
22,22,John Merrick,78,68.32,703,1029
T23,T23,Ken Duke,93,67.91,840,1237
T23,T23,Zac Blair,108,67.91,984,1449
25,25,William McGirt,103,67.87,976,1438
26,26,Webb Simpson,81,67.85,745,1098
27,27,Jason Dufner,76,67.81,693,1022
28,28,Russell Knox,96,67.76,910,1343
29,29,Brian Davis,86,67.66,772,1141
30,32,John Peterson,84,67.52,790,1170
31,33,Ben Crane,62,67.49,548,812
32,34,Jon Curran,83,67.46,740,1097
33,35,Jim Herman,88,67.1,824,1228
34,31,Kevin Kisner,104,66.85,972,1454
35,36,Bryce Molder,91,66.8,809,1211
36,37,Jason Gore,76,66.67,670,1005
37,38,John Senden,80,66.6,704,1057
38,39,Mark Hubbard,79,66.32,711,1072
39,40,Billy Hurley III,83,65.91,723,1097
40,41,Roberto Castro,54,65.76,457,695
41,42,Chad Campbell,97,65.75,889,1352
42,43,Sung Joon Park,79,65.73,702,1068
43,45,Pat Perez,96,65.7,881,1341
44,46,Brendon de Jonge,106,65.69,969,1475
45,47,Jonathan Byrd,69,65.6,593,904
46,48,David Lingmerth,90,65.51,828,1264
47,49,Graham DeLaet,65,65.46,597,912
48,50,Adam Hadwin,95,65.43,846,1293
49,44,Hideki Matsuyama,95,65.25,830,1272
50,51,Ben Martin,93,65.09,828,1272
51,52,Davis Love III,51,64.94,463,713
52,53,Keegan Bradley,87,64.85,762,1175
53,54,Mark Wilson,89,64.53,764,1184
54,55,Russell Henley,87,64.39,763,1185
55,56,Brian Harman,90,64.37,813,1263
56,T57,Derek Ernst,75,64.3,634,986
57,59,Chris Stroud,84,64.22,754,1174
T58,60,David Hearn,97,64.16,870,1356
T58,69,Paul Casey,87,64.16,741,1155
60,61,George McNeill,93,64.1,832,1298
61,62,K.J. Choi,66,64.09,555,866
62,T64,Sam Saunders,83,64.0,720,1125
63,63,Danny Lee,120,63.92,1070,1674
64,T57,Justin Rose,69,63.87,594,930
65,66,Kevin Chappell,86,63.86,767,1201
T66,T67,Chad Collins,79,63.82,702,1100
T66,T67,Lucas Glover,79,63.82,702,1100
68,70,Alex Cejka,94,63.78,817,1281
69,71,Billy Horschel,99,63.77,845,1325
70,72,Blayne Barber,76,63.72,657,1031
71,73,Bill Lunde,50,63.59,407,640
72,74,Ian Poulter,68,63.58,569,895
73,T64,Bill Haas,89,63.35,764,1206
74,76,Hudson Swafford,97,63.34,838,1323
75,77,Boo Weekley,79,63.27,696,1100
76,75,Matt Kuchar,97,63.23,834,1319
