RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Denny McCarthy,81,0.988,64.205,65
2,2,Matt Fitzpatrick,54,0.88,38.741,44
3,3,Andrew Putnam,46,0.841,26.925,32
4,7,Kris Ventura,48,0.694,19.419,28
5,6,Kevin Na,71,0.693,40.883,59
T6,T8,Ian Poulter,48,0.687,26.094,38
T6,T8,Matt Kuchar,56,0.687,33.651,49
8,15,Mackenzie Hughes,70,0.681,42.211,62
9,10,Maverick McNealy,80,0.663,38.465,58
10,5,Bryson DeChambeau,62,0.658,40.776,62
11,11,Patrick Rodgers,95,0.657,49.285,75
12,13,Patrick Reed,74,0.599,38.938,65
13,12,Webb Simpson,52,0.589,30.056,51
14,16,J.T. Poston,78,0.572,36.028,63
15,17,Kevin Kisner,73,0.559,31.283,56
16,19,Wyndham Clark,65,0.557,25.606,46
17,14,Daniel Berger,64,0.526,29.45,56
18,18,Harris English,76,0.518,35.253,68
19,22,Dominic Bozzelli,38,0.5,12.003,24
20,21,Brendon Todd,86,0.498,37.342,75
21,24,Richy Werenski,60,0.485,23.741,49
22,20,Jon Rahm,58,0.479,27.326,57
23,26,Troy Merritt,72,0.47,25.869,55
24,27,Beau Hossler,71,0.456,22.344,49
25,28,Patton Kizzire,55,0.453,21.313,47
26,29,Tommy Fleetwood,40,0.437,12.249,28
27,30,Rhein Gibson,54,0.432,14.703,34
28,23,Billy Horschel,79,0.423,24.983,59
29,31,Mark Hubbard,86,0.413,30.154,73
30,32,Sam Burns,60,0.409,22.482,55
31,33,Alex Noren,60,0.4,17.987,45
32,34,Zach Johnson,61,0.369,19.906,54
33,57,Xander Schauffele,70,0.366,22.355,61
34,T39,Tyrrell Hatton,42,0.365,12.403,34
35,35,Bronson Burgoon,55,0.363,16.336,45
36,36,Peter Uihlein,47,0.362,11.955,33
37,37,Brandt Snedeker,53,0.347,17.357,50
38,T39,Gary Woodland,62,0.34,17.994,53
39,41,Lanto Griffin,96,0.336,26.841,80
40,42,Peter Malnati,61,0.333,15.634,47
41,38,Abraham Ancer,74,0.328,18.354,56
42,45,Talor Gooch,83,0.313,23.477,75
43,46,Brian Harman,78,0.308,21.859,71
44,47,Chase Seiffert,56,0.3,10.792,36
45,48,Vaughn Taylor,61,0.294,12.948,44
46,T43,Cameron Smith,64,0.28,15.427,55
47,49,Vincent Whaley,40,0.277,7.757,28
48,50,Dustin Johnson,49,0.271,12.722,47
49,52,Adam Scott,38,0.269,8.071,30
50,53,Louis Oosthuizen,48,0.258,10.314,40
51,54,Aaron Baddeley,49,0.256,9.487,37
52,55,Pat Perez,59,0.253,10.132,40
53,56,Sepp Straka,70,0.252,15.627,62
54,58,Danny Willett,40,0.239,7.659,32
55,51,Sungjae Im,94,0.233,18.384,79
56,59,Adam Long,88,0.226,16.021,71
57,60,Keith Mitchell,64,0.22,11.02,50
58,61,Patrick Cantlay,46,0.219,9.642,44
59,62,Brice Garnett,58,0.218,9.807,45
T60,T63,Rickie Fowler,44,0.217,8.908,41
T60,T63,Charles Howell III,69,0.217,10.844,50
62,65,Jason Day,53,0.216,8.625,40
63,67,Nate Lashley,52,0.201,9.043,45
64,68,Kevin Chappell,41,0.198,6.339,32
65,69,Michael Gellerman,46,0.194,5.833,30
66,70,Adam Hadwin,65,0.185,9.974,54
67,71,Michael Thompson,62,0.181,10.137,56
68,73,Brandon Hagy,50,0.16,5.769,36
T69,75,Max Homa,70,0.14,7.965,57
T69,74,Tony Finau,72,0.14,8.246,59
71,76,Nick Watney,46,0.132,4.743,36
72,77,Brian Gay,67,0.129,6.473,50
73,78,Brendan Steele,68,0.126,7.045,56
74,79,Matthew Wolff,74,0.123,7.727,63
75,80,Bo Hoag,71,0.122,5.988,49
76,81,Stewart Cink,51,0.121,5.441,45
T77,T82,David Hearn,55,0.12,4.332,36
T77,T82,Matthew NeSmith,72,0.12,6.479,54
79,84,Adam Schenk,78,0.118,6.472,55
80,85,Austin Cook,64,0.115,5.532,48
