RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
1,T1,Justin Thomas,10,3.0,2.0,1.0
2,T1,Bryson DeChambeau,9,1.0,1.0,1.0
T3,T4,Jon Rahm,8,2.0,1.0,1.0
T3,T4,Patrick Reed,8,1.0,1.0,
T3,3,Webb Simpson,8,2.0,1.0,2.0
T6,T9,Rory McIlroy,7,1.0,,2.0
T6,T4,Tony Finau,7,,1.0,1.0
T6,T9,Dustin Johnson,7,3.0,2.0,
T6,T9,Scottie Scheffler,7,,,2.0
T6,T9,Xander Schauffele,7,,3.0,1.0
T6,T4,Sungjae Im,7,1.0,1.0,2.0
T6,T4,Daniel Berger,7,1.0,1.0,2.0
T6,T9,Collin Morikawa,7,2.0,1.0,
T14,T17,Tyrrell Hatton,6,1.0,,1.0
T14,T9,Harris English,6,,1.0,1.0
T14,T9,Gary Woodland,6,,,1.0
T14,T9,Billy Horschel,6,,1.0,
T18,T17,Jason Day,5,,,
T18,T17,Ryan Palmer,5,,1.0,
T18,T17,Joel Dahmen,5,,,
T18,T17,Byeong Hun An,5,,,1.0
T18,T17,Hideki Matsuyama,5,,1.0,2.0
T18,T17,Matt Fitzpatrick,5,,,1.0
T18,T24,Sebastián Muñoz,5,1.0,,1.0
T25,T24,Denny McCarthy,4,,,
T25,T24,Joaquin Niemann,4,1.0,,1.0
T25,T24,Abraham Ancer,4,,2.0,
T25,T24,Max Homa,4,,,1.0
T25,T24,Russell Henley,4,,,
T25,T24,Lanto Griffin,4,1.0,,
T25,T24,Mackenzie Hughes,4,,1.0,1.0
T25,T24,Kevin Na,4,1.0,,
T25,T24,Kevin Streelman,4,,2.0,
T25,T24,Brendon Todd,4,2.0,,
T25,T24,Kevin Kisner,4,,,2.0
T25,T24,Alex Noren,4,,,1.0
T37,T37,Jason Kokrak,3,,,1.0
T37,T37,Emiliano Grillo,3,,,2.0
T37,T37,Brendan Steele,3,,1.0,
T37,T37,Henrik Norlander,3,,,
T37,T37,Danny Lee,3,,1.0,
T37,T37,Dylan Frittelli,3,,,
T37,T37,Bubba Watson,3,,,1.0
T37,T37,Marc Leishman,3,1.0,1.0,1.0
T37,T37,Ryan Armour,3,,,
T37,T37,Charles Howell III,3,,,1.0
T37,T37,Tom Hoge,3,,1.0,
T37,T37,Adam Long,3,,2.0,
T37,T37,Patrick Cantlay,3,,1.0,
T37,T37,Xinjun Zhang,3,,,
T37,T37,Carlos Ortiz,3,,1.0,
T37,T37,Adam Hadwin,3,,1.0,
T37,T37,Mark Hubbard,3,,1.0,
T37,T37,Richy Werenski,3,1.0,,2.0
T37,T37,Robby Shelton,3,,,1.0
T37,T37,Maverick McNealy,3,,,
T37,T37,Viktor Hovland,3,1.0,,1.0
T37,T37,Jordan Spieth,3,,,
T37,T37,Sepp Straka,3,,,
T60,T60,Aaron Wise,2,,,1.0
T60,T60,J.T. Poston,2,,,
T60,T60,Cameron Champ,2,1.0,,
T60,T60,Matthew Wolff,2,,1.0,
T60,T60,Will Gordon,2,,,1.0
T60,T60,Talor Gooch,2,,,
T60,T60,Matthias Schwab,2,,,1.0
T60,T60,Sam Ryder,2,,,1.0
T60,T60,Cam Davis,2,,,
T60,T60,Harry Higgs,2,,1.0,
T60,T60,Bud Cauley,2,,,
T60,T60,Troy Merritt,2,,1.0,
T60,T60,Brian Stuard,2,,,
T60,T60,Michael Thompson,2,1.0,,
T60,T60,Wes Roach,2,,,
T60,T60,Cameron Smith,2,1.0,,1.0
T60,T60,Brooks Koepka,2,,1.0,
T60,T60,Phil Mickelson,2,,1.0,1.0
T60,T60,Tiger Woods,2,1.0,,
T60,T60,Brian Gay,2,,,1.0
T60,T60,Vaughn Taylor,2,,1.0,
T60,T60,Pat Perez,2,,,1.0
T60,T60,Nick Taylor,2,1.0,,
T60,T60,Justin Rose,2,,,1.0
T60,T60,Matt Jones,2,,,
T60,T60,Louis Oosthuizen,2,,,1.0
T60,T60,Charl Schwartzel,2,,,1.0
T60,T60,Chez Reavie,2,,,
T60,T60,Ryan Moore,2,,,
T60,T60,Scott Stallings,2,,,
T60,T60,Rickie Fowler,2,,,
T60,T60,Charley Hoffman,2,,,
T60,T60,Sung Kang,2,,1.0,
T60,T60,"Ted Potter, Jr.",2,,,
T60,T60,Fabián Gómez,2,,,1.0
T60,T60,Nate Lashley,2,,,2.0
T96,T96,Seamus Power,1,,,
T96,T96,Scott Brown,1,,1.0,
T96,T96,Bronson Burgoon,1,,,
T96,T96,Brian Harman,1,,,1.0
T96,T96,Brandt Snedeker,1,,,1.0
T96,T96,Martin Laird,1,,,
T96,T96,Rob Oppenheim,1,,,
T96,T96,Scott Harrington,1,,1.0,
T96,T96,Danny Willett,1,,,
T96,T96,Jim Herman,1,1.0,,
T96,T96,Kiradech Aphibarnrat,1,,,
T96,T96,Paul Waring,1,,,
T96,T96,Tommy Fleetwood,1,,,1.0
T96,T96,Branden Grace,1,,,
T96,T96,Kyle Stanley,1,,,1.0
T96,T96,David Hearn,1,,,
T96,T96,Matt Kuchar,1,,1.0,
T96,T96,Graeme McDowell,1,,,
T96,T96,Jhonattan Vegas,1,,,
T96,T96,Nick Watney,1,,,
T96,T96,Luke List,1,,,
T96,T96,Scott Piercy,1,,,
T96,T96,Lucas Glover,1,,,
T96,T96,Josh Teater,1,,1.0,
T96,T96,George McNeill,1,,,
T96,T96,Adam Scott,1,1.0,,
T96,T96,Paul Casey,1,,1.0,
T96,T96,D.J. Trahan,1,,,
T96,T96,Zach Johnson,1,,,
T96,T96,Ian Poulter,1,,,
T96,T96,Stewart Cink,1,,,
T96,T96,Lee Westwood,1,,,
T96,T96,Sergio Garcia,1,,,
T96,T96,Chad Campbell,1,,,
T96,T96,Cameron Percy,1,,,
T96,T96,Patrick Rodgers,1,,,
T96,T96,Beau Hossler,1,,,
T96,T96,Robert Streb,1,,,
T96,T96,Grayson Murray,1,,,
T96,T96,Joseph Bramlett,1,,,
