RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Justin Thomas,66,1.741,0.405,0.997,0.339,58
2,2,Hideki Matsuyama,74,1.433,0.285,0.69,0.458,61
3,5,Jon Rahm,58,1.344,0.756,0.283,0.304,57
4,6,Sergio Garcia,44,1.336,0.848,0.181,0.308,32
5,4,Collin Morikawa,80,1.33,0.44,0.884,0.005,71
6,3,Rory McIlroy,60,1.314,0.702,0.504,0.108,51
7,7,Xander Schauffele,70,1.239,0.648,0.366,0.225,61
8,9,Harold Varner III,74,1.145,0.458,0.442,0.244,57
9,11,Dustin Johnson,49,1.138,0.612,0.524,0.002,47
10,15,Scottie Scheffler,82,1.131,0.618,0.398,0.115,70
11,8,Tony Finau,72,1.103,0.341,0.497,0.266,59
12,13,Patrick Cantlay,46,1.097,0.404,0.523,0.17,44
13,14,Tyrrell Hatton,42,1.066,0.188,0.694,0.184,34
14,16,Russell Henley,67,1.041,-0.049,0.867,0.224,58
15,10,Daniel Berger,64,1.034,0.366,0.396,0.271,56
T16,18,Corey Conners,74,1.007,0.6,0.582,-0.175,62
T16,12,Webb Simpson,52,1.007,0.123,0.64,0.244,51
18,19,Harris English,76,0.948,0.215,0.454,0.279,68
19,17,Bryson DeChambeau,62,0.908,1.039,-0.09,-0.041,62
20,23,Viktor Hovland,74,0.837,0.447,0.633,-0.243,58
21,21,Paul Casey,56,0.814,0.546,0.631,-0.363,44
22,22,Luke List,69,0.805,0.387,0.3,0.118,59
23,20,Joaquin Niemann,76,0.744,0.37,0.562,-0.188,65
24,26,Emiliano Grillo,69,0.723,0.25,0.58,-0.107,48
25,27,Cameron Tringale,63,0.702,-0.125,0.632,0.195,53
26,28,Patrick Reed,74,0.696,0.278,0.102,0.316,65
27,29,Jason Dufner,62,0.686,0.047,0.472,0.167,56
28,30,Shane Lowry,44,0.678,0.203,0.354,0.122,36
29,25,Ryan Palmer,68,0.659,0.28,0.362,0.017,59
30,31,Brooks Koepka,40,0.656,0.362,0.322,-0.028,38
31,32,Joel Dahmen,79,0.652,0.356,0.336,-0.04,63
32,33,Bubba Watson,66,0.648,0.649,0.208,-0.209,57
33,T34,Keegan Bradley,68,0.638,0.175,0.351,0.112,57
T34,36,Adam Scott,38,0.636,-0.056,0.268,0.424,30
T34,T34,Sebastián Muñoz,84,0.636,0.218,0.308,0.11,78
36,38,Jason Day,53,0.628,0.146,-0.151,0.632,40
37,39,Doc Redman,82,0.598,0.346,0.584,-0.332,70
38,40,Bud Cauley,65,0.586,-0.116,0.322,0.38,58
39,41,Brendan Steele,68,0.582,0.081,0.539,-0.038,56
40,42,Byeong Hun An,75,0.58,-0.05,0.256,0.373,60
41,43,Jason Kokrak,62,0.574,0.633,0.168,-0.227,51
T42,T44,Chez Reavie,77,0.569,-0.107,0.44,0.237,57
T42,37,Abraham Ancer,74,0.569,0.328,0.335,-0.093,56
44,T44,Cameron Champ,70,0.563,0.999,-0.143,-0.293,61
45,46,Cam Davis,62,0.556,0.211,0.213,0.131,46
46,47,Sungjae Im,94,0.551,0.437,0.106,0.007,79
47,48,Ryan Moore,48,0.526,0.291,0.37,-0.136,34
48,49,Kevin Streelman,73,0.498,0.246,0.25,0.002,57
49,50,Rickie Fowler,44,0.493,0.172,0.099,0.222,41
50,52,Brian Harman,78,0.459,0.115,-0.018,0.362,71
51,53,Gary Woodland,62,0.443,0.052,0.601,-0.21,53
52,54,Lucas Glover,67,0.44,0.327,0.4,-0.286,50
53,55,Jhonattan Vegas,52,0.426,0.721,-0.148,-0.146,37
54,56,Will Gordon,36,0.421,0.564,-0.106,-0.036,22
55,57,Martin Laird,39,0.415,0.251,0.187,-0.023,29
56,58,James Hahn,36,0.41,0.143,0.15,0.117,27
57,59,Jim Furyk,39,0.408,-0.099,0.568,-0.061,36
58,60,Branden Grace,43,0.405,-0.181,0.501,0.085,33
59,61,Kyle Stanley,57,0.397,0.048,0.335,0.014,43
60,62,Adam Hadwin,65,0.389,-0.004,0.262,0.13,54
61,63,Russell Knox,67,0.38,-0.145,0.449,0.077,49
62,64,Matthew Wolff,74,0.369,0.607,0.099,-0.337,63
63,65,Carlos Ortiz,72,0.363,-0.087,0.122,0.327,65
64,66,Dylan Frittelli,82,0.356,0.046,0.043,0.267,68
65,67,Tom Hoge,74,0.355,0.062,0.389,-0.095,66
66,51,Billy Horschel,79,0.348,0.286,-0.033,0.095,59
67,69,Si Woo Kim,78,0.346,-0.075,0.115,0.305,60
68,70,Chris Baker,53,0.344,0.211,0.238,-0.105,33
69,71,Justin Rose,38,0.343,0.218,0.233,-0.108,33
70,72,Chesson Hadley,62,0.341,0.099,0.437,-0.195,46
71,75,Adam Long,88,0.307,0.004,0.358,-0.055,71
72,68,Lanto Griffin,96,0.304,0.076,0.152,0.077,80
73,76,Henrik Norlander,74,0.285,0.125,0.364,-0.204,56
74,77,Alex Noren,60,0.252,-0.231,0.039,0.443,45
75,78,Phil Mickelson,51,0.23,-0.02,-0.129,0.379,38
76,79,Ryan Armour,60,0.225,0.02,0.044,0.16,45
