RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bryson DeChambeau,62,322.1,39945,124
2,2,Cameron Champ,70,322.0,45082,140
3,3,Ryan Brehm,52,315.3,31527,100
4,4,Rory McIlroy,60,314.0,32660,104
5,5,Grayson Murray,36,313.8,22591,72
6,6,Brandon Hagy,50,312.8,28776,92
7,7,Jason Kokrak,62,312.4,33743,108
8,8,Sam Burns,60,312.0,36197,116
9,9,Matthew Wolff,74,311.6,41135,132
T10,11,Dustin Johnson,49,311.0,30477,98
T10,10,Bubba Watson,66,311.0,36072,116
12,12,Tyler McCumber,57,310.2,32884,106
13,T13,Tony Finau,72,309.8,39655,128
14,T13,Tommy Fleetwood,40,309.6,17337,56
15,16,Jhonattan Vegas,52,309.0,28424,92
16,15,Scottie Scheffler,82,308.9,50667,164
17,17,Will Gordon,36,308.8,19762,64
18,18,Patrick Rodgers,95,308.5,56147,182
19,19,Adam Scott,38,308.1,18483,60
20,20,Cam Davis,62,308.0,35723,116
21,21,Luke List,69,307.8,40008,130
22,22,Jon Rahm,58,307.6,35682,116
23,23,Paul Casey,56,307.2,29490,96
24,24,Scott Harrington,68,307.1,41766,136
25,25,Brooks Koepka,40,307.0,23332,76
26,26,Beau Hossler,71,306.6,41091,134
27,28,Sergio Garcia,44,305.8,19573,64
T28,T29,Kris Ventura,48,305.7,26905,88
T28,T29,Byeong Hun An,75,305.7,38518,126
T30,33,Gary Woodland,62,305.4,32983,108
T30,T31,Xander Schauffele,70,305.4,37868,124
32,T34,Wyndham Clark,65,305.1,32336,106
33,T36,Seamus Power,36,304.5,19488,64
34,T34,Hideki Matsuyama,74,304.4,37744,124
35,T36,Justin Thomas,66,304.2,35286,116
36,38,Kevin Tway,52,303.8,21873,72
37,39,Sebastian Cappelen,55,303.7,32192,106
38,40,Brendan Steele,68,303.6,38859,128
39,41,Sung Kang,73,303.4,39444,130
40,42,Patrick Cantlay,46,303.1,27884,92
41,43,Sepp Straka,70,302.7,42381,140
42,46,Lanto Griffin,96,302.5,55656,184
T43,T44,Nick Watney,46,302.3,26602,88
T43,T44,Sebastián Muñoz,84,302.3,50793,168
T45,T47,Martin Laird,39,302.1,23562,78
T45,T47,Martin Trainer,48,302.1,27795,92
T47,T49,Danny Lee,69,302.0,36840,122
T47,T49,Adam Schenk,78,302.0,39860,132
T49,T51,Harold Varner III,74,301.9,39856,132
T49,T51,Keith Mitchell,64,301.9,33812,112
T49,T51,Cameron Tringale,63,301.9,38044,126
52,54,Peter Uihlein,47,301.8,25951,86
T53,T59,Joaquin Niemann,76,301.7,41034,136
T53,55,Matt Wallace,44,301.7,24138,80
T55,T56,Zack Sucher,38,301.6,21712,72
T55,T56,Jordan Spieth,62,301.6,30162,100
T55,73,Tyrrell Hatton,42,301.6,20510,68
T55,T56,Lucas Glover,67,301.6,33181,110
T59,T59,Phil Mickelson,51,301.5,25929,86
T59,T59,Aaron Wise,49,301.5,27137,90
61,T62,Danny Willett,40,301.2,19277,64
62,64,Charles Howell III,69,301.1,34324,114
T63,T65,Keegan Bradley,68,301.0,36125,120
T63,T65,Harry Higgs,83,301.0,49974,166
T65,T62,Harris English,76,300.9,45732,152
T65,67,Vincent Whaley,40,300.9,22872,76
T67,T69,Max Homa,70,300.6,37270,124
T67,T69,Kevin Chappell,41,300.6,24649,82
69,T71,Sungjae Im,94,300.5,49276,164
70,T71,Carlos Ortiz,72,300.3,43247,144
71,68,Daniel Berger,64,300.2,36025,120
72,74,Louis Oosthuizen,48,300.1,24008,80
73,T77,Cameron Smith,64,299.8,33578,112
74,75,Jason Day,53,299.7,26976,90
75,76,Justin Rose,38,299.6,20373,68
76,79,Shane Lowry,44,299.4,21556,72
T77,80,Joseph Bramlett,57,299.3,31727,106
T77,T82,Ryan Palmer,68,299.3,35910,120
T77,T77,Billy Horschel,79,299.3,40107,134
T77,81,Viktor Hovland,74,299.3,39512,132
81,T82,Dominic Bozzelli,38,299.0,21531,72
T82,84,Corey Conners,74,298.7,37043,124
T82,T85,Mackenzie Hughes,70,298.7,41821,140
84,T85,Michael Gligic,52,298.4,28645,96
T85,T87,Nelson Ledesma,42,298.2,23852,80
