RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Jim Furyk,39,74.5,406,545
2,2,Ryan Armour,60,73.86,599,811
3,3,Brian Stuard,83,71.84,814,1133
4,4,Brendon Todd,86,71.36,862,1208
5,5,Kyle Stanley,57,71.29,529,742
6,6,Tyler Duncan,83,69.87,814,1165
7,7,Chez Reavie,77,69.73,751,1077
8,8,Henrik Norlander,74,69.57,720,1035
9,9,Chris Baker,53,69.49,476,685
10,10,Jim Herman,60,69.28,584,843
11,11,Ryan Moore,48,68.63,420,612
12,12,David Hearn,55,68.44,488,713
T13,T13,Tim Wilkinson,50,68.27,439,643
T13,T13,Doc Redman,82,68.27,783,1147
15,15,Josh Teater,43,68.24,391,573
16,16,Vaughn Taylor,61,67.84,576,849
17,18,Scott Brown,64,67.37,603,895
18,17,Webb Simpson,52,67.31,490,728
19,19,Kramer Hickok,51,67.15,460,685
20,20,Corey Conners,74,67.08,695,1036
21,21,Austin Cook,64,66.75,560,839
22,22,Chesson Hadley,62,66.71,541,811
23,23,Arjun Atwal,35,66.51,288,433
24,24,Jason Dufner,62,66.44,576,867
25,T25,Emiliano Grillo,69,66.11,599,906
26,27,Kevin Streelman,73,65.88,670,1017
27,28,Matt Kuchar,56,65.82,518,787
28,29,Fabián Gómez,59,65.8,506,769
29,31,Andrew Landry,63,65.72,579,881
30,32,Russell Henley,67,65.65,579,882
31,33,Collin Morikawa,80,65.54,734,1120
32,34,Michael Thompson,62,65.4,567,867
33,T25,Kevin Kisner,73,65.23,666,1021
34,35,K.H. Lee,76,64.98,655,1008
35,36,Rickie Fowler,44,64.84,402,620
36,38,D.J. Trahan,49,64.69,425,657
37,39,Lucas Glover,67,64.63,603,933
T38,T40,Joel Dahmen,79,64.58,711,1101
T38,T40,Matt Fitzpatrick,54,64.58,485,751
40,43,Adam Hadwin,65,64.53,584,905
41,44,Troy Merritt,72,64.52,611,947
42,48,Sungjae Im,94,64.48,846,1312
43,42,Abraham Ancer,74,64.44,665,1032
44,45,Ben Martin,38,64.41,324,503
45,46,Brice Garnett,58,64.36,522,811
46,49,Nick Taylor,59,64.24,530,825
47,50,Matthew NeSmith,72,64.14,610,951
48,37,Daniel Berger,64,63.86,569,891
T49,T52,J.T. Poston,78,63.74,696,1092
T49,T52,Martin Laird,39,63.74,348,546
51,54,Doug Ghim,44,63.69,356,559
52,55,Paul Casey,56,63.6,498,783
53,56,Brian Harman,78,63.28,691,1092
54,T57,Viktor Hovland,74,63.24,652,1031
55,T57,Bo Hoag,71,63.18,592,937
56,47,Jon Rahm,58,63.11,515,816
57,59,Rob Oppenheim,65,62.95,537,853
58,60,Mark Hubbard,86,62.84,756,1203
59,51,Billy Horschel,79,62.79,692,1102
60,61,Zach Johnson,61,62.76,536,854
61,62,Pat Perez,59,62.75,480,765
62,64,Kevin Na,71,62.74,623,993
63,63,Scott Piercy,66,62.68,576,919
64,65,Zac Blair,70,62.62,578,923
65,66,Wes Roach,42,62.61,350,559
66,67,Rafa Cabrera Bello,53,62.55,461,737
T67,T68,Michael Gellerman,46,62.52,367,587
T67,T68,Chase Seiffert,56,62.52,472,755
69,70,Adam Long,88,62.47,769,1231
70,71,Adam Schenk,78,62.27,642,1031
71,73,Russell Knox,67,62.2,548,881
72,74,Harry Higgs,83,62.19,722,1161
73,75,Nate Lashley,52,62.05,453,730
74,76,Graeme McDowell,48,62.02,418,674
75,77,Jhonattan Vegas,52,62.0,434,700
76,78,Brandt Snedeker,53,61.94,459,741
77,79,Harris English,76,61.75,657,1064
78,72,Tyrrell Hatton,42,61.73,363,588
79,80,Harold Varner III,74,61.69,636,1031
80,81,Denny McCarthy,81,61.6,664,1078
81,83,James Hahn,36,61.43,309,503
82,84,Tommy Fleetwood,40,61.33,341,556
83,85,Bill Haas,46,61.3,377,615
84,82,Scottie Scheffler,82,61.24,703,1148
85,86,Sam Ryder,74,61.22,600,980
86,87,Robby Shelton,75,61.17,608,994
87,88,Shane Lowry,44,60.95,373,612
88,90,Dylan Frittelli,82,60.8,698,1148
89,91,Rory Sabbatini,66,60.76,559,920
90,92,Anirban Lahiri,35,60.74,297,489
91,94,"Ted Potter, Jr.",46,60.65,373,615
92,95,Louis Oosthuizen,48,60.63,405,668
93,96,Sergio Garcia,44,60.62,371,612
94,97,Tom Hoge,74,60.58,627,1035
95,T103,Sebastián Muñoz,84,60.42,713,1180
T96,T99,Hank Lebioda,57,60.34,464,769
T96,T99,Justin Rose,38,60.34,321,532
98,93,Xander Schauffele,70,60.31,591,980
99,101,C.T. Pan,56,60.26,470,780
100,102,Sepp Straka,70,60.2,590,980
101,89,Ryan Palmer,68,60.08,572,952
102,105,Gary Woodland,62,60.02,521,868
