RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Webb Simpson,52,68.978,3539,47.881,52
2,3,Jon Rahm,58,69.127,3991,18.356,58
3,5,Justin Thomas,66,69.128,4538,24.461,66
4,6,Rory McIlroy,60,69.219,4146,7.155,60
5,7,Xander Schauffele,70,69.227,4832,13.902,70
6,4,Daniel Berger,64,69.237,4403,28.197,64
7,2,Bryson DeChambeau,62,69.241,4263,29.931,62
8,8,Dustin Johnson,49,69.323,3378,18.845,49
9,9,Harris English,76,69.496,5254,27.673,76
10,10,Tyrrell Hatton,42,69.507,2901,18.304,42
11,11,Patrick Reed,74,69.586,5136,13.399,74
12,14,Scottie Scheffler,82,69.709,5680,36.165,82
13,13,Patrick Cantlay,46,69.764,3201,8.135,46
14,12,Hideki Matsuyama,74,69.766,5137,25.668,74
15,16,Collin Morikawa,80,69.856,5566,22.505,80
16,15,Abraham Ancer,74,69.892,5147,25.036,74
17,17,Gary Woodland,62,69.93,4318,17.684,62
18,18,Adam Scott,38,69.977,2647,12.114,38
19,20,Sungjae Im,94,69.987,6539,39.769,94
20,19,Tony Finau,72,69.992,4998,41.441,72
21,21,Brian Harman,78,70.041,5415,48.216,78
22,22,Viktor Hovland,74,70.06,5160,24.447,74
23,23,Matt Fitzpatrick,54,70.07,3789,- 5.222,54
24,27,Alex Noren,60,70.127,3900,27.139,56
25,28,Ian Poulter,48,70.14,3355,11.731,48
26,25,Brendon Todd,86,70.151,5994,38.954,86
27,29,Russell Henley,67,70.157,4386,33.902,63
28,30,Jason Day,53,70.163,3713,5.657,53
29,26,Ryan Palmer,68,70.196,4757,16.341,68
30,24,Billy Horschel,79,70.209,5528,18.507,79
31,31,Tommy Fleetwood,40,70.259,2797,13.350,40
32,32,Shane Lowry,44,70.265,3077,14.674,44
33,34,Harold Varner III,74,70.297,5163,39.004,74
34,35,Brendan Steele,68,70.302,4481,18.334,64
T35,T36,Bubba Watson,66,70.308,4619,21.310,66
T35,T36,Bud Cauley,65,70.308,4281,7.796,61
37,38,Matt Kuchar,56,70.312,3927,10.465,56
38,39,Kevin Kisner,73,70.36,5096,40.264,73
39,33,Joaquin Niemann,76,70.364,5312,35.688,76
40,41,Paul Casey,56,70.373,3916,24.874,56
41,42,Zach Johnson,61,70.388,4270,23.670,61
42,43,Adam Long,88,70.41,6158,38.043,88
43,44,Mark Hubbard,86,70.414,6005,50.597,86
44,45,Joel Dahmen,79,70.415,5543,19.764,79
45,46,J.T. Poston,78,70.429,5456,37.470,78
T46,47,Corey Conners,74,70.43,5191,20.824,74
T46,40,Kevin Na,71,70.43,4974,26.553,71
48,49,Lanto Griffin,96,70.451,6445,36.510,92
49,48,Denny McCarthy,81,70.454,5375,49.970,77
50,50,Doc Redman,82,70.477,5725,54.078,82
51,60,Sebastián Muñoz,84,70.485,5874,46.749,84
52,51,Louis Oosthuizen,48,70.493,3379,4.668,48
53,52,Rickie Fowler,44,70.499,3085,16.953,44
54,53,Will Gordon,36,70.524,2226,30.755,32
55,55,Carlos Ortiz,72,70.528,5045,33.022,72
56,57,Cameron Tringale,63,70.534,4403,40.613,63
57,58,Talor Gooch,83,70.535,5820,34.365,83
58,59,Brooks Koepka,40,70.546,2827,- 5.163,40
59,61,Brice Garnett,58,70.563,4049,43.630,58
60,62,Byeong Hun An,75,70.568,5271,21.567,75
61,63,Richy Werenski,60,70.573,3923,29.100,56
62,64,Sergio Garcia,44,70.574,3085,20.258,44
63,65,Matthew NeSmith,72,70.575,4756,43.096,68
T64,66,Justin Rose,38,70.589,2672,10.371,38
T64,77,Mackenzie Hughes,70,70.589,4918,23.195,70
66,67,Tom Hoge,74,70.605,5203,21.775,74
67,68,Nick Taylor,59,70.607,4150,15.804,59
68,69,Danny Lee,69,70.609,4843,28.990,69
69,T70,Adam Hadwin,65,70.61,4557,32.675,65
70,73,Jim Furyk,39,70.616,2739,15.040,39
71,74,Jason Kokrak,62,70.617,4353,25.284,62
72,75,Dylan Frittelli,82,70.63,5770,21.698,82
73,76,Cam Davis,62,70.639,4056,41.064,58
74,72,Cameron Smith,64,70.643,4497,24.166,64
75,78,Ryan Moore,48,70.707,3090,21.114,44
76,79,Charles Howell III,69,70.716,4844,35.399,69
77,80,Matthew Wolff,74,70.726,5211,22.736,74
78,81,Scott Stallings,71,70.727,4671,67.709,67
79,82,Brandt Snedeker,53,70.731,3706,42.752,53
80,83,Adam Schenk,78,70.732,5165,69.197,74
81,84,Kevin Streelman,73,70.738,5141,22.885,73
82,85,Russell Knox,67,70.76,4411,46.882,63
83,87,Sam Burns,60,70.778,4073,32.133,58
84,88,Rory Sabbatini,66,70.779,4645,26.437,66
85,89,Maverick McNealy,80,70.79,5329,51.030,76
86,90,Henrik Norlander,74,70.798,5190,49.076,74
87,91,Bronson Burgoon,55,70.809,3701,51.870,53
88,92,Matt Jones,76,70.817,5344,38.078,76
89,93,Vaughn Taylor,61,70.827,4299,21.434,61
90,94,Tyler Duncan,83,70.84,5836,43.705,83
91,95,Harry Higgs,83,70.852,5844,36.707,83
92,96,Pat Perez,59,70.853,3855,41.925,55
93,98,Jordan Spieth,62,70.856,4367,26.085,62
94,99,Keegan Bradley,68,70.861,4801,17.560,68
95,97,Cameron Champ,70,70.868,4929,31.787,70
96,100,Patrick Rodgers,95,70.869,6398,51.051,91
97,101,Jhonattan Vegas,52,70.883,3505,39.158,50
98,102,Brian Stuard,83,70.885,5679,62.709,81
99,103,Aaron Wise,49,70.899,3162,28.455,45
100,104,Nick Watney,46,70.902,3094,25.689,44
101,105,Tim Wilkinson,50,70.936,3224,39.064,46
102,106,Max Homa,70,70.942,4939,26.961,70
103,107,Seamus Power,36,70.962,2239,31.770,32
104,108,Emiliano Grillo,69,70.963,4567,45.589,65
