,name,owgr_points_current_avg,driving_dist_avg,next_years_rank,top_tens,gir_pct,sg_p_avg,driving_acc_pct,scrambling_pct,adj_scoring_avg,sg_ott_avg,sg_apr_avg,sg_arg_avg,rounds,year
0,Tiger Woods,13.22,293.2,15,8.0,67.59,0.426,62.5,60.0,68.944,-0.142,1.533,0.247,43.0,2013
1,Adam Scott,9.25,297.8,2,6.0,68.8,-0.027,61.84,56.38,69.3,0.734,0.548,0.055,44.0,2013
2,Phil Mickelson,8.52,287.9,11,7.0,66.67,0.661,57.3,58.55,69.742,0.021,0.494,0.26,57.0,2013
3,Henrik Stenson,8.23,290.9,4,8.0,71.96,0.004,70.09,57.28,69.248,0.71,0.776,0.128,44.0,2013
4,Justin Rose,7.78,296.6,6,7.0,68.89,-0.188,63.57,60.71,69.225,0.459,0.961,0.491,46.0,2013
5,Rory McIlroy,7.5,302.2,1,5.0,65.45,-0.093,57.92,54.68,70.288,0.624,0.42,0.032,41.0,2013
6,Steve Stricker,6.88,283.6,25,8.0,71.16,0.72,70.65,65.57,68.893,0.311,0.567,0.596,35.0,2013
7,Matt Kuchar,6.64,284.9,9,8.0,65.84,0.398,58.93,63.55,69.561,-0.01,0.731,0.278,69.0,2013
8,Brandt Snedeker,6.27,281.3,38,9.0,65.68,0.692,62.57,60.86,69.791,-0.025,0.121,0.354,58.0,2013
9,Jason Dufner,6.08,285.9,31,5.0,67.53,-0.231,64.81,59.11,69.912,0.475,0.44,-0.103,61.0,2013
10,Graeme McDowell,5.52,277.5,18,4.0,62.7,0.136,68.51,61.09,70.503,0.251,0.217,-0.061,37.0,2013
11,Zach Johnson,5.52,278.8,16,8.0,68.14,0.365,69.68,59.66,70.073,0.181,0.251,0.047,67.0,2013
12,Jim Furyk,5.21,275.3,5,7.0,68.3,0.092,70.47,59.55,69.828,0.023,0.95,0.323,64.0,2013
13,Keegan Bradley,5.11,300.6,26,7.0,66.54,0.25,62.82,60.88,69.724,0.698,0.27,0.185,72.0,2013
14,Luke Donald,5.1,278.1,32,5.0,62.16,0.528,62.87,61.52,69.793,-0.459,0.583,0.628,46.0,2013
15,Jason Day,4.91,299.3,8,7.0,64.93,0.37,58.03,61.39,69.732,0.452,-0.013,0.167,61.0,2013
16,Sergio Garcia,4.65,291.0,3,6.0,67.46,0.591,61.28,57.45,69.543,0.131,0.538,0.259,47.0,2013
17,Lee Westwood,4.62,290.3,41,6.0,65.22,-0.484,62.59,61.57,70.158,0.439,0.479,0.17,51.0,2013
18,Charl Schwartzel,4.51,296.1,24,5.0,65.85,0.301,59.87,55.02,69.651,0.195,0.711,0.061,54.0,2013
19,Ian Poulter,4.47,281.7,37,4.0,63.52,0.177,62.42,61.49,70.382,0.2,-0.153,0.29,39.0,2013
20,Jordan Spieth,4.37,289.4,13,9.0,66.94,0.182,67.8,61.07,69.668,0.611,0.48,0.2,67.0,2013
21,Ernie Els,4.31,289.6,51,1.0,61.74,-0.136,57.72,58.08,70.491,0.11,0.191,0.143,48.0,2013
22,Dustin Johnson,4.26,305.8,17,6.0,66.75,-0.101,53.36,53.22,70.115,0.332,0.663,-0.09,51.0,2013
23,Webb Simpson,4.18,285.4,33,5.0,66.67,0.313,63.3,57.95,69.783,0.216,0.517,0.225,70.0,2013
24,Hunter Mahan,4.09,290.0,21,5.0,67.58,0.382,66.61,58.87,70.106,0.417,0.285,0.05,68.0,2013
25,Bubba Watson,4.06,303.7,7,3.0,69.41,-0.096,58.73,54.48,70.276,0.937,0.292,-0.065,59.0,2013
26,Nick Watney,3.99,291.2,83,4.0,68.48,0.006,62.4,56.35,70.78,0.461,0.362,-0.317,73.0,2013
27,Bill Haas,3.96,288.2,29,9.0,67.79,0.266,62.31,62.01,70.023,0.365,0.346,0.289,69.0,2013
28,Graham DeLaet,3.01,298.6,39,7.0,70.51,0.1,65.8,59.72,70.089,0.488,0.64,-0.159,81.0,2013
29,Rickie Fowler,2.98,286.4,10,5.0,63.59,0.425,62.27,59.59,70.212,0.143,0.141,0.074,59.0,2013
30,Billy Horschel,2.91,293.8,14,8.0,67.48,0.381,64.17,55.69,70.244,0.465,-0.121,-0.069,83.0,2013
31,Jonas Blixt,2.91,283.7,55,2.0,60.89,0.312,56.54,61.5,71.11,-0.227,-0.882,0.394,67.0,2013
32,Kevin Streelman,2.9,287.5,47,5.0,66.41,0.246,67.25,59.42,70.267,0.406,0.214,-0.008,68.0,2013
33,Peter Hanson,2.84,295.3,163,1.0,61.24,0.484,56.31,58.33,70.368,-0.306,0.192,0.138,33.0,2013
34,Scott Piercy,2.8,298.2,139,4.0,62.3,-0.184,53.57,53.24,71.273,0.144,-0.038,-0.006,62.0,2013
35,Bo Van Pelt,2.78,285.9,135,1.0,65.63,-0.181,63.8,53.35,71.08,0.186,0.025,-0.1,54.0,2013
36,Martin Kaymer,2.77,288.4,12,3.0,64.85,0.137,61.36,52.59,70.559,0.402,-0.07,-0.335,42.0,2013
37,Ryan Moore,2.62,282.3,44,3.0,64.32,-0.028,68.44,57.68,70.825,0.232,0.007,0.139,57.0,2013
38,Boo Weekley,2.47,290.9,107,4.0,69.39,-0.676,66.36,55.35,70.611,0.594,0.401,-0.221,83.0,2013
39,D.A. Points,2.4,281.1,164,3.0,62.77,-0.161,63.48,55.92,71.116,-0.194,0.191,0.163,68.0,2013
40,Nicolas Colsaerts,2.36,305.7,199,3.0,66.78,-0.579,53.8,49.82,71.088,0.552,0.322,-0.563,36.0,2013
41,David Lynn,2.35,277.9,144,2.0,62.48,0.432,59.27,60.52,71.016,-0.229,-0.164,0.323,56.0,2013
42,Ángel Cabrera,2.35,294.0,56,2.0,64.99,0.069,56.19,55.43,70.897,0.294,-0.241,-0.059,57.0,2013
43,Michael Thompson,2.21,279.4,132,3.0,61.78,-0.12,61.39,57.71,71.298,-0.28,-0.179,0.067,53.0,2013
44,Robert Garrigus,2.21,302.4,165,2.0,66.15,-0.437,55.37,48.74,71.058,0.509,0.571,-0.528,49.0,2013
45,Martin Laird,2.19,293.4,141,2.0,63.64,-0.127,60.78,56.18,71.029,0.389,-0.195,-0.058,53.0,2013
46,Marc Leishman,2.16,286.6,43,4.0,65.08,0.08,58.77,57.64,70.532,-0.099,0.345,-0.009,64.0,2013
47,Brendon de Jonge,2.14,286.3,95,4.0,68.84,0.03,66.28,62.56,70.154,0.28,0.414,0.032,97.0,2013
48,Jimmy Walker,2.12,298.5,19,5.0,66.07,0.276,52.18,60.62,70.332,0.082,0.407,0.164,75.0,2013
49,Tim Clark,2.11,273.9,77,3.0,62.02,0.058,70.31,60.19,70.693,0.048,0.087,-0.049,43.0,2013
50,Roberto Castro,2.09,282.3,126,4.0,67.3,-0.465,67.36,61.47,70.494,0.204,0.379,0.348,84.0,2013
51,Patrick Reed,2.05,292.0,27,5.0,63.79,0.35,56.13,60.44,70.807,0.089,-0.327,0.011,74.0,2013
52,Carl Pettersson,2.05,290.2,138,1.0,62.22,-0.028,59.43,54.6,71.273,0.026,-0.252,0.126,64.0,2013
53,Harris English,2.0,295.2,57,4.0,66.02,0.477,58.65,56.11,70.438,0.115,0.098,-0.077,82.0,2013
54,Russell Henley,1.97,289.0,53,3.0,64.25,0.609,64.68,57.17,70.57,0.432,-0.053,-0.233,66.0,2013
55,Freddie Jacobson,1.93,287.3,73,3.0,61.67,0.449,56.26,59.66,70.108,0.075,0.304,0.247,46.0,2013
56,John Merrick,1.91,284.3,185,2.0,66.53,0.063,60.51,56.51,70.736,0.038,0.365,0.051,68.0,2013
57,Kyle Stanley,1.85,298.1,255,3.0,67.37,-0.683,59.54,53.72,71.842,0.64,0.419,-0.708,60.0,2013
58,John Huh,1.83,282.0,123,2.0,66.6,-0.227,68.53,59.36,70.758,0.179,0.155,0.19,75.0,2013
59,Scott Stallings,1.82,295.7,110,4.0,64.63,0.146,58.73,55.07,71.135,0.389,-0.379,-0.392,66.0,2013
60,Gary Woodland,1.82,303.8,46,2.0,66.98,0.062,57.6,54.58,70.733,0.331,0.459,-0.392,83.0,2013
61,Ken Duke,1.78,275.1,216,2.0,63.09,-0.026,69.28,56.92,71.025,0.009,0.13,-0.178,75.0,2013
62,David Lingmerth,1.77,285.8,143,3.0,63.24,-0.009,64.87,58.44,70.996,0.301,-0.255,-0.022,57.0,2013
63,Luke Guthrie,1.76,283.5,171,2.0,63.62,-0.205,61.24,58.85,71.139,-0.116,0.28,0.055,65.0,2013
64,Chris Kirk,1.75,289.0,22,3.0,65.92,0.456,59.65,65.38,70.206,-0.213,0.62,0.099,81.0,2013
65,David Toms,1.75,277.4,157,1.0,63.64,-0.379,66.5,59.72,71.134,-0.37,-0.026,0.095,32.0,2013
66,Charles Howell III,1.74,294.8,94,5.0,66.73,0.438,53.11,64.83,70.272,0.133,-0.084,0.374,80.0,2013
67,Ryan Palmer,1.74,301.5,40,4.0,66.24,0.333,57.69,55.63,70.167,0.411,0.461,-0.323,69.0,2013
68,Kevin Chappell,1.71,292.9,85,3.0,66.11,-0.338,61.52,58.4,70.927,0.276,0.37,0.077,67.0,2013
69,Padraig Harrington,1.66,288.3,315,3.0,60.88,-0.131,58.39,56.52,71.017,-0.345,0.067,0.321,35.0,2013
70,Geoff Ogilvy,1.65,285.1,75,1.0,62.18,-0.337,60.94,55.67,71.588,-0.161,-0.268,0.117,42.0,2013
71,Matt Jones,1.65,292.3,59,5.0,66.0,0.145,64.74,63.98,70.245,0.396,0.123,0.22,70.0,2013
72,Charley Hoffman,1.61,294.0,72,5.0,65.48,0.128,59.57,53.83,70.497,0.333,0.262,-0.145,73.0,2013
73,Kevin Stadler,1.57,289.8,54,3.0,68.92,-0.284,64.21,54.75,70.632,0.41,0.451,-0.11,69.0,2013
74,Chris Stroud,1.55,277.0,78,4.0,64.33,0.34,62.4,64.6,70.546,-0.578,0.52,0.333,78.0,2013
75,Sangmoon Bae,1.49,285.3,175,2.0,63.72,0.371,58.39,51.85,71.111,0.053,-0.165,-0.376,72.0,2013
76,Brian Davis,1.48,278.8,170,4.0,62.15,0.232,68.61,58.87,70.69,0.051,0.222,0.185,83.0,2013
77,K.J. Choi,1.48,278.3,79,2.0,65.87,0.337,66.04,62.98,70.322,0.096,0.154,0.258,63.0,2013
78,Matt Every,1.48,288.1,58,4.0,65.54,-0.092,58.94,56.52,71.023,0.323,0.296,-0.234,80.0,2013
79,Daniel Summerhays,1.44,285.7,96,4.0,64.46,0.221,62.08,59.13,70.813,-0.062,0.227,0.067,78.0,2013
80,Rory Sabbatini,1.39,293.1,161,5.0,67.75,-0.274,59.72,57.77,70.511,0.273,0.468,0.002,72.0,2013
81,David Hearn,1.36,279.7,106,2.0,64.71,0.484,62.08,57.78,70.738,-0.199,0.179,-0.119,73.0,2013
82,Derek Ernst,1.34,291.5,307,1.0,63.89,-0.216,60.49,49.34,72.271,0.231,-0.564,-0.526,49.0,2013
83,Morgan Hoffmann,1.33,295.4,98,3.0,64.67,0.193,57.72,57.99,70.613,0.227,-0.344,0.242,53.0,2013
84,Josh Teater,1.32,293.7,404,3.0,66.53,0.022,60.77,53.44,70.904,0.365,0.083,-0.133,61.0,2013
85,Charlie Beljan,1.28,295.4,263,1.0,64.61,-0.205,59.86,52.66,71.839,0.424,-0.437,-0.306,55.0,2013
86,Mark Wilson,1.26,278.0,427,3.0,66.24,-0.21,70.74,61.39,70.916,0.185,0.252,0.072,50.0,2013
87,Pat Perez,1.26,290.1,142,4.0,67.87,-0.039,61.35,56.64,70.835,-0.127,0.505,-0.055,64.0,2013
88,Seung-Yul Noh,1.24,298.8,92,1.0,64.26,-0.463,51.5,53.36,71.625,-0.162,-0.163,0.315,62.0,2013
89,John Rollins,1.21,295.6,418,2.0,67.43,-0.243,58.56,57.71,70.779,0.164,0.409,-0.103,68.0,2013
90,Stewart Cink,1.2,290.0,148,3.0,67.76,-0.238,57.19,53.16,70.633,-0.264,0.975,-0.058,56.0,2013
91,Ryo Ishikawa,1.2,291.3,82,1.0,66.03,-0.683,55.48,53.27,71.515,0.11,0.191,-0.165,55.0,2013
92,Cameron Tringale,1.17,287.2,69,1.0,67.01,0.104,62.89,61.68,70.724,-0.079,0.169,0.149,75.0,2013
93,Jason Kokrak,1.17,303.2,119,4.0,65.67,-0.119,53.17,58.3,70.924,0.079,0.201,0.029,72.0,2013
94,Brian Gay,1.16,275.1,312,1.0,56.68,0.428,64.79,63.8,71.16,-0.577,-0.453,0.336,71.0,2013
95,Bob Estes,1.15,285.0,438,2.0,64.9,0.335,63.11,66.19,70.361,-0.216,0.277,0.362,62.0,2013
96,William McGirt,1.14,281.8,127,2.0,65.33,0.229,62.3,60.47,71.0,-0.208,-0.118,0.165,71.0,2013
97,Ben Crane,1.12,281.0,103,2.0,63.98,0.024,60.94,63.83,70.864,-0.143,0.313,0.005,55.0,2013
98,J.J. Henry,1.11,284.7,303,2.0,67.97,0.146,64.93,56.53,70.992,0.138,-0.122,-0.089,74.0,2013
99,Greg Chalmers,1.1,276.8,352,2.0,61.64,0.857,62.8,59.33,71.228,-0.552,-0.237,-0.102,70.0,2013
100,Johnson Wagner,1.08,278.6,338,2.0,64.35,0.271,58.69,56.36,72.013,-0.461,-0.32,-0.436,52.0,2013
101,Andres Romero,1.08,293.1,215,2.0,61.3,0.117,57.35,57.91,71.256,-0.05,-0.437,0.17,52.0,2013
102,Brendan Steele,1.08,290.7,115,2.0,65.99,0.028,61.56,57.17,71.053,0.025,-0.135,0.105,77.0,2013
103,Brian Harman,1.07,287.5,68,2.0,62.61,0.147,60.64,58.74,71.29,0.316,-0.856,0.096,76.0,2013
104,Jeff Overton,1.05,292.4,237,2.0,64.89,0.315,57.83,59.23,70.863,0.296,0.099,-0.384,74.0,2013
105,Charlie Wi,1.04,282.1,425,1.0,60.56,0.176,63.02,59.92,71.174,-0.224,-0.498,0.295,66.0,2013
106,"Ted Potter, Jr.",1.03,280.3,326,2.0,64.48,0.247,68.03,60.77,70.615,0.166,0.046,-0.052,55.0,2013
107,Nicholas Thompson,1.02,291.6,202,2.0,67.85,-0.281,64.74,56.89,70.92,0.42,0.373,-0.288,86.0,2013
108,Jerry Kelly,0.99,273.2,105,2.0,65.41,0.198,71.81,62.96,70.522,0.109,0.159,0.125,64.0,2013
109,Aaron Baddeley,0.98,288.5,182,2.0,58.0,0.661,50.71,57.72,71.503,-0.603,-0.669,0.293,59.0,2013
110,Jeff Maggert,0.97,277.6,277,2.0,66.58,-0.316,68.83,60.42,71.208,0.074,0.141,-0.166,57.0,2013
111,Scott Brown,0.96,289.5,150,1.0,64.1,-0.217,62.32,55.71,71.25,0.338,-0.174,-0.014,55.0,2013
112,James Hahn,0.92,293.3,274,2.0,64.71,0.002,58.58,55.96,71.222,0.044,-0.079,-0.034,67.0,2013
113,Justin Leonard,0.91,276.3,232,1.0,63.11,0.348,64.36,59.02,70.863,-0.341,-0.255,0.363,75.0,2013
114,Richard Lee,0.89,279.1,297,2.0,66.52,0.564,66.95,63.58,70.912,-0.134,-0.074,-0.043,72.0,2013
115,Richard Lee,0.89,279.1,314,2.0,66.52,0.564,66.95,63.58,70.912,-0.134,-0.074,-0.043,72.0,2013
116,Richard Lee,0.89,279.1,903,2.0,66.52,0.564,66.95,63.58,70.912,-0.134,-0.074,-0.043,72.0,2013
117,Richard Lee,0.23,279.1,297,2.0,66.52,0.564,66.95,63.58,70.912,-0.134,-0.074,-0.043,72.0,2013
118,Richard Lee,0.23,279.1,314,2.0,66.52,0.564,66.95,63.58,70.912,-0.134,-0.074,-0.043,72.0,2013
119,Richard Lee,0.23,279.1,903,2.0,66.52,0.564,66.95,63.58,70.912,-0.134,-0.074,-0.043,72.0,2013
120,Jason Bohn,0.88,276.3,149,2.0,64.44,0.185,65.74,54.69,71.101,-0.156,0.034,-0.095,66.0,2013
121,Martin Flores,0.87,300.4,177,2.0,65.53,0.08,53.67,62.91,70.676,0.136,0.092,0.118,76.0,2013
122,Tommy Gainey,0.86,291.0,467,1.0,61.04,0.089,56.34,53.99,71.892,-0.098,-0.361,-0.411,75.0,2013
123,Trevor Immelman,0.86,283.6,331,1.0,66.51,-0.365,61.19,59.13,71.491,-0.181,0.162,0.094,62.0,2013
124,Shawn Stefani,0.82,297.2,121,2.0,63.67,0.338,54.97,58.5,71.114,-0.11,-0.308,-0.155,50.0,2013
125,Brian Stuard,0.82,281.8,137,4.0,65.77,0.067,65.99,60.31,70.869,-0.128,0.118,-0.125,63.0,2013
126,D.H. Lee,0.81,280.9,540,3.0,65.98,0.037,66.23,57.79,71.187,-0.142,-0.055,-0.015,58.0,2013
127,Ben Kohles,0.8,279.0,870,1.0,65.26,0.051,67.78,56.08,71.488,-0.042,-0.113,-0.354,62.0,2013
128,Lucas Glover,0.8,293.7,452,2.0,66.41,-0.851,61.62,51.91,71.577,0.541,0.307,-0.083,52.0,2013
129,James Driscoll,0.79,287.1,387,2.0,63.81,0.65,53.89,59.7,70.888,-0.422,0.022,0.139,63.0,2013
130,Casey Wittenberg,0.76,280.5,738,1.0,62.14,0.254,54.61,60.59,71.659,-1.071,-0.067,0.263,61.0,2013
131,Justin Hicks,0.73,280.0,147,1.0,68.59,-0.219,69.61,51.89,71.138,0.218,0.462,-0.6,66.0,2013
132,Camilo Villegas,0.72,291.8,112,2.0,66.74,-0.149,58.56,56.12,70.586,-0.183,0.885,-0.095,64.0,2013
133,Chad Campbell,0.71,288.9,327,1.0,67.03,-0.249,60.7,58.76,71.234,-0.286,0.525,-0.033,72.0,2013
134,Robert Karlsson,0.67,287.2,117,1.0,63.14,-0.337,60.19,57.39,71.482,-0.217,0.125,0.143,37.0,2013
135,Justin Bolli,0.67,279.1,668,2.0,61.11,0.038,61.36,57.14,72.034,-0.273,-0.787,-0.21,46.0,2013
136,Stuart Appleby,0.66,284.7,104,1.0,65.21,0.353,62.53,65.21,70.834,-0.28,-0.219,0.387,79.0,2013
137,Jim Herman,0.64,299.2,449,2.0,67.98,-0.229,62.71,54.57,71.045,0.55,-0.091,-0.176,44.0,2013
138,Erik Compton,0.62,292.7,76,1.0,65.09,0.234,56.89,61.51,71.011,0.012,-0.363,-0.076,65.0,2013
139,Dicky Pride,0.6,274.8,502,2.0,64.43,-0.011,65.24,59.44,71.293,-0.365,0.012,0.002,59.0,2013
140,Scott Langley,0.58,278.9,172,1.0,64.0,0.04,62.45,59.47,71.269,-0.302,-0.124,0.215,64.0,2013
141,Steven Bowditch,0.57,300.2,120,1.0,61.97,-0.046,53.04,62.47,71.335,0.041,-0.641,0.316,58.0,2013
142,Brad Fritsch,0.52,297.0,289,1.0,66.59,-0.212,58.06,55.29,71.085,0.005,0.313,-0.152,68.0,2013
143,Vaughn Taylor,0.46,289.8,530,1.0,63.53,0.103,65.32,56.95,70.897,-0.042,0.148,-0.247,40.0,2013
144,Fabián Gómez,0.46,289.5,319,1.0,64.1,0.124,61.88,59.76,71.33,0.089,-0.435,-0.026,56.0,2013
145,Tag Ridings,0.4,299.6,747,1.0,65.81,0.053,53.38,57.5,71.162,-0.054,-0.174,0.003,58.0,2013
146,Bobby Gates,0.4,296.2,795,1.0,62.84,0.011,51.59,55.15,72.59,-0.58,-0.498,-0.331,38.0,2013
147,David Mathis,0.38,280.6,858,1.0,63.6,-0.448,62.42,52.39,72.222,-0.328,-0.267,-0.105,62.0,2013
148,D.J. Trahan,0.35,293.4,777,1.0,67.87,-0.247,63.54,56.39,71.429,0.182,-0.448,-0.018,38.0,2013
149,Aaron Watkins,0.32,277.1,419,1.0,62.25,0.402,63.03,59.53,71.77,-0.568,-0.707,0.285,35.0,2013
150,Robert Allenby,0.27,284.9,392,1.0,62.4,-0.337,57.87,52.77,72.056,-0.733,0.296,-0.085,52.0,2013
151,Rory McIlroy,11.62,310.5,3,12.0,69.44,0.274,59.93,58.52,68.827,1.367,0.602,0.022,48.0,2014
152,Adam Scott,9.07,303.5,13,10.0,68.79,0.22,61.51,60.73,69.205,0.725,0.61,0.166,56.0,2014
153,Sergio Garcia,7.79,294.3,11,10.0,68.68,0.167,62.19,66.67,68.95,0.382,1.15,0.286,40.0,2014
154,Henrik Stenson,7.7,293.2,6,3.0,69.03,-0.17,68.78,51.83,70.166,0.65,0.575,-0.064,38.0,2014
155,Jim Furyk,7.6,279.3,9,11.0,68.75,0.091,73.18,69.33,69.2,0.121,1.175,0.408,66.0,2014
156,Justin Rose,7.31,295.1,7,8.0,66.91,-0.04,59.92,61.23,69.624,0.402,0.744,0.36,52.0,2014
157,Bubba Watson,7.11,314.3,4,8.0,67.96,-0.05,60.47,59.14,69.712,0.967,0.324,0.111,56.0,2014
158,Jason Day,6.87,301.2,2,6.0,64.0,0.317,58.72,64.95,69.626,0.495,0.176,0.402,33.0,2014
159,Matt Kuchar,6.61,283.8,15,11.0,66.92,0.457,67.37,62.4,69.416,0.21,0.527,0.38,76.0,2014
160,Rickie Fowler,5.94,297.5,5,10.0,64.51,0.29,59.93,62.06,70.172,0.264,0.213,0.003,62.0,2014
161,Phil Mickelson,5.78,292.4,24,1.0,65.26,0.234,58.01,61.71,70.278,0.201,0.166,0.266,50.0,2014
162,Martin Kaymer,5.29,294.9,20,4.0,64.58,-0.111,61.27,53.43,70.468,0.279,0.37,-0.294,48.0,2014
163,Jordan Spieth,5.2,289.7,1,8.0,62.47,0.399,58.79,62.39,69.946,0.034,0.286,0.26,79.0,2014
164,Billy Horschel,5.12,291.6,26,5.0,70.43,0.22,67.04,55.32,70.521,0.473,0.132,-0.087,69.0,2014
165,Zach Johnson,4.88,282.2,10,5.0,67.42,0.106,70.51,60.75,70.159,0.145,0.513,0.093,84.0,2014
166,Dustin Johnson,4.72,311.0,8,7.0,68.03,0.082,57.18,59.76,69.546,0.73,0.533,-0.015,41.0,2014
167,Graeme McDowell,4.7,278.0,71,8.0,65.77,0.882,69.2,60.47,69.642,-0.034,0.379,-0.055,46.0,2014
168,Jimmy Walker,4.4,301.0,16,10.0,67.59,0.479,51.67,58.39,69.789,0.119,0.608,0.048,73.0,2014
169,Hideki Matsuyama,4.27,294.8,14,4.0,64.03,-0.393,61.52,60.42,70.083,0.325,1.022,0.198,64.0,2014
170,Hunter Mahan,4.17,295.8,46,6.0,66.67,0.207,65.1,54.71,70.574,0.687,-0.221,-0.153,72.0,2014
171,Chris Kirk,4.16,291.0,27,5.0,63.46,0.374,62.78,63.3,70.15,0.033,0.287,0.169,86.0,2014
172,Charl Schwartzel,4.03,297.8,47,5.0,63.53,0.055,59.45,61.67,69.671,0.55,0.315,0.421,54.0,2014
173,Keegan Bradley,3.79,302.2,53,6.0,66.67,0.254,62.36,62.31,70.031,0.43,0.5,-0.19,67.0,2014
174,Patrick Reed,3.77,292.3,19,4.0,63.64,0.249,55.59,59.42,70.598,0.04,-0.352,0.393,74.0,2014
175,Bill Haas,3.61,291.9,28,5.0,68.62,0.147,62.94,60.37,70.132,0.296,0.382,0.265,82.0,2014
176,Jason Dufner,3.5,285.3,101,4.0,66.26,-0.576,63.76,52.74,70.9,0.316,0.59,0.192,42.0,2014
177,Luke Donald,3.46,278.1,60,3.0,63.0,0.517,62.56,60.59,70.735,-0.493,0.315,0.351,44.0,2014
178,Webb Simpson,3.44,288.5,49,9.0,65.28,0.3,62.24,59.05,70.234,-0.027,0.333,0.275,74.0,2014
179,Kevin Na,3.28,280.3,31,6.0,64.72,0.315,64.32,65.16,69.996,-0.1,0.341,0.397,78.0,2014
180,Ian Poulter,3.19,288.1,42,2.0,62.4,0.067,61.35,58.05,70.722,0.042,-0.176,0.028,41.0,2014
181,Brandt Snedeker,3.1,285.6,29,3.0,63.28,0.326,63.7,59.48,70.671,-0.043,0.143,0.217,66.0,2014
182,Graham DeLaet,3.09,303.4,107,7.0,70.68,-0.093,62.07,58.75,69.943,0.36,0.895,0.007,64.0,2014
183,Ryan Palmer,3.01,300.4,38,8.0,66.67,0.295,58.55,58.24,69.993,0.76,0.133,0.078,67.0,2014
184,Lee Westwood,2.99,292.3,43,2.0,63.69,0.151,61.22,56.28,70.738,0.334,0.037,0.124,43.0,2014
185,Marc Leishman,2.94,297.6,37,6.0,65.21,-0.017,57.97,57.29,70.152,0.164,0.546,0.056,69.0,2014
186,Ryan Moore,2.94,284.7,51,7.0,67.99,0.042,69.92,57.64,70.344,0.253,0.499,0.041,62.0,2014
187,Brendon Todd,2.86,280.3,54,7.0,63.99,0.664,64.85,63.57,70.049,0.015,-0.174,0.289,91.0,2014
188,Gary Woodland,2.78,304.1,40,5.0,66.55,-0.149,59.49,60.11,70.249,0.581,0.381,0.087,73.0,2014
189,Kevin Streelman,2.76,288.6,111,2.0,63.25,0.006,68.04,54.07,71.354,0.471,-0.242,-0.162,60.0,2014
190,John Senden,2.66,288.9,62,5.0,67.85,0.476,64.25,60.21,70.27,0.224,0.127,-0.023,81.0,2014
191,Ernie Els,2.65,291.2,135,3.0,61.6,-0.171,53.26,61.36,70.736,-0.016,0.141,0.529,63.0,2014
192,Russell Henley,2.52,293.7,50,3.0,61.84,0.332,63.67,52.37,71.379,0.205,-0.371,-0.272,75.0,2014
193,Kevin Stadler,2.51,291.6,196,3.0,68.91,-0.467,64.28,53.41,70.62,0.505,0.386,-0.012,65.0,2014
194,Jonas Blixt,2.43,286.1,141,1.0,61.11,0.303,56.16,58.76,71.581,-0.434,-0.299,0.221,43.0,2014
195,Ángel Cabrera,2.43,303.7,157,1.0,64.98,0.007,58.4,53.1,70.675,0.554,0.078,-0.434,61.0,2014
196,Harris English,2.36,299.2,75,7.0,68.36,-0.028,59.95,57.44,70.094,0.193,0.465,0.047,74.0,2014
197,Matt Every,2.36,286.3,77,6.0,63.33,0.733,56.72,58.82,70.722,-0.234,0.029,-0.031,65.0,2014
198,Matt Jones,2.35,296.3,61,1.0,63.25,0.142,58.5,55.92,71.021,0.236,-0.421,0.157,60.0,2014
199,J.B. Holmes,2.32,308.0,18,2.0,60.92,-0.075,54.71,58.51,70.721,0.509,-0.317,0.283,77.0,2014
200,Louis Oosthuizen,2.25,300.5,12,1.0,66.43,-0.429,60.9,51.8,70.852,0.724,-0.145,-0.367,30.0,2014
201,Brooks Koepka,2.04,307.0,17,2.0,64.98,0.162,56.91,57.51,70.052,0.425,0.598,-0.226,42.0,2014
202,Brian Harman,2.03,289.0,79,6.0,64.26,0.113,60.96,59.66,70.391,-0.014,0.296,0.121,101.0,2014
203,Cameron Tringale,2.02,282.9,70,3.0,66.77,0.107,63.87,59.34,70.63,0.008,0.322,0.23,98.0,2014
204,Gonzalo Fernandez-Castaño,2.01,288.1,382,1.0,60.84,-0.12,59.93,57.79,71.294,-0.262,-0.07,0.24,69.0,2014
205,Charley Hoffman,1.98,299.2,35,5.0,67.08,0.266,58.69,59.53,70.464,0.415,0.301,-0.026,76.0,2014
206,Freddie Jacobson,1.92,284.6,171,4.0,62.58,0.704,59.35,61.34,70.604,-0.162,-0.199,0.068,81.0,2014
207,Geoff Ogilvy,1.88,292.5,118,2.0,64.51,-0.331,58.51,55.77,71.422,-0.02,0.038,-0.05,73.0,2014
208,Erik Compton,1.88,283.3,159,3.0,63.07,0.282,58.48,58.8,70.829,-0.089,0.066,-0.235,75.0,2014
209,Tim Clark,1.8,272.2,106,3.0,64.3,0.025,74.02,59.34,70.738,-0.286,0.253,0.094,62.0,2014
210,Chris Stroud,1.78,285.8,188,4.0,65.21,0.182,63.93,61.89,70.476,-0.174,0.132,0.278,72.0,2014
211,K.J. Choi,1.77,279.8,206,2.0,62.08,0.332,64.22,56.78,70.87,-0.339,0.049,0.251,67.0,2014
212,George McNeill,1.76,286.1,98,4.0,66.17,0.271,62.22,58.21,70.248,-0.061,0.537,0.053,70.0,2014
213,Ryo Ishikawa,1.72,291.0,162,3.0,64.96,0.092,53.26,54.55,70.98,-0.259,0.395,0.095,62.0,2014
