RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Dustin Johnson,77,68.698,5072,11.669,74
2,2,Justin Rose,70,68.993,4556,- 2.468,66
3,3,Justin Thomas,91,69.118,5663,4.652,82
4,5,Webb Simpson,95,69.293,6371,3.938,92
5,6,Rory McIlroy,64,69.303,4241,- 13.545,61
6,7,Tommy Fleetwood,73,69.342,4588,- 11.452,66
7,9,Tiger Woods,68,69.35,4730,- 14.227,68
8,8,Rickie Fowler,74,69.435,5136,2.191,74
9,4,Brooks Koepka,64,69.444,4302,3.519,62
10,10,Tony Finau,105,69.52,6814,- 1.079,98
11,11,Jason Day,75,69.603,4739,- 5.991,68
12,12,Henrik Stenson,60,69.617,3901,- 2.449,56
13,13,Bryson DeChambeau,93,69.646,6473,4.095,93
14,14,Francesco Molinari,73,69.797,4894,- 8.241,70
15,16,Paul Casey,74,69.85,4973,- 13.671,71
16,17,Rafa Cabrera Bello,75,69.887,4898,- 5.891,70
17,15,Patrick Cantlay,87,69.899,5594,- 2.071,80
18,18,Jordan Spieth,81,69.904,5284,28.677,76
19,19,Zach Johnson,94,69.911,6063,19.256,87
20,23,Jon Rahm,71,69.958,4597,20.204,66
21,21,Alex Noren,67,69.973,4222,- 23.647,60
22,24,Ryan Moore,78,70.015,5457,4.196,78
23,25,Hideki Matsuyama,75,70.022,5027,14.609,72
24,26,Tyrrell Hatton,58,70.091,3802,- 17.110,54
25,20,Phil Mickelson,90,70.098,6095,3.491,87
26,22,Patrick Reed,94,70.106,6038,- 8.920,86
27,27,Emiliano Grillo,94,70.152,6438,15.974,92
28,37,Billy Horschel,86,70.154,5720,32.650,82
29,28,Louis Oosthuizen,62,70.157,3806,- 17.525,54
30,30,Gary Woodland,96,70.161,6389,- 4.341,91
31,29,Byeong Hun An,86,70.19,5902,- 6.019,84
32,31,Charles Howell III,104,70.219,7011,10.875,100
33,32,Luke List,98,70.229,6679,- 7.229,95
