RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Greg Chalmers,56,0.79,32.388,41
2,4,Jason Day,75,0.77,37.721,49
3,2,Alex Noren,67,0.758,37.154,49
4,3,Daniel Summerhays,51,0.736,27.966,38
5,6,Webb Simpson,95,0.692,56.018,81
6,5,Beau Hossler,104,0.685,61.617,90
7,7,Johnson Wagner,75,0.623,34.292,55
8,9,Peter Malnati,87,0.619,46.41,75
9,10,Patrick Rodgers,97,0.561,40.932,73
10,11,Emiliano Grillo,94,0.546,39.841,73
11,16,Kevin Na,91,0.533,37.304,70
12,12,Kevin Kisner,89,0.513,33.365,65
13,8,Phil Mickelson,90,0.51,35.711,70
T14,T14,Seamus Power,86,0.498,32.851,66
T14,T14,Michael Thompson,62,0.498,27.889,56
T16,T17,Graeme McDowell,67,0.478,21.967,46
T16,T17,Brandt Snedeker,84,0.478,35.378,74
18,19,Denny McCarthy,71,0.449,22.018,49
19,20,Brian Gay,103,0.442,40.668,92
20,21,Whee Kim,93,0.427,31.181,73
21,13,Justin Rose,70,0.424,22.479,53
22,22,Brett Stegmaier,67,0.401,18.836,47
23,25,Billy Horschel,86,0.392,30.165,77
24,24,Jim Furyk,50,0.389,17.903,46
25,23,Dustin Johnson,77,0.385,23.861,62
26,26,Bud Cauley,55,0.367,15.055,41
27,27,Derek Fathauer,84,0.363,24.669,68
28,28,Wesley Bryan,69,0.36,18.354,51
29,30,Nicholas Lindheim,77,0.355,20.93,59
30,31,Branden Grace,67,0.35,15.39,44
31,32,Matt Kuchar,88,0.348,22.592,65
T32,34,Hunter Mahan,67,0.346,17.64,51
T32,29,Bryson DeChambeau,93,0.346,26.983,78
34,35,Ricky Barnes,65,0.338,15.201,45
35,36,Tyrrell Hatton,58,0.335,14.077,42
36,37,Ben Crane,65,0.332,15.286,46
37,38,Ollie Schniederjans,91,0.325,25.042,77
T38,39,Jimmy Walker,81,0.324,21.369,66
T38,33,Tommy Fleetwood,73,0.324,17.51,54
40,40,Daniel Berger,81,0.319,19.78,62
41,41,Austin Cook,107,0.315,28.963,92
42,44,Dominic Bozzelli,65,0.308,18.8,61
43,T42,Rickie Fowler,74,0.296,18.029,61
44,45,Martin Laird,73,0.282,17.178,61
T45,T46,Brian Harman,94,0.273,19.683,72
T45,T46,Rafa Cabrera Bello,75,0.273,13.101,48
47,T42,Justin Thomas,91,0.272,18.528,68
48,T67,Tiger Woods,68,0.266,15.703,59
49,49,Michael Kim,74,0.259,14.005,54
50,50,Jonas Blixt,67,0.244,11.722,48
T51,51,Ben Silverman,90,0.238,18.085,76
T51,T46,Aaron Wise,90,0.238,19.071,80
53,57,Tony Finau,105,0.232,18.774,81
54,52,David Lingmerth,82,0.229,15.774,69
55,53,Brandon Harkins,101,0.225,19.146,85
56,54,Ian Poulter,73,0.223,11.143,50
57,T55,Harris English,84,0.222,15.063,68
58,58,Charles Howell III,104,0.219,17.092,78
59,60,Chesson Hadley,103,0.208,18.555,89
60,61,Zach Johnson,94,0.206,14.836,72
61,62,Zac Blair,64,0.203,9.346,46
62,63,Cody Gribble,71,0.201,10.839,54
T63,T64,Nick Watney,94,0.2,15.999,80
T63,T64,William McGirt,84,0.2,14.97,75
65,66,Anirban Lahiri,82,0.199,13.322,67
66,70,Xander Schauffele,96,0.196,14.079,72
67,T67,Chez Reavie,93,0.192,11.495,60
T68,71,Roberto Díaz,72,0.168,9.41,56
T68,T87,Brooks Koepka,64,0.168,9.058,54
T70,T72,John Huh,94,0.167,13.73,82
T70,T72,Russell Henley,77,0.167,9.704,58
T72,75,Brian Stuard,103,0.164,14.398,88
T72,69,Patrick Reed,94,0.164,10.317,63
74,76,Danny Lee,88,0.156,10.927,70
75,77,Kiradech Aphibarnrat,51,0.138,4.7,34
76,78,J.T. Poston,73,0.135,7.712,57
77,74,Paul Casey,74,0.133,6.537,49
78,59,Hideki Matsuyama,75,0.132,7.507,57
79,79,Adam Schenk,86,0.13,8.564,66
80,T89,Marc Leishman,93,0.126,9.234,73
81,81,Martin Piller,79,0.119,7.943,67
82,82,Ben Martin,64,0.118,6.722,57
T83,T83,Jonathan Randolph,71,0.115,6.913,60
T83,T83,Pat Perez,82,0.115,5.873,51
T83,T55,Cameron Smith,85,0.115,6.99,61
86,85,D.A. Points,63,0.11,5.274,48
87,T87,Bronson Burgoon,69,0.107,6.124,57
88,T89,Adam Hadwin,92,0.106,7.013,66
89,91,Sam Saunders,80,0.094,6.304,67
90,92,Nate Lashley,51,0.082,2.854,35
