RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
91,93,Charl Schwartzel,65,0.081,3.381,42
92,94,Troy Merritt,89,0.077,5.594,73
93,T95,Kelly Kraft,94,0.075,5.535,74
94,97,"Ted Potter, Jr.",87,0.074,5.736,77
95,98,Chris Kirk,108,0.073,6.996,96
96,99,Trey Mullinax,75,0.072,4.243,59
97,80,Rory McIlroy,64,0.06,3.073,51
98,100,Rory Sabbatini,91,0.059,4.449,75
99,101,Chris Stroud,81,0.053,3.098,58
T100,T102,Kevin Tway,110,0.052,4.722,90
T100,T102,Andrew Putnam,97,0.052,4.008,77
102,104,Scott Brown,102,0.049,3.967,81
103,105,Rob Oppenheim,74,0.045,2.413,54
104,T95,Kyle Stanley,93,0.037,2.505,67
105,106,Talor Gooch,78,0.031,1.903,62
106,86,Patton Kizzire,92,0.03,2.321,78
107,107,Charley Hoffman,87,0.026,1.789,68
T108,T108,Ryan Blaum,81,0.025,1.79,72
T108,T108,Billy Hurley III,70,0.025,1.419,57
110,110,Jason Kokrak,99,0.022,1.931,88
111,111,Peter Uihlein,83,0.021,1.352,65
112,112,Jamie Lovemark,92,0.01,0.81,78
113,113,Alex Cejka,77,0.009,0.557,60
114,122,Gary Woodland,96,0.007,0.483,70
T115,114,Fabián Gómez,88,0.001,0.062,71
T115,117,Bubba Watson,90,0.001,0.063,68
T117,T115,Tyrone Van Aswegen,101,-0.01,-0.821,83
T117,T115,Andrew Landry,82,-0.01,-0.752,73
119,118,Blayne Barber,69,-0.022,-1.324,60
120,119,Harold Varner III,91,-0.024,-1.77,74
T121,T120,Ethan Tracy,72,-0.026,-1.403,54
T121,T120,Louis Oosthuizen,62,-0.026,-1.214,46
T123,T123,Matt Jones,70,-0.034,-1.616,47
T123,T123,Shawn Stefani,76,-0.034,-2.045,60
T123,T123,Jordan Spieth,81,-0.034,-2.224,66
126,126,Tom Lovelady,87,-0.049,-3.41,69
127,127,Abraham Ancer,98,-0.056,-4.648,83
128,128,Aaron Baddeley,84,-0.057,-3.973,70
T129,T129,Ryan Armour,109,-0.058,-5.545,96
T129,T129,Jason Dufner,71,-0.058,-3.003,52
T131,T131,Jhonattan Vegas,92,-0.059,-3.779,64
T131,T131,Bill Haas,76,-0.059,-3.923,66
133,133,C.T. Pan,104,-0.067,-5.47,82
134,134,Scott Stallings,96,-0.07,-5.618,80
135,135,Brice Garnett,99,-0.076,-6.17,81
136,136,Vaughn Taylor,83,-0.08,-5.58,70
137,137,Robert Streb,78,-0.081,-4.83,60
138,138,Russell Knox,94,-0.088,-6.538,74
139,139,Lanto Griffin,80,-0.096,-5.733,60
140,140,Cameron Tringale,67,-0.104,-5.287,51
141,141,Jonathan Byrd,70,-0.106,-5.087,48
142,142,Richy Werenski,98,-0.109,-8.087,74
143,143,David Hearn,66,-0.127,-6.329,50
144,144,Steve Wheatcroft,60,-0.128,-5.887,46
145,145,Stephan Jaeger,81,-0.144,-9.09,63
146,146,J.J. Spaun,85,-0.149,-10.58,71
147,147,Jon Rahm,71,-0.151,-7.685,51
148,148,James Hahn,85,-0.152,-10.517,69
149,149,Tom Hoge,101,-0.162,-13.429,83
150,150,Conrad Shindler,60,-0.166,-7.325,44
151,151,Si Woo Kim,108,-0.168,-13.138,78
152,153,Mackenzie Hughes,80,-0.177,-12.011,68
153,152,Patrick Cantlay,87,-0.182,-12.177,67
154,154,Lucas Glover,65,-0.186,-8.573,46
155,155,Matt Atkins,56,-0.198,-7.907,40
156,156,Cameron Percy,56,-0.205,-8.387,41
T157,T157,Henrik Stenson,60,-0.207,-9.092,44
T157,T157,Sean O'Hair,67,-0.207,-11.802,57
T157,T157,J.B. Holmes,77,-0.207,-14.11,68
160,160,Sung Kang,89,-0.235,-15.725,67
161,161,Kevin Streelman,94,-0.25,-20.473,82
162,162,Hudson Swafford,73,-0.26,-13.534,52
163,163,Ryan Moore,78,-0.271,-17.864,66
164,164,Joel Dahmen,93,-0.277,-19.67,71
T165,T165,Byeong Hun An,86,-0.285,-20.82,73
T165,T165,Adam Scott,78,-0.285,-17.092,60
167,167,Shane Lowry,64,-0.286,-14.582,51
168,168,Martin Flores,92,-0.289,-20.822,72
169,169,Nick Taylor,94,-0.312,-23.072,74
170,170,Kevin Chappell,77,-0.344,-21.35,62
171,171,Stewart Cink,87,-0.345,-23.115,67
172,172,Sam Ryder,82,-0.349,-24.436,70
173,173,Grayson Murray,72,-0.35,-20.673,59
174,175,Keegan Bradley,98,-0.358,-28.64,80
175,174,Matt Every,79,-0.364,-22.202,61
176,176,Corey Conners,97,-0.385,-30.426,79
177,178,Retief Goosen,60,-0.411,-16.46,40
178,179,Rod Pampling,62,-0.421,-18.964,45
179,180,Xinjun Zhang,81,-0.437,-24.885,57
180,181,Chad Campbell,87,-0.454,-30.441,67
181,182,Luke List,98,-0.467,-36.446,78
182,183,Francesco Molinari,73,-0.487,-27.741,57
183,184,Keith Mitchell,99,-0.504,-41.841,83
184,185,Ryan Palmer,69,-0.528,-31.665,60
185,186,Tyler Duncan,97,-0.566,-45.865,81
T186,T187,J.J. Henry,81,-0.569,-35.86,63
T186,T187,Robert Garrigus,80,-0.569,-38.672,68
T186,T187,Scott Piercy,84,-0.569,-38.686,68
189,190,Brendan Steele,74,-0.576,-31.096,54
190,191,Andrew Yun,51,-0.6,-20.385,34
191,192,Satoshi Kodaira,51,-0.645,-25.795,40
192,193,Zecheng Dou,53,-0.667,-24.01,36
193,194,Kyle Thompson,50,-0.75,-27.018,36
