RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Webb Simpson,95,66.1,351,531
2,2,Johnson Wagner,75,65.41,261,399
3,4,Louis Oosthuizen,62,64.26,214,333
T4,5,Ryan Moore,78,64.16,281,438
T4,9,Tiger Woods,68,64.16,256,399
6,6,Alex Cejka,77,64.0,288,450
7,8,Seamus Power,86,63.8,312,489
8,3,Kevin Na,91,63.62,348,547
9,11,Matt Kuchar,88,63.6,304,478
10,13,Chris Kirk,108,63.53,385,606
11,T15,Joel Dahmen,93,63.31,302,477
12,12,Brooks Koepka,64,63.28,224,354
13,17,Brian Gay,103,63.26,408,645
14,10,Rickie Fowler,74,63.05,256,406
15,14,Justin Rose,70,63.03,225,357
16,T19,Ben Crane,65,63.0,235,373
17,7,Rory McIlroy,64,62.97,233,370
18,T15,Patrick Reed,94,62.94,355,564
19,21,William McGirt,84,62.86,286,455
20,23,Abraham Ancer,98,62.69,363,579
T21,T24,Tyrrell Hatton,58,62.58,204,326
T21,T24,Jim Furyk,50,62.58,199,318
23,18,Dustin Johnson,77,62.5,245,392
24,22,Justin Thomas,91,62.47,288,461
T25,T19,Jason Day,75,62.35,265,425
T25,26,Zach Johnson,94,62.35,318,510
27,27,Chez Reavie,93,62.27,302,485
28,28,Austin Cook,107,62.02,400,645
29,30,Nick Taylor,94,61.83,324,524
30,31,Alex Noren,67,61.74,234,379
31,32,Jordan Spieth,81,61.63,249,404
32,33,Andrew Putnam,97,61.52,291,473
33,34,Zac Blair,64,61.43,215,350
34,35,Tom Hoge,101,61.41,374,609
35,36,Rory Sabbatini,91,61.36,316,515
36,37,Peter Malnati,87,61.3,339,553
37,38,Byeong Hun An,86,61.16,296,484
38,29,Cameron Smith,85,61.12,316,517
39,39,Aaron Baddeley,84,61.09,314,514
40,41,Jamie Lovemark,92,61.07,342,560
41,42,Emiliano Grillo,94,61.05,315,516
42,43,Steve Wheatcroft,60,61.03,213,349
43,45,Kevin Streelman,94,60.93,287,471
44,46,Charles Howell III,104,60.87,336,552
45,47,Scott Stallings,96,60.86,339,557
46,48,Danny Lee,88,60.81,329,541
47,44,Hideki Matsuyama,75,60.8,242,398
48,49,Henrik Stenson,60,60.67,162,267
49,50,Nate Lashley,51,60.59,163,269
50,40,Paul Casey,74,60.58,249,411
51,52,Bill Haas,76,60.34,283,469
52,53,Kevin Kisner,89,60.29,293,486
53,54,Wesley Bryan,69,60.17,281,467
54,55,Matt Jones,70,60.16,225,374
55,56,Ryan Armour,109,60.13,368,612
56,57,Bud Cauley,55,60.12,205,341
57,58,Brandt Snedeker,84,60.08,310,516
T58,T59,Conrad Shindler,60,60.0,204,340
T58,T59,Beau Hossler,104,60.0,360,600
60,61,Chris Stroud,81,59.96,292,487
61,62,Graeme McDowell,67,59.95,226,377
62,63,Vaughn Taylor,83,59.91,281,469
63,51,Bryson DeChambeau,93,59.84,304,508
T64,T64,Denny McCarthy,71,59.83,216,361
T64,T64,Jonathan Randolph,71,59.83,277,463
T64,T64,Lucas Glover,65,59.83,216,361
67,67,James Hahn,85,59.62,279,468
68,68,Rob Oppenheim,74,59.55,262,440
69,69,Talor Gooch,78,59.53,281,472
70,70,Russell Knox,94,59.43,293,493
71,71,Chad Campbell,87,59.39,291,490
72,72,Brian Stuard,103,59.23,340,574
73,T73,Martin Laird,73,59.15,236,399
74,76,Jimmy Walker,81,59.09,312,528
75,75,Marc Leishman,93,59.07,319,540
76,77,Daniel Berger,81,58.94,267,453
77,78,Kelly Kraft,94,58.93,353,599
78,79,Dominic Bozzelli,65,58.86,269,457
79,80,Fabián Gómez,88,58.85,286,486
80,81,Hunter Mahan,67,58.81,207,352
81,82,Ben Martin,64,58.8,244,415
82,95,Francesco Molinari,73,58.67,220,375
83,83,Brice Garnett,99,58.63,333,568
84,84,Jhonattan Vegas,92,58.6,327,558
85,85,Adam Hadwin,92,58.59,300,512
86,86,David Lingmerth,82,58.57,304,519
T87,T87,Whee Kim,93,58.56,342,584
T87,T87,Roberto Díaz,72,58.56,260,444
89,89,Shawn Stefani,76,58.43,253,433
90,90,Luke List,98,58.41,316,541
91,T73,Phil Mickelson,90,58.36,321,550
92,91,Anirban Lahiri,82,58.35,304,521
93,92,Jonathan Byrd,70,58.31,207,355
94,93,Jason Dufner,71,58.25,240,412
95,94,Xinjun Zhang,81,58.2,259,445
96,96,Harold Varner III,91,58.14,300,516
97,97,Tyrone Van Aswegen,101,58.08,338,582
98,114,Billy Horschel,86,58.03,242,417
99,98,Rafa Cabrera Bello,75,57.98,218,376
100,99,John Huh,94,57.94,321,554
101,101,Charl Schwartzel,65,57.88,235,406
102,102,Peter Uihlein,83,57.87,261,451
103,103,Harris English,84,57.86,298,515
104,106,Xander Schauffele,96,57.81,333,576
105,T104,Branden Grace,67,57.78,219,379
106,107,Martin Piller,79,57.74,317,549
T107,T108,Troy Merritt,89,57.6,307,533
T107,T108,Matt Atkins,56,57.6,197,342
109,100,Patrick Cantlay,87,57.58,243,422
110,110,Sean O'Hair,67,57.56,236,410
111,111,J.T. Poston,73,57.53,233,405
112,112,Corey Conners,97,57.52,287,499
113,113,"Ted Potter, Jr.",87,57.51,333,579
114,115,Blayne Barber,69,57.46,208,362
115,116,Ricky Barnes,65,57.4,221,385
116,117,Ben Silverman,90,57.36,304,530
117,118,Cameron Percy,56,57.3,157,274
118,119,Si Woo Kim,108,57.23,388,678
T119,120,Patrick Rodgers,97,57.22,329,575
T119,T122,Tony Finau,105,57.22,301,526
121,T104,Jon Rahm,71,57.18,203,355
122,121,J.B. Holmes,77,57.14,268,469
123,T122,Ian Poulter,73,57.11,217,380
124,125,Retief Goosen,60,56.98,204,358
125,126,Andrew Landry,82,56.97,282,495
T126,T127,Brian Harman,94,56.95,299,525
T126,T127,Ollie Schniederjans,91,56.95,332,583
128,129,C.T. Pan,104,56.89,289,508
129,130,Robert Garrigus,80,56.84,270,475
130,131,Jonas Blixt,67,56.83,237,417
131,T134,Keegan Bradley,98,56.78,293,516
132,132,Kevin Tway,110,56.77,352,620
133,133,Stephan Jaeger,81,56.76,252,444
134,T134,Rod Pampling,62,56.67,221,390
135,T122,Bubba Watson,90,56.64,256,452
136,136,Chesson Hadley,103,56.6,326,576
137,137,Keith Mitchell,99,56.55,302,534
138,138,Richy Werenski,98,56.49,309,547
139,139,Sam Ryder,82,56.47,227,402
140,140,Brett Stegmaier,67,56.44,184,326
T141,141,Kevin Chappell,77,56.28,251,446
T141,145,Aaron Wise,90,56.28,278,494
143,142,Charley Hoffman,87,56.22,271,482
144,144,Michael Kim,74,56.05,278,496
145,146,Scott Piercy,84,55.96,244,436
146,147,Brandon Harkins,101,55.88,328,587
147,148,Sam Saunders,80,55.79,260,466
T148,143,Tommy Fleetwood,73,55.77,203,364
T148,149,Michael Thompson,62,55.77,174,312
T150,T150,Lanto Griffin,80,55.76,242,434
T150,T150,J.J. Spaun,85,55.76,242,434
152,152,Stewart Cink,87,55.69,274,492
153,153,Nick Watney,94,55.68,289,519
154,154,David Hearn,66,55.65,187,336
155,155,Pat Perez,82,55.63,242,435
156,156,Bronson Burgoon,69,55.61,218,392
157,157,Kiradech Aphibarnrat,51,55.59,174,313
158,158,Ryan Blaum,81,55.46,264,476
159,159,Ryan Palmer,69,55.38,216,390
T160,161,Patton Kizzire,92,55.24,274,496
T160,162,Cameron Tringale,67,55.24,216,391
162,163,Jason Kokrak,99,55.11,291,528
163,164,Derek Fathauer,84,54.99,314,571
164,165,Billy Hurley III,70,54.93,234,426
165,166,Martin Flores,92,54.89,286,521
166,167,Ethan Tracy,72,54.88,236,430
167,168,Daniel Summerhays,51,54.86,192,350
168,169,Adam Scott,78,54.85,226,412
169,160,Kyle Stanley,93,54.8,251,458
170,170,Scott Brown,102,54.79,332,606
171,171,J.J. Henry,81,54.77,218,398
172,172,Adam Schenk,86,54.55,252,462
173,180,Gary Woodland,96,54.45,263,483
174,173,Trey Mullinax,75,54.42,234,430
175,174,Russell Henley,77,54.33,226,416
176,175,Grayson Murray,72,54.32,264,486
177,176,Mackenzie Hughes,80,54.19,252,465
178,177,Kyle Thompson,50,54.02,168,311
179,178,Hudson Swafford,73,54.01,202,374
180,179,Nicholas Lindheim,77,53.9,214,397
181,181,Shane Lowry,64,53.48,169,316
182,182,D.A. Points,63,53.32,233,437
183,183,Cody Gribble,71,53.3,234,439
184,184,Robert Streb,78,52.89,247,467
185,185,Greg Chalmers,56,52.85,213,403
186,186,Tyler Duncan,97,52.76,268,508
187,187,Brendan Steele,74,52.56,195,371
188,188,Matt Every,79,52.51,251,478
189,189,Sung Kang,89,52.4,295,563
190,190,Tom Lovelady,87,52.08,250,480
191,191,Zecheng Dou,53,51.56,165,320
192,192,Satoshi Kodaira,51,51.02,175,343
193,194,Andrew Yun,51,44.01,136,309
