RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Brooks Koepka,45,12.65,569.4,-224.96,380.49,
2,3.0,Rory McIlroy,48,9.63,462.04,-166.65,372.02,
3,2.0,Dustin Johnson,47,8.93,419.78,-244.02,301.38,
4,4.0,Justin Rose,49,7.75,379.98,-253.44,172.16,
5,5.0,Justin Thomas,49,7.3,357.91,-253.99,233.92,
6,6.0,Jon Rahm,51,6.95,354.57,-200.46,232.47,
7,7.0,Patrick Cantlay,46,6.82,313.74,-99.72,232.43,
8,8.0,Tiger Woods,40,6.58,263.18,-103.86,153.05,
9,11.0,Xander Schauffele,52,6.32,328.89,-169.49,213.24,
10,9.0,Bryson DeChambeau,52,6.25,325.11,-179.78,145.69,
11,10.0,Francesco Molinari,45,6.13,275.86,-169.26,145.31,
12,12.0,Tony Finau,52,5.78,300.51,-142.26,155.75,
13,13.0,Tommy Fleetwood,52,5.55,288.6,-165.88,170.5,
14,14.0,Webb Simpson,50,5.49,274.55,-122.95,174.43,
15,15.0,Adam Scott,41,5.48,224.65,-67.13,178.51,
16,16.0,Patrick Reed,52,5.23,271.71,-146.69,161.68,
17,17.0,Gary Woodland,52,5.2,270.39,-100.54,197.35,
18,21.0,Paul Casey,49,5.12,250.94,-134.65,199.3,
19,18.0,Rickie Fowler,47,5.06,237.6,-172.67,159.51,
20,19.0,Matt Kuchar,52,5.01,260.55,-128.53,223.12,
21,20.0,Shane Lowry,52,4.83,251.15,-64.92,221.47,
22,22.0,Louis Oosthuizen,46,4.12,189.36,-90.48,123.3,
23,23.0,Jason Day,44,3.97,174.46,-135.51,87.75,
24,24.0,Marc Leishman,51,3.89,198.4,-148.11,122.39,
25,25.0,Bubba Watson,43,3.79,162.99,-116.57,69.88,
26,26.0,Hideki Matsuyama,52,3.7,192.34,-123.15,144.42,
27,28.0,Kevin Kisner,52,3.69,192.03,-100.51,146.57,
28,29.0,Chez Reavie,52,3.66,190.16,-67.7,155.26,
29,30.0,Matt Fitzpatrick,52,3.63,188.71,-89.28,134.11,
30,27.0,Matt Wallace,52,3.55,184.36,-72.45,122.23,
31,34.0,Henrik Stenson,43,3.21,138.05,-94.07,79.64,
32,31.0,Ian Poulter,52,3.13,162.87,-97.22,115.98,
33,33.0,Jordan Spieth,50,3.07,153.38,-167.03,99.99,
34,32.0,Billy Horschel,52,3.05,158.45,-77.39,82.76,
35,35.0,Kevin Na,48,3.04,145.96,-69.93,89.88,
36,36.0,Keegan Bradley,52,2.98,155.09,-89.68,69.16,
37,37.0,Abraham Ancer,52,2.98,154.88,-51.64,97.14,
38,40.0,Brandt Snedeker,52,2.95,153.46,-54.03,104.31,
39,38.0,Phil Mickelson,47,2.94,138.24,-103.06,87.93,
40,39.0,Rafa Cabrera Bello,52,2.89,150.29,-113.65,83.61,
41,41.0,Bernd Wiesberger,40,2.86,114.23,-30.49,107.99,
42,45.0,Eddie Pepperell,47,2.78,130.83,-72.26,64.62,
43,42.0,Sergio Garcia,51,2.78,141.92,-110.33,80.31,
44,43.0,Andrew Putnam,52,2.76,143.35,-50.62,98.56,
45,44.0,Tyrrell Hatton,52,2.72,141.36,-110.13,67.69,
46,46.0,Cameron Smith,52,2.66,138.44,-95.98,52.27,
47,47.0,Alex Noren,49,2.57,125.83,-116.87,35.62,
48,48.0,Jim Furyk,40,2.54,101.74,-24.06,94.31,
49,49.0,Byeong Hun An,52,2.53,131.57,-65.76,76.32,
50,50.0,Haotong Li,52,2.5,129.82,-85.53,73.95,
