RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Rory McIlroy,64,319.7,39000,122
2,2,Trey Mullinax,75,318.3,43929,138
3,4,Tom Lovelady,87,315.9,51168,162
4,3,Tony Finau,105,315.1,56721,180
5,5,Luke List,98,314.6,54746,174
6,6,Dustin Johnson,77,314.0,43953,140
7,9,Gary Woodland,96,313.5,52042,166
8,7,Brooks Koepka,64,313.4,36350,116
9,8,Bubba Watson,90,313.1,49470,158
10,10,Keith Mitchell,99,312.6,60646,194
11,11,Justin Thomas,91,311.8,46153,148
12,13,Brendan Steele,74,310.3,39103,126
13,14,Kevin Tway,110,310.1,59535,192
14,12,Jason Day,75,310.0,37195,120
15,15,Jason Kokrak,99,309.5,61277,198
16,16,Jon Rahm,71,308.9,38298,124
17,17,Kevin Chappell,77,308.6,45670,148
18,18,Harold Varner III,91,308.2,49935,162
T19,T19,Byeong Hun An,86,307.9,49257,160
T19,T19,Robert Garrigus,80,307.9,46803,152
21,21,Nick Watney,94,307.5,55353,180
22,22,Grayson Murray,72,307.3,39331,128
23,23,Tommy Fleetwood,73,306.9,38059,124
24,25,J.B. Holmes,77,306.1,43466,142
25,24,Bryson DeChambeau,93,305.7,56854,186
26,26,Adam Schenk,86,305.5,48881,160
27,27,Ryan Palmer,69,305.2,38459,126
28,28,Xander Schauffele,96,304.9,49388,162
29,29,Adam Scott,78,304.6,42649,140
30,30,Matt Jones,70,304.5,37757,124
31,31,Paul Casey,74,304.3,35909,118
T32,32,Jhonattan Vegas,92,303.6,46756,154
T32,T33,Tiger Woods,68,303.6,41286,136
T34,T39,Justin Rose,70,303.5,37630,124
T34,T33,Patrick Rodgers,97,303.5,51601,170
36,35,Corey Conners,97,303.3,56421,186
37,36,Jamie Lovemark,92,303.2,48514,160
T38,T37,Brandon Harkins,101,303.1,57591,190
T38,T39,Patrick Cantlay,87,303.1,46078,152
40,T37,Aaron Wise,90,302.9,53314,176
T41,T41,Sam Saunders,80,302.8,44817,148
T41,T41,Bronson Burgoon,69,302.8,41785,138
T41,T41,Hudson Swafford,73,302.8,33307,110
44,44,Sean O'Hair,67,302.7,38139,126
45,45,Seamus Power,86,302.6,47212,156
46,46,Lanto Griffin,80,302.5,44773,148
47,47,Harris English,84,302.4,47182,156
48,48,Peter Uihlein,83,302.2,42313,140
49,49,Hideki Matsuyama,75,302.0,38657,128
T50,T50,Ollie Schniederjans,91,301.4,47622,158
T50,T50,Matt Atkins,56,301.4,31346,104
T52,T52,Cody Gribble,71,301.0,34319,114
T52,T52,Francesco Molinari,73,301.0,39730,132
54,54,Charles Howell III,104,300.9,52953,176
T55,T55,Shane Lowry,64,300.7,33674,112
T55,T55,J.T. Poston,73,300.7,42698,142
57,T57,Phil Mickelson,90,300.3,49848,166
T58,T57,Martin Flores,92,300.0,49195,164
T58,T57,Beau Hossler,104,300.0,62394,208
T58,T57,Chesson Hadley,103,300.0,59397,198
T61,T64,Rickie Fowler,74,299.8,44363,148
T61,T62,Jordan Spieth,81,299.8,45563,152
T61,T62,Louis Oosthuizen,62,299.8,32383,108
64,T64,Scott Stallings,96,299.7,51556,172
T65,66,Shawn Stefani,76,299.6,44338,148
T65,61,Keegan Bradley,98,299.6,50932,170
T67,T67,Charl Schwartzel,65,299.5,27557,92
T67,T67,Charley Hoffman,87,299.5,47912,160
T69,T69,Alex Noren,67,299.2,33506,112
T69,T69,Stephan Jaeger,81,299.2,44877,150
T71,T71,Ethan Tracy,72,299.0,40662,136
T71,T71,Martin Laird,73,299.0,38865,130
T71,T71,Jimmy Walker,81,299.0,46051,154
T74,T75,Branden Grace,67,298.9,31089,104
T74,T75,Talor Gooch,78,298.9,43039,144
76,77,Tyrrell Hatton,58,298.8,29878,100
T77,T78,Xinjun Zhang,81,298.7,42417,142
T77,T78,James Hahn,85,298.7,44212,148
T77,80,Patton Kizzire,92,298.7,53174,178
80,T81,Marc Leishman,93,298.5,48952,164
81,T81,Cameron Smith,85,298.4,41770,140
82,83,J.J. Spaun,85,298.2,47108,158
T83,84,Stewart Cink,87,298.1,47107,158
T83,T71,Patrick Reed,94,298.1,46509,156
T85,T85,Lucas Glover,65,297.7,29171,98
T85,T85,Daniel Berger,81,297.7,40490,136
87,87,Sam Ryder,82,297.3,47568,160
88,T88,Jason Dufner,71,297.1,35652,120
89,90,Dominic Bozzelli,65,297.0,38614,130
90,91,Hunter Mahan,67,296.9,37415,126
91,92,Brice Garnett,99,296.7,56382,190
92,93,Scott Piercy,84,296.6,45088,152
93,94,Michael Thompson,62,296.4,34387,116
T94,T95,Bill Haas,76,296.2,41474,140
T94,T95,Retief Goosen,60,296.2,30806,104
96,97,Abraham Ancer,98,296.1,56850,192
97,98,Joel Dahmen,93,295.8,50290,170
98,T101,Kyle Stanley,93,295.7,44940,152
99,100,Cameron Percy,56,295.6,29559,100
T100,T101,Brett Stegmaier,67,295.4,36034,122
T100,99,Billy Horschel,86,295.4,48445,164
T100,T101,Bud Cauley,55,295.4,26582,90
T100,T101,Troy Merritt,89,295.4,50222,170
T100,T101,Denny McCarthy,71,295.4,37224,126
105,106,Aaron Baddeley,84,295.3,46068,156
106,107,Emiliano Grillo,94,295.2,49588,168
T107,T108,Rafa Cabrera Bello,75,295.1,34232,116
T107,T108,Kevin Streelman,94,295.1,54307,184
109,110,Mackenzie Hughes,80,294.9,44824,152
T110,T111,Blayne Barber,69,294.7,39488,134
T110,T111,Kiradech Aphibarnrat,51,294.7,24757,84
112,113,Tyler Duncan,97,294.4,54752,186
113,114,Matt Every,79,294.2,44123,150
114,115,Anirban Lahiri,82,294.0,43507,148
115,116,Nate Lashley,51,293.9,27629,94
116,T117,Andrew Putnam,97,293.8,52295,178
117,T117,Webb Simpson,95,293.7,54042,184
T118,T119,Satoshi Kodaira,51,293.6,28190,96
T118,T119,Ian Poulter,73,293.6,32879,112
120,121,Nicholas Lindheim,77,293.5,40507,138
121,122,Graeme McDowell,67,293.2,32252,110
T122,T123,Brandt Snedeker,84,293.1,48064,164
T122,T123,Jonas Blixt,67,293.1,31072,106
T122,T123,Sung Kang,89,293.1,45143,154
125,126,Russell Henley,77,293.0,38678,132
T126,T127,C.T. Pan,104,292.7,52679,180
T126,T127,Nick Taylor,94,292.7,48009,164
T128,T129,Scott Brown,102,292.6,52663,180
T128,T129,Robert Streb,78,292.6,38628,132
T130,T131,Austin Cook,107,292.3,62543,214
T130,T131,Rory Sabbatini,91,292.3,52026,178
132,133,Martin Piller,79,292.2,45000,154
T133,T134,Brian Harman,94,291.9,47866,164
T133,T134,Zecheng Dou,53,291.9,26270,90
T135,T136,Richy Werenski,98,291.8,51355,176
T135,T136,J.J. Henry,81,291.8,43765,150
T137,T138,Jonathan Byrd,70,291.7,36168,124
T137,T138,Russell Knox,94,291.7,50170,172
139,140,Henrik Stenson,60,291.5,30319,104
