,name,owgr_points_current_avg,driving_dist_avg,owgr_points_next_avg,top_tens,sg_p_avg,driving_acc_pct,scrambling_pct,adj_scoring_avg,sg_ott_avg,sg_apr_avg,sg_arg_avg,rounds
98,Scott Stallings,1.05,299.7,0.95,2,-0.07,56.57,60.86,70.719,-0.008,0.373,-0.025,80
99,Martin Laird,1.04,299.0,0.74,3,0.282,63.22,59.15,70.839,-0.045,0.024,0.209,61
100,Bronson Burgoon,1.04,302.8,0.93,2,0.107,64.53,55.61,70.70100000000001,0.309,0.371,-0.307,57
101,Rory Sabbatini,1.02,292.3,1.95,1,0.059000000000000004,62.05,61.36,70.693,0.217,-0.152,0.23399999999999999,75
102,Harold Varner III,1.0,308.2,1.36,3,-0.024,59.02,58.14,70.971,0.204,-0.076,0.021,74
103,Denny McCarthy,0.97,295.4,1.02,1,0.449,63.45,59.83,70.861,0.011000000000000001,-0.34700000000000003,-0.019,49
104,Grayson Murray,0.94,307.3,0.48,2,-0.35,56.0,54.32,72.09100000000001,0.375,-0.34700000000000003,-0.015,59
105,Troy Merritt,0.94,295.4,1.37,3,0.077,62.93,57.6,70.888,0.138,0.086,-0.092,73
106,Bud Cauley,0.93,295.4,1.02,2,0.36700000000000005,60.81,60.12,71.35600000000001,-0.113,-0.032,0.239,41
107,Joel Dahmen,0.92,295.8,1.59,3,-0.27699999999999997,66.36,63.31,70.578,0.3,0.381,-0.004,71
108,Sam Saunders,0.91,302.8,0.49,4,0.094,60.14,55.79,70.794,0.35,-0.081,-0.138,67
109,Robert Streb,0.9,292.6,0.83,1,-0.081,54.11,52.89,71.905,-0.68,0.096,0.084,60
110,Sam Ryder,0.89,297.3,0.81,3,-0.349,66.91,56.47,70.914,0.203,0.39899999999999997,-0.099,70
111,Richy Werenski,0.88,291.8,0.67,2,-0.109,65.06,56.49,71.185,0.077,-0.16899999999999998,0.077,74
112,Trey Mullinax,0.86,318.3,0.61,3,0.07200000000000001,54.94,54.42,70.815,0.506,-0.442,-0.207,59
113,William McGirt,0.85,289.3,0.27,3,0.2,59.89,62.86,70.791,-0.306,0.091,0.19399999999999998,75
114,Graeme McDowell,0.85,293.2,1.43,1,0.478,64.92,59.95,71.001,0.124,0.046,0.049,46
115,Chris Stroud,0.82,289.8,0.8,1,0.053,62.24,59.96,71.628,-0.27699999999999997,-0.055999999999999994,-0.057999999999999996,58
116,Scott Brown,0.82,292.6,0.61,2,0.049,62.03,54.79,71.329,-0.265,-0.27,-0.175,81
117,Tom Hoge,0.81,291.4,0.48,3,-0.162,62.43,61.41,70.945,0.018000000000000002,0.297,-0.079,83
118,Michael Kim,0.79,289.9,0.34,1,0.259,54.89,56.05,71.66199999999999,-1.023,-0.213,-0.027000000000000003,54
119,Jim Furyk,0.77,280.5,2.54,2,0.389,69.91,62.58,70.342,-0.392,0.179,0.235,46
120,Chad Campbell,0.76,286.5,0.3,2,-0.45399999999999996,64.7,59.39,71.683,-0.042,-0.01,0.023,67
121,Ben Silverman,0.76,290.2,0.37,2,0.23800000000000002,65.56,57.36,71.281,0.069,-0.385,-0.128,76
122,Scott Piercy,0.75,296.6,1.97,2,-0.569,65.68,55.96,70.736,0.209,0.5529999999999999,0.09699999999999999,68
123,Brandon Harkins,0.73,303.1,0.39,3,0.225,54.79,55.88,70.721,0.18100000000000002,-0.006,-0.124,85
124,Brian Stuard,0.7,278.9,1.01,3,0.16399999999999998,71.44,59.23,71.038,-0.22699999999999998,0.099,0.026000000000000002,88
125,Vaughn Taylor,0.69,286.1,1.43,3,-0.08,67.51,59.91,70.692,-0.005,0.305,-0.002,70
126,John Huh,0.68,287.1,0.31,2,0.16699999999999998,63.83,57.94,70.718,-0.11,0.24,-0.047,82
127,Ryan Blaum,0.66,289.0,0.51,2,0.025,64.31,55.46,70.993,0.011000000000000001,-0.07400000000000001,0.005,72
128,Alex Cejka,0.66,286.7,0.27,2,0.009000000000000001,66.49,64.0,70.675,-0.024,-0.16899999999999998,0.495,60
129,Aaron Baddeley,0.65,295.3,0.82,1,-0.057,53.27,61.09,70.85,-0.345,0.11699999999999999,0.595,70
130,Nick Taylor,0.65,292.7,0.69,2,-0.312,60.94,61.83,71.26899999999999,0.049,0.011000000000000001,0.017,74
131,Harris English,0.64,302.4,0.54,2,0.222,58.99,57.86,71.16199999999999,-0.21899999999999997,-0.297,0.111,68
132,Adam Schenk,0.63,305.5,0.8,1,0.13,57.67,54.55,71.37,0.073,-0.262,-0.091,66
133,Mackenzie Hughes,0.62,294.9,0.86,1,-0.177,60.04,54.19,71.282,-0.068,0.353,-0.122,68
134,Robert Garrigus,0.6,307.9,0.2,1,-0.569,56.37,56.84,71.457,0.21,0.331,-0.18600000000000003,68
135,J.T. Poston,0.6,300.7,1.94,2,0.135,61.53,57.53,70.915,0.381,-0.373,-0.005,57
136,Martin Piller,0.6,292.2,0.19,2,0.11900000000000001,58.51,57.74,71.929,-0.248,-0.8109999999999999,-0.18600000000000003,67
137,Tom Lovelady,0.59,315.9,0.23,2,-0.049,54.73,52.08,71.252,0.379,-0.24,-0.27899999999999997,69
138,Ben Martin,0.58,289.6,0.16,1,0.11800000000000001,63.52,58.8,70.97399999999999,-0.142,0.11900000000000001,-0.096,57
139,Seamus Power,0.58,302.6,0.54,2,0.498,55.19,63.8,70.869,0.076,-0.392,-0.003,66
140,Tyler Duncan,0.56,294.4,0.43,2,-0.5660000000000001,66.74,52.76,71.04,0.273,0.47600000000000003,-0.166,81
141,Nicholas Lindheim,0.56,293.5,0.29,1,0.355,60.44,53.9,71.344,-0.258,-0.368,-0.052000000000000005,59
142,Shawn Stefani,0.54,299.6,0.61,1,-0.034,56.52,58.43,71.192,-0.09300000000000001,0.22,0.013000000000000001,60
