RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Rory McIlroy,66,1.992,1.367,0.602,0.022,48
2,2,Sergio Garcia,61,1.818,0.382,1.15,0.286,40
3,3,Jim Furyk,84,1.705,0.121,1.175,0.408,66
4,4,Hideki Matsuyama,82,1.545,0.325,1.022,0.198,64
5,5,Justin Rose,70,1.506,0.402,0.744,0.36,52
6,7,Adam Scott,68,1.5,0.725,0.61,0.166,56
7,6,Bubba Watson,76,1.402,0.967,0.324,0.111,56
8,8,Charl Schwartzel,64,1.286,0.55,0.315,0.421,54
9,9,Graham DeLaet,80,1.262,0.36,0.895,0.007,64
10,10,Dustin Johnson,58,1.249,0.73,0.533,-0.015,41
11,12,Henrik Stenson,56,1.162,0.65,0.575,-0.064,38
12,11,Matt Kuchar,91,1.117,0.21,0.527,0.38,76
13,13,Jason Dufner,57,1.098,0.316,0.59,0.192,42
14,14,Jason Day,54,1.073,0.495,0.176,0.402,33
15,15,Gary Woodland,93,1.049,0.581,0.381,0.087,73
16,16,Ryan Palmer,85,0.971,0.76,0.133,0.078,67
17,17,Kevin Chappell,100,0.97,0.386,0.526,0.058,87
18,19,Bill Haas,107,0.943,0.296,0.382,0.265,82
19,18,Russell Knox,92,0.938,0.221,0.502,0.215,83
20,20,Kevin Stadler,90,0.878,0.505,0.386,-0.012,65
21,21,Boo Weekley,73,0.875,0.732,0.044,0.099,56
22,24,Brooks Koepka,56,0.797,0.425,0.598,-0.226,42
23,25,Ryan Moore,86,0.794,0.253,0.499,0.041,62
24,22,Jimmy Walker,98,0.774,0.119,0.608,0.048,73
25,27,Marc Leishman,81,0.766,0.164,0.546,0.056,69
26,23,Zach Johnson,97,0.751,0.145,0.513,0.093,84
27,28,Keegan Bradley,89,0.74,0.43,0.5,-0.19,67
28,29,Paul Casey,56,0.725,-0.013,0.762,-0.024,44
29,30,Charles Howell III,106,0.717,0.498,0.017,0.201,95
30,31,Chad Campbell,57,0.709,0.056,0.641,0.011,46
31,32,Harris English,95,0.706,0.193,0.465,0.047,74
32,T33,Charley Hoffman,93,0.691,0.415,0.301,-0.026,76
33,35,Nick Watney,80,0.687,0.298,0.648,-0.258,56
34,36,Jason Kokrak,65,0.686,0.284,0.476,-0.074,61
35,38,Ernie Els,85,0.654,-0.016,0.141,0.529,63
36,T33,Kevin Na,94,0.638,-0.1,0.341,0.397,78
37,39,Phil Mickelson,71,0.634,0.201,0.166,0.266,50
38,26,Jordan Spieth,102,0.581,0.034,0.286,0.26,79
39,37,Webb Simpson,87,0.58,-0.027,0.333,0.275,74
40,41,Shawn Stefani,60,0.564,0.412,0.065,0.086,57
41,40,Cameron Tringale,111,0.56,0.008,0.322,0.23,98
42,42,Vijay Singh,83,0.554,0.167,0.126,0.261,76
T43,T43,Kyle Stanley,87,0.552,0.44,0.623,-0.511,72
T43,T43,Will Wilcox,51,0.552,0.487,0.203,-0.138,40
45,45,Lucas Glover,68,0.539,0.335,0.469,-0.265,47
46,46,George McNeill,79,0.528,-0.061,0.537,0.053,70
47,57,Billy Horschel,92,0.518,0.473,0.132,-0.087,69
48,47,Michael Putnam,106,0.517,0.111,0.469,-0.063,91
49,48,Lee Westwood,57,0.495,0.334,0.037,0.124,43
50,52,Chris Kirk,105,0.489,0.033,0.287,0.169,86
51,53,Rickie Fowler,91,0.48,0.264,0.213,0.003,62
52,50,J.B. Holmes,86,0.476,0.509,-0.317,0.283,77
53,55,Bo Van Pelt,83,0.431,0.048,0.468,-0.085,67
54,56,Seung-Yul Noh,92,0.427,-0.268,0.447,0.248,75
55,58,David Toms,64,0.405,0.083,0.203,0.12,54
56,59,Brian Harman,111,0.403,-0.014,0.296,0.121,101
57,60,Steven Bowditch,93,0.399,-0.002,0.094,0.307,78
58,61,Brendan Steele,89,0.398,0.237,0.222,-0.062,70
59,62,Carl Pettersson,91,0.397,0.294,0.096,0.006,85
