RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,David Toms,64,75.49,653,865
2,2,Tim Clark,75,74.02,775,1047
3,3,Justin Hicks,103,73.46,1013,1379
4,4,Jim Furyk,84,73.18,816,1115
5,5,Heath Slocum,71,72.41,698,964
6,6,Zach Johnson,97,70.51,949,1346
7,7,Billy Hurley III,86,70.44,846,1201
8,8,Ken Duke,80,70.18,765,1090
9,9,Ryan Moore,86,69.92,825,1180
10,10,Boo Weekley,73,69.57,702,1009
11,11,"Ted Potter, Jr.",68,69.56,658,946
12,12,Graeme McDowell,66,69.2,600,867
13,13,Jeff Maggert,54,68.83,519,754
14,14,Henrik Stenson,56,68.78,520,756
15,15,John Merrick,87,68.62,796,1160
16,16,Kevin Streelman,79,68.04,743,1092
17,18,Brendon de Jonge,109,67.87,1033,1522
18,20,Russell Knox,92,67.6,866,1281
19,21,David Hearn,97,67.48,913,1353
20,17,Matt Kuchar,91,67.37,830,1232
21,22,Brian Davis,93,67.23,872,1297
22,23,Nicholas Thompson,85,67.08,756,1127
23,19,Billy Horschel,92,67.04,846,1262
24,24,Mark Wilson,69,67.0,607,906
25,25,John Huh,87,66.87,775,1159
26,26,Scott Brown,100,66.55,931,1399
27,27,Jerry Kelly,80,66.49,740,1113
28,28,D.H. Lee,54,66.47,462,695
29,29,Ben Crane,81,66.4,749,1128
30,30,Daniel Summerhays,98,66.3,905,1365
T31,T31,Andrew Svoboda,77,66.14,711,1075
T31,T31,Brian Stuard,91,66.14,803,1214
33,33,William McGirt,96,65.94,883,1339
34,34,Y.E. Yang,79,65.41,711,1087
35,36,Chad Campbell,57,65.36,483,739
36,35,Hunter Mahan,88,65.1,774,1189
37,37,Danny Lee,84,65.05,726,1116
38,38,Justin Leonard,75,65.04,679,1044
39,39,Jason Bohn,81,64.95,732,1127
40,40,Spencer Levin,59,64.92,533,821
41,41,Kevin Chappell,100,64.9,869,1339
42,44,Brendon Todd,108,64.85,976,1505
43,42,Ben Curtis,77,64.8,659,1017
44,46,Will MacKenzie,82,64.5,736,1141
45,47,Derek Ernst,80,64.41,686,1065
46,48,J.J. Henry,91,64.39,781,1213
47,49,Ben Martin,80,64.34,718,1116
48,43,Kevin Na,94,64.32,842,1309
T49,T50,Kevin Stadler,90,64.28,799,1243
T49,T50,Hudson Swafford,75,64.28,637,991
51,45,John Senden,99,64.25,886,1379
52,52,K.J. Choi,80,64.22,716,1115
53,54,Shawn Stefani,60,64.17,539,840
54,55,Lucas Glover,68,64.02,589,920
55,56,John Peterson,62,64.0,535,836
56,58,Nick Watney,80,63.97,671,1049
57,59,Chris Stroud,88,63.93,787,1231
58,57,Cameron Tringale,111,63.87,988,1547
59,60,Jason Dufner,57,63.76,482,756
T60,T61,Brandt Snedeker,89,63.7,774,1215
T60,T61,Briny Baird,50,63.7,444,697
62,53,Russell Henley,92,63.67,822,1291
63,65,Roberto Castro,76,62.95,649,1031
64,68,Bill Haas,107,62.94,924,1468
65,T66,Bo Van Pelt,83,62.83,727,1157
66,64,Chris Kirk,105,62.78,916,1459
T67,T70,D.A. Points,75,62.56,640,1023
T67,T70,Luke Donald,57,62.56,488,780
69,72,Keegan Bradley,89,62.36,767,1230
70,69,Webb Simpson,87,62.24,732,1176
