RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Graeme McDowell,66,0.882,40.589,46
2,2,Aaron Baddeley,74,0.872,51.445,59
3,3,Greg Chalmers,85,0.856,62.482,73
4,4,Matt Every,85,0.733,47.669,65
5,5,Freddie Jacobson,91,0.704,56.992,81
6,6,Brendon Todd,108,0.664,60.431,91
7,8,Luke Donald,57,0.517,22.733,44
8,9,Morgan Hoffmann,103,0.506,45.523,90
9,10,Justin Leonard,75,0.496,30.751,62
10,12,Daniel Summerhays,98,0.492,43.275,88
11,13,Stuart Appleby,92,0.487,40.874,84
12,7,Jimmy Walker,98,0.479,34.989,73
13,11,John Senden,99,0.476,38.587,81
14,14,Michael Thompson,74,0.466,27.951,60
15,17,Matt Kuchar,91,0.457,34.717,76
16,15,Richard Lee,80,0.446,27.183,61
17,16,Chad Collins,78,0.438,26.719,61
18,18,Sangmoon Bae,76,0.418,27.179,65
19,19,Ben Curtis,77,0.4,25.623,64
20,20,Jordan Spieth,102,0.399,31.52,79
21,21,Kevin Kisner,85,0.388,27.176,70
22,27,Chris Kirk,105,0.374,32.127,86
23,T23,Andres Romero,81,0.353,25.399,72
24,25,Retief Goosen,94,0.352,27.461,78
25,26,Andrew Loupe,65,0.35,17.494,50
T26,28,Russell Henley,92,0.332,24.92,75
T26,29,K.J. Choi,80,0.332,22.255,67
28,30,Brandt Snedeker,89,0.326,21.541,66
29,56,Jason Day,54,0.317,10.451,33
T30,31,David Hearn,97,0.315,25.838,82
T30,22,Kevin Na,94,0.315,24.589,78
32,32,William McGirt,96,0.314,26.367,84
33,33,Jonas Blixt,64,0.303,13.028,43
34,T23,Webb Simpson,87,0.3,22.203,74
35,50,Ryan Palmer,85,0.295,19.733,67
36,35,Ben Martin,80,0.291,18.338,63
37,41,Rickie Fowler,91,0.29,17.976,62
T38,T37,Brian Stuard,91,0.283,20.973,74
T38,T37,Paul Casey,56,0.283,12.446,44
40,39,Erik Compton,88,0.282,21.133,75
41,T45,Rory McIlroy,66,0.274,13.15,48
42,40,George McNeill,79,0.271,18.955,70
T43,T42,Brian Gay,81,0.268,16.901,63
T43,T42,Scott Langley,95,0.268,21.185,79
45,44,Charley Hoffman,93,0.266,20.191,76
46,T45,Mike Weir,69,0.256,13.559,53
47,47,Keegan Bradley,89,0.254,17.003,67
48,48,Pat Perez,84,0.251,18.859,75
T49,49,Bryce Molder,77,0.249,15.929,64
T49,55,Patrick Reed,92,0.249,18.44,74
51,52,Jerry Kelly,80,0.239,15.752,66
52,T53,Phil Mickelson,71,0.234,11.722,50
53,57,Jason Kokrak,65,0.222,13.532,61
T54,62,Billy Horschel,92,0.22,15.21,69
T54,36,Adam Scott,68,0.22,12.309,56
56,58,Scott Brown,100,0.211,17.502,83
57,59,Hunter Mahan,88,0.207,14.888,72
58,60,Tim Wilkinson,86,0.205,14.569,71
59,61,Luke Guthrie,85,0.19,14.457,76
60,63,Chris Stroud,88,0.182,13.118,72
61,51,Sergio Garcia,61,0.167,6.662,40
62,64,Brooks Koepka,56,0.162,6.783,42
63,65,Ricky Barnes,92,0.157,12.237,78
64,66,Will MacKenzie,82,0.154,11.273,73
65,67,Lee Westwood,57,0.151,6.509,43
66,T53,Bill Haas,107,0.147,12.063,82
67,68,Brian Davis,93,0.145,11.779,81
68,69,Matt Jones,83,0.142,8.511,60
69,70,Danny Lee,84,0.141,9.737,69
70,71,Ben Crane,81,0.138,10.726,78
71,72,Jason Bohn,81,0.126,9.201,73
72,74,James Driscoll,71,0.123,7.137,58
73,75,Brendan Steele,89,0.121,8.462,70
74,76,Robert Streb,75,0.119,7.609,64
75,77,Brian Harman,111,0.113,11.399,101
76,T78,Charlie Wi,72,0.112,7.308,65
77,80,Brice Garnett,92,0.109,8.475,78
78,T78,Cameron Tringale,111,0.107,10.507,98
79,73,Zach Johnson,97,0.106,8.889,84
80,82,Ryo Ishikawa,75,0.092,5.682,62
81,81,Jim Furyk,84,0.091,6.024,66
T82,T83,Sean O'Hair,77,0.082,5.51,67
T82,T83,Dustin Johnson,58,0.082,3.362,41
84,85,Justin Hicks,103,0.069,6.188,90
85,86,Ian Poulter,57,0.067,2.759,41
T86,T87,David Toms,64,0.055,2.97,54
T86,T87,Charl Schwartzel,64,0.055,2.994,54
88,89,Johnson Wagner,69,0.05,2.927,58
89,90,Robert Garrigus,80,0.047,3.439,73
90,91,Ryan Moore,86,0.042,2.629,62
91,92,Chesson Hadley,84,0.041,2.884,71
92,93,Billy Hurley III,86,0.039,2.815,72
93,94,Charles Howell III,106,0.037,3.549,95
94,95,Tim Clark,75,0.025,1.538,62
T95,T96,D.H. Lee,54,0.024,1.062,45
T95,T96,Troy Merritt,62,0.024,1.325,55
97,98,Tommy Gainey,73,0.019,1.14,60
T98,T99,Tyrone Van Aswegen,79,0.017,1.074,65
