RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Chad Campbell,57,72.43,691,954,-0.2
2,2,Justin Hicks,103,71.44,1273,1782,-0.23
3,3,Graham DeLaet,80,70.68,1005,1422,-0.26
4,4,Billy Horschel,92,70.43,1141,1620,-0.26
5,5,J.J. Henry,91,69.6,1090,1566,-0.2
6,6,Rory McIlroy,66,69.44,800,1152,-0.36
7,7,Jhonattan Vegas,77,69.11,933,1350,-0.23
8,8,Henrik Stenson,56,69.03,671,972,-0.28
9,10,Kevin Stadler,90,68.91,1104,1602,-0.26
10,11,Adam Scott,68,68.79,842,1224,-0.32
11,13,Hudson Swafford,75,68.78,879,1278,-0.23
12,15,Jim Furyk,84,68.75,990,1440,-0.24
13,14,David Toms,64,68.73,767,1116,-0.25
14,12,Sergio Garcia,61,68.68,717,1044,-0.28
15,9,Bill Haas,107,68.62,1297,1890,-0.26
16,16,Bo Van Pelt,83,68.61,1025,1494,-0.24
17,17,Harris English,95,68.36,1132,1656,-0.28
18,19,Andrew Svoboda,77,68.11,944,1386,-0.24
19,20,John Merrick,87,68.07,1017,1494,-0.24
20,21,Boo Weekley,73,68.06,882,1296,-0.19
21,22,Dustin Johnson,58,68.03,698,1026,-0.32
22,23,Russell Knox,92,68.0,1126,1656,-0.24
23,24,Ryan Moore,86,67.99,1028,1512,-0.28
24,26,Bubba Watson,76,67.96,893,1314,-0.32
25,18,John Senden,99,67.85,1209,1782,-0.26
26,27,Charles Howell III,106,67.66,1291,1908,-0.27
27,T28,Robert Allenby,83,67.63,986,1458,-0.2
T28,25,Jimmy Walker,98,67.59,1168,1728,-0.31
T28,30,Kevin Chappell,100,67.59,1168,1728,-0.28
30,32,Bud Cauley,56,67.46,680,1008,-0.23
31,T28,Zach Johnson,97,67.42,1165,1728,-0.27
32,33,Nick Watney,80,67.33,909,1350,-0.25
33,34,Heath Slocum,71,67.31,836,1242,-0.21
34,36,Ken Duke,80,67.17,943,1404,-0.22
35,38,Charley Hoffman,93,67.08,1123,1674,-0.29
36,40,Michael Putnam,106,67.05,1231,1836,-0.23
37,41,Lucas Glover,68,67.0,796,1188,-0.21
38,42,Seung-Yul Noh,92,66.97,1109,1656,-0.25
39,43,Camilo Villegas,95,66.96,1145,1710,-0.28
40,39,Matt Kuchar,91,66.92,1060,1584,-0.28
41,48,Justin Rose,70,66.91,819,1224,-0.3
T42,T45,Daniel Summerhays,98,66.89,1180,1764,-0.27
T42,T45,Will Wilcox,51,66.89,590,882,-0.24
44,47,Kyle Stanley,87,66.87,999,1494,-0.2
45,37,Cameron Tringale,111,66.77,1334,1998,-0.25
T46,T49,Keegan Bradley,89,66.67,1056,1584,-0.29
T46,T49,Nicholas Thompson,85,66.67,972,1458,-0.21
T46,35,Ryan Palmer,85,66.67,1020,1530,-0.3
T46,31,Hunter Mahan,88,66.67,1020,1530,-0.25
T46,T49,Carl Pettersson,91,66.67,1092,1638,-0.25
51,44,Gary Woodland,93,66.55,1102,1656,-0.27
52,52,Martin Flores,85,66.54,1018,1530,-0.24
53,53,Brendan Steele,89,66.47,1017,1530,-0.27
54,54,Louis Oosthuizen,50,66.43,550,828,-0.23
T55,T55,David Hearn,97,66.38,1159,1746,-0.25
T55,T55,Jim Herman,62,66.38,693,1044,-0.23
57,57,Stewart Cink,91,66.36,1087,1638,-0.25
58,58,Martin Laird,66,66.31,740,1116,-0.26
59,59,Jason Dufner,57,66.26,644,972,-0.26
60,60,Shawn Stefani,60,66.2,715,1080,-0.25
61,61,George McNeill,79,66.17,941,1422,-0.28
62,62,Ben Martin,80,66.04,951,1440,-0.27
63,63,Billy Hurley III,86,65.89,1020,1548,-0.23
64,64,Jeff Overton,80,65.79,900,1368,-0.26
T65,T65,Graeme McDowell,66,65.77,734,1116,-0.28
T65,T65,Paul Casey,56,65.77,663,1008,-0.29
67,68,Jeff Maggert,54,65.74,639,972,-0.2
68,69,Michael Thompson,74,65.69,875,1332,-0.27
69,70,Robert Streb,75,65.65,839,1278,-0.27
70,71,Will MacKenzie,82,65.58,968,1476,-0.29
T71,T72,Jerry Kelly,80,65.56,944,1440,-0.28
T71,T72,John Peterson,62,65.56,708,1080,-0.21
73,74,Vijay Singh,83,65.39,977,1494,-0.22
T74,T75,Rory Sabbatini,82,65.38,918,1404,-0.25
T74,T75,Jason Kokrak,65,65.38,765,1170,-0.3
76,77,Kevin Kisner,85,65.29,999,1530,-0.27
T77,67,Webb Simpson,87,65.28,987,1512,-0.27
T77,78,Trevor Immelman,84,65.28,940,1440,-0.22
79,79,Phil Mickelson,71,65.26,834,1278,-0.29
T80,T80,Chris Stroud,88,65.21,1033,1584,-0.29
T80,T80,Marc Leishman,81,65.21,939,1440,-0.29
82,82,Charlie Beljan,76,65.2,845,1296,-0.27
83,83,Brice Garnett,92,65.15,1032,1584,-0.25
84,84,Robert Garrigus,80,65.14,938,1440,-0.29
85,85,"Ted Potter, Jr.",68,65.11,797,1224,-0.22
86,86,Josh Teater,90,65.09,1031,1584,-0.24
T87,T87,Brad Fritsch,50,65.05,562,864,-0.26
T87,T87,Troy Merritt,62,65.05,726,1116,-0.27
89,T89,Scott Brown,100,65.0,1170,1800,-0.27
T90,T92,Ángel Cabrera,69,64.98,807,1242,-0.26
T90,T92,Brooks Koepka,56,64.98,655,1008,-0.31
T92,T94,Ricky Barnes,92,64.96,1029,1584,-0.26
T92,T94,Ryo Ishikawa,75,64.96,877,1350,-0.31
94,96,Jamie Lovemark,64,64.91,701,1080,-0.26
95,97,Jonathan Byrd,76,64.89,841,1296,-0.25
96,99,John Rollins,84,64.86,934,1440,-0.21
97,100,Jason Bohn,81,64.75,944,1458,-0.26
98,98,Kevin Na,94,64.72,1095,1692,-0.29
99,T89,Martin Kaymer,65,64.58,744,1152,-0.29
T100,91,Geoff Ogilvy,84,64.51,929,1440,-0.23
T100,101,Davis Love III,74,64.51,836,1296,-0.25
T100,103,Rickie Fowler,91,64.51,987,1530,-0.3
103,102,Brendon de Jonge,109,64.48,1265,1962,-0.25
104,104,Danny Lee,84,64.44,928,1440,-0.27
105,105,William McGirt,96,64.41,1113,1728,-0.27
106,T106,John Huh,87,64.39,962,1494,-0.23
T107,T108,Kevin Tway,64,64.35,695,1080,-0.2
T107,T108,Pat Perez,84,64.35,973,1512,-0.26
109,110,Spencer Levin,59,64.31,683,1062,-0.24
110,111,Tim Clark,75,64.3,868,1350,-0.25
111,112,Brian Harman,111,64.26,1284,1998,-0.28
112,114,Wes Roach,67,64.2,728,1134,-0.26
113,116,Tyrone Van Aswegen,79,64.17,901,1404,-0.26
114,117,Scott Langley,95,64.16,1074,1674,-0.27
115,119,Johnson Wagner,69,64.1,750,1170,-0.23
116,115,Hideki Matsuyama,82,64.03,922,1440,-0.28
117,120,Tommy Gainey,73,64.01,795,1242,-0.27
118,T106,Jason Day,54,64.0,553,864,-0.28
119,113,Brendon Todd,108,63.99,1244,1944,-0.27
120,121,James Hahn,82,63.96,921,1440,-0.23
121,122,Bryce Molder,77,63.93,840,1314,-0.26
122,123,Brian Stuard,91,63.86,1000,1566,-0.28
123,124,Lee Westwood,57,63.69,642,1008,-0.29
T124,125,Retief Goosen,94,63.64,1031,1620,-0.25
T124,118,Patrick Reed,92,63.64,1031,1620,-0.28
T126,T126,Luke Guthrie,85,63.53,972,1530,-0.29
T126,T126,Charl Schwartzel,64,63.53,709,1116,-0.31
128,128,Derek Ernst,80,63.52,869,1368,-0.22
129,139,Chris Kirk,105,63.46,1188,1872,-0.28
T130,T129,Briny Baird,50,63.44,571,900,-0.22
T130,T129,Ben Crane,81,63.44,925,1458,-0.25
132,131,Sean O'Hair,77,63.42,879,1386,-0.25
133,132,Steven Bowditch,93,63.38,1061,1674,-0.26
134,133,Matt Every,85,63.33,969,1530,-0.27
135,134,David Lingmerth,80,63.3,866,1368,-0.25
136,135,Brandt Snedeker,89,63.28,991,1566,-0.28
T137,T136,Matt Jones,83,63.25,945,1494,-0.3
T137,T136,Kevin Streelman,79,63.25,888,1404,-0.28
