RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Rory McIlroy,66,68.827,4433,- 28.062,64
2,2,Sergio Garcia,61,68.95,4024,- 24.910,58
3,4,Jim Furyk,84,69.2,5583,- 46.963,80
4,3,Adam Scott,68,69.205,4725,- 19.082,68
5,5,Matt Kuchar,91,69.416,6140,- 31.365,88
6,6,Dustin Johnson,58,69.546,3983,- 18.878,57
7,10,Justin Rose,70,69.624,4772,- 37.571,68
8,12,Jason Day,54,69.626,3369,- 26.933,48
9,7,Graeme McDowell,66,69.642,4353,- 35.204,62
10,8,Charl Schwartzel,64,69.671,4344,- 24.368,62
11,9,Bubba Watson,76,69.712,5108,- 19.027,73
12,11,Jimmy Walker,98,69.789,6718,- 18.289,96
13,14,Graham DeLaet,80,69.943,5545,- 19.480,79
14,13,Jordan Spieth,102,69.946,6893,- 38.311,98
15,20,Ryan Palmer,85,69.993,5955,- 5.559,85
16,15,Kevin Na,94,69.996,6589,- 9.348,94
17,17,Keegan Bradley,89,70.031,6181,- 18.270,88
18,18,Brendon Todd,108,70.049,7587,- 21.683,108
19,19,Brooks Koepka,56,70.052,3933,- 10.062,56
20,16,Hideki Matsuyama,82,70.083,5635,- 28.380,80
21,21,Harris English,95,70.094,6450,- 1.320,92
22,22,Russell Knox,92,70.111,6454,- 3.801,92
23,24,Bill Haas,107,70.132,7380,- 16.142,105
24,25,Charles Howell III,106,70.134,7423,11.207,106
25,31,Chris Kirk,105,70.15,7318,- 22.407,104
T26,T26,Marc Leishman,81,70.152,5635,- 22.875,80
T26,T26,Paul Casey,56,70.152,3949,- 20.474,56
28,23,Zach Johnson,97,70.159,6741,- 5.748,96
29,29,Henrik Stenson,56,70.166,3815,- 26.013,54
30,33,Rickie Fowler,91,70.172,5985,- 20.420,85
31,28,Webb Simpson,87,70.234,5914,- 14.341,84
32,32,George McNeill,79,70.248,5560,- 10.391,79
33,36,Gary Woodland,93,70.249,6490,- 27.086,92
34,30,John Senden,99,70.27,6960,- 3.233,99
35,34,Phil Mickelson,71,70.278,5023,- 33.289,71
36,35,Jason Kokrak,65,70.307,4575,- 5.020,65
37,37,Ryan Moore,86,70.344,5906,2.881,84
38,38,Jerry Kelly,80,70.349,5609,18.913,80
39,39,David Toms,64,70.35,4350,11.721,62
40,41,Brian Harman,111,70.391,7809,4.410,111
41,42,Charley Hoffman,93,70.464,6556,- 2.858,93
42,43,Kevin Chappell,100,70.466,6763,1.761,96
43,40,Martin Kaymer,65,70.468,4542,- 32.024,64
44,44,Chris Stroud,88,70.476,6182,19.924,88
45,45,Robert Streb,75,70.502,5002,3.642,71
46,47,Carl Pettersson,91,70.52,6420,- 2.724,91
47,T63,Billy Horschel,92,70.521,6364,- 17.087,90
48,48,Brian Stuard,91,70.549,6122,15.797,87
49,49,Daniel Summerhays,98,70.566,6904,11.426,98
50,46,Hunter Mahan,88,70.574,6041,- 42.206,85
51,50,Chad Campbell,57,70.59,3724,17.290,53
52,51,Patrick Reed,92,70.598,6371,- 17.156,90
53,52,Stuart Appleby,92,70.599,6359,- 5.106,90
54,53,Freddie Jacobson,91,70.604,6432,- 7.076,91
55,54,Shawn Stefani,60,70.609,4243,- 6.444,60
56,55,Kevin Stadler,90,70.62,6294,- 8.852,89
57,57,Cameron Tringale,111,70.63,7855,- 15.119,111
58,56,Luke Guthrie,85,70.638,5994,10.248,85
59,58,Seung-Yul Noh,92,70.661,6503,- 2.224,92
60,59,Scott Langley,95,70.662,6560,11.585,93
T61,T60,Brandt Snedeker,89,70.671,6169,- 20.582,87
T61,T60,Ricky Barnes,92,70.671,6200,19.038,88
63,62,Ángel Cabrera,69,70.675,4902,- 25.426,69
64,T63,Will MacKenzie,82,70.685,5792,4.157,82
65,65,Billy Hurley III,86,70.696,6082,- 2.153,86
66,66,William McGirt,96,70.712,6763,25.354,96
67,67,Andrew Svoboda,77,70.713,5431,13.935,77
68,68,Tim Wilkinson,86,70.714,5803,- 4.433,82
69,69,Camilo Villegas,95,70.716,6705,12.992,95
70,70,Kevin Kisner,85,70.718,6005,6.069,85
71,71,J.B. Holmes,86,70.721,6126,- 43.972,86
T72,T72,Matt Every,85,70.722,6031,- 19.625,85
T72,T72,Ian Poulter,57,70.722,3993,- 32.558,56
T74,T74,Robert Garrigus,80,70.728,5658,.253,80
T74,T74,Retief Goosen,94,70.728,6379,- 13.483,90
76,76,Ben Martin,80,70.732,5657,1.571,80
77,77,Jeff Overton,80,70.734,5354,21.757,76
78,78,Luke Donald,57,70.735,3989,- 27.834,56
79,79,Ernie Els,85,70.736,5619,- 30.856,79
80,80,Heath Slocum,71,70.737,4871,9.883,69
T81,T81,Lee Westwood,57,70.738,3992,- 30.695,56
T81,T81,Tim Clark,75,70.738,5303,2.386,75
83,83,Nick Watney,80,70.756,5327,- 20.281,75
84,84,Aaron Baddeley,74,70.796,5122,- 24.714,72
85,85,Brendan Steele,89,70.798,6015,2.810,85
86,86,Brendon de Jonge,109,70.801,7747,- 29.651,109
87,87,Danny Lee,84,70.802,5654,10.181,80
88,88,Will Wilcox,51,70.819,3456,14.153,49
89,90,Bo Van Pelt,83,70.827,5882,- 3.347,83
90,91,Erik Compton,88,70.829,6251,- 18.025,88
91,92,David Hearn,97,70.83,6856,14.477,97
92,93,Justin Hicks,103,70.836,7006,6.718,99
93,94,Stewart Cink,91,70.847,6471,- 23.887,91
T94,T95,Andres Romero,81,70.852,5466,- 10.358,77
T94,T95,Louis Oosthuizen,50,70.852,3292,- 32.804,46
96,97,K.J. Choi,80,70.87,5701,- 31.396,80
97,98,Brad Fritsch,50,70.888,3388,14.612,48
98,99,Jason Bohn,81,70.892,5741,1.290,81
99,100,Justin Leonard,75,70.895,5335,- 17.872,75
100,89,Morgan Hoffmann,103,70.899,7008,11.010,99
T101,T101,Troy Merritt,62,70.9,4391,4.790,62
T101,T101,Jason Dufner,57,70.9,3843,- 14.391,54
103,103,Michael Putnam,106,70.905,7232,.360,102
104,104,Robert Allenby,83,70.92,5741,3.554,81
105,105,Vijay Singh,83,70.933,5899,- 11.520,83
106,106,Scott Brown,100,70.936,7071,22.568,100
107,107,Ben Crane,81,70.954,5740,7.304,81
108,108,Ryo Ishikawa,75,70.98,5313,10.513,75
109,109,Matt Jones,83,71.021,5896,- 1.295,83
110,110,Jhonattan Vegas,77,71.022,5308,18.650,75
111,111,Brice Garnett,92,71.039,6234,17.411,88
112,112,Bud Cauley,56,71.06,3960,19.363,56
113,113,J.J. Henry,91,71.064,6170,12.599,87
114,114,Charlie Wi,72,71.067,4973,1.658,70
115,116,Tyrone Van Aswegen,79,71.07,5533,10.453,78
116,117,Jonathan Byrd,76,71.083,5107,10.986,72
117,118,Spencer Levin,59,71.086,4187,7.084,59
118,119,"Ted Potter, Jr.",68,71.087,4836,- 2.060,68
119,120,Pat Perez,84,71.11,5973,.241,84
120,121,Bryce Molder,77,71.112,5182,9.147,73
121,122,Ken Duke,80,71.137,5532,16.680,78
122,123,Andrew Loupe,65,71.142,4340,- .354,61
123,124,Steven Bowditch,93,71.145,6622,- 5.517,93
124,125,Hudson Swafford,75,71.167,5049,3.824,71
125,126,Sangmoon Bae,76,71.168,5402,6.739,76
126,127,James Hahn,82,71.186,5698,- 3.088,80
127,128,Michael Thompson,74,71.194,5258,10.336,74
128,129,Martin Flores,85,71.199,6046,5.942,85
129,130,Wes Roach,67,71.206,4479,6.997,63
130,131,Chesson Hadley,84,71.212,5991,- 9.175,84
131,132,Brian Davis,93,71.232,6618,6.621,93
T132,T133,Sean O'Hair,77,71.24,5480,5.511,77
T132,T133,John Huh,87,71.24,5920,- 7.070,83
134,136,Greg Chalmers,85,71.251,5767,4.338,81
135,137,Charlie Beljan,76,71.28,5127,5.155,72
136,138,Gonzalo Fernandez-Castaño,83,71.294,5872,- 25.895,82
137,139,Josh Teater,90,71.301,6269,5.507,88
138,140,Boo Weekley,73,71.307,5155,- 20.891,72
139,141,Chad Collins,78,71.315,5277,.328,74
140,142,Jamie Lovemark,64,71.345,4262,18.724,60
T141,T143,Kevin Streelman,79,71.354,5581,- 15.385,78
T141,T143,Ben Curtis,77,71.354,5217,- 8.182,73
143,145,Davis Love III,74,71.364,5138,.227,72
144,154,Russell Henley,92,71.379,6594,- 27.115,92
145,146,Rory Sabbatini,82,71.381,5569,- 1.270,78
146,135,Geoff Ogilvy,84,71.422,5723,- 9.201,80
147,147,Martin Laird,66,71.436,4417,12.032,62
148,148,Johnson Wagner,69,71.444,4635,8.859,65
149,149,James Driscoll,71,71.454,5067,6.209,71
150,151,David Lingmerth,80,71.469,5430,1.639,76
151,152,John Peterson,62,71.47,4289,- .802,60
152,153,Trevor Immelman,84,71.471,5723,- 5.293,80
153,155,Brian Gay,81,71.493,5639,8.912,79
154,156,Tommy Gainey,73,71.51,4926,8.200,69
155,157,Richard Lee,80,71.528,5573,6.176,78
156,158,Jonas Blixt,64,71.581,4443,- 4.969,62
157,159,Jeff Maggert,54,71.612,3867,.063,54
158,160,Roberto Castro,76,71.617,5326,- 26.311,74
159,161,Jim Herman,62,71.619,4138,15.908,58
160,162,Nicholas Thompson,85,71.657,5811,- 6.743,81
161,163,Briny Baird,50,71.679,3580,3.966,50
162,164,Y.E. Yang,79,71.712,5591,2.546,78
163,165,Mark Wilson,69,71.732,4662,.570,65
164,166,Woody Austin,63,71.743,4244,- 11.176,59
165,167,Kyle Stanley,87,71.745,5956,- 1.161,83
166,168,Bronson La'Cassie,51,71.772,3367,6.301,47
167,169,Mike Weir,69,71.789,4674,- 7.718,65
168,170,Scott Stallings,77,71.835,5469,- 9.546,76
169,171,Jim Renner,61,71.843,4262,- 23.280,59
170,172,John Merrick,87,71.852,5948,15.689,83
171,173,Kevin Tway,64,71.912,4317,- 2.280,60
172,174,D.H. Lee,54,71.914,3606,- 10.292,50
173,175,John Rollins,84,71.932,5751,3.528,80
174,176,Lucas Glover,68,72.233,4775,- 7.636,66
175,177,Troy Matteson,62,72.237,4179,10.772,58
176,178,D.A. Points,75,72.239,5277,- 3.525,73
177,180,Derek Ernst,80,72.593,5492,25.096,76
