RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Luke Donald,79,0.934,56.986,61
2,2,Tiger Woods,64,0.877,42.109,48
3,4,Brad Faxon,59,0.78,40.558,52
4,6,Ben Curtis,63,0.766,36.002,47
5,3,Brandt Snedeker,81,0.761,49.434,65
6,7,Bryce Molder,69,0.747,40.353,54
7,5,Brian Gay,96,0.726,59.549,82
8,8,Jim Furyk,86,0.715,46.476,65
T9,T9,Greg Chalmers,85,0.698,49.524,71
T9,T9,Matt Kuchar,82,0.698,49.542,71
11,11,Parker McLachlin,71,0.617,41.318,67
12,13,Aaron Baddeley,66,0.604,35.041,58
13,12,Bob Heintz,59,0.601,30.67,51
14,15,Matt Jones,56,0.583,26.23,45
15,14,Webb Simpson,94,0.555,48.298,87
16,17,Joe Ogilvie,85,0.546,42.051,77
17,16,Pat Perez,74,0.534,33.121,62
18,24,Freddie Jacobson,83,0.516,37.703,73
19,19,Jason Day,61,0.5,25.009,50
20,21,Geoff Ogilvy,78,0.493,28.57,58
21,18,Charlie Wi,92,0.488,38.583,79
T22,T22,Padraig Harrington,66,0.477,22.883,48
T22,T22,Kevin Na,91,0.477,37.176,78
24,25,Scott McCarron,91,0.473,38.344,81
25,26,Retief Goosen,74,0.47,26.301,56
26,27,Mike Weir,85,0.469,31.421,67
27,20,Jeff Klauk,97,0.453,39.896,88
28,28,Ryuji Imada,85,0.442,30.518,69
29,37,Stephen Ames,77,0.436,24.834,57
30,33,Ben Crane,93,0.431,34.466,80
31,30,Corey Pavin,73,0.429,23.148,54
32,T31,Hunter Mahan,94,0.41,30.772,75
33,46,George McNeill,82,0.408,30.987,76
34,29,Spencer Levin,75,0.4,26.811,67
35,34,Mark Wilson,99,0.386,33.932,88
36,T31,Zach Johnson,94,0.38,30.009,79
37,35,Nathan Green,104,0.375,34.494,92
38,56,Dean Wilson,81,0.351,24.555,70
39,36,David Mathis,82,0.349,24.066,69
40,40,Ryan Moore,89,0.347,26.009,75
41,38,Chris Riley,77,0.346,23.151,67
42,39,Eric Axley,71,0.341,20.097,59
43,41,Stewart Cink,79,0.34,20.074,59
44,42,Vaughn Taylor,88,0.339,26.781,79
45,43,Richard Johnson,85,0.332,24.597,74
46,44,Jerry Kelly,90,0.327,25.173,77
47,53,Harrison Frazar,93,0.322,27.073,84
48,50,Carl Pettersson,86,0.321,23.732,74
49,47,Bob Estes,78,0.313,21.594,69
50,45,Tim Petrovic,97,0.306,26.287,86
51,57,Daniel Chopra,89,0.302,25.084,83
52,52,Tim Clark,81,0.276,16.287,59
53,48,Bo Van Pelt,100,0.275,22.533,82
54,54,Kevin Sutherland,96,0.27,19.697,73
55,55,Kenny Perry,92,0.268,19.566,73
56,49,Lee Janzen,74,0.262,15.965,61
57,58,Anthony Kim,76,0.245,14.676,60
58,59,James Nitties,86,0.238,18.057,76
59,60,Nick Watney,86,0.237,16.125,68
60,63,Jeff Quinney,78,0.217,15.433,71
61,62,Steve Stricker,81,0.207,12.843,62
62,61,Ryan Palmer,78,0.188,13.186,70
63,65,Ángel Cabrera,55,0.172,6.542,38
64,67,Lucas Glover,93,0.149,11.789,79
65,69,Marc Leishman,91,0.141,11.857,84
66,68,Paul Goydos,79,0.135,8.803,65
67,72,Rod Pampling,72,0.127,8.149,64
68,89,Jeff Overton,92,0.125,9.473,76
69,106,Todd Hamilton,83,0.123,7.868,64
70,71,Kevin Streelman,97,0.121,10.526,87
71,73,J.J. Henry,97,0.114,9.554,84
72,91,Justin Rose,71,0.111,6.325,57
73,74,Steve Marino,98,0.11,9.202,84
74,T85,Aron Price,89,0.109,8.425,77
T75,70,Michael Letzig,96,0.096,8.241,86
T75,79,Charley Hoffman,97,0.096,8.333,87
77,T80,Ian Poulter,59,0.094,3.956,42
78,64,David Toms,98,0.093,7.445,80
79,88,Justin Leonard,95,0.087,6.493,75
T80,83,Bubba Watson,73,0.08,4.55,57
T80,84,John Mallinger,90,0.08,5.652,71
82,75,Steve Lowery,83,0.079,6.048,77
83,77,Ted Purdy,101,0.077,6.861,89
84,T80,Colt Knost,71,0.076,4.269,56
T85,95,Brian Bateman,55,0.075,3.611,48
T85,T85,Scott Sterling,51,0.075,3.018,40
87,76,Scott Piercy,85,0.069,5.237,76
