RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Robert Garrigus,83,312.0,49299,158
2,2,Bubba Watson,73,311.4,45471,146
3,3,Dustin Johnson,85,308.3,51792,168
4,4,Tag Ridings,50,307.4,27053,88
5,5,Gary Woodland,53,307.3,28889,94
6,6,Nick Watney,86,305.3,52505,172
7,7,J.B. Holmes,74,304.6,45088,148
8,8,Ángel Cabrera,55,304.1,32846,108
9,9,Troy Matteson,95,301.7,54911,182
10,10,Harrison Frazar,93,301.0,53582,178
11,12,Charley Hoffman,97,300.8,58363,194
12,11,Scott Piercy,85,300.6,48703,162
13,13,Phil Mickelson,66,300.1,37818,126
T14,T14,Davis Love III,89,299.9,52188,174
T14,T14,Martin Laird,72,299.9,41989,140
16,T16,Anthony Kim,76,299.0,44255,148
17,18,Marc Leishman,91,298.6,51951,174
T18,T19,Andres Romero,58,298.5,34024,114
T18,T19,Sergio Garcia,59,298.5,34630,116
T18,T16,Charles Warren,63,298.5,34024,114
21,21,Tiger Woods,64,298.4,36997,124
22,22,Bill Haas,91,298.3,51902,174
23,23,Matt Jones,56,298.0,29797,100
24,24,Fred Couples,54,297.5,32125,108
25,25,Lucas Glover,93,297.4,55322,186
T26,26,Ryan Palmer,78,297.1,46350,156
T26,T28,Daniel Chopra,89,297.1,52888,178
28,T28,Hunter Mahan,94,297.0,54648,184
29,T28,John Merrick,91,296.9,49288,166
T30,27,Leif Olson,51,296.5,27869,94
T30,T31,Kevin Streelman,97,296.5,55157,186
T30,T31,John Rollins,92,296.5,52179,176
T33,33,Jonathan Byrd,89,295.9,50307,170
T33,34,Ryan Moore,89,295.9,50299,170
35,35,Steve Marino,98,295.7,55584,188
36,36,Jason Day,61,295.3,31307,106
37,39,Adam Scott,53,294.9,30667,104
38,T37,Nicholas Thompson,96,294.8,55421,188
39,40,Stewart Cink,79,294.7,43025,146
40,41,John Senden,100,294.2,58836,200
T41,43,Vijay Singh,71,293.9,40556,138
T41,T44,Jeff Overton,92,293.9,51724,176
43,42,Michael Letzig,96,293.8,54051,184
44,T44,J.J. Henry,97,293.7,54627,186
45,T44,Ted Purdy,101,293.6,54601,186
46,47,Sean O'Hair,80,293.3,44579,152
47,T48,Rory Sabbatini,81,293.2,46911,160
T48,T50,Kenny Perry,92,293.1,53339,182
T48,T50,Robert Allenby,71,293.1,41040,140
T50,53,Camilo Villegas,76,293.0,42778,146
T50,T50,Peter Tomasulo,61,293.0,32232,110
52,T48,Matt Bettencourt,98,292.9,57409,196
T53,54,David Duval,56,292.7,32784,112
T53,55,Charles Howell III,99,292.7,53268,182
55,56,Ricky Barnes,67,292.6,34522,118
56,T58,Bo Van Pelt,100,292.5,53825,184
57,57,Bill Lunde,83,292.4,47361,162
58,T58,Retief Goosen,74,292.3,42679,146
T59,T61,Tim Herron,87,292.1,50819,174
T59,T61,Greg Owen,97,292.1,51997,178
61,60,George McNeill,82,292.0,46727,160
62,65,Boo Weekley,79,291.7,44920,154
T63,T66,James Nitties,86,291.5,47811,164
T63,T66,Geoff Ogilvy,78,291.5,41981,144
T65,T66,Joe Ogilvie,85,291.4,48366,166
T65,T63,Kris Blanks,60,291.4,31469,108
67,T69,Y.E. Yang,83,291.3,46029,158
68,71,Ernie Els,70,291.2,38437,132
69,T72,Mathew Goggin,76,291.1,43081,148
T70,74,Chad Campbell,90,291.0,50050,172
T70,75,Jimmy Walker,74,291.0,39581,136
T72,T69,Jason Gore,74,290.7,40123,138
T72,76,Chris Stroud,88,290.7,48833,168
74,77,Steve Lowery,83,290.6,48237,166
T75,T78,Brendon de Jonge,90,290.3,49925,172
T75,T78,Kevin Stadler,65,290.3,33099,114
77,80,Stuart Appleby,79,290.1,45255,156
78,T85,Will MacKenzie,69,289.4,39931,138
79,T88,D.J. Trahan,96,289.2,55519,192
T80,T82,Michael Allen,73,289.1,39896,138
T80,T85,Kevin Sutherland,96,289.1,54922,190
82,90,Brad Adamonis,70,289.0,39303,136
83,T82,Jeff Maggert,79,288.9,45654,158
T84,T85,Brian Bateman,55,288.7,31760,110
T84,84,Matt Weibring,65,288.7,34062,118
86,T88,Carl Pettersson,86,288.6,49643,172
87,92,Pat Perez,74,288.5,41542,144
88,91,Johnson Wagner,81,288.4,46720,162
89,93,Brian Vranesh,51,288.2,27089,94
T90,T96,Justin Rose,71,288.1,40332,140
T90,94,Rod Pampling,72,288.1,40909,142
92,T96,Aaron Baddeley,66,287.8,37414,130
93,T96,Brett Quigley,92,287.5,48302,168
94,T100,Stephen Ames,77,287.4,43107,150
T95,95,Tommy Armour III,58,287.3,33332,116
T95,T96,Jarrod Lyle,65,287.3,32756,114
T97,102,Cameron Beckman,87,287.0,47650,166
T97,T100,Heath Slocum,95,287.0,52238,182
