RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Tiger Woods,64,68.18,240,352
2,2,Steve Stricker,81,66.46,315,474
3,3,Matt Kuchar,82,65.91,348,528
4,4,Ian Poulter,59,65.14,256,393
5,7,Tim Petrovic,97,64.97,384,591
6,5,Kevin Na,91,64.82,363,560
7,6,Brian Gay,96,64.79,403,622
8,10,Jim Furyk,86,64.08,330,515
9,8,Chris Riley,77,64.0,288,450
10,11,Mark Brooks,55,63.93,195,305
11,13,Padraig Harrington,66,63.66,289,454
12,12,Tom Pernice Jr.,82,63.46,330,520
13,14,Kenny Perry,92,63.18,338,535
14,16,Mike Weir,85,63.15,353,559
T15,15,Chris DiMarco,97,63.07,374,593
T15,28,Spencer Levin,75,63.07,263,417
17,22,Webb Simpson,94,63.03,399,633
18,18,Scott McCarron,91,62.96,357,567
19,19,Tim Clark,81,62.93,292,464
20,20,Luke Donald,79,62.85,318,506
21,21,Mark Wilson,99,62.83,360,573
22,25,Matt Jones,56,62.71,185,295
23,9,Patrick Sheehan,51,62.7,153,244
24,23,Kirk Triplett,60,62.64,218,348
25,24,Brandt Snedeker,81,62.6,313,500
26,26,Bob Heintz,59,62.57,219,350
27,45,Jimmy Walker,74,62.22,280,450
28,30,Bob Estes,78,62.15,312,502
T29,T31,George McNeill,82,62.14,325,523
T29,29,Michael Letzig,96,62.14,366,589
31,39,Zach Johnson,94,62.1,331,533
32,T31,Ben Crane,93,62.07,365,588
33,33,Kevin Stadler,65,62.06,211,340
34,41,Jeff Klauk,97,61.91,356,575
35,34,Jason Day,61,61.9,208,336
36,27,Brad Adamonis,70,61.81,280,453
37,35,Bryce Molder,69,61.77,223,361
38,36,Brian Vranesh,51,61.76,189,306
39,37,Woody Austin,84,61.64,323,524
40,40,Nathan Green,104,61.53,411,668
41,59,Joe Ogilvie,85,61.46,346,563
42,57,Matt Weibring,65,61.37,224,365
43,38,Glen Day,79,61.36,262,427
44,42,Scott Sterling,51,61.32,149,243
45,43,Jerry Kelly,90,61.3,320,522
46,46,Ryan Moore,89,61.2,317,518
T47,48,David Toms,98,61.19,328,536
T47,50,David Mathis,82,61.19,309,505
49,47,Bill Lunde,83,61.12,294,481
50,44,Steve Flesch,77,60.82,281,462
51,55,Freddie Jacobson,83,60.75,325,535
52,49,Jason Dufner,90,60.74,311,512
53,54,Ken Duke,87,60.73,351,578
54,52,Ryuji Imada,85,60.68,358,590
55,53,Greg Chalmers,85,60.67,290,478
56,56,Robert Allenby,71,60.45,243,402
57,58,Bo Van Pelt,100,60.44,333,551
58,78,Jeff Quinney,78,60.12,309,514
59,61,Ernie Els,70,60.05,242,403
60,62,Steve Marino,98,59.96,322,537
61,63,Casey Wittenberg,71,59.95,220,367
62,64,Geoff Ogilvy,78,59.83,277,463
63,66,Justin Leonard,95,59.81,323,540
64,67,Retief Goosen,74,59.8,296,495
65,51,Jarrod Lyle,65,59.78,214,358
66,60,Lee Janzen,74,59.77,263,440
67,68,Chad Campbell,90,59.75,285,477
68,T80,Jeff Maggert,79,59.73,270,452
69,65,Tim Herron,87,59.65,337,565
70,T80,Nick O'Hern,90,59.61,307,515
71,93,Chez Reavie,81,59.53,281,472
T72,T70,Bill Haas,91,59.49,304,511
T72,73,Cliff Kresge,78,59.49,279,469
74,T70,Rod Pampling,72,59.4,259,436
75,72,Scott Verplank,88,59.32,296,499
76,69,Brett Quigley,92,59.14,304,514
77,84,Cameron Beckman,87,59.03,304,515
78,75,Pat Perez,74,59.0,282,478
79,76,Charley Hoffman,97,58.97,342,580
80,74,Corey Pavin,73,58.89,255,433
81,77,Kevin Sutherland,96,58.88,335,569
82,86,Steve Lowery,83,58.77,315,536
83,79,Charlie Wi,92,58.73,343,584
84,82,Nick Watney,86,58.67,308,525
85,83,Ben Curtis,63,58.65,234,399
86,88,Jay Williamson,69,58.64,190,324
T87,111,Justin Rose,71,58.51,251,429
T87,85,Richard Johnson,85,58.51,306,523
89,90,J.J. Henry,97,58.43,312,534
90,91,Y.E. Yang,83,58.42,281,481
91,87,Heath Slocum,95,58.38,310,531
92,92,Aaron Baddeley,66,58.35,276,473
T93,102,John Rollins,92,58.2,330,567
T93,103,Aron Price,89,58.2,291,500
T95,125,Jeff Overton,92,58.1,355,611
T95,104,Brian Davis,103,58.1,366,630
97,96,Lucas Glover,93,58.09,334,575
98,T94,Parker McLachlin,71,58.08,309,532
99,89,Steve Elkington,70,58.05,238,410
100,97,Hunter Mahan,94,58.02,304,524
T101,99,Sergio Garcia,59,57.94,208,359
T101,101,Mark Calcavecchia,72,57.94,259,447
103,100,Troy Matteson,95,57.92,300,518
104,98,John Mallinger,90,57.8,315,545
105,121,Todd Hamilton,83,57.74,306,530
106,105,James Nitties,86,57.67,312,541
107,106,Scott Piercy,85,57.61,284,493
108,107,Alex Cejka,82,57.54,267,464
T109,T114,Davis Love III,89,57.53,298,518
T109,108,Phil Mickelson,66,57.53,233,405
T111,T127,D.A. Points,99,57.52,325,565
T111,T94,Robert Garrigus,83,57.52,241,419
T113,T109,Sean O'Hair,80,57.5,253,440
T113,T109,Stewart Cink,79,57.5,276,480
115,126,Johnson Wagner,81,57.49,288,501
116,112,Marc Leishman,91,57.39,295,514
117,113,Ángel Cabrera,55,57.38,210,366
118,T127,Charles Howell III,99,57.33,309,539
119,119,Dean Wilson,81,57.32,278,485
120,T130,Brad Faxon,59,57.31,290,506
121,116,Charles Warren,63,57.28,185,323
