RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Tiger Woods,63,2.38,0.624,1.653,0.103,43
2,2,Ernie Els,59,1.609,0.452,0.994,0.163,44
3,3,Phil Mickelson,73,1.441,0.328,0.614,0.499,52
4,4,Vijay Singh,102,1.402,0.583,0.464,0.355,82
5,5,Alex Cejka,80,1.207,0.257,0.609,0.34,74
6,6,Jim Furyk,84,1.202,0.199,0.589,0.413,66
7,8,Sergio Garcia,68,1.192,0.048,0.784,0.36,55
8,7,Scott Verplank,82,1.179,0.323,0.671,0.185,59
9,9,Steve Stricker,81,1.164,0.002,0.811,0.351,65
10,10,Adam Scott,69,1.105,0.478,0.708,-0.081,54
11,11,Robert Allenby,90,1.034,0.638,0.845,-0.449,75
12,12,Mike Weir,82,1.005,0.267,0.241,0.498,60
13,13,Kenny Perry,83,0.981,0.485,0.437,0.059,75
14,15,Sean O'Hair,98,0.972,0.484,0.44,0.048,83
15,14,Ian Poulter,63,0.958,0.279,0.027,0.653,39
16,16,Camilo Villegas,82,0.903,0.369,0.603,-0.068,69
17,20,Joe Durant,88,0.88,0.698,0.545,-0.363,73
18,18,K.J. Choi,87,0.874,0.161,0.081,0.632,68
19,19,Jerry Kelly,101,0.848,0.279,0.469,0.1,75
20,25,Jeff Overton,60,0.822,0.613,0.217,-0.008,54
21,21,Arron Oberholser,69,0.821,0.125,0.3,0.396,53
22,17,Boo Weekley,101,0.819,0.876,0.231,-0.289,78
23,22,Justin Rose,63,0.816,0.157,0.404,0.255,39
24,23,Jeff Gove,103,0.812,0.147,0.593,0.073,94
25,24,Anthony Kim,93,0.794,0.578,0.2,0.016,80
26,26,Bo Van Pelt,104,0.789,0.354,0.282,0.153,97
27,27,John Senden,97,0.778,0.366,0.435,-0.023,84
28,28,Geoff Ogilvy,84,0.749,0.523,0.026,0.2,64
29,29,Trevor Immelman,74,0.735,0.357,0.322,0.056,54
30,32,Mark Calcavecchia,93,0.717,0.277,0.333,0.107,73
31,31,Rory Sabbatini,81,0.716,0.151,0.254,0.311,63
32,30,Billy Mayfair,98,0.69,0.234,0.315,0.141,83
33,40,Brett Wetterich,88,0.667,0.671,0.205,-0.21,70
34,35,Padraig Harrington,64,0.666,0.133,0.298,0.235,46
35,37,Heath Slocum,101,0.659,0.134,0.409,0.115,93
36,34,Tom Lehman,62,0.656,-0.07,0.566,0.16,49
T37,39,Charles Warren,101,0.638,0.68,0.119,-0.162,93
T37,38,Rod Pampling,92,0.638,0.292,0.198,0.148,74
39,33,Briny Baird,115,0.635,0.132,0.502,0.001,105
40,36,Lucas Glover,98,0.619,0.542,0.15,-0.074,78
41,41,David Toms,80,0.612,-0.087,0.596,0.102,63
42,42,Carl Pettersson,111,0.589,0.092,0.312,0.185,92
43,45,Jason Bohn,57,0.534,0.237,0.418,-0.122,53
44,46,D.J. Trahan,99,0.53,0.556,0.143,-0.169,90
45,44,Brian Davis,101,0.528,0.014,0.23,0.284,88
46,43,Woody Austin,95,0.527,0.183,0.383,-0.039,84
47,47,Will MacKenzie,100,0.516,0.295,0.27,-0.049,91
48,48,Steve Elkington,87,0.505,0.276,-0.072,0.301,73
49,49,Cameron Beckman,96,0.49,0.201,0.273,0.016,85
50,50,Luke Donald,69,0.489,0.005,0.142,0.342,50
51,63,Nick Watney,87,0.454,0.622,-0.261,0.093,70
52,52,J.J. Henry,86,0.45,0.374,0.171,-0.096,68
53,53,Mark Wilson,87,0.443,0.094,0.078,0.27,73
54,51,Bart Bryant,87,0.44,0.18,0.253,0.008,74
55,59,Ken Duke,112,0.439,0.329,0.233,-0.123,95
56,T54,Aaron Baddeley,83,0.435,0.152,-0.252,0.535,66
57,57,Bill Haas,93,0.426,0.443,0.063,-0.081,82
58,T54,Johnson Wagner,97,0.424,0.124,0.404,-0.105,86
59,56,Hunter Mahan,91,0.419,0.496,0.32,-0.397,72
60,58,Zach Johnson,76,0.415,0.214,0.414,-0.214,60
61,60,John Rollins,102,0.413,0.417,-0.169,0.165,84
T62,62,Shaun Micheel,91,0.393,-0.017,0.382,0.027,70
T62,72,Justin Leonard,95,0.393,-0.073,0.173,0.293,82
64,T73,John Merrick,92,0.385,0.137,0.105,0.142,81
65,64,Stuart Appleby,74,0.376,0.041,-0.157,0.493,58
66,61,Matt Kuchar,85,0.369,-0.32,0.318,0.371,71
67,T66,Darron Stiles,65,0.368,0.089,0.216,0.063,53
68,71,Mathew Goggin,97,0.365,0.691,-0.255,-0.071,87
69,65,Steve Marino,106,0.363,0.25,0.155,-0.041,91
70,68,Tim Herron,98,0.362,-0.021,0.146,0.238,82
71,T66,Ryan Moore,92,0.355,0.196,0.287,-0.128,75
72,70,Freddie Jacobson,70,0.353,-0.033,0.24,0.145,68
73,T73,Davis Love III,66,0.337,0.223,0.421,-0.307,53
74,82,Stephen Ames,81,0.33,0.124,0.464,-0.258,62
75,77,Peter Lonard,85,0.32,0.524,-0.138,-0.066,76
76,78,Kent Jones,97,0.317,-0.059,0.218,0.158,88
77,79,Tom Pernice Jr.,104,0.313,-0.19,0.149,0.354,84
78,69,Jay Williamson,50,0.31,0.447,0.026,-0.162,48
79,75,J.P. Hayes,89,0.297,0.029,-0.089,0.357,80
80,87,Tim Clark,66,0.293,-0.105,0.246,0.151,53
81,76,Bubba Watson,80,0.288,0.539,-0.06,-0.192,66
