RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Tiger Woods,63,71.02,767,1080,-0.32
2,2,John Senden,97,70.33,1228,1746,-0.22
3,3,Jeff Gove,103,70.17,1301,1854,-0.22
4,5,Cameron Beckman,96,69.87,1157,1656,-0.24
5,4,Tommy Armour III,81,69.84,968,1386,-0.24
T6,T6,Jim Furyk,84,69.44,1025,1476,-0.24
T6,T6,Alex Cejka,80,69.44,975,1404,-0.25
8,8,Briny Baird,115,69.27,1384,1998,-0.24
9,9,John Merrick,92,69.13,1095,1584,-0.22
10,11,Jeff Overton,60,68.87,719,1044,-0.26
11,10,Mathew Goggin,97,68.84,1202,1746,-0.22
12,15,Joe Durant,88,68.52,1073,1566,-0.19
13,12,Stephen Leaney,82,68.43,1010,1476,-0.22
14,14,Charles Warren,101,68.37,1243,1818,-0.26
15,13,Robert Allenby,90,68.29,1094,1602,-0.24
16,16,Tom Lehman,62,68.19,761,1116,-0.22
17,19,Greg Owen,81,68.14,969,1422,-0.22
18,17,Billy Mayfair,98,68.08,1201,1764,-0.23
19,18,Johnson Wagner,97,67.75,1183,1746,-0.24
20,20,Kenny Perry,83,67.54,1009,1494,-0.22
21,22,Ted Purdy,102,67.23,1186,1764,-0.22
22,T31,Craig Barlow,52,67.2,629,936,-0.24
23,24,Sean O'Hair,98,67.12,1184,1764,-0.25
24,29,Michael Putnam,96,67.03,1110,1656,-0.24
25,T26,Robert Garrigus,95,67.02,1146,1710,-0.27
26,21,Duffy Waldorf,69,66.99,832,1242,-0.24
T27,23,Kent Jones,97,66.95,1169,1746,-0.25
T27,25,D.J. Trahan,99,66.95,1193,1782,-0.21
29,T26,Hunter Mahan,91,66.91,1096,1638,-0.25
T30,30,J.J. Henry,86,66.67,1020,1530,-0.23
T30,48,Joey Sindelar,75,66.67,900,1350,-0.22
32,35,Michael Allen,74,66.59,839,1260,-0.26
T33,34,Jeff Maggert,79,66.53,946,1422,-0.24
T33,33,Jesper Parnevik,88,66.53,1006,1512,-0.29
35,39,Nick Watney,87,66.48,1041,1566,-0.24
36,T31,Heath Slocum,101,66.45,1208,1818,-0.28
37,36,Bo Van Pelt,104,66.4,1243,1872,-0.26
38,49,Charlie Wi,90,66.35,1051,1584,-0.26
39,44,Bart Bryant,87,66.34,1027,1548,-0.25
40,28,Jay Williamson,50,66.33,597,900,-0.27
T41,38,Steve Lowery,74,66.29,883,1332,-0.26
T41,37,Ryan Armour,107,66.29,1229,1854,-0.25
43,42,Brett Wetterich,88,66.28,1038,1566,-0.24
44,46,Lucas Glover,98,66.27,1157,1746,-0.28
45,40,Vijay Singh,102,66.22,1192,1800,-0.27
46,43,Freddie Jacobson,70,66.19,834,1260,-0.3
47,41,Will MacKenzie,100,66.17,1191,1800,-0.25
48,47,Stewart Cink,91,66.16,1048,1584,-0.26
49,61,Chris Stroud,66,66.15,762,1152,-0.23
50,53,Steve Marino,106,66.07,1213,1836,-0.25
51,52,D.J. Brigman,67,66.05,749,1134,-0.23
52,45,Shaun Micheel,91,66.04,1046,1584,-0.22
53,56,Bill Haas,93,65.98,1057,1602,-0.26
54,59,Boo Weekley,101,65.86,1150,1746,-0.25
T55,T50,Steve Stricker,81,65.83,948,1440,-0.28
T55,T50,Steve Flesch,100,65.83,1185,1800,-0.24
57,T76,Robert Gamez,88,65.81,995,1512,-0.24
58,54,Justin Rose,63,65.73,698,1062,-0.28
59,55,Camilo Villegas,82,65.72,970,1476,-0.26
60,68,Ryan Moore,92,65.64,1087,1656,-0.26
61,T69,Jeff Quinney,95,65.61,1122,1710,-0.26
T62,66,Ken Duke,112,65.58,1322,2016,-0.25
T62,58,Kirk Triplett,77,65.58,909,1386,-0.22
T64,60,Jason Gore,86,65.57,1015,1548,-0.26
T64,78,Kevin Stadler,95,65.57,1074,1638,-0.22
66,62,Trevor Immelman,74,65.52,802,1224,-0.19
67,92,Woody Austin,95,65.5,1120,1710,-0.24
T68,T64,Kevin Sutherland,85,65.49,1002,1530,-0.25
T68,57,Bubba Watson,80,65.49,943,1440,-0.28
T68,T64,Pat Perez,84,65.49,943,1440,-0.26
71,73,Darron Stiles,65,65.48,719,1098,-0.23
72,67,Adam Scott,69,65.44,801,1224,-0.3
73,T69,Anthony Kim,93,65.35,1094,1674,-0.27
74,72,K.J. Choi,87,65.29,999,1530,-0.26
75,T76,Daniel Chopra,106,65.2,1244,1908,-0.27
76,75,Tom Byrum,50,65.16,563,864,-0.2
77,80,Frank Lickliter II,95,65.15,1114,1710,-0.26
78,79,Rod Pampling,92,65.12,1055,1620,-0.23
79,63,Jeff Brehaut,59,65.11,668,1026,-0.22
80,71,Jason Dufner,100,65.06,1171,1800,-0.23
81,100,Billy Andrade,88,65.03,1030,1584,-0.24
82,82,Jason Bohn,57,65.01,667,1026,-0.25
83,74,Brian Davis,101,64.96,1181,1818,-0.26
T84,84,Phil Mickelson,73,64.95,830,1278,-0.31
T84,93,Matt Kuchar,85,64.95,947,1458,-0.24
T86,83,Stephen Ames,81,64.94,900,1386,-0.24
T86,T94,Matt Hendrix,63,64.94,713,1098,-0.24
T88,85,Craig Bowden,78,64.91,888,1368,-0.23
T88,T86,Daisuke Maruyama,86,64.91,958,1476,-0.24
90,111,Rocco Mediate,72,64.89,841,1296,-0.25
91,90,Mark Wilson,87,64.86,969,1494,-0.22
92,91,Mark Brooks,53,64.85,572,882,-0.19
93,98,Jerry Kelly,101,64.83,1132,1746,-0.23
94,106,Justin Leonard,95,64.8,1108,1710,-0.23
95,T94,Steve Allan,63,64.78,688,1062,-0.28
96,97,Cliff Kresge,107,64.75,1247,1926,-0.25
97,110,David Branshaw,83,64.73,967,1494,-0.2
98,99,Ernie Els,59,64.66,675,1044,-0.28
99,112,Richard Johnson,93,64.65,1059,1638,-0.21
T100,81,Jarrod Lyle,77,64.61,849,1314,-0.26
T100,101,Peter Lonard,85,64.61,942,1458,-0.23
102,102,Tim Herron,98,64.6,1093,1692,-0.24
103,103,Brandt Snedeker,105,64.58,1174,1818,-0.26
104,117,J.B. Holmes,71,64.57,802,1242,-0.27
105,105,Sergio Garcia,68,64.56,767,1188,-0.29
106,T86,Michael Sim,52,64.53,604,936,-0.25
107,T107,Tom Johnson,74,64.51,836,1296,-0.23
T108,115,Craig Kanada,109,64.5,1219,1890,-0.24
T108,96,Mathias Grönberg,95,64.5,1103,1710,-0.26
110,T123,Kyle Reifers,71,64.49,801,1242,-0.19
111,T107,Zach Johnson,76,64.44,870,1350,-0.24
112,T107,Rich Beem,89,64.36,1031,1602,-0.26
113,T88,Brendon de Jonge,76,64.35,834,1296,-0.28
T114,113,Doug LaBelle II,104,64.33,1158,1800,-0.22
T114,116,Scott Verplank,82,64.33,938,1458,-0.25
T114,T119,Glen Day,85,64.33,938,1458,-0.23
117,118,Lee Janzen,66,64.32,741,1152,-0.23
118,T88,Steve Wheatcroft,73,64.25,798,1242,-0.23
119,104,Jim Rutledge,59,64.24,636,990,-0.16
120,T126,Vaughn Taylor,91,64.18,1005,1566,-0.28
T121,T126,Mark Calcavecchia,93,64.11,1027,1602,-0.29
T121,125,Chris Couch,76,64.11,877,1368,-0.25
123,122,Charley Hoffman,97,64.03,1118,1746,-0.28
124,T123,Davis Love III,66,64.02,749,1170,-0.21
125,T119,Jaco Van Zyl,51,63.95,564,882,-0.18
126,136,Carl Pettersson,111,63.84,1264,1980,-0.27
127,128,Ryan Palmer,91,63.8,1045,1638,-0.25
128,129,David Toms,80,63.78,884,1386,-0.25
129,130,Chad Campbell,96,63.77,1033,1620,-0.22
130,121,Paul Gow,70,63.72,757,1188,-0.24
T131,131,John Rollins,102,63.64,1157,1818,-0.25
T131,T150,Chris Tidland,59,63.64,630,990,-0.24
133,135,Harrison Frazar,88,63.63,985,1548,-0.25
134,114,Marco Dawson,73,63.62,813,1278,-0.25
135,140,Dicky Pride,71,63.6,767,1206,-0.23
136,133,Jonathan Byrd,73,63.55,835,1314,-0.31
137,134,Troy Matteson,87,63.54,995,1566,-0.26
138,132,Bob Tway,103,63.52,1132,1782,-0.25
139,143,George McNeill,95,63.43,1039,1638,-0.27
T140,T137,Charles Howell III,89,63.37,981,1548,-0.24
T140,T137,Mark Hensby,81,63.37,924,1458,-0.25
142,139,Dean Wilson,92,63.35,1049,1656,-0.25
T143,141,Paul Stankowski,52,63.19,546,864,-0.25
T143,147,Bob Estes,88,63.19,1001,1584,-0.27
145,142,Luke Donald,69,63.18,762,1206,-0.25
146,152,Bob Heintz,85,63.17,921,1458,-0.29
147,148,Rich Barcelo,80,63.11,886,1404,-0.26
148,156,Michael Boyd,61,63.06,647,1026,-0.22
149,145,Steve Elkington,87,63.05,942,1494,-0.23
150,153,Craig Lile,77,63.04,851,1350,-0.26
151,146,Mike Weir,82,63.03,919,1458,-0.25
152,144,John Mallinger,96,62.96,1088,1728,-0.23
153,162,Brian Gay,107,62.94,1167,1854,-0.27
154,T154,J.P. Hayes,89,62.92,1008,1602,-0.26
155,149,Tim Petrovic,106,62.89,1200,1908,-0.27
156,T150,Anders Hansen,55,62.85,577,918,-0.22
157,T166,Tag Ridings,52,62.78,565,900,-0.31
158,T154,Geoff Ogilvy,84,62.75,881,1404,-0.27
159,163,Ryuji Imada,104,62.72,1129,1800,-0.29
160,159,Scott Gutschewski,67,62.7,711,1134,-0.26
161,158,Gavin Coles,87,62.58,935,1494,-0.23
162,157,Andrew Buckle,77,62.52,844,1350,-0.25
163,160,Arron Oberholser,69,62.25,762,1224,-0.24
164,161,Jason Schultz,63,62.24,661,1062,-0.22
165,164,Chris Riley,59,62.12,615,990,-0.26
166,165,Brett Quigley,79,62.11,872,1404,-0.25
167,171,Kevin Na,84,61.97,937,1512,-0.28
168,T166,José Coceres,50,61.96,513,828,-0.2
169,168,Nathan Green,103,61.9,1103,1782,-0.28
170,169,Tom Pernice Jr.,104,61.86,1158,1872,-0.25
171,170,Fred Funk,65,61.75,678,1098,-0.2
172,175,Joe Ogilvie,102,61.68,1088,1764,-0.29
173,172,Ian Poulter,63,61.67,666,1080,-0.23
174,173,Rory Sabbatini,81,61.6,876,1422,-0.29
175,174,Stuart Appleby,74,61.57,809,1314,-0.23
176,182,Tim Clark,66,61.37,707,1152,-0.28
177,180,Brian Bateman,55,61.33,563,918,-0.21
178,178,Eric Axley,107,61.32,1181,1926,-0.24
179,176,John Daly,59,61.3,651,1062,-0.28
180,177,Henrik Stenson,52,61.23,507,828,-0.25
181,179,Jeff Sluman,60,61.01,615,1008,-0.19
182,181,Shigeki Maruyama,84,60.98,911,1494,-0.27
183,183,Corey Pavin,81,60.77,886,1458,-0.22
184,188,Tripp Isenhour,86,60.57,894,1476,-0.25
185,190,Ben Curtis,80,60.56,872,1440,-0.21
186,T185,Parker McLachlin,83,60.55,861,1422,-0.25
187,184,Chris DiMarco,79,60.53,839,1386,-0.24
188,187,Aaron Baddeley,83,60.35,869,1440,-0.29
189,189,Padraig Harrington,64,60.3,673,1116,-0.28
190,191,Nick O'Hern,72,60.21,737,1224,-0.23
191,194,Bryce Molder,56,59.47,578,972,-0.23
192,192,Paul Goydos,60,59.42,631,1062,-0.24
193,T185,Bubba Dickerson,51,59.34,502,846,-0.25
194,193,Retief Goosen,50,58.91,509,864,-0.24
195,195,Todd Hamilton,76,56.94,779,1368,-0.21
196,196,José María Olazábal,52,54.33,489,900,-0.25
