RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,José Coceres,50,75.47,486,644
2,2,Fred Funk,65,75.26,642,853
3,3,Jim Furyk,84,74.37,859,1155
4,6,Michael Boyd,61,74.34,594,799
5,4,Joe Durant,88,73.71,903,1225
6,8,Heath Slocum,101,73.28,1031,1407
7,5,Craig Bowden,78,73.07,776,1062
8,7,Zach Johnson,76,73.05,767,1050
9,12,Brian Gay,107,72.9,1049,1439
10,9,Mark Brooks,53,72.81,498,684
11,11,Doug LaBelle II,104,72.78,1016,1396
12,10,Jay Williamson,50,72.57,508,700
13,13,Brian Davis,101,71.96,1019,1416
14,14,Steve Elkington,87,71.84,829,1154
15,15,Tom Byrum,50,71.75,480,669
16,17,Scott Verplank,82,71.42,812,1137
17,16,Chris Riley,59,71.39,549,769
18,22,Billy Mayfair,98,70.7,965,1365
19,18,Bart Bryant,87,70.66,850,1203
20,24,Glen Day,85,70.42,795,1129
21,19,Kirk Triplett,77,70.39,756,1074
22,20,Ryan Armour,107,70.31,1011,1438
23,23,Gavin Coles,87,70.27,813,1157
24,21,Tommy Armour III,81,70.17,755,1076
25,26,Justin Leonard,95,70.05,933,1332
26,25,John Mallinger,96,69.91,934,1336
27,31,Robert Gamez,88,69.28,812,1172
28,27,Tim Clark,66,68.95,615,892
29,29,Paul Goydos,60,68.83,563,818
30,30,Corey Pavin,81,68.82,779,1132
31,28,Jaco Van Zyl,51,68.61,470,685
32,33,Kent Jones,97,68.46,927,1354
33,32,Darron Stiles,65,68.35,583,853
34,37,Jerry Kelly,101,68.28,930,1362
35,34,Luke Donald,69,68.15,644,945
36,35,Alex Cejka,80,68.08,740,1087
37,36,Hunter Mahan,91,68.05,867,1274
38,39,Rocco Mediate,72,67.76,681,1005
39,42,Shaun Micheel,91,67.72,835,1233
40,38,Cameron Beckman,96,67.7,870,1285
41,41,Ken Duke,112,67.5,1057,1566
42,43,Daisuke Maruyama,86,67.42,772,1145
43,46,Ben Curtis,80,67.37,762,1131
44,45,Mathew Goggin,97,67.36,910,1351
45,40,Jim Rutledge,59,67.27,518,770
46,44,Mark Wilson,87,67.1,773,1152
47,48,Stephen Ames,81,67.07,727,1084
48,47,Anders Hansen,55,66.95,480,717
49,50,Tom Pernice Jr.,104,66.83,973,1456
50,52,Charles Warren,101,66.81,942,1410
51,49,Peter Lonard,85,66.7,753,1129
52,53,Charlie Wi,90,66.59,817,1227
53,51,Chris Stroud,66,66.56,597,897
54,61,Steve Wheatcroft,73,66.29,639,964
55,59,Briny Baird,115,66.24,1026,1549
56,62,Matt Kuchar,85,66.2,752,1136
57,60,Jeff Brehaut,59,66.04,525,795
58,57,Jeff Quinney,95,65.99,877,1329
59,65,Craig Kanada,109,65.96,967,1466
60,56,John Senden,97,65.91,897,1361
61,58,Stephen Leaney,82,65.82,751,1141
62,T54,David Branshaw,83,65.74,760,1156
63,66,Jeff Maggert,79,65.73,727,1106
64,68,Jeff Gove,103,65.67,943,1436
65,63,Frank Lickliter II,95,65.64,871,1327
66,64,Richard Johnson,93,65.56,830,1266
67,T54,Paul Gow,70,65.51,604,922
68,67,D.J. Trahan,99,65.36,902,1380
69,73,Joey Sindelar,75,65.29,681,1043
70,70,Bob Estes,88,65.28,803,1230
71,79,Rich Beem,89,65.25,815,1249
72,69,Jason Bohn,57,65.2,517,793
73,72,Mark Calcavecchia,93,65.09,811,1246
74,71,Duffy Waldorf,69,64.88,628,968
T75,T75,David Toms,80,64.85,703,1084
T75,T75,Trevor Immelman,74,64.85,620,956
77,77,John Rollins,102,64.81,917,1415
78,83,Bob Heintz,85,64.74,729,1126
