RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Bubba Watson,80,315.2,50435,160
2,2,John Daly,59,312.9,36921,118
3,3,J.B. Holmes,71,312.6,43132,138
4,4,Robert Garrigus,95,310.5,58995,190
5,5,Scott Gutschewski,67,306.1,38569,126
6,6,Tag Ridings,52,303.9,30386,100
7,7,Brett Wetterich,88,303.3,52772,174
8,10,Jason Gore,86,303.0,52120,172
T9,8,Charles Warren,101,302.8,61158,202
T9,9,Harrison Frazar,88,302.8,52075,172
11,11,Bill Haas,93,302.7,53882,178
T12,T14,Anthony Kim,93,302.4,56242,186
T12,T14,Steve Allan,63,302.4,35679,118
T12,T14,Tiger Woods,63,302.4,36292,120
15,12,Matt Hendrix,63,301.7,36809,122
16,13,Mathias Grönberg,95,301.5,57285,190
17,17,Nick Watney,87,301.4,52438,174
18,18,Adam Scott,69,300.9,40924,136
19,22,Charley Hoffman,97,299.9,58172,194
T20,T23,Charles Howell III,89,299.8,51557,172
T20,T19,Chris Couch,76,299.8,45574,152
T22,21,Robert Allenby,90,299.6,53337,178
T22,25,Kenny Perry,83,299.6,49729,166
24,T19,Jeff Overton,60,299.3,34719,116
25,T23,Bubba Dickerson,51,298.9,28094,94
26,26,Mathew Goggin,97,298.7,57939,194
27,29,Camilo Villegas,82,298.3,48929,164
28,28,George McNeill,95,298.2,54268,182
T29,27,Steve Marino,106,298.1,60805,204
T29,30,Phil Mickelson,73,298.1,42337,142
31,32,Ernie Els,59,297.9,34556,116
32,31,Daniel Chopra,106,297.6,63084,212
33,T34,John Merrick,92,297.1,52285,176
T34,36,Sean O'Hair,98,296.8,58180,196
T34,40,Davis Love III,66,296.8,38584,130
36,41,Hunter Mahan,91,296.7,53997,182
T37,T34,Boo Weekley,101,296.6,57543,194
T37,T42,Pat Perez,84,296.6,47454,160
T37,T42,Troy Matteson,87,296.6,51608,174
40,37,Greg Owen,81,296.5,46840,158
T41,44,Henrik Stenson,52,296.3,27256,92
T41,39,Kyle Reifers,71,296.3,40893,138
T43,33,Jason Schultz,63,295.7,34889,118
T43,46,Paul Stankowski,52,295.7,28386,96
45,38,Craig Barlow,52,295.5,30737,104
46,45,Lucas Glover,98,295.4,57305,194
47,T48,Geoff Ogilvy,84,295.3,46067,156
48,51,D.J. Trahan,99,295.1,58428,198
49,47,Ryan Palmer,91,294.9,53669,182
T50,T48,Stewart Cink,91,294.7,51871,176
T50,T53,Bo Van Pelt,104,294.7,61300,208
T50,T53,Andrew Buckle,77,294.7,44205,150
53,52,Michael Putnam,96,294.5,54195,184
54,57,J.J. Henry,86,294.4,50050,170
T55,T58,Sergio Garcia,68,294.2,38840,132
T55,T58,John Senden,97,294.2,57084,194
57,55,Ted Purdy,102,294.1,57651,196
T58,61,Vijay Singh,102,293.8,58768,200
T58,56,Brendon de Jonge,76,293.8,42301,144
60,64,Padraig Harrington,64,293.2,36355,124
61,60,Michael Allen,74,293.0,41013,140
T62,T66,Retief Goosen,50,292.9,28119,96
T62,T48,Chris Tidland,59,292.9,32218,110
T62,62,Kevin Stadler,95,292.9,53308,182
65,63,Jarrod Lyle,77,292.6,42723,146
66,65,Briny Baird,115,292.1,64853,222
T67,T66,Steve Lowery,74,292.0,43222,148
T67,T74,Jonathan Byrd,73,292.0,42636,146
T69,72,J.P. Hayes,89,291.9,51962,178
T69,71,Cameron Beckman,96,291.9,53714,184
T69,76,Aaron Baddeley,83,291.9,46711,160
T72,T68,Jay Williamson,50,291.6,29155,100
T72,T74,Brian Bateman,55,291.6,29743,102
74,T80,Will MacKenzie,100,291.4,58286,200
75,T82,Kevin Sutherland,85,291.3,49521,170
T76,73,Jeff Brehaut,59,291.2,33193,114
T76,T68,Bryce Molder,56,291.2,31446,108
78,T68,Michael Sim,52,291.1,30279,104
79,77,Rich Beem,89,291.0,51790,178
