RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Tommy Fleetwood,71,67.98,259,381
2,2,Webb Simpson,81,66.88,321,480
3,3,Patrick Cantlay,77,66.12,281,425
4,4,Aaron Baddeley,55,65.84,239,363
5,5,Lucas Glover,94,64.73,334,516
6,7,Matt Jones,88,64.55,326,505
7,6,Sungjae Im,122,64.53,444,688
8,8,Ernie Els,51,64.38,206,320
T9,T9,Brian Stuard,98,64.31,382,594
T9,T9,Denny McCarthy,89,64.31,319,496
11,11,Jonathan Byrd,55,64.17,197,307
12,15,Hideki Matsuyama,91,64.12,311,485
13,12,Jim Furyk,73,64.1,241,376
14,13,Bud Cauley,82,64.05,310,484
15,14,Kiradech Aphibarnrat,65,64.02,274,428
16,20,Marc Leishman,76,64.0,272,425
17,16,Scott Piercy,90,63.93,296,463
18,17,Rory Sabbatini,97,63.9,354,554
19,18,Ryan Armour,92,63.87,343,537
20,19,C.T. Pan,84,63.71,337,529
21,21,Vaughn Taylor,93,63.54,345,543
22,22,Si Woo Kim,87,63.51,329,518
23,23,Stephan Jaeger,77,63.45,276,435
24,25,Jimmy Walker,74,63.4,298,470
25,29,Rory McIlroy,72,63.38,244,385
T26,26,Brandt Snedeker,102,63.04,394,625
T26,27,Matt Kuchar,87,63.04,278,441
T28,30,Francesco Molinari,61,62.99,223,354
T28,28,Patrick Reed,93,62.99,337,535
T30,31,Wes Roach,69,62.94,231,367
T30,24,Charles Howell III,94,62.94,304,483
32,32,Sam Ryder,76,62.89,261,415
33,33,J.T. Poston,100,62.83,360,573
34,34,Michael Thompson,71,62.79,275,438
35,35,Russell Henley,78,62.69,252,402
36,36,Peter Malnati,87,62.64,337,538
37,37,Dylan Frittelli,83,62.63,290,463
38,40,Anders Albertson,68,62.37,232,372
39,41,Roberto Castro,76,62.35,255,409
40,50,Bryson DeChambeau,75,62.33,273,438
41,42,Henrik Stenson,58,62.3,190,305
42,46,Brooks Koepka,81,62.25,249,400
43,T48,Xander Schauffele,77,62.23,262,421
44,43,Graeme McDowell,75,62.22,280,450
45,44,Tony Finau,89,62.2,306,492
T46,39,Justin Rose,66,62.09,244,393
T46,45,Russell Knox,79,62.09,249,401
48,47,Nate Lashley,70,62.06,247,398
49,T48,Jordan Spieth,82,62.0,328,529
50,38,Abraham Ancer,93,61.98,326,526
51,51,Zach Johnson,64,61.95,267,431
52,52,Daniel Berger,70,61.84,256,414
53,53,Pat Perez,68,61.76,239,387
54,54,Joey Garber,63,61.74,213,345
55,55,Bill Haas,77,61.73,271,439
56,T56,Brian Gay,93,61.65,352,571
57,58,Julián Etulain,70,61.59,263,427
58,59,Shawn Stefani,80,61.56,253,411
59,60,Billy Horschel,99,61.38,329,536
60,80,Justin Thomas,75,61.32,233,380
61,61,Wyndham Clark,87,61.23,319,521
62,62,J.J. Henry,58,61.22,191,312
63,64,Cameron Tringale,73,61.13,217,355
T64,71,Kevin Kisner,97,61.06,312,511
T64,65,Martin Laird,88,61.06,265,434
T66,T66,Kevin Tway,84,61.05,290,475
T66,T66,Mackenzie Hughes,80,61.05,290,475
68,68,Seamus Power,80,61.02,299,490
69,69,Roberto Díaz,73,60.87,238,391
T70,63,Rickie Fowler,76,60.77,268,441
T70,72,Nick Taylor,97,60.77,333,548
72,73,Cameron Smith,79,60.74,294,484
73,74,Scott Brown,86,60.73,300,494
74,75,Adam Schenk,102,60.71,343,565
75,T76,Adam Svensson,73,60.7,224,369
T76,78,Fabián Gómez,62,60.67,216,356
T76,T76,Jason Kokrak,94,60.67,307,506
78,79,Ryan Blaum,90,60.54,313,517
79,T56,Louis Oosthuizen,71,60.47,231,382
80,81,Harris English,97,60.41,328,543
81,83,Robert Streb,80,60.36,265,439
T82,T84,Harold Varner III,84,60.33,292,484
T82,T84,Joaquin Niemann,98,60.33,333,552
