RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
1,1,Henrik Stenson,58,1.149,48.25,42
2,2,Justin Thomas,75,0.985,55.176,56
3,3,Emiliano Grillo,85,0.926,50.929,55
4,4,Adam Scott,63,0.846,37.234,44
5,5,Hideki Matsuyama,91,0.759,55.397,73
6,7,Jason Kokrak,94,0.745,55.838,75
7,6,Jim Furyk,73,0.741,42.25,57
8,9,Paul Casey,79,0.706,38.844,55
9,10,Corey Conners,90,0.665,45.915,69
10,12,Patrick Cantlay,77,0.64,36.474,57
11,16,Brooks Koepka,81,0.636,36.896,58
12,13,Rory McIlroy,72,0.633,36.096,57
13,17,Chez Reavie,99,0.625,43.753,70
14,11,Webb Simpson,81,0.613,42.285,69
15,14,Talor Gooch,54,0.604,28.977,48
16,15,Ryan Moore,74,0.596,37.519,63
17,8,Matt Kuchar,87,0.591,39.032,66
18,18,Russell Knox,79,0.585,34.5,59
19,19,Keegan Bradley,89,0.567,37.975,67
20,20,Gary Woodland,87,0.545,35.4,65
T21,21,Sergio Garcia,53,0.525,19.96,38
T21,23,Justin Rose,66,0.525,25.712,49
23,24,Adam Svensson,73,0.509,27.989,55
24,25,Nate Lashley,70,0.487,26.789,55
25,26,Joaquin Niemann,98,0.484,38.744,80
26,43,Xander Schauffele,77,0.481,25.491,53
27,28,Kevin Streelman,83,0.479,33.031,69
28,22,Marc Leishman,76,0.472,26.895,57
29,31,Roberto Castro,76,0.432,26.77,62
30,32,Shawn Stefani,80,0.421,26.125,62
31,33,Byeong Hun An,80,0.42,25.612,61
32,34,Andrew Putnam,81,0.414,23.211,56
33,36,Matt Fitzpatrick,54,0.409,15.125,37
34,46,Jon Rahm,75,0.405,21.449,53
35,37,Zach Johnson,64,0.398,21.092,53
36,38,Charley Hoffman,74,0.396,18.629,47
37,39,Ryan Palmer,74,0.395,20.12,51
38,35,Tony Finau,89,0.384,24.982,65
39,40,Tom Hoge,98,0.381,27.404,72
40,41,Troy Merritt,69,0.366,20.495,56
41,42,Josh Teater,73,0.361,19.112,53
42,44,Russell Henley,78,0.334,20.353,61
43,29,Lucas Glover,94,0.33,26.77,81
44,45,Cameron Tringale,73,0.327,16.691,51
T45,T47,Kyle Stanley,81,0.309,17.018,55
T45,T47,Sepp Straka,78,0.309,17.901,58
47,27,Dustin Johnson,73,0.288,16.143,56
48,51,Hank Lebioda,76,0.281,16.278,58
49,52,Vaughn Taylor,93,0.269,22.059,82
50,53,Brian Stuard,98,0.266,20.487,77
51,54,Scott Stallings,82,0.259,17.632,68
52,50,Kevin Kisner,97,0.257,18.262,71
53,56,Danny Willett,63,0.25,12.505,50
54,57,Bryson DeChambeau,75,0.236,15.588,66
55,58,Tommy Fleetwood,71,0.235,11.773,50
56,59,Chesson Hadley,76,0.231,13.864,60
57,60,Peter Malnati,87,0.225,17.084,76
58,61,J.T. Poston,100,0.223,19.599,88
59,62,Alex Prugh,77,0.222,12.638,57
60,63,Jhonattan Vegas,75,0.219,13.372,61
61,64,Tyrrell Hatton,62,0.218,9.156,42
62,49,Louis Oosthuizen,71,0.208,9.979,48
63,65,Jonathan Byrd,55,0.204,7.331,36
64,66,Andrew Landry,80,0.2,13.032,65
65,67,Bud Cauley,82,0.196,14.49,74
66,T68,Dylan Frittelli,83,0.186,12.644,68
67,70,Max Homa,82,0.179,12.331,69
T68,T71,Cam Davis,76,0.165,9.38,57
T68,T71,Anders Albertson,68,0.165,8.595,52
T70,55,Rickie Fowler,76,0.158,9.98,63
T70,73,Sam Ryder,76,0.158,9.482,60
72,74,Danny Lee,83,0.156,11.229,72
73,75,Ian Poulter,65,0.15,6.594,44
T74,T76,Scott Piercy,90,0.147,10.302,70
T74,T76,Billy Horschel,99,0.147,10.157,69
76,78,Adam Schenk,102,0.142,11.624,82
77,79,Joel Dahmen,100,0.141,10.735,76
T78,T68,Patrick Reed,93,0.138,10.083,73
T78,80,Adam Long,76,0.138,9.415,68
80,82,Trey Mullinax,77,0.134,8.413,63
81,83,Kevin Tway,84,0.124,8.291,67
82,84,Hudson Swafford,59,0.119,5.571,47
83,85,Jim Knous,57,0.111,4.331,39
84,86,Branden Grace,76,0.11,4.947,45
85,87,Rory Sabbatini,97,0.103,7.824,76
86,88,Sam Saunders,78,0.1,6.681,67
87,89,Roger Sloan,88,0.096,6.718,70
88,90,J.J. Spaun,90,0.094,5.99,64
