RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,Chez Reavie,99,75.72,973,1285
2,2,Ryan Moore,74,75.53,781,1034
3,3,Jim Furyk,73,74.45,705,947
4,4,Ryan Armour,92,73.81,947,1283
5,5,Henrik Stenson,58,72.13,502,696
6,6,Andrew Landry,80,71.72,743,1036
7,7,Brice Garnett,87,71.45,851,1191
8,8,Brian Stuard,98,71.09,932,1311
9,10,Austin Cook,68,70.26,626,891
10,9,Abraham Ancer,93,70.21,865,1232
11,11,Brian Gay,93,70.19,871,1241
12,12,Jim Herman,52,70.15,470,670
13,13,David Hearn,55,69.92,458,655
14,15,Tyler Duncan,89,69.63,807,1159
15,14,Kevin Kisner,97,69.39,832,1199
16,16,Russell Henley,78,69.33,676,975
17,17,Kramer Hickok,79,69.25,743,1073
18,18,Michael Thompson,71,69.12,685,991
19,19,Kyle Stanley,81,69.08,735,1064
20,20,Vaughn Taylor,93,69.03,876,1269
21,21,Scott Langley,78,69.02,713,1033
22,22,Brendan Steele,68,68.71,595,866
23,23,Kyle Jones,72,68.62,632,921
24,24,Joel Dahmen,100,68.51,918,1340
T25,T26,Fabián Gómez,62,68.17,591,867
T25,T26,Brian Harman,91,68.17,848,1244
27,28,Emiliano Grillo,85,68.13,744,1092
28,29,Kevin Streelman,83,67.99,769,1131
29,30,Ben Silverman,70,67.97,645,949
30,32,Roberto Díaz,73,67.85,614,905
31,33,Jason Dufner,74,67.79,682,1006
32,34,Adam Hadwin,86,67.77,776,1145
33,25,Paul Casey,79,67.68,710,1049
34,T35,Satoshi Kodaira,67,67.63,606,896
35,37,Scott Piercy,90,67.61,816,1207
36,38,Roberto Castro,76,67.5,677,1003
37,39,Brady Schnell,53,67.46,481,713
38,31,Matt Kuchar,87,67.41,757,1123
39,41,Alex Cejka,58,67.19,467,695
40,42,Johnson Wagner,64,67.08,544,811
41,40,Louis Oosthuizen,71,66.93,597,892
T42,44,Rory Sabbatini,97,66.92,868,1297
T42,43,Corey Conners,90,66.92,805,1203
44,T35,Webb Simpson,81,66.82,731,1094
45,46,Zach Johnson,64,66.59,594,892
46,47,Adam Long,76,66.51,707,1063
47,48,Bronson Burgoon,59,66.49,512,770
48,49,Francesco Molinari,61,66.45,505,760
49,50,Troy Merritt,69,66.43,570,858
50,51,Keegan Bradley,89,66.35,763,1150
51,45,Lucas Glover,94,66.14,830,1255
52,52,Matt Fitzpatrick,54,66.06,471,713
53,53,K.H. Lee,92,66.01,775,1174
54,54,Wes Roach,69,65.95,581,881
55,55,Russell Knox,79,65.9,661,1003
56,57,Denny McCarthy,89,65.84,744,1130
57,58,Hank Lebioda,76,65.64,640,975
58,59,Hunter Mahan,59,65.61,540,823
59,60,Daniel Berger,70,65.48,605,924
60,56,Sungjae Im,122,65.45,1078,1647
61,61,Scott Brown,86,65.41,749,1145
62,62,Pat Perez,68,65.28,566,867
63,63,Adam Svensson,73,65.24,610,935
64,64,Nate Lashley,70,65.19,620,951
65,T65,J.J. Henry,58,65.06,473,727
66,T65,Bryson DeChambeau,75,65.02,658,1012
67,67,C.T. Pan,84,64.77,741,1144
68,68,Billy Horschel,99,64.71,836,1292
69,69,Rafa Cabrera Bello,71,64.52,611,947
70,71,Jonas Blixt,82,64.31,681,1059
71,72,Alex Prugh,77,64.08,635,991
72,73,Kevin Na,65,64.05,538,840
73,70,Tommy Fleetwood,71,64.02,573,895
74,74,Sepp Straka,78,63.91,641,1003
75,76,Sam Ryder,76,63.62,640,1006
76,77,Ian Poulter,65,63.6,519,816
77,78,J.J. Spaun,90,63.56,729,1147
78,79,Josh Teater,73,63.5,595,937
79,75,Gary Woodland,87,63.41,747,1178
80,82,Bud Cauley,82,63.26,725,1146
T81,83,Kiradech Aphibarnrat,65,63.25,549,868
T81,80,Brandt Snedeker,102,63.25,876,1385
83,84,"Ted Potter, Jr.",73,63.22,629,995
84,85,Martin Laird,88,63.09,706,1119
85,87,Tyrrell Hatton,62,62.96,510,810
86,88,Si Woo Kim,87,62.95,722,1147
87,89,J.T. Poston,100,62.89,844,1342
88,90,Charles Howell III,94,62.83,803,1278
89,91,Rod Pampling,56,62.76,455,725
90,86,Jason Kokrak,94,62.74,788,1256
91,92,Dylan Frittelli,83,62.71,708,1129
92,93,Graeme McDowell,75,62.69,620,989
93,94,Chase Wright,75,62.62,603,963
94,95,Joey Garber,63,62.52,497,795
T95,81,Jon Rahm,75,62.5,595,952
T95,T96,Ryan Blaum,90,62.5,715,1144
97,98,Alex Noren,63,62.38,524,840
98,100,Carlos Ortiz,84,62.3,714,1146
99,101,Matt Jones,88,62.17,728,1171
100,103,Whee Kim,73,62.07,599,965
101,104,Shawn Stefani,80,61.89,656,1060
T102,105,Roger Sloan,88,61.83,724,1171
T102,T96,Brooks Koepka,81,61.83,643,1040
104,111,Rory McIlroy,72,61.82,591,956
105,106,Tom Hoge,98,61.81,777,1257
106,107,Jason Day,69,61.76,554,897
107,108,Aaron Wise,72,61.75,599,970
108,109,Joaquin Niemann,98,61.72,827,1340
109,110,Nick Taylor,97,61.68,800,1297
110,112,Kelly Kraft,87,61.65,696,1129
111,113,Harris English,97,61.57,782,1270
112,114,Sangmoon Bae,60,61.49,463,753
113,116,Bill Haas,77,61.33,590,962
114,99,Hideki Matsuyama,91,61.28,755,1232
115,118,Adam Schenk,102,61.27,856,1397
116,119,Richy Werenski,89,61.26,710,1159
117,120,Robert Streb,80,60.93,613,1006
118,124,Sung Kang,86,60.72,711,1171
119,125,Patton Kizzire,76,60.71,629,1036
120,126,Ryan Palmer,74,60.67,560,923
121,127,Andrew Putnam,81,60.64,647,1067
T122,117,Rickie Fowler,76,60.62,645,1064
T122,128,Freddie Jacobson,53,60.62,431,711
124,129,Cameron Tringale,73,60.53,549,907
125,130,Keith Mitchell,86,60.38,701,1161
126,132,José de Jesús Rodríguez,67,60.31,547,907
127,121,Xander Schauffele,77,60.29,627,1040
128,134,Dominic Bozzelli,73,60.19,564,937
129,131,Justin Rose,66,60.14,522,868
130,135,Anders Albertson,68,60.11,538,895
131,122,Patrick Reed,93,60.1,741,1233
132,136,Anirban Lahiri,73,60.08,578,962
133,133,Justin Thomas,75,59.98,607,1012
134,137,Harold Varner III,84,59.97,686,1144
135,123,Adam Scott,63,59.91,511,853
136,139,Sebastián Muñoz,86,59.8,668,1117
137,140,Chesson Hadley,76,59.75,616,1031
138,141,Danny Willett,63,59.57,523,878
139,142,Stephan Jaeger,77,59.54,590,991
140,138,Marc Leishman,76,59.39,601,1012
141,143,Cameron Smith,79,59.36,615,1036
142,144,Nick Watney,87,59.29,686,1157
143,145,Ernie Els,51,59.27,406,685
144,146,Beau Hossler,87,59.19,686,1159
145,147,Scott Stallings,82,58.97,641,1087
146,148,Jhonattan Vegas,75,58.93,594,1008
147,149,Sergio Garcia,53,58.82,360,612
148,150,Talor Gooch,54,58.68,443,755
149,151,Chris Stroud,70,58.29,503,863
150,152,Charley Hoffman,74,58.26,568,975
151,153,Jonathan Byrd,55,58.25,399,685
152,155,John Chin,58,58.15,439,755
153,156,Bubba Watson,65,58.13,472,812
154,157,Cam Davis,76,58.01,583,1005
T155,T158,Byeong Hun An,80,57.98,625,1078
T155,T158,Mackenzie Hughes,80,57.98,614,1059
157,161,Aaron Baddeley,55,57.74,444,769
158,162,Hudson Swafford,59,57.66,459,796
159,163,Max Homa,82,57.48,642,1117
160,154,Patrick Cantlay,77,57.34,578,1008
161,164,Patrick Rodgers,55,57.24,407,711
T162,T165,Branden Grace,76,57.22,543,949
T162,T165,Seth Reeves,73,57.22,535,935
164,167,Sam Burns,80,57.17,622,1088
165,168,Danny Lee,83,57.08,645,1130
166,169,Brandon Harkins,91,56.96,659,1157
167,170,Tony Finau,89,56.94,669,1175
168,171,Sam Saunders,78,56.55,583,1031
