RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
1,1,Rory McIlroy,14,3.0,1.0,
2,2,Jon Rahm,12,1.0,,2.0
T3,T4,Brooks Koepka,9,3.0,3.0,1.0
T3,T4,Adam Scott,9,,2.0,
T3,3,Patrick Cantlay,9,1.0,2.0,2.0
T6,T4,Gary Woodland,8,1.0,2.0,
T6,T4,Matt Kuchar,8,2.0,2.0,
T8,T13,Paul Casey,7,1.0,1.0,1.0
T8,T8,Justin Rose,7,1.0,,3.0
T8,T8,Lucas Glover,7,,,
T8,T8,Marc Leishman,7,1.0,,2.0
T8,T8,Dustin Johnson,7,1.0,2.0,
T8,T13,Hideki Matsuyama,7,,,2.0
T8,T13,Justin Thomas,7,1.0,1.0,3.0
T8,T8,Sungjae Im,7,,,1.0
T16,T25,Xander Schauffele,6,2.0,2.0,1.0
T16,T13,Rickie Fowler,6,1.0,1.0,
T16,T13,Tommy Fleetwood,6,,2.0,1.0
T16,T13,Webb Simpson,6,,3.0,1.0
T16,T13,Jason Day,6,,,
T16,T25,Tony Finau,6,,2.0,1.0
T16,T25,Chez Reavie,6,1.0,,2.0
T16,T13,Scott Piercy,6,,1.0,1.0
T16,T13,Brandt Snedeker,6,,1.0,
T16,T13,Ian Poulter,6,,,1.0
T16,T13,Rory Sabbatini,6,,,2.0
T16,T13,Ryan Palmer,6,1.0,,1.0
T28,T25,Sergio Garcia,5,,1.0,
T28,T25,Charles Howell III,5,1.0,,
T28,T25,Louis Oosthuizen,5,,1.0,
T28,T35,Kevin Kisner,5,1.0,,
T28,T25,Jason Kokrak,5,,1.0,
T28,T25,Adam Hadwin,5,,1.0,
T28,T35,Patrick Reed,5,1.0,,
T28,T25,Bryson DeChambeau,5,1.0,1.0,
T28,T25,Si Woo Kim,5,,,1.0
T37,T35,Corey Conners,4,1.0,1.0,1.0
T37,T35,Joaquin Niemann,4,,,
T37,T35,Abraham Ancer,4,,1.0,
T37,T35,Shane Lowry,4,1.0,1.0,1.0
T37,T35,Jordan Spieth,4,,,1.0
T37,T35,Troy Merritt,4,,1.0,
T37,T35,Michael Thompson,4,,,
T37,T35,Scott Brown,4,,,
T37,T35,Billy Horschel,4,,,
T37,T35,Luke List,4,,,
T37,T35,Brian Harman,4,,,
T37,T35,Kevin Streelman,4,,,
T37,T35,Martin Laird,4,,,
