RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Denny McCarthy,89,0.926,63.89,69
2,2,Jordan Spieth,82,0.862,56.9,66
3,3,Dominic Bozzelli,73,0.847,41.522,49
4,4,Graeme McDowell,75,0.731,36.555,50
5,5,Andrew Putnam,81,0.7,39.18,56
6,8,Aaron Baddeley,55,0.654,27.451,42
7,9,Patton Kizzire,76,0.642,34.05,53
8,10,Wyndham Clark,87,0.64,46.752,73
9,11,Vaughn Taylor,93,0.636,52.113,82
10,12,Beau Hossler,87,0.619,42.084,68
11,13,Webb Simpson,81,0.608,41.957,69
12,6,Brandt Snedeker,102,0.592,47.33,80
13,18,Rickie Fowler,76,0.541,34.066,63
14,15,Pat Perez,68,0.535,21.954,41
15,16,Harris English,97,0.527,41.671,79
16,17,Billy Horschel,99,0.522,36.051,69
17,7,Justin Rose,66,0.504,24.682,49
18,19,Johnson Wagner,64,0.488,22.959,47
19,20,Peter Malnati,87,0.467,35.469,76
20,26,Kevin Kisner,97,0.45,31.952,71
21,21,Curtis Luck,65,0.446,19.604,44
22,22,Patrick Rodgers,55,0.428,19.24,45
23,23,Sam Ryder,76,0.427,25.592,60
T24,25,Rory McIlroy,72,0.425,24.221,57
T24,24,Ian Poulter,65,0.425,18.695,44
26,14,Patrick Cantlay,77,0.386,22.027,57
27,28,Chase Wright,75,0.379,21.623,57
28,32,Bryson DeChambeau,75,0.372,24.564,66
29,29,Sam Burns,80,0.369,25.125,68
30,31,Jason Day,69,0.356,16.735,47
31,39,Adam Scott,63,0.348,15.321,44
32,33,Peter Uihlein,84,0.345,19.997,58
33,34,Adam Schenk,102,0.341,27.941,82
34,35,Michael Thompson,71,0.339,22.056,65
35,36,Kiradech Aphibarnrat,65,0.337,15.167,45
36,27,Jon Rahm,75,0.336,17.793,53
37,37,Brian Gay,93,0.335,24.096,72
38,38,Nick Taylor,97,0.33,28.376,86
39,42,Sungjae Im,122,0.323,32.264,100
40,40,Nate Lashley,70,0.304,16.727,55
T41,30,Marc Leishman,76,0.302,17.219,57
T41,T45,Matt Kuchar,87,0.302,19.924,66
43,44,Charles Howell III,94,0.291,21.214,73
44,41,Patrick Reed,93,0.261,19.054,73
45,T45,Adam Hadwin,86,0.252,15.644,62
46,47,Xander Schauffele,77,0.244,12.949,53
47,48,Chesson Hadley,76,0.23,13.772,60
48,51,Brooks Koepka,81,0.226,13.106,58
49,49,Sangmoon Bae,60,0.217,8.68,40
50,50,J.T. Poston,100,0.212,18.687,88
51,52,Cameron Tringale,73,0.204,10.396,51
52,54,Ryan Blaum,90,0.194,13.937,72
53,55,Ryan Armour,92,0.19,14.227,75
54,57,Brian Stuard,98,0.176,13.515,77
T55,43,Tommy Fleetwood,71,0.169,8.441,50
T55,T74,Louis Oosthuizen,71,0.169,8.113,48
57,58,Lucas Glover,94,0.164,13.324,81
58,59,Roberto Díaz,73,0.162,8.239,51
59,60,Cameron Smith,79,0.157,8.323,53
60,61,Rory Sabbatini,97,0.154,11.699,76
61,62,José de Jesús Rodríguez,67,0.151,7.422,49
62,63,Ollie Schniederjans,77,0.147,8.996,61
63,64,Scott Piercy,90,0.146,10.237,70
64,65,Freddie Jacobson,53,0.142,5.671,40
T65,T66,Scott Langley,78,0.13,8.317,64
T65,T66,Jonas Blixt,82,0.13,8.329,64
67,68,Matt Jones,88,0.12,7.926,66
68,69,Anirban Lahiri,73,0.116,6.873,59
69,70,Jim Furyk,73,0.113,6.449,57
70,72,Talor Gooch,54,0.111,5.336,48
71,73,Henrik Stenson,58,0.106,4.442,42
72,T74,Hunter Mahan,59,0.102,4.772,47
73,76,Roger Sloan,88,0.101,7.085,70
74,53,Dustin Johnson,73,0.096,5.378,56
75,77,Brice Garnett,87,0.091,5.928,65
76,78,Brian Harman,91,0.09,6.376,71
77,79,Kevin Na,65,0.089,3.925,44
78,80,Troy Merritt,69,0.085,4.773,56
79,81,Carlos Ortiz,84,0.079,5.723,72
80,82,Sebastián Muñoz,86,0.076,4.856,64
81,83,Richy Werenski,89,0.074,5.43,73
82,84,Scott Brown,86,0.073,4.993,68
83,85,Brady Schnell,53,0.065,2.539,39
T84,71,Chez Reavie,99,0.062,4.306,70
T84,86,Ryan Moore,74,0.062,3.885,63
86,87,Seamus Power,80,0.057,3.529,62
87,88,Sepp Straka,78,0.056,3.255,58
88,89,Bill Haas,77,0.055,3.354,61
89,90,Kelly Kraft,87,0.054,3.507,65
90,91,Julián Etulain,70,0.048,2.462,51
91,92,Rafa Cabrera Bello,71,0.043,2.058,48
92,93,Whee Kim,73,0.042,1.995,47
93,94,Ryan Palmer,74,0.041,2.076,51
94,95,Chris Stroud,70,0.022,1.165,52
95,96,Martin Laird,88,0.019,1.373,73
96,T97,Nick Watney,87,0.012,0.829,69
97,100,Hideki Matsuyama,91,0.011,0.811,73
98,99,Ernie Els,51,0.01,0.296,30
99,101,Wes Roach,69,0.0,-0.019,49
100,102,Max Homa,82,-0.006,-0.38,69
101,103,Mackenzie Hughes,80,-0.014,-0.901,66
102,104,Josh Teater,73,-0.017,-0.884,53
103,T97,Jason Kokrak,94,-0.018,-1.332,75
