RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Rory McIlroy,72,2.551,145.379,121.159,24.221,57
2,2,Patrick Cantlay,77,1.857,105.858,83.833,22.027,57
3,3,Adam Scott,63,1.831,80.569,65.25,15.321,44
4,4,Justin Thomas,75,1.631,91.314,101.736,-10.419,56
5,6,Webb Simpson,81,1.507,104.007,62.051,41.957,69
6,7,Jon Rahm,75,1.505,79.788,61.994,17.793,53
7,8,Hideki Matsuyama,91,1.498,109.34,108.527,0.811,73
8,13,Xander Schauffele,77,1.393,73.836,60.887,12.949,53
9,11,Brooks Koepka,81,1.366,79.205,66.101,13.106,58
10,12,Paul Casey,79,1.361,74.878,79.936,-5.058,55
11,5,Dustin Johnson,73,1.321,73.995,68.619,5.378,56
12,10,Tommy Fleetwood,71,1.279,63.931,55.49,8.441,50
13,9,Justin Rose,66,1.243,60.908,36.224,24.682,49
14,15,Rickie Fowler,76,1.066,67.135,33.069,34.066,63
15,14,Matt Kuchar,87,1.062,70.085,50.164,19.924,66
16,19,Jason Kokrak,94,1.036,77.699,79.031,-1.332,75
17,17,Sungjae Im,122,1.023,102.314,70.049,32.264,100
18,20,Bryson DeChambeau,75,1.013,66.839,42.276,24.564,66
19,16,Lucas Glover,94,0.976,79.091,65.769,13.324,81
20,21,Henrik Stenson,58,0.971,40.8,36.358,4.442,42
21,18,Brandt Snedeker,102,0.962,76.931,29.6,47.33,80
22,26,Jim Furyk,73,0.897,51.114,44.668,6.449,57
23,27,Matt Fitzpatrick,54,0.887,32.836,34.821,-1.986,37
24,22,Gary Woodland,87,0.882,57.341,66.618,-9.277,65
25,24,Patrick Reed,93,0.876,63.946,44.889,19.054,73
T26,29,Jason Day,69,0.833,39.166,22.431,16.735,47
T26,23,Marc Leishman,76,0.833,47.487,30.268,17.219,57
28,30,Billy Horschel,99,0.829,57.228,21.176,36.051,69
29,31,Ryan Moore,74,0.826,52.055,48.168,3.885,63
30,34,Chez Reavie,99,0.824,57.68,53.373,4.306,70
31,32,Rory Sabbatini,97,0.82,62.357,50.657,11.699,76
32,33,Byeong Hun An,80,0.819,49.952,85.505,-35.554,61
33,25,Charles Howell III,94,0.809,59.051,37.837,21.214,73
34,28,Louis Oosthuizen,71,0.777,37.296,29.185,8.113,48
35,36,Tony Finau,89,0.768,49.902,56.622,-6.72,65
36,35,Ian Poulter,65,0.764,33.614,14.918,18.695,44
37,37,Sergio Garcia,53,0.746,28.364,31.319,-2.954,38
38,38,Vaughn Taylor,93,0.732,60.009,7.897,52.113,82
39,40,Denny McCarthy,89,0.687,47.418,-16.473,63.89,69
40,43,Kevin Kisner,97,0.671,47.619,15.667,31.952,71
41,41,Joaquin Niemann,98,0.67,53.636,67.197,-13.561,80
42,42,Kevin Streelman,83,0.669,46.127,63.438,-17.312,69
43,44,Scott Piercy,90,0.631,44.173,33.936,10.237,70
44,45,Matt Jones,88,0.628,41.431,33.506,7.926,66
45,46,Jhonattan Vegas,75,0.626,38.204,47.727,-9.523,61
46,39,Corey Conners,90,0.62,42.769,82.54,-39.771,69
47,48,Bud Cauley,82,0.558,41.267,45.147,-3.883,74
48,49,Sepp Straka,78,0.552,32.028,28.773,3.255,58
49,50,Russell Knox,79,0.55,32.441,42.836,-10.397,59
50,51,Cameron Tringale,73,0.546,27.826,17.431,10.396,51
51,52,Andrew Putnam,81,0.536,30.013,-9.165,39.18,56
52,53,Nate Lashley,70,0.523,28.759,12.03,16.727,55
53,47,Abraham Ancer,93,0.515,36.57,41.213,-4.642,71
54,54,J.T. Poston,100,0.506,44.518,25.83,18.687,88
55,55,Tyrrell Hatton,62,0.489,20.522,28.585,-8.063,42
56,56,Adam Schenk,102,0.487,39.948,12.007,27.941,82
57,57,Ryan Palmer,74,0.475,24.2,22.121,2.076,51
58,58,Sam Ryder,76,0.462,27.691,2.099,25.592,60
T59,T59,Jordan Spieth,82,0.459,30.287,-26.613,56.9,66
T59,T59,Zach Johnson,64,0.459,24.331,28.964,-4.633,53
61,61,Nick Taylor,97,0.452,38.841,10.467,28.376,86
62,62,Dylan Frittelli,83,0.439,29.853,41.319,-11.465,68
63,63,Michael Thompson,71,0.426,27.718,5.658,22.056,65
64,64,Troy Merritt,69,0.421,23.591,18.818,4.773,56
65,65,Rafa Cabrera Bello,71,0.419,20.129,18.07,2.058,48
66,66,Emiliano Grillo,85,0.418,22.966,57.795,-34.828,55
67,67,Wyndham Clark,87,0.413,30.158,-16.593,46.752,73
68,68,Brian Stuard,98,0.393,30.239,16.725,13.515,77
69,69,Graeme McDowell,75,0.385,19.255,-17.298,36.555,50
70,70,Danny Willett,63,0.383,19.128,25.629,-6.5,50
71,71,Adam Svensson,73,0.38,20.885,53.968,-33.084,55
72,72,Peter Malnati,87,0.379,28.774,-6.693,35.469,76
73,73,Talor Gooch,54,0.37,17.782,12.447,5.336,48
74,74,Brian Harman,91,0.346,24.545,18.168,6.376,71
T75,T75,Adam Hadwin,86,0.343,21.265,5.62,15.644,62
T75,T75,Sebastián Muñoz,86,0.343,21.979,17.122,4.856,64
77,77,Aaron Wise,72,0.329,17.741,25.638,-7.897,54
78,78,Cameron Smith,79,0.324,17.174,8.852,8.323,53
79,79,Aaron Baddeley,55,0.313,13.162,-14.289,27.451,42
80,80,Pat Perez,68,0.288,11.797,-10.158,21.954,41
81,81,Bubba Watson,65,0.281,14.026,31.207,-17.18,50
82,82,Daniel Berger,70,0.28,16.501,19.009,-2.51,59
83,83,Josh Teater,73,0.262,13.9,14.783,-0.884,53
84,84,Keith Mitchell,86,0.254,15.464,36.094,-20.632,61
85,86,Patrick Rodgers,55,0.231,10.377,-8.863,19.24,45
86,87,Harold Varner III,84,0.227,16.768,31.746,-14.976,74
87,88,Martin Laird,88,0.223,16.253,14.878,1.373,73
88,89,Luke List,66,0.202,11.09,26.49,-15.4,55
89,90,Harris English,97,0.2,15.806,-25.865,41.671,79
90,91,Ryan Armour,92,0.19,14.282,0.056,14.227,75
T91,T92,Russell Henley,78,0.167,10.179,28.407,-18.228,61
T91,T92,Hank Lebioda,76,0.167,9.695,25.919,-16.223,58
93,94,Wes Roach,69,0.165,8.105,8.122,-0.019,49
94,95,Bill Haas,77,0.153,9.336,5.98,3.354,61
95,97,Keegan Bradley,89,0.147,9.873,44.424,-34.551,67
96,98,Kevin Tway,84,0.143,9.554,18.34,-8.786,67
97,99,Cam Davis,76,0.137,7.782,19.38,-11.6,57
98,100,Si Woo Kim,87,0.134,7.916,11.432,-3.516,59
99,101,Nick Watney,87,0.133,9.164,8.334,0.829,69
100,102,Carlos Ortiz,84,0.125,9.003,3.28,5.723,72
101,103,Jonas Blixt,82,0.122,7.807,-0.522,8.329,64
102,104,Shawn Stefani,80,0.093,5.763,15.607,-9.845,62
103,105,Kevin Na,65,0.087,3.841,-0.087,3.925,44
104,106,Joel Dahmen,100,0.085,6.43,14.188,-7.756,76
105,107,Kiradech Aphibarnrat,65,0.083,3.73,-11.438,15.167,45
106,108,Max Homa,82,0.082,5.655,6.036,-0.38,69
107,109,Jimmy Walker,74,0.062,3.519,10.948,-7.43,57
108,110,C.T. Pan,84,0.059,3.517,7.225,-3.71,60
109,111,Charley Hoffman,74,0.057,2.701,10.138,-7.438,47
110,112,Sam Burns,80,0.05,3.366,-21.76,25.125,68
111,113,Francesco Molinari,61,0.038,1.616,10.487,-8.87,42
T112,T114,Sung Kang,86,0.03,2.075,8.269,-6.194,70
T112,T114,J.J. Spaun,90,0.03,1.948,3.274,-1.328,64
114,116,Roger Sloan,88,0.02,1.407,-5.679,7.085,70
115,117,Chase Wright,75,0.01,0.585,-21.039,21.623,57
116,118,Roberto Castro,76,0.009,0.569,5.471,-4.903,62
117,119,Johnson Wagner,64,0.005,0.237,-22.723,22.959,47
118,120,Scott Brown,86,-0.004,-0.259,-5.251,4.993,68
119,121,Andrew Landry,80,-0.011,-0.73,9.209,-9.937,65
120,122,Kyle Stanley,81,-0.013,-0.689,15.665,-16.351,55
121,123,Jason Dufner,74,-0.015,-0.87,27.29,-28.161,57
122,124,Brice Garnett,87,-0.034,-2.181,-8.11,5.928,65
123,125,Mackenzie Hughes,80,-0.044,-2.896,-1.994,-0.901,66
124,126,Alex Prugh,77,-0.066,-3.77,15.846,-19.615,57
125,127,Scott Stallings,82,-0.078,-5.306,17.046,-22.353,68
126,128,Stephan Jaeger,77,-0.093,-5.275,-0.101,-5.176,57
127,129,Patton Kizzire,76,-0.098,-5.192,-39.241,34.05,53
T128,T130,Branden Grace,76,-0.107,-4.813,18.563,-23.379,45
T128,T130,K.H. Lee,92,-0.107,-6.611,-0.675,-5.935,62
130,132,Roberto Díaz,73,-0.123,-6.295,-14.533,8.239,51
131,133,Chesson Hadley,76,-0.128,-7.658,-21.432,13.772,60
132,134,Danny Lee,83,-0.137,-9.874,7.374,-17.247,72
133,135,Ryan Blaum,90,-0.145,-10.411,-24.349,13.937,72
134,136,Richy Werenski,89,-0.147,-10.702,-16.134,5.43,73
135,137,Dominic Bozzelli,73,-0.15,-7.331,-48.855,41.522,49
136,138,Fabián Gómez,62,-0.159,-7.652,-0.744,-6.909,48
137,139,Trey Mullinax,77,-0.172,-10.834,11.429,-22.265,63
138,140,Beau Hossler,87,-0.178,-12.125,-54.213,42.084,68
139,141,Peter Uihlein,84,-0.181,-10.48,-30.479,19.997,58
140,142,Hudson Swafford,59,-0.198,-9.301,-7.83,-1.471,47
141,143,José de Jesús Rodríguez,67,-0.24,-11.777,-19.199,7.422,49
142,144,Tom Hoge,98,-0.246,-17.694,2.78,-20.476,72
143,145,Alex Noren,63,-0.269,-11.588,-0.134,-11.455,43
144,146,Brian Gay,93,-0.278,-20.005,-44.101,24.096,72
145,147,Kramer Hickok,79,-0.287,-16.912,18.696,-35.608,59
146,148,Austin Cook,68,-0.319,-16.927,-12.27,-4.658,53
147,149,Bronson Burgoon,59,-0.344,-16.148,-2.469,-13.679,47
148,150,Ben Silverman,70,-0.357,-20.004,-13.723,-6.283,56
149,151,Sam Saunders,78,-0.365,-24.467,-18.947,-5.518,67
150,152,Jim Knous,57,-0.372,-14.518,-4.802,-9.716,39
151,153,Cameron Champ,78,-0.374,-25.463,-18.744,-6.72,68
152,154,Jim Herman,52,-0.386,-14.674,-8.82,-5.854,38
153,155,Brandon Harkins,91,-0.389,-26.873,6.32,-33.194,69
154,156,Adam Long,76,-0.418,-28.447,-3.338,-25.109,68
155,157,Robert Streb,80,-0.424,-25.412,-11.194,-14.217,60
156,158,Julián Etulain,70,-0.434,-22.122,-24.584,2.462,51
157,159,Phil Mickelson,63,-0.438,-21.906,-13.881,-8.025,50
158,160,J.B. Holmes,78,-0.45,-21.587,14.496,-36.084,48
159,161,Ollie Schniederjans,77,-0.471,-28.722,-37.719,8.996,61
160,162,Anders Albertson,68,-0.52,-27.027,-11.053,-15.974,52
161,163,Ernie Els,51,-0.527,-15.796,-16.091,0.296,30
162,164,Brendan Steele,68,-0.53,-27.037,-1.39,-25.647,51
163,165,David Hearn,55,-0.615,-20.902,-15.58,-5.323,34
T164,T166,Sangmoon Bae,60,-0.634,-25.34,-34.021,8.68,40
T164,T166,Kyle Jones,72,-0.634,-34.238,-22.536,-11.701,54
166,168,Joey Garber,63,-0.684,-29.424,-19.352,-10.074,43
167,169,Kelly Kraft,87,-0.715,-46.501,-50.007,3.507,65
168,170,Seamus Power,80,-0.719,-44.564,-48.094,3.529,62
169,171,Chris Stroud,70,-0.729,-37.92,-39.088,1.165,52
170,172,Anirban Lahiri,73,-0.752,-44.37,-51.244,6.873,59
171,173,Tyler Duncan,89,-0.758,-49.26,-12.535,-36.727,65
172,174,Jonathan Byrd,55,-0.762,-27.418,-12.577,-14.84,36
173,175,Brady Schnell,53,-0.763,-29.748,-32.287,2.539,39
174,176,Scott Langley,78,-0.767,-49.1,-57.418,8.317,64
175,177,Hunter Mahan,59,-0.774,-36.371,-41.145,4.772,47
176,178,Freddie Jacobson,53,-0.826,-33.045,-38.717,5.671,40
177,179,Alex Cejka,58,-0.844,-33.767,-14.498,-19.269,40
178,181,"Ted Potter, Jr.",73,-0.944,-56.634,-43.649,-12.987,60
179,183,Cody Gribble,74,-1.027,-59.569,-57.667,-1.902,58
180,184,Curtis Luck,65,-1.104,-48.583,-68.187,19.604,44
181,185,Rod Pampling,56,-1.177,-48.264,-15.645,-32.621,41
182,186,J.J. Henry,58,-1.192,-48.871,-21.93,-26.941,41
183,187,Whee Kim,73,-1.29,-60.62,-62.615,1.995,47
184,188,Martin Trainer,63,-1.431,-71.534,-69.497,-2.036,50
185,189,Seth Reeves,73,-1.439,-76.265,-51.117,-25.149,53
186,190,John Chin,58,-1.555,-59.101,-47.007,-12.096,38
187,191,Satoshi Kodaira,67,-1.628,-83.019,-57.302,-25.717,51
188,192,Michael Kim,61,-2.135,-96.09,-87.759,-8.333,45
