RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1.0,Dustin Johnson,45,10.28,462.72,-147.61,319.54,
2,2.0,Jon Rahm,52,9.97,518.59,-144.79,266.92,
3,3.0,Justin Thomas,50,8.63,431.3,-145.19,243.82,
4,4.0,Rory McIlroy,49,7.9,387.0,-179.42,98.9,
5,5.0,Collin Morikawa,40,7.72,308.78,-24.12,255.3,
6,6.0,Webb Simpson,46,7.04,323.99,-106.34,196.46,
7,11.0,Xander Schauffele,52,6.4,332.93,-126.95,170.24,
8,7.0,Brooks Koepka,48,6.1,292.98,-193.7,59.07,
9,8.0,Bryson DeChambeau,52,5.99,311.28,-136.01,202.47,
10,9.0,Patrick Reed,52,5.86,304.84,-111.86,170.08,
11,10.0,Adam Scott,40,5.32,212.89,-84.38,83.49,
12,12.0,Patrick Cantlay,43,5.24,225.33,-109.0,57.98,
13,13.0,Daniel Berger,45,5.01,225.23,-24.98,203.14,
14,15.0,Tyrrell Hatton,48,4.85,232.89,-63.29,138.42,
15,14.0,Tony Finau,52,4.65,242.05,-113.59,122.95,
16,16.0,Tommy Fleetwood,52,4.53,235.42,-119.17,59.86,
17,17.0,Matt Fitzpatrick,52,4.3,223.74,-75.44,105.94,
18,19.0,Justin Rose,49,4.21,206.35,-144.49,63.1,
19,20.0,Hideki Matsuyama,52,4.21,218.97,-79.25,84.76,
20,18.0,Tiger Woods,40,4.17,166.88,-111.87,15.63,
21,21.0,Paul Casey,52,4.13,214.63,-94.82,79.36,
22,26.0,Abraham Ancer,52,3.92,203.87,-59.31,120.1,
23,24.0,Louis Oosthuizen,48,3.9,187.37,-76.7,66.92,
24,27.0,Sungjae Im,52,3.9,202.88,-58.74,113.74,
25,22.0,Gary Woodland,52,3.89,202.21,-94.86,58.51,
26,23.0,Marc Leishman,50,3.88,194.22,-77.21,106.85,
27,25.0,Matt Kuchar,51,3.87,197.3,-89.73,86.19,
28,28.0,Shane Lowry,52,3.58,186.32,-82.73,46.19,
29,36.0,Scottie Scheffler,49,3.55,173.89,-24.99,121.37,
30,29.0,Kevin Kisner,52,3.45,179.27,-66.05,97.04,
31,31.0,Viktor Hovland,40,3.4,136.05,-19.99,93.67,
32,30.0,Bernd Wiesberger,40,3.36,134.57,-47.61,19.71,
33,32.0,Billy Horschel,52,3.18,165.23,-67.2,81.1,
34,33.0,Kevin Na,51,3.03,154.36,-67.93,59.07,
35,34.0,Ryan Palmer,47,3.0,140.82,-32.54,103.13,
36,35.0,Matthew Wolff,40,2.93,117.35,-16.94,79.86,
37,37.0,Jason Day,46,2.89,132.85,-63.93,81.71,
38,38.0,Rickie Fowler,44,2.85,125.35,-80.96,38.05,
39,39.0,Brendon Todd,42,2.74,114.93,-18.12,54.42,
40,40.0,Henrik Stenson,40,2.69,107.48,-55.86,7.26,
41,41.0,Chez Reavie,52,2.59,134.58,-58.25,42.08,
42,42.0,Lee Westwood,45,2.56,114.98,-40.6,70.44,
43,43.0,Danny Willett,52,2.51,130.58,-57.75,22.26,
44,44.0,Sergio Garcia,51,2.47,125.72,-57.63,47.31,
45,51.0,Harris English,52,2.43,126.6,-16.61,95.9,
46,45.0,Matt Wallace,52,2.4,124.92,-70.05,36.93,
47,47.0,Kevin Streelman,52,2.38,123.93,-28.44,84.83,
48,46.0,Erik van Rooyen,52,2.37,123.49,-43.56,47.87,
