RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Adam Scott,79,2.062,0.522,1.491,0.049,56
2,2,Rory McIlroy,69,1.888,1.23,0.447,0.211,48
3,3,Dustin Johnson,87,1.646,1.117,0.43,0.066,63
4,5,Bubba Watson,72,1.359,0.983,0.393,-0.017,51
5,6,Justin Rose,65,1.325,0.678,0.409,0.237,49
6,4,Hideki Matsuyama,76,1.315,0.527,0.774,0.015,58
7,9,Paul Casey,77,1.26,0.494,0.616,0.15,57
8,8,Rickie Fowler,80,1.224,0.529,0.308,0.387,64
9,10,Sergio Garcia,54,1.189,0.737,0.482,-0.031,31
10,7,Charl Schwartzel,73,1.18,0.304,0.652,0.224,56
11,11,Webb Simpson,70,1.149,0.146,0.728,0.276,58
12,13,Kevin Chappell,93,1.077,0.317,0.634,0.126,78
13,12,Gary Woodland,95,1.065,0.695,0.522,0.088,78
14,14,Jason Day,76,0.987,0.186,0.426,0.375,54
15,16,Branden Grace,63,0.96,0.326,0.603,0.032,42
16,17,Matt Kuchar,100,0.933,0.364,0.326,0.242,77
17,18,Keegan Bradley,82,0.929,0.305,0.419,0.205,63
18,21,Ryan Palmer,86,0.868,0.625,0.242,0.0,78
19,23,Francesco Molinari,64,0.859,0.192,0.484,0.183,57
20,24,Louis Oosthuizen,63,0.857,0.387,0.3,0.17,42
21,19,Roberto Castro,97,0.844,0.217,0.437,0.19,88
22,22,Jason Dufner,105,0.84,0.29,0.469,0.081,79
23,T25,Robert Garrigus,69,0.836,0.35,0.734,-0.286,55
24,27,Jason Kokrak,89,0.813,0.594,0.424,-0.238,75
25,15,Jordan Spieth,80,0.811,0.402,0.145,0.264,58
26,20,Phil Mickelson,75,0.799,-0.145,0.726,0.218,59
27,29,Chad Campbell,90,0.768,0.048,0.235,0.346,80
28,30,Lucas Glover,75,0.764,0.565,0.308,-0.11,67
29,T31,Chez Reavie,90,0.762,0.262,0.567,-0.068,76
30,T25,Patrick Reed,105,0.746,0.183,0.158,0.406,78
31,T31,Daniel Berger,92,0.718,0.329,0.49,-0.1,72
32,35,Billy Horschel,73,0.717,0.201,0.422,-0.102,57
33,36,Luke List,79,0.709,0.427,0.277,0.004,65
34,37,Bill Haas,86,0.693,0.068,0.272,0.353,64
35,28,Jimmy Walker,85,0.671,0.044,0.69,0.225,71
36,39,Chris Kirk,90,0.66,0.086,0.369,0.205,74
37,40,Brooks Koepka,75,0.648,0.542,0.139,-0.033,60
38,34,J.B. Holmes,77,0.633,0.663,-0.151,0.233,61
39,43,Alex Cejka,71,0.631,-0.292,0.626,0.297,51
40,45,Charley Hoffman,91,0.617,0.384,0.161,-0.085,71
41,46,Robert Streb,87,0.606,0.05,0.366,0.209,66
42,41,Si Woo Kim,113,0.605,0.257,-0.168,0.403,99
43,42,William McGirt,98,0.598,0.37,0.256,-0.029,88
44,38,Brandt Snedeker,93,0.573,-0.059,0.164,0.32,75
45,44,Russell Knox,92,0.56,0.13,0.356,0.073,65
46,49,Shane Lowry,57,0.556,0.296,-0.18,0.139,37
47,33,Kevin Na,96,0.553,-0.322,0.788,0.087,69
48,50,Charles Howell III,91,0.549,0.039,0.046,0.323,79
49,55,Ryan Moore,86,0.544,-0.112,0.418,0.237,65
50,51,Brendan Steele,88,0.542,0.331,0.238,-0.188,69
T51,47,Emiliano Grillo,93,0.534,0.446,0.255,-0.167,73
T51,52,Greg Owen,85,0.534,0.177,0.475,-0.279,69
53,53,Justin Thomas,99,0.506,0.029,0.494,-0.017,75
54,54,Patrick Rodgers,89,0.504,0.356,-0.009,0.157,71
55,48,Jhonattan Vegas,97,0.498,0.589,0.18,-0.112,81
56,56,Danny Lee,93,0.489,0.108,0.205,0.02,71
57,57,Harold Varner III,92,0.481,0.472,0.057,-0.078,80
58,58,Scott Piercy,87,0.479,0.608,0.116,0.002,65
59,59,Jim Furyk,52,0.463,-0.234,0.465,0.232,44
60,60,Stewart Cink,61,0.46,-0.049,0.492,0.017,49
61,61,Vaughn Taylor,72,0.457,-0.113,0.612,-0.042,67
62,62,Kevin Streelman,82,0.45,0.289,0.238,-0.008,64
63,63,Scott Stallings,74,0.443,0.106,0.177,0.018,63
64,64,Jerry Kelly,76,0.381,0.013,0.427,-0.059,60
65,66,Jamie Lovemark,91,0.373,0.609,-0.459,0.294,83
66,67,Russell Henley,76,0.366,0.269,0.136,-0.038,69
67,68,Graham DeLaet,70,0.347,0.444,0.662,-0.567,59
68,69,David Hearn,95,0.311,-0.303,0.532,0.081,82
69,70,Boo Weekley,83,0.307,0.571,-0.09,-0.174,71
70,71,Kyle Stanley,92,0.279,0.041,0.262,-0.07,79
71,72,Padraig Harrington,54,0.275,-0.292,0.159,0.408,44
72,73,Marc Leishman,89,0.258,0.159,-0.092,0.191,65
73,74,Geoff Ogilvy,63,0.249,-0.081,0.173,0.157,50
74,75,David Toms,62,0.248,-0.39,0.36,0.278,54
75,77,Smylie Kaufman,91,0.231,-0.022,0.039,0.059,72
T76,T78,Luke Donald,81,0.23,-0.665,0.465,0.429,59
T76,T78,Spencer Levin,104,0.23,0.043,0.003,0.184,82
78,80,Tim Wilkinson,72,0.226,-0.459,0.424,0.26,50
79,81,Vijay Singh,72,0.222,0.023,-0.01,0.209,65
80,82,Tony Finau,95,0.216,0.365,-0.247,-0.045,78
81,83,Zach Johnson,90,0.214,-0.269,0.163,0.321,73
82,84,David Lingmerth,84,0.206,0.193,0.116,-0.103,60
83,85,Shawn Stefani,91,0.191,0.003,0.073,0.116,77
84,86,D.A. Points,55,0.19,-0.492,0.64,0.041,39
85,87,Will MacKenzie,84,0.176,0.032,0.072,0.072,66
86,76,Sean O'Hair,89,0.163,0.325,-0.187,0.024,84
87,88,Retief Goosen,55,0.151,-0.385,0.08,0.457,48
88,89,Thomas Aiken,70,0.15,0.438,0.101,-0.39,48
