RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
43,44,Hunter Mahan,61,0.253,12.663,50
44,45,Marc Leishman,89,0.252,16.35,65
45,46,Troy Merritt,77,0.244,15.828,65
46,47,Ben Crane,80,0.23,15.16,66
47,T37,Jimmy Walker,85,0.222,15.737,71
48,48,David Hearn,95,0.214,17.563,82
49,49,Fabián Gómez,82,0.213,15.516,73
T50,61,Sean O'Hair,89,0.208,17.474,84
T50,50,Morgan Hoffmann,71,0.208,12.291,59
52,51,Kelly Kraft,63,0.207,9.302,45
53,52,Hudson Swafford,104,0.205,18.864,92
54,53,Camilo Villegas,83,0.203,14.392,71
55,54,Stuart Appleby,71,0.201,13.289,66
56,55,Zac Blair,99,0.195,15.806,81
57,56,Russell Henley,76,0.193,13.327,69
58,58,Sung Kang,89,0.186,13.606,73
59,59,Seung-Yul Noh,85,0.176,12.116,69
60,57,Daniel Berger,92,0.175,12.627,72
61,60,Hiroshi Iwata,85,0.174,11.645,67
62,62,Martin Laird,82,0.158,11.202,71
63,63,Brendon de Jonge,83,0.156,10.126,65
T64,T64,Steve Wheatcroft,85,0.153,10.738,70
T64,T64,Rickie Fowler,80,0.153,9.807,64
66,66,Charles Howell III,91,0.152,11.999,79
67,67,Chris Stroud,82,0.15,10.38,69
68,68,Luke Donald,81,0.148,8.761,59
69,69,Dicky Pride,55,0.144,5.901,41
70,70,Ben Martin,92,0.14,11.202,80
71,72,David Toms,62,0.132,7.145,54
T72,T73,Steven Bowditch,71,0.131,7.212,55
T72,T73,Jamie Lovemark,91,0.131,10.909,83
74,75,Kyle Reifers,115,0.12,11.617,97
T75,T77,Shane Lowry,57,0.113,4.18,37
T75,T77,Smylie Kaufman,91,0.113,8.107,72
T77,79,Billy Horschel,73,0.112,6.405,57
T77,76,Paul Casey,77,0.112,6.384,57
79,71,Kevin Na,96,0.074,5.14,69
80,80,Jhonattan Vegas,97,0.072,5.836,81
T81,T81,Steve Marino,72,0.067,3.776,56
T81,T81,Jim Furyk,52,0.067,2.965,44
83,83,Sam Saunders,69,0.06,3.082,51
84,84,Cameron Tringale,81,0.057,4.003,70
85,85,David Lingmerth,84,0.055,3.274,60
86,86,Scott Langley,65,0.045,2.395,53
87,87,D.H. Lee,61,0.042,1.949,46
88,88,Henrik Norlander,71,0.039,2.092,53
89,89,Jason Bohn,67,0.032,1.909,59
T90,T90,Alex Cejka,71,0.01,0.527,51
T90,T90,Scott Brown,88,0.01,0.734,70
T90,T90,Blayne Barber,84,0.01,0.776,74
93,93,Spencer Levin,104,0.008,0.696,82
94,94,Andres Gonzales,80,0.007,0.466,64
95,95,Thomas Aiken,70,0.006,0.284,48
96,96,Bronson Burgoon,83,0.002,0.145,65
97,97,Chad Collins,73,-0.004,-0.273,64
98,98,Chris Kirk,90,-0.006,-0.466,74
99,99,Anirban Lahiri,72,-0.02,-0.959,48
100,100,Louis Oosthuizen,63,-0.021,-0.898,42
101,101,Brian Stuard,66,-0.022,-1.34,60
102,124,Hideki Matsuyama,76,-0.025,-1.472,58
103,103,Will Wilcox,67,-0.027,-1.533,57
104,104,Rob Oppenheim,67,-0.038,-1.931,51
105,105,Erik Compton,65,-0.04,-2.058,51
106,102,Russell Knox,92,-0.054,-3.5,65
107,113,Emiliano Grillo,93,-0.056,-4.058,73
108,106,Cameron Smith,73,-0.057,-2.619,46
T109,T107,Brett Stegmaier,87,-0.061,-4.545,75
T109,T107,Dawie van der Walt,72,-0.061,-3.442,56
T111,T109,Tyrone Van Aswegen,105,-0.064,-5.648,88
T111,T109,Scott Pinckney,87,-0.064,-4.514,71
113,112,Tom Hoge,81,-0.07,-4.381,63
114,114,Tony Finau,95,-0.088,-6.838,78
115,115,Charley Hoffman,91,-0.092,-6.516,71
T116,T116,Ryan Palmer,86,-0.094,-7.314,78
T116,T116,Vijay Singh,72,-0.094,-6.09,65
118,122,Si Woo Kim,113,-0.102,-10.05,99
119,118,Kyle Stanley,92,-0.103,-8.1,79
120,119,Branden Grace,63,-0.105,-4.403,42
121,120,Jason Gore,78,-0.109,-6.561,60
122,111,J.B. Holmes,77,-0.129,-7.886,61
123,123,Tyler Aldridge,83,-0.13,-8.682,67
124,129,Charl Schwartzel,73,-0.137,-7.649,56
125,125,Michael Thompson,71,-0.151,-8.18,54
126,126,Nick Taylor,83,-0.154,-10.16,66
127,T127,Mark Wilson,66,-0.155,-8.532,55
128,T127,Gary Woodland,95,-0.162,-12.638,78
129,121,Adam Scott,79,-0.168,-9.406,56
130,130,Bill Haas,86,-0.174,-11.157,64
131,146,Justin Thomas,99,-0.185,-13.896,75
132,131,John Huh,86,-0.187,-14.782,79
T133,T132,Chesson Hadley,81,-0.192,-12.889,67
T133,T132,Lucas Glover,75,-0.192,-12.866,67
135,134,Patrick Rodgers,89,-0.193,-13.719,71
136,135,Justin Rose,65,-0.197,-9.639,49
137,T136,Graeme McDowell,63,-0.199,-8.967,45
138,138,Robert Garrigus,69,-0.2,-10.975,55
139,140,Rory McIlroy,69,-0.207,-9.939,48
140,139,Jerry Kelly,76,-0.214,-12.848,60
141,141,Whee Kim,82,-0.219,-14.208,65
142,142,Danny Lee,93,-0.221,-15.698,71
143,143,Chad Campbell,90,-0.223,-17.875,80
144,144,Boo Weekley,83,-0.225,-15.978,71
145,145,Graham DeLaet,70,-0.227,-13.371,59
146,147,Carlos Ortiz,79,-0.242,-14.777,61
147,148,James Hahn,85,-0.243,-16.989,70
148,149,Roberto Castro,97,-0.257,-22.642,88
149,150,Chez Reavie,90,-0.262,-19.913,76
150,151,Rhein Gibson,58,-0.266,-11.705,44
151,152,J.J. Henry,68,-0.269,-16.396,61
152,153,Luke List,79,-0.273,-17.737,65
153,154,Brendan Steele,88,-0.287,-19.769,69
154,155,Jason Kokrak,89,-0.288,-21.628,75
155,157,Scott Piercy,87,-0.292,-18.967,65
156,158,Francesco Molinari,64,-0.296,-16.896,57
157,159,Scott Stallings,74,-0.305,-19.225,63
158,160,Kevin Chappell,93,-0.307,-23.948,78
159,161,Matt Jones,83,-0.314,-19.755,63
160,162,Jim Herman,93,-0.318,-22.564,71
161,163,Kevin Streelman,82,-0.326,-20.863,64
162,164,Shawn Stefani,91,-0.336,-25.84,77
163,165,Padraig Harrington,54,-0.342,-15.051,44
164,167,Ángel Cabrera,62,-0.347,-16.986,49
165,169,Jason Dufner,105,-0.353,-27.865,79
166,168,Harold Varner III,92,-0.357,-28.59,80
167,166,Bubba Watson,72,-0.367,-18.693,51
168,170,Sergio Garcia,54,-0.388,-12.029,31
169,171,Robert Streb,87,-0.396,-26.163,66
170,172,Stewart Cink,61,-0.398,-19.512,49
171,173,Jeff Overton,69,-0.416,-24.134,58
172,174,Abraham Ancer,51,-0.421,-15.98,38
173,175,Vaughn Taylor,72,-0.424,-28.391,67
174,176,Geoff Ogilvy,63,-0.437,-21.846,50
175,178,Rod Pampling,54,-0.475,-17.59,37
176,179,Will MacKenzie,84,-0.479,-31.646,66
177,180,Webb Simpson,70,-0.482,-27.946,58
178,181,George McNeill,51,-0.485,-22.315,46
179,182,Robert Allenby,51,-0.491,-20.117,41
180,183,Ken Duke,58,-0.524,-25.147,48
181,184,Derek Ernst,59,-0.556,-23.907,43
182,185,D.A. Points,55,-0.596,-23.247,39
183,186,Keegan Bradley,82,-0.631,-39.747,63
184,187,Rory Sabbatini,57,-0.945,-36.836,39
185,188,Greg Owen,85,-0.987,-68.137,69
