RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Jason Day,76,1.13,61.042,54
2,2,Jordan Spieth,80,0.758,43.954,58
3,3,Kevin Kisner,97,0.672,49.051,73
4,4,Andrew Landry,53,0.654,21.591,33
5,6,Steve Stricker,53,0.62,27.895,45
6,7,Harris English,97,0.594,43.331,73
7,8,Daniel Summerhays,99,0.592,46.747,79
8,9,Aaron Baddeley,93,0.586,43.961,75
9,5,Phil Mickelson,75,0.565,33.335,59
10,10,Bryce Molder,80,0.553,37.064,67
11,11,Adam Hadwin,93,0.53,46.675,88
12,12,Jonas Blixt,79,0.527,35.81,68
13,13,Martin Piller,59,0.518,24.357,47
14,14,Peter Malnati,85,0.491,36.352,74
15,15,Freddie Jacobson,86,0.487,35.039,72
16,16,Brian Harman,104,0.465,42.762,92
T17,T17,Brendon Todd,66,0.462,24.939,54
T17,T17,Retief Goosen,55,0.462,22.157,48
19,19,Brooks Koepka,75,0.445,26.681,60
20,21,Patton Kizzire,93,0.442,33.154,75
21,22,Billy Hurley III,66,0.433,25.52,59
22,23,Jon Curran,99,0.407,34.19,84
23,24,Ernie Els,66,0.405,22.659,56
24,25,Luke Guthrie,57,0.404,18.169,45
T25,T26,Zach Johnson,90,0.395,28.816,73
T25,30,Brandt Snedeker,93,0.395,29.605,75
T25,T26,Colt Knost,90,0.395,28.051,71
28,28,Ricky Barnes,97,0.385,30.827,80
29,20,Matt Kuchar,100,0.381,29.342,77
30,29,William McGirt,98,0.36,31.667,88
31,31,Derek Fathauer,94,0.356,27.054,76
32,39,Ryan Moore,86,0.351,22.831,65
33,32,K.J. Choi,73,0.349,23.403,67
34,33,Tim Wilkinson,72,0.335,16.775,50
35,34,John Senden,88,0.321,25.352,79
36,T37,Wes Roach,59,0.299,12.878,43
37,35,Dustin Johnson,87,0.281,17.729,63
T38,40,Andrew Loupe,75,0.28,18.765,67
T38,36,Patrick Reed,105,0.28,21.805,78
40,41,Michael Kim,100,0.276,23.706,86
41,42,Johnson Wagner,86,0.273,20.728,76
42,43,Mark Hubbard,101,0.272,22.546,83
