RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,2,J.B. Holmes,77,314.5,46541,148
2,1,Dustin Johnson,87,313.6,48921,156
3,3,Tony Finau,95,312.2,56820,182
4,4,Bubba Watson,72,310.6,40382,130
5,5,Andrew Loupe,75,309.3,46084,149
6,6,Jason Kokrak,89,307.4,54711,178
T7,T7,Luke List,79,306.9,47257,154
T7,T7,Hudson Swafford,104,306.9,61380,200
9,10,Rory McIlroy,69,306.8,35585,116
10,9,Gary Woodland,95,306.1,50811,166
11,11,Jamie Lovemark,91,304.8,55160,181
12,T12,Ryan Palmer,86,304.7,52410,172
13,14,Adam Scott,79,304.6,41422,136
14,T12,Jhonattan Vegas,97,304.4,56616,186
15,16,Jason Day,76,304.2,41973,138
16,15,Justin Rose,65,303.9,37687,124
17,17,Charles Howell III,91,303.4,52788,174
18,18,Robert Garrigus,69,303.3,39128,129
19,19,Brooks Koepka,75,302.6,42359,140
T20,22,Sean O'Hair,89,302.2,53787,178
T20,20,Brendan Steele,88,302.2,48355,160
22,21,Harold Varner III,92,302.0,54967,182
23,23,Rickie Fowler,80,301.6,44029,146
T24,25,Jimmy Walker,85,301.3,49410,164
T24,24,Justin Thomas,99,301.3,53034,176
26,26,Patrick Rodgers,89,300.5,51088,170
27,27,Keegan Bradley,82,300.0,46794,156
28,28,Sergio Garcia,54,299.9,25792,86
29,29,Harris English,97,299.2,52951,177
30,30,Smylie Kaufman,91,299.0,52632,176
31,31,Carlos Ortiz,79,298.9,42439,142
32,32,Shane Lowry,57,298.7,29869,100
33,33,Martin Laird,82,298.5,46569,156
34,T35,Daniel Berger,92,298.4,48337,162
35,34,Lucas Glover,75,298.3,44751,150
36,T35,Charley Hoffman,91,298.2,52477,176
T37,T37,Scott Piercy,87,297.9,44680,150
T37,T37,Graham DeLaet,70,297.9,38728,130
39,39,Greg Owen,85,297.7,45851,154
40,40,Rhein Gibson,58,297.5,32126,108
