RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Vijay Singh,111,2.03,0.934,0.697,0.398,88
2,2,Kenny Perry,82,1.835,0.949,0.898,-0.012,60
3,3,Sergio Garcia,73,1.773,1.003,0.522,0.248,52
4,4,Tiger Woods,76,1.742,0.896,0.86,-0.015,55
5,5,Jim Furyk,94,1.5,0.096,0.982,0.422,72
6,6,Luke Donald,67,1.434,0.082,0.93,0.422,40
7,7,Phil Mickelson,81,1.261,0.341,0.565,0.355,50
8,9,Brian Davis,75,1.12,0.488,0.592,0.04,64
9,10,Joe Durant,81,1.112,0.562,0.523,0.028,69
10,11,Fred Couples,72,1.098,0.499,0.629,-0.03,44
11,13,Scott Verplank,87,1.042,0.246,0.593,0.203,66
12,17,Adam Scott,72,1.03,0.441,0.566,0.024,52
13,12,Billy Mayfair,114,0.984,0.409,0.304,0.271,102
14,15,Justin Rose,99,0.964,0.342,0.399,0.223,89
15,14,Davis Love III,80,0.945,0.498,0.433,0.014,57
16,8,David Toms,87,0.922,0.201,0.546,0.174,64
17,18,Shigeki Maruyama,99,0.92,-0.117,0.721,0.316,85
18,19,Robert Allenby,95,0.88,0.345,0.705,-0.17,73
19,21,Alex Cejka,84,0.853,0.012,0.761,0.08,70
20,16,Tim Clark,92,0.848,0.052,0.608,0.188,65
21,22,Greg Owen,84,0.818,0.441,0.386,-0.008,71
22,23,Woody Austin,100,0.815,0.126,0.49,0.2,91
23,20,Tim Herron,100,0.797,0.249,0.189,0.359,78
24,28,Stuart Appleby,84,0.783,0.41,0.206,0.168,63
25,36,Bart Bryant,91,0.772,0.44,0.452,-0.12,77
26,26,D.J. Trahan,81,0.758,0.551,0.203,0.003,71
27,27,Jerry Kelly,101,0.744,0.336,0.292,0.115,76
28,29,Bob Estes,92,0.737,-0.06,0.676,0.121,80
29,31,Mark Calcavecchia,92,0.73,0.348,0.586,-0.204,77
30,24,Charles Howell III,95,0.705,0.429,0.047,0.229,72
31,33,David Hearn,68,0.703,0.564,0.139,0.0,61
32,35,Rod Pampling,89,0.688,0.353,0.302,0.033,70
T33,T37,Jeff Brehaut,71,0.674,0.048,0.633,-0.006,63
T33,T37,Rocco Mediate,73,0.674,0.168,0.436,0.069,66
35,39,Joey Sindelar,104,0.65,0.29,0.532,-0.172,99
36,40,Jason Bohn,91,0.643,0.189,0.435,0.019,82
37,41,J.J. Henry,102,0.64,0.316,0.371,-0.047,87
38,42,Omar Uresti,84,0.639,0.114,0.294,0.231,74
39,25,Lucas Glover,88,0.623,0.541,0.25,-0.169,79
40,43,John Senden,101,0.599,0.297,0.362,-0.06,91
41,45,Mathias Grönberg,60,0.592,0.529,0.02,0.043,56
T42,30,Chris DiMarco,83,0.591,-0.229,0.762,0.058,59
T42,46,Zach Johnson,96,0.591,0.49,0.08,0.021,83
44,48,Heath Slocum,103,0.585,0.119,0.459,0.007,90
45,34,Retief Goosen,71,0.583,0.281,0.336,-0.034,43
46,49,Tom Lehman,69,0.58,0.067,0.476,0.037,50
47,32,Justin Leonard,78,0.564,-0.031,0.393,0.202,55
48,50,Vaughn Taylor,99,0.558,0.176,0.312,0.07,90
49,44,Brandt Jobe,96,0.557,0.429,0.314,-0.186,82
50,52,John Rollins,97,0.547,0.551,-0.031,0.028,83
T51,53,Tommy Armour III,103,0.529,0.268,0.378,-0.117,92
T51,51,Chad Campbell,95,0.529,-0.06,0.476,0.113,76
53,54,Jay Haas,54,0.523,-0.218,0.615,0.126,39
54,55,Jeff Maggert,79,0.508,0.297,0.403,-0.193,60
55,56,Jonathan Kaye,77,0.505,0.34,0.155,0.01,64
56,57,Scott Gutschewski,86,0.501,0.458,0.112,-0.07,72
57,58,J.L. Lewis,98,0.489,0.206,0.161,0.122,82
58,59,José María Olazábal,55,0.487,-0.177,0.239,0.425,41
59,47,Fred Funk,102,0.48,-0.018,0.427,0.072,82
60,60,Craig Barlow,81,0.479,0.041,0.425,0.014,64
61,61,Carlos Franco,78,0.477,0.025,0.368,0.084,67
62,62,Brett Wetterich,76,0.473,0.737,0.122,-0.386,68
63,63,Harrison Frazar,105,0.466,0.489,0.21,-0.234,94
64,T64,Stephen Leaney,89,0.452,-0.182,0.331,0.303,76
65,66,Brett Quigley,96,0.427,-0.024,0.056,0.396,85
66,67,Loren Roberts,54,0.42,-0.539,0.771,0.188,48
67,68,Bo Van Pelt,112,0.419,0.156,0.427,-0.163,93
T68,T69,Geoff Ogilvy,97,0.416,0.189,0.029,0.198,75
T68,T69,K.J. Choi,78,0.416,0.392,-0.221,0.245,54
T68,T69,Tom Pernice Jr.,111,0.416,0.157,0.116,0.143,89
T71,T72,Lee Westwood,50,0.396,0.702,0.089,-0.395,33
T71,T72,Peter Lonard,85,0.396,0.162,0.198,0.037,66
73,74,Stephen Ames,82,0.376,-0.087,0.369,0.094,61
74,T64,Ted Purdy,122,0.375,0.352,0.034,-0.011,100
75,75,Jeff Sluman,94,0.371,-0.029,0.356,0.044,85
76,76,Bernhard Langer,67,0.347,-0.218,0.39,0.176,46
77,77,Kevin Sutherland,89,0.346,-0.009,-0.01,0.366,74
78,78,Carl Pettersson,109,0.338,-0.235,0.394,0.18,94
79,79,Rory Sabbatini,81,0.322,0.176,-0.058,0.204,60
80,80,Joey Snyder III,102,0.318,0.49,0.177,-0.349,92
81,81,Arron Oberholser,65,0.315,0.245,0.112,-0.042,51
82,82,Marco Dawson,82,0.304,0.142,-0.092,0.255,79
83,83,Ryuji Imada,78,0.303,0.142,-0.008,0.17,67
84,84,Doug Barron,70,0.285,-0.056,0.222,0.119,65
85,85,Charles Warren,89,0.279,0.708,-0.077,-0.352,81
86,86,Stewart Cink,98,0.278,-0.262,0.529,0.011,71
87,87,Arjun Atwal,65,0.27,0.075,0.256,-0.061,61
88,88,Jay Williamson,53,0.264,0.319,-0.211,0.156,47
89,89,Jonathan Byrd,103,0.248,0.104,-0.037,0.181,94
90,90,Steve Elkington,67,0.238,0.143,-0.033,0.128,55
91,91,Briny Baird,98,0.237,0.2,0.105,-0.068,89
92,92,Dudley Hart,84,0.235,-0.213,0.41,0.038,73
93,93,Sean O'Hair,103,0.229,0.549,0.004,-0.324,86
94,94,Richard Johnson,50,0.192,-0.018,0.19,0.019,46
95,95,Darron Stiles,78,0.172,0.107,0.128,-0.063,70
96,96,Daniel Chopra,108,0.166,0.227,-0.152,0.091,93
97,97,Dan Forsman,52,0.165,-0.295,0.332,0.129,47
98,98,John Huston,90,0.147,0.1,0.291,-0.243,80
99,99,Olin Browne,99,0.143,-0.105,0.407,-0.16,84
