RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
125,125,Carlos Franco,78,-0.076,-5.096,67
126,126,Heath Slocum,103,-0.077,-6.955,90
127,T113,Billy Mayfair,114,-0.08,-8.154,102
128,129,Brian Bateman,98,-0.097,-8.378,86
T129,130,Ben Curtis,65,-0.101,-5.056,50
T129,128,Lucas Glover,88,-0.101,-7.945,79
T131,T131,Chris Anderson,66,-0.106,-6.166,58
T131,T131,Skip Kendall,80,-0.106,-7.514,71
133,133,John Rollins,97,-0.126,-10.444,83
134,135,Jeff Maggert,79,-0.133,-7.976,60
135,136,Franklin Langham,91,-0.138,-10.596,77
T136,T137,Danny Briggs,70,-0.146,-9.021,62
T136,T137,Charles Warren,89,-0.146,-11.858,81
T138,T139,Neal Lancaster,95,-0.158,-13.551,86
T138,T139,Jay Williamson,53,-0.158,-7.44,47
140,141,Justin Bolli,65,-0.161,-9.49,59
T141,T142,Jonathan Kaye,77,-0.164,-10.482,64
T141,T142,Peter Lonard,85,-0.164,-10.8,66
T141,118,Kenny Perry,82,-0.164,-9.834,60
144,T144,Steve Allan,102,-0.165,-14.674,89
T145,T146,Bill Glasson,54,-0.17,-7.479,44
T145,T146,Tom Gillis,77,-0.17,-11.722,69
147,148,Mike Weir,71,-0.171,-8.036,47
148,149,Jeff Hart,63,-0.176,-10.183,58
149,T144,Tim Clark,92,-0.177,-11.484,65
150,150,Woody Austin,100,-0.178,-16.167,91
151,151,Brendan Jones,81,-0.184,-13.419,73
152,152,Vaughn Taylor,99,-0.195,-17.558,90
153,153,Robert Allenby,95,-0.207,-15.131,73
154,154,John Huston,90,-0.214,-17.156,80
155,155,Mark Hensby,70,-0.228,-11.419,50
T156,T156,J.J. Henry,102,-0.245,-21.303,87
T156,T156,Justin Rose,99,-0.245,-21.794,89
158,158,Tommy Armour III,103,-0.246,-22.601,92
159,T166,Ted Purdy,122,-0.249,-24.862,100
160,159,Glen Hnatiuk,59,-0.25,-12.768,51
T161,T160,Mathias Grönberg,60,-0.254,-14.242,56
T161,T160,Doug Barron,70,-0.254,-16.478,65
163,134,Sergio Garcia,73,-0.26,-13.525,52
164,162,Paul Claxton,79,-0.266,-17.568,66
165,163,Craig Barlow,81,-0.27,-17.296,64
166,164,Frank Lickliter II,100,-0.278,-23.895,86
167,165,Michael Long,72,-0.294,-18.824,64
168,T166,José Coceres,56,-0.306,-16.226,53
169,168,Ryuji Imada,78,-0.308,-20.622,67
170,169,Chris Smith,93,-0.309,-26.609,86
171,170,D.J. Trahan,81,-0.313,-22.257,71
172,171,John Daly,78,-0.324,-18.121,56
T173,T172,Tom Lehman,69,-0.332,-16.599,50
T173,T172,Andrew Magee,82,-0.332,-23.599,71
175,174,Joey Sindelar,104,-0.335,-33.201,99
176,175,Mark Brooks,72,-0.357,-22.462,63
177,176,Omar Uresti,84,-0.37,-27.412,74
178,177,Chris Riley,67,-0.383,-16.47,43
179,178,Brian Davis,75,-0.384,-24.572,64
180,179,Lee Westwood,50,-0.387,-12.778,33
181,180,Greg Owen,84,-0.389,-27.633,71
182,181,Rich Beem,66,-0.4,-19.182,48
183,182,Paul Gow,78,-0.402,-27.325,68
184,183,D.A. Points,94,-0.403,-33.464,83
185,184,Dennis Paulson,63,-0.427,-24.348,57
186,185,Rocco Mediate,73,-0.439,-28.946,66
187,186,Brett Wetterich,76,-0.44,-29.904,68
188,187,Robert Damron,89,-0.45,-35.998,80
189,188,Will MacKenzie,75,-0.454,-30.843,68
190,189,Steve Jones,56,-0.464,-21.333,46
191,190,Scott Hend,75,-0.483,-31.39,65
192,191,Bradley Hughes,52,-0.527,-25.84,49
193,192,Fred Couples,72,-0.546,-24.002,44
194,193,Roland Thatcher,75,-0.581,-39.479,68
195,194,Hideto Tanihara,50,-0.586,-26.363,45
T196,T195,Alex Cejka,84,-0.599,-41.937,70
T196,T195,Jim Carter,62,-0.599,-32.919,55
198,197,Craig Perks,67,-0.645,-38.044,59
199,198,D.J. Brigman,76,-0.715,-44.329,62
200,199,David Hearn,68,-0.763,-46.541,61
201,200,Joe Durant,81,-0.782,-53.946,69
202,201,Thomas Levet,54,-0.849,-30.578,36
