RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Mathias Grönberg,60,64.48,236,366
2,2,Vijay Singh,111,64.19,371,578
3,3,Jim Furyk,94,63.44,321,506
4,4,Corey Pavin,77,63.21,311,492
5,5,José María Olazábal,55,63.03,208,330
6,6,Kevin Sutherland,89,62.91,324,515
7,7,Loren Roberts,54,62.73,207,330
8,8,Tom Pernice Jr.,111,62.43,447,716
9,9,Phil Mickelson,81,62.36,275,441
10,10,Dudley Hart,84,62.33,316,507
11,11,Fred Funk,102,62.28,383,615
12,12,Pat Perez,89,62.24,361,580
13,13,Kevin Na,88,62.21,382,614
14,20,Tiger Woods,76,62.09,249,401
15,14,Brian Gay,101,61.9,416,672
16,15,Steve Stricker,62,61.81,267,432
17,17,Brian Davis,75,61.77,286,463
T18,T18,Justin Rose,99,61.72,337,546
T18,T18,José Coceres,56,61.72,237,384
20,28,Tim Herron,100,61.71,382,619
21,21,Richard Johnson,50,61.67,177,287
22,22,Phillip Price,77,61.66,283,459
T23,T23,Bob Estes,92,61.54,360,585
T23,T23,Daniel Chopra,108,61.54,416,676
25,25,Carl Pettersson,109,61.47,394,641
26,26,Matt Kuchar,60,61.35,246,401
27,16,Chris DiMarco,83,61.16,296,484
28,27,Brett Quigley,96,61.13,357,584
29,30,Shigeki Maruyama,99,60.98,372,610
30,31,Darron Stiles,78,60.92,279,458
31,33,Jay Williamson,53,60.74,212,349
32,34,Ryuji Imada,78,60.71,306,504
33,35,Mark O'Meara,66,60.67,290,478
34,36,Steve Elkington,67,60.61,240,396
35,37,Stephen Ames,82,60.56,327,540
T36,T38,Charlie Wi,67,60.47,283,468
T36,T38,Mark Wilson,74,60.47,260,430
38,41,Rocco Mediate,73,60.35,274,454
39,42,Carlos Franco,78,60.3,278,461
40,43,Heath Slocum,103,60.28,340,564
41,44,Bernhard Langer,67,60.19,254,422
42,29,Luke Donald,67,60.12,205,341
43,71,Ben Crane,78,60.08,301,501
44,45,Jeff Sluman,94,60.04,335,558
45,46,Glen Day,80,60.0,321,535
46,47,Dan Forsman,52,59.93,166,277
47,50,Omar Uresti,84,59.88,303,506
48,T48,Davis Love III,80,59.82,268,448
49,51,Jeff Hart,63,59.71,246,412
50,T53,Kirk Triplett,55,59.58,199,334
51,56,Stephen Leaney,89,59.54,309,519
52,57,Doug Barron,70,59.47,248,417
53,58,Stewart Cink,98,59.46,330,555
54,52,Billy Mayfair,114,59.44,359,604
55,59,J.P. Hayes,63,59.43,252,424
56,32,Sergio Garcia,73,59.42,205,345
57,60,Jesper Parnevik,84,59.41,341,574
58,T48,Stuart Appleby,84,59.33,283,477
59,61,Arron Oberholser,65,59.31,223,376
60,62,Marco Dawson,82,59.25,285,481
61,63,Gavin Coles,70,59.24,282,476
T62,T64,Hidemichi Tanaka,106,59.21,360,608
T62,T64,Dean Wilson,86,59.21,315,532
64,40,Justin Leonard,78,59.19,277,468
65,67,James Driscoll,73,59.15,278,470
66,55,Olin Browne,99,59.09,312,528
67,68,Bob Tway,87,59.05,287,486
68,T53,Charles Howell III,95,59.02,324,549
