RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,1,Sergio Garcia,73,71.81,879,1224,-0.24
2,2,Joe Durant,81,70.92,1034,1458,-0.22
3,4,Kenny Perry,82,70.76,1019,1440,-0.25
4,3,Vijay Singh,111,70.54,1384,1962,-0.29
5,6,Jeff Brehaut,71,69.98,844,1206,-0.26
6,5,Tiger Woods,76,69.89,931,1332,-0.35
7,7,Jim Furyk,94,69.77,1168,1674,-0.28
8,8,J.J. Henry,102,69.67,1254,1800,-0.24
9,10,Roland Thatcher,75,69.56,914,1314,-0.22
10,9,Billy Mayfair,114,69.49,1376,1980,-0.26
11,11,Robert Allenby,95,69.48,1113,1602,-0.26
12,12,Briny Baird,98,69.27,1197,1728,-0.26
13,13,Chris Smith,93,69.24,1159,1674,-0.25
14,14,Dan Forsman,52,69.22,623,900,-0.26
15,15,Olin Browne,99,69.12,1182,1710,-0.25
16,16,Charles Warren,89,69.03,1081,1566,-0.26
17,20,Bart Bryant,91,68.93,1129,1638,-0.28
18,17,Bo Van Pelt,112,68.9,1389,2016,-0.27
19,18,Joey Sindelar,104,68.59,1284,1872,-0.26
20,21,Chad Campbell,95,68.54,1135,1656,-0.25
21,19,Joey Snyder III,102,68.48,1208,1764,-0.25
22,30,Luke Donald,67,68.43,739,1080,-0.24
23,22,Heath Slocum,103,68.35,1218,1782,-0.25
24,23,Brett Wetterich,76,68.32,910,1332,-0.27
25,24,Fred Couples,72,68.3,836,1224,-0.26
26,25,Tommy Armour III,103,68.18,1264,1854,-0.23
27,26,David Hearn,68,68.14,834,1224,-0.23
28,27,Richard Johnson,50,68.11,613,900,-0.27
29,28,Justin Rose,99,68.07,1164,1710,-0.25
30,29,John Senden,101,68.01,1212,1782,-0.27
31,T31,D.J. Trahan,81,67.89,941,1386,-0.26
32,33,Glen Hnatiuk,59,67.88,672,990,-0.22
33,35,Scott Gutschewski,86,67.62,998,1476,-0.29
34,36,Tom Lehman,69,67.58,815,1206,-0.23
35,T31,Lucas Glover,88,67.51,1045,1548,-0.27
36,38,Bob Tway,87,67.47,1008,1494,-0.26
37,39,Marco Dawson,82,67.41,995,1476,-0.27
38,37,Retief Goosen,71,67.4,740,1098,-0.29
39,34,David Toms,87,67.39,934,1386,-0.3
40,40,Adam Scott,72,67.24,823,1224,-0.26
41,45,Sean O'Hair,103,67.23,1198,1782,-0.25
42,41,Steve Elkington,67,67.16,810,1206,-0.23
43,42,Greg Owen,84,67.15,967,1440,-0.25
44,43,Kevin Sutherland,89,67.11,1051,1566,-0.25
45,44,Jeff Sluman,94,67.02,1134,1692,-0.25
46,46,Doug Barron,70,66.9,843,1260,-0.26
47,47,Phil Mickelson,81,66.89,891,1332,-0.32
T48,48,Hidemichi Tanaka,106,66.88,1228,1836,-0.25
T48,62,Stuart Appleby,84,66.88,963,1440,-0.25
50,49,Arron Oberholser,65,66.84,758,1134,-0.25
51,50,Davis Love III,80,66.81,902,1350,-0.27
52,51,Hunter Mahan,103,66.72,1213,1818,-0.27
T53,T52,Zach Johnson,96,66.67,1140,1710,-0.27
T53,T52,Brendan Jones,81,66.67,948,1422,-0.24
T53,T52,Geoff Ogilvy,97,66.67,1116,1674,-0.29
T53,T52,Jonathan Kaye,77,66.67,888,1332,-0.26
T53,T52,Craig Barlow,81,66.67,924,1386,-0.27
58,57,Harrison Frazar,105,66.56,1210,1818,-0.31
59,58,Omar Uresti,84,66.53,1006,1512,-0.24
60,59,Darron Stiles,78,66.52,910,1368,-0.26
T61,T60,Stephen Leaney,89,66.47,1029,1548,-0.24
T61,68,Scott Verplank,87,66.47,1029,1548,-0.3
T61,T60,Dudley Hart,84,66.47,1005,1512,-0.27
64,64,Duffy Waldorf,86,66.4,980,1476,-0.26
65,65,Carlos Franco,78,66.3,907,1368,-0.24
66,66,Tjaart van der Walt,56,66.27,668,1008,-0.23
67,67,Mario Tiziani,67,66.24,775,1170,-0.25
T68,63,Fred Funk,102,66.17,1203,1818,-0.21
T68,69,Nick Watney,91,66.17,1060,1602,-0.28
70,70,Jerry Kelly,101,66.16,1179,1782,-0.24
71,74,Charles Howell III,95,66.11,1071,1620,-0.26
72,71,J.L. Lewis,98,66.1,1166,1764,-0.25
73,72,Carl Pettersson,109,66.08,1249,1890,-0.27
74,73,Jason Bohn,91,66.06,1082,1638,-0.28
75,75,Mark Wilson,74,65.87,830,1260,-0.26
76,85,Mark Calcavecchia,92,65.86,1067,1620,-0.27
77,76,Stewart Cink,98,65.74,1065,1620,-0.28
78,77,John Rollins,97,65.73,1124,1710,-0.27
79,78,Brian Davis,75,65.7,887,1350,-0.25
80,79,Vaughn Taylor,99,65.66,1170,1782,-0.28
81,80,Dean Wilson,86,65.63,1016,1548,-0.28
82,81,Rod Pampling,89,65.61,992,1512,-0.26
83,82,Frank Lickliter II,100,65.57,1133,1728,-0.27
84,84,Jeff Maggert,79,65.54,873,1332,-0.25
85,86,Brandt Jobe,96,65.52,1085,1656,-0.27
86,87,Kent Jones,99,65.46,1143,1746,-0.27
87,88,Rocco Mediate,73,65.45,860,1314,-0.24
88,89,Shigeki Maruyama,99,65.42,1154,1764,-0.27
T89,T90,José María Olazábal,55,65.41,624,954,-0.28
T89,T90,Loren Roberts,54,65.41,624,954,-0.25
T89,T90,Ryan Palmer,101,65.41,1142,1746,-0.3
92,94,Neal Lancaster,95,65.38,1118,1710,-0.27
