RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,1,Tiger Woods,76,68.655,5114,- 33.517,74
2,2,Vijay Singh,111,69.04,7585,- 59.646,109
3,3,Jim Furyk,94,69.274,6480,- 37.549,93
4,4,Luke Donald,67,69.329,4216,- 56.256,60
5,5,Phil Mickelson,81,69.386,5170,- 35.411,74
6,6,Kenny Perry,82,69.477,5603,- 44.869,80
7,7,Sergio Garcia,73,69.639,4776,- 40.574,68
8,8,David Toms,87,69.66,5394,- 30.213,77
9,9,Ben Crane,78,69.7,5172,- 14.174,74
10,10,Davis Love III,80,69.839,5284,- 46.107,75
11,13,Scott Verplank,87,69.985,6040,- 21.280,86
12,18,Retief Goosen,71,70.055,4303,- 29.616,61
13,11,Tim Clark,92,70.067,6133,- 37.211,87
14,14,Loren Roberts,54,70.076,3739,- 24.961,53
15,15,Tim Herron,100,70.106,6966,- 25.528,99
16,16,Bob Estes,92,70.11,6478,- 27.878,92
17,17,José María Olazábal,55,70.111,3745,- 29.143,53
18,12,Justin Leonard,78,70.168,5290,- 27.387,75
19,19,Shigeki Maruyama,99,70.176,6914,- 36.716,98
20,28,Bart Bryant,91,70.187,6392,- 4.983,91
21,20,Adam Scott,72,70.198,4819,- 45.518,68
22,21,Chad Campbell,95,70.295,6502,- 34.863,92
23,23,Arron Oberholser,65,70.317,4453,- 23.006,63
24,24,Stewart Cink,98,70.32,6356,- 27.233,90
25,25,Steve Elkington,67,70.321,4733,- 21.465,67
26,22,Billy Mayfair,114,70.335,7740,- 3.174,110
27,29,Geoff Ogilvy,97,70.365,6557,- 13.037,93
28,26,Charles Howell III,95,70.367,6365,- 31.995,90
29,27,Fred Funk,102,70.375,7160,- 52.116,101
30,31,Zach Johnson,96,70.38,6727,- 40.912,95
31,32,Arjun Atwal,65,70.4,4576,.001,65
32,33,Chris DiMarco,83,70.405,5308,- 27.611,75
33,30,Brandt Jobe,96,70.43,6507,- 27.486,92
34,34,K.J. Choi,78,70.439,5192,- 49.975,73
35,35,Jason Bohn,91,70.475,6410,3.199,91
36,41,Mark Calcavecchia,92,70.49,6368,- 23.878,90
37,36,Fred Couples,72,70.502,4824,- 29.836,68
38,37,Richard Johnson,50,70.504,3514,11.186,50
39,38,Bernhard Langer,67,70.506,4763,- 39.099,67
40,39,Stephen Ames,82,70.507,5626,- 55.972,79
41,40,Justin Rose,99,70.514,6696,2.795,95
42,45,Stuart Appleby,84,70.543,5666,- 22.528,80
