RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Scott Hend,75,318.9,46560,146
2,2,Tiger Woods,76,316.1,46787,148
3,3,Brett Wetterich,76,311.7,46133,148
4,4,Scott Gutschewski,86,310.5,50914,164
5,5,John Daly,78,310.1,47138,152
6,6,Brenden Pappas,51,309.4,31562,102
7,7,Hank Kuehne,84,307.7,49225,160
8,8,Davis Love III,80,305.4,45810,150
9,9,Kenny Perry,82,304.7,48751,160
10,10,Sergio Garcia,73,303.5,41271,136
11,11,Brandt Jobe,96,302.3,55622,184
12,12,Lucas Glover,88,302.2,51974,172
13,13,John Elliott,58,301.7,33791,112
14,14,Brendan Jones,81,301.5,47632,158
15,15,Mathias Grönberg,60,301.4,34960,116
16,T16,Vijay Singh,111,301.1,65646,218
17,T16,Harrison Frazar,105,301.0,60798,202
18,18,Chris Smith,93,300.8,55957,186
19,19,Stuart Appleby,84,300.6,47789,159
T20,T22,Tag Ridings,93,300.2,54640,182
T20,T22,Jason Allred,75,300.2,43822,146
T20,T22,Will MacKenzie,75,300.2,43836,146
T23,T20,Adam Scott,72,300.1,40815,136
T23,T20,Sean O'Hair,103,300.1,59415,198
T23,25,Kevin Stadler,96,300.1,55217,184
26,26,Phil Mickelson,81,300.0,44400,148
27,27,Charles Warren,89,299.2,52066,174
28,28,Nick Watney,91,298.9,53209,178
29,29,Michael Long,72,298.3,41755,140
30,30,Dennis Paulson,63,298.2,37578,126
31,31,Geoff Ogilvy,97,298.0,55431,186
32,32,Steve Allan,102,297.8,58367,196
33,33,Robert Allenby,95,297.7,52987,178
34,34,J.J. Henry,102,297.6,59514,200
35,35,Daniel Chopra,108,297.3,61843,208
36,36,Rory Sabbatini,81,297.2,46366,156
37,37,Jonathan Byrd,103,297.0,58799,198
38,38,Lee Westwood,50,296.8,28497,96
39,39,Fred Couples,72,296.4,40310,136
40,T40,Rod Pampling,89,295.9,49719,168
41,42,D.J. Trahan,81,295.8,45557,154
T42,T43,James Driscoll,73,295.5,41962,142
T42,T43,D.J. Brigman,76,295.5,42558,144
44,T40,Retief Goosen,71,295.4,36038,122
T45,46,David Hearn,68,295.2,40147,136
T45,45,Ted Purdy,122,295.2,72037,244
47,47,Ryan Palmer,101,295.0,57235,194
48,48,Carlos Franco,78,294.7,44801,152
49,49,John Rollins,97,294.4,55937,190
50,50,Arjun Atwal,65,294.2,38246,130
51,51,Justin Rose,99,294.1,55879,190
T52,T52,Chad Campbell,95,294.0,54101,184
T52,T52,Dan Forsman,52,294.0,29401,100
54,,Padraig Harrington,50,293.9,28214,96
55,54,Hunter Mahan,103,293.8,59356,202
T56,55,Charles Howell III,95,293.6,52855,180
T56,56,John Huston,90,293.6,50504,172
58,57,Neal Lancaster,95,293.4,55742,190
T59,T58,Brett Quigley,96,293.3,53963,184
T59,T58,Bo Van Pelt,112,293.3,65699,224
61,T60,Ben Crane,78,293.1,43377,148
62,T60,Jason Bohn,91,292.9,53310,182
63,62,Marco Dawson,82,292.4,47960,164
64,63,Jesper Parnevik,84,292.2,47917,164
T65,T65,Tim Herron,100,292.1,57829,198
T65,64,Michael Allen,90,292.1,52579,180
67,T65,Roland Thatcher,75,292.0,42635,146
T68,T67,Pat Perez,89,291.8,51945,178
T68,T67,Joey Snyder III,102,291.8,57185,196
70,69,Carl Pettersson,109,291.7,61252,210
T71,T70,J.L. Lewis,98,291.5,57130,196
T71,T70,Bob Heintz,67,291.5,39058,134
T71,T70,Greg Owen,84,291.5,46646,160
74,73,Aaron Baddeley,84,291.4,47788,164
75,74,Bradley Hughes,52,291.3,30300,104
76,75,Brian Bateman,98,291.1,54725,188
T77,T76,Steve Lowery,100,291.0,55866,192
T77,T76,Scott McCarron,78,291.0,43065,148
T77,T76,John Senden,101,291.0,57624,198
T80,T79,Jonathan Kaye,77,290.7,43030,148
T80,T79,Tom Pernice Jr.,111,290.7,61912,213
82,81,D.A. Points,94,290.5,52290,180
83,82,Mark Hensby,70,290.4,39491,136
84,83,Vaughn Taylor,99,290.3,57486,198
85,84,Ryuji Imada,78,290.1,45256,156
86,85,Zach Johnson,96,290.0,55093,190
87,86,Andrew Magee,82,289.9,44937,155
T88,T87,Craig Barlow,81,289.6,44592,154
T88,T87,Hunter Haas,83,289.6,45762,158
90,89,Freddie Jacobson,72,289.5,41116,142
91,T96,Mark Calcavecchia,92,289.3,52070,180
92,90,Joe Durant,81,289.2,46844,162
T93,T91,Bernhard Langer,67,289.1,38744,134
T93,T91,Woody Austin,100,289.1,57815,200
T93,T91,Peter Lonard,85,289.1,48566,168
T96,T94,Patrick Sheehan,114,289.0,63587,220
T96,T94,Justin Bolli,65,289.0,36413,126
T98,T96,K.J. Choi,78,288.8,42167,146
T98,T96,Shigeki Maruyama,99,288.8,56596,196
100,99,Briny Baird,98,288.7,55421,192
101,100,Shaun Micheel,81,288.4,45560,158
102,T101,Kent Jones,99,288.3,55939,194
T103,T103,Frank Lickliter II,100,288.2,55329,192
T103,T103,José María Olazábal,55,288.2,30553,106
T103,T101,Billy Mayfair,114,288.2,63411,220
106,105,Rich Beem,66,288.0,35718,124
107,T108,David Toms,87,287.8,44321,154
T108,T106,Rocco Mediate,73,287.7,41711,145
