RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,TOP 10,1ST,2ND,3RD
1,1,Vijay Singh,18,4.0,2.0,3.0
2,2,Tiger Woods,13,6.0,4.0,2.0
3,3,David Toms,11,1.0,1.0,1.0
4,4,Jim Furyk,10,1.0,4.0,
T5,T6,Davis Love III,9,,2.0,
T5,5,Phil Mickelson,9,4.0,1.0,
T7,T8,Retief Goosen,8,1.0,,2.0
T7,T6,Sergio Garcia,8,1.0,1.0,2.0
T9,T8,Tim Herron,7,,,1.0
T9,T8,Kenny Perry,7,2.0,,1.0
T9,T8,Lucas Glover,7,1.0,,1.0
T12,T20,Adam Scott,6,,1.0,
T12,T12,Tim Clark,6,,1.0,1.0
T12,T20,Ben Crane,6,1.0,2.0,1.0
T12,T12,Bo Van Pelt,6,,,2.0
T12,T12,Billy Mayfair,6,,1.0,
T12,T12,Brandt Jobe,6,,2.0,1.0
T12,T12,Chris DiMarco,6,,3.0,1.0
T12,T12,José María Olazábal,6,,1.0,2.0
T12,T12,Rod Pampling,6,,,
T12,T12,Charles Howell III,6,,1.0,1.0
T22,T20,Geoff Ogilvy,5,1.0,,1.0
T22,T20,Joe Ogilvie,5,,2.0,
T22,T20,Aaron Baddeley,5,,,
T22,T20,Darren Clarke,5,,1.0,1.0
T22,T20,Stewart Cink,5,,,1.0
T22,T20,Shigeki Maruyama,5,,1.0,1.0
T22,T20,Chad Campbell,5,,2.0,1.0
T22,T20,Ernie Els,5,,1.0,1.0
T22,T20,Jeff Brehaut,5,,,1.0
T22,T35,Scott Verplank,5,,2.0,1.0
T22,T20,Mark Calcavecchia,5,1.0,1.0,
T22,T20,Tag Ridings,5,,,1.0
T22,T20,Luke Donald,5,,2.0,1.0
T22,T20,Zach Johnson,5,,1.0,1.0
T36,T35,Sean O'Hair,4,1.0,1.0,
T36,T35,Pat Perez,4,,,
T36,T35,Richard Johnson,4,,,
T36,T35,Vaughn Taylor,4,1.0,,1.0
T36,T35,Charles Warren,4,,,1.0
T36,T35,J.J. Henry,4,,,
T36,T56,Bart Bryant,4,2.0,,
T36,T35,Fred Couples,4,,1.0,1.0
T36,T35,Brad Faxon,4,1.0,,1.0
T36,T35,Tom Lehman,4,,2.0,
T36,T35,J.L. Lewis,4,,,
T36,T35,Bob Tway,4,,,1.0
T36,T35,Woody Austin,4,,,1.0
T36,T35,Jerry Kelly,4,,,
T36,T35,Dean Wilson,4,,,
T36,T35,Justin Leonard,4,2.0,,
T36,T35,Colin Montgomerie,4,,1.0,1.0
T36,T56,Stuart Appleby,4,1.0,,
T36,T35,Heath Slocum,4,1.0,,
T36,T35,Harrison Frazar,4,,,2.0
T36,T56,Padraig Harrington,4,2.0,,
T36,T35,Arjun Atwal,4,,1.0,
T36,T35,Arron Oberholser,4,,,
T59,T56,Peter Lonard,3,1.0,,1.0
T59,T56,John Senden,3,,,
T59,T56,Greg Owen,3,,,1.0
T59,T56,Michael Campbell,3,1.0,,
T59,T56,Mark Hensby,3,,,1.0
T59,T56,Mark Wilson,3,,,1.0
T59,T56,Freddie Jacobson,3,,,
T59,T56,Justin Rose,3,,,2.0
T59,T56,Joey Snyder III,3,,,
T59,T56,Ted Purdy,3,1.0,,1.0
T59,T56,Nick O'Hern,3,,,
T59,T56,Jonathan Kaye,3,,2.0,
T59,T56,Scott McCarron,3,,1.0,
T59,T56,Robert Allenby,3,,,
T59,T56,Dudley Hart,3,,,
T59,T56,Kevin Sutherland,3,,,
T59,T56,Joe Durant,3,,,1.0
T59,T56,Bernhard Langer,3,,,
T59,T56,Stephen Ames,3,,,
T59,T56,Joey Sindelar,3,,,
T59,T56,Jeff Sluman,3,,,1.0
T59,T56,Steve Lowery,3,,,1.0
T59,T56,Tim Petrovic,3,1.0,,
T59,T56,Fred Funk,3,1.0,,1.0
T59,T56,Steve Elkington,3,,1.0,
T59,T56,Rory Sabbatini,3,,,
T59,T56,Ryan Palmer,3,,1.0,2.0
T59,T56,Carl Pettersson,3,1.0,1.0,
T59,T56,D.J. Trahan,3,,,
T59,T56,Jason Bohn,3,1.0,1.0,1.0
T59,T56,K.J. Choi,3,1.0,,
T59,T56,Graeme McDowell,3,,1.0,
T91,T91,Kevin Stadler,2,,,
T91,T91,Nick Watney,2,,,
T91,T91,Ian Poulter,2,,,
T91,T91,Kevin Na,2,,2.0,
T91,T91,Hunter Mahan,2,,,
T91,T91,Brett Wetterich,2,,,
T91,T91,Hank Kuehne,2,,1.0,
T91,T91,Rich Beem,2,,1.0,1.0
T91,T91,Ben Curtis,2,,,1.0
T91,T91,John Daly,2,,2.0,
T91,T91,Jay Delsing,2,,,
T91,T91,Robert Gamez,2,1.0,,
T91,T91,Olin Browne,2,1.0,1.0,
T91,T91,Nick Price,2,,,
T91,T91,Loren Roberts,2,,1.0,
T91,T91,Craig Parry,2,,,
T91,T91,Andrew Magee,2,,,
T91,T91,Jeff Maggert,2,,,
T91,T91,John Huston,2,,,
T91,T91,Corey Pavin,2,,,
T91,T91,Tom Pernice Jr.,2,,1.0,1.0
T91,T91,Michael Allen,2,,,
T91,T91,Shaun Micheel,2,,,
T91,T91,"Wes Short, Jr.",2,1.0,,
T91,T91,Steve Flesch,2,,,
T91,T91,Brett Quigley,2,,,
T91,T91,J.P. Hayes,2,,1.0,
T91,T91,Mike Weir,2,,1.0,
T91,T91,Kent Jones,2,,,
T91,T91,Jesper Parnevik,2,,,
T91,T91,Carlos Franco,2,,1.0,
T91,T91,Doug Barron,2,,,1.0
T91,T91,Todd Fischer,2,,,1.0
T91,T91,Daniel Chopra,2,,,
T91,T91,Trevor Immelman,2,,,
T91,T91,Brian Davis,2,,,1.0
T91,T91,Darron Stiles,2,,,
T91,T91,Briny Baird,2,,,
T91,T91,Hidemichi Tanaka,2,,,1.0
T91,T91,David Howell,2,,,
T131,T131,Gavin Coles,1,,,
T131,T131,Tjaart van der Walt,1,,1.0,
T131,T131,Ángel Cabrera,1,,,
T131,T131,Henrik Stenson,1,,,1.0
T131,T131,Steve Allan,1,,,
T131,T131,Ryuji Imada,1,,,
T131,T131,Richard Green,1,,,
T131,T131,Patrick Sheehan,1,,,
T131,T131,Mathias Grönberg,1,,,
T131,T131,Charlie Wi,1,,,
T131,T131,Craig Barlow,1,,,
T131,T131,Brian Gay,1,,,1.0
T131,T131,Robert Damron,1,,1.0,
T131,T131,Thomas Levet,1,,,
T131,T131,Jay Williamson,1,,,
T131,T131,Glen Day,1,,,
T131,T131,Bob Heintz,1,,,
T131,T131,Matt Gogel,1,,,
T131,T131,Thomas Bjørn,1,,1.0,
T131,T131,Frank Lickliter II,1,,,
T131,T131,Paul McGinley,1,,,1.0
T131,T131,Brent Geiberger,1,,,
T131,T131,Cameron Beckman,1,,,
T131,T131,Steve Stricker,1,,,
T131,T131,Spike McRoy,1,,,
T131,T131,Omar Uresti,1,,,
T131,T131,Neal Lancaster,1,,,
T131,T131,Paul Goydos,1,,,
T131,T131,Jaxon Brigman,1,,,
T131,T131,Marco Dawson,1,,,
T131,T131,Scott Dunlap,1,,,
T131,T131,Kirk Triplett,1,,,
T131,T131,Chris Smith,1,,,
T131,T131,Craig Stadler,1,,,
T131,T131,Lee Janzen,1,,,
T131,T131,Dennis Paulson,1,,,
T131,T131,Rocco Mediate,1,,,
T131,T131,John Cook,1,,,
T131,T131,Billy Andrade,1,,1.0,
T131,T131,Tommy Armour III,1,,,
T131,T131,Danny Briggs,1,,,
T131,T131,Mark Brooks,1,,,
T131,T131,Jay Haas,1,,,
T131,T131,Bob Estes,1,,,
T131,T131,Jason Gore,1,1.0,,
T131,T131,John Rollins,1,,1.0,
T131,T131,Chris Anderson,1,,,
T131,T131,Scott Hend,1,,,
T131,T131,Matt Kuchar,1,,,
T131,T131,James Driscoll,1,,1.0,
T131,T131,Brendan Jones,1,,1.0,
T131,T131,Will MacKenzie,1,,,
T131,T131,Jonathan Byrd,1,,,
T131,T131,Ryan Moore,1,,1.0,
T131,T131,Roland Thatcher,1,,,
T131,T131,Hunter Haas,1,,,
T131,T131,Michael Putnam,1,,,
