RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR
1,1,Dean Wilson,54,67.16,180,268
2,2,Brian Gay,101,66.51,429,645
3,3,Charlie Wi,95,65.56,375,572
4,4,Luke Donald,71,65.41,278,425
5,6,Matt Kuchar,97,64.69,339,524
6,5,Chris Riley,73,64.47,254,394
7,13,Charles Howell III,103,64.46,361,560
8,7,Kevin Na,94,64.45,368,571
9,8,Chad Collins,87,64.37,336,522
10,9,Greg Chalmers,93,64.32,366,569
11,10,Steve Elkington,74,64.23,246,383
12,11,Retief Goosen,75,63.91,278,435
13,12,Justin Rose,78,63.85,302,473
14,14,Steve Stricker,73,63.75,262,411
15,15,Jeev Milkha Singh,59,63.69,207,325
16,16,Jim Furyk,76,63.47,278,438
17,17,Freddie Jacobson,83,63.2,304,481
18,18,Ryuji Imada,90,63.13,363,575
19,24,Heath Slocum,97,62.87,320,509
T20,T20,Tim Clark,88,62.67,319,509
T20,T20,K.J. Choi,82,62.67,277,442
22,19,J.B. Holmes,100,62.48,388,621
23,22,Kevin Sutherland,86,62.44,271,434
24,23,Bryce Molder,84,62.4,312,500
25,25,Bo Van Pelt,104,62.33,359,576
26,30,Pat Perez,90,62.23,313,503
27,T31,Mark Wilson,87,62.16,276,444
28,26,Carl Pettersson,99,62.06,368,593
29,27,Chris DiMarco,88,61.87,305,493
30,28,Brian Davis,101,61.85,415,671
31,29,Phil Mickelson,76,61.84,295,477
32,T43,Sean O'Hair,84,61.83,290,469
33,T31,Kenny Perry,69,61.74,234,379
34,34,Jonathan Byrd,85,61.66,283,459
35,35,Michael Sim,64,61.58,242,393
36,T36,Graham DeLaet,88,61.56,261,424
37,T46,Briny Baird,87,61.49,281,457
38,33,Omar Uresti,74,61.44,239,389
39,38,David Toms,86,61.29,304,496
40,T36,Shaun Micheel,70,61.27,242,395
41,39,Ernie Els,72,61.23,248,405
42,40,Padraig Harrington,57,61.2,235,384
T43,42,Scott McCarron,90,61.19,339,554
T43,41,Brandt Snedeker,89,61.19,369,603
45,45,Paul Casey,64,60.86,199,327
46,T46,Andres Romero,73,60.78,279,459
47,48,Ryan Moore,80,60.76,288,474
48,50,Matt Jones,89,60.61,337,556
49,49,Charley Hoffman,85,60.6,303,500
50,T43,Bob Estes,79,60.48,277,458
T51,57,Tim Petrovic,105,60.38,384,636
T51,51,Jason Day,82,60.38,288,477
53,52,Boo Weekley,88,60.32,260,431
54,61,Tom Gillis,97,60.27,358,594
55,53,Nathan Green,86,60.18,343,570
56,55,Rory McIlroy,54,60.13,190,316
57,58,Ian Poulter,55,59.82,198,331
58,59,Jay Williamson,76,59.74,227,380
59,65,Jeff Quinney,91,59.7,323,541
60,72,Ben Curtis,78,59.69,268,449
61,60,Stephen Ames,75,59.67,256,429
62,63,J.J. Henry,92,59.62,282,473
63,85,Tom Pernice Jr.,74,59.61,214,359
64,64,Ricky Barnes,103,59.59,351,589
65,66,Trevor Immelman,55,59.52,200,336
66,76,Rickie Fowler,98,59.51,316,531
T67,56,Michael Bradley,77,59.47,245,412
T67,54,Rod Pampling,77,59.47,289,486
T69,67,Chad Campbell,94,59.46,308,518
T69,74,Webb Simpson,98,59.46,355,597
71,69,Scott Verplank,74,59.37,282,475
72,75,Richard Johnson,90,59.35,276,465
73,62,Will MacKenzie,72,59.31,242,408
74,68,John Rollins,81,59.27,275,464
75,73,Michael Connell,89,59.13,285,482
76,100,Joe Durant,67,59.09,182,308
T77,,Cliff Kresge,50,59.06,163,276
T77,71,Ben Crane,85,59.06,277,469
79,82,Spencer Levin,110,58.95,326,553
80,92,Tim Herron,79,58.86,259,440
81,77,Stuart Appleby,101,58.82,400,680
82,78,Mike Weir,59,58.8,254,432
83,103,Brett Wetterich,54,58.71,182,310
84,96,John Mallinger,78,58.67,264,450
T85,81,Hunter Mahan,85,58.65,278,474
T85,83,D.A. Points,90,58.65,305,520
