RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,2,John Senden,103,72.49,1344,1854,-0.23
2,3,Kevin Sutherland,86,71.96,1114,1548,-0.24
3,1,Joe Durant,67,71.95,790,1098,-0.25
4,8,Charles Warren,64,71.74,749,1044,-0.25
5,4,Troy Matteson,84,71.43,1080,1512,-0.22
6,6,Graham DeLaet,88,71.27,1052,1476,-0.25
7,5,D.J. Trahan,92,71.26,1180,1656,-0.26
8,7,Kris Blanks,91,71.15,1063,1494,-0.2
9,9,Paul Stankowski,62,70.88,689,972,-0.28
10,12,Aron Price,70,70.49,812,1152,-0.25
11,14,Cameron Percy,73,70.42,862,1224,-0.23
12,19,Mark Wilson,87,70.28,1050,1494,-0.22
13,T15,Davis Love III,79,70.25,999,1422,-0.24
14,18,John Merrick,109,70.24,1277,1818,-0.24
15,10,Cameron Tringale,55,70.18,619,882,-0.21
16,20,Brett Quigley,96,70.12,1199,1710,-0.24
T17,T15,Brendon de Jonge,114,70.07,1337,1908,-0.28
T17,22,Garth Mulroy,53,70.07,618,882,-0.22
T17,17,Boo Weekley,88,70.07,1009,1440,-0.22
20,21,Jonathan Byrd,85,70.0,1071,1530,-0.25
21,23,Bill Haas,87,69.92,1095,1566,-0.26
22,31,Rickie Fowler,98,69.9,1233,1764,-0.26
23,T28,Spencer Levin,110,69.88,1283,1836,-0.26
24,T25,Garrett Willis,82,69.87,981,1404,-0.25
25,13,Tom Pernice Jr.,74,69.78,829,1188,-0.23
26,11,Mathew Goggin,85,69.74,1067,1530,-0.22
27,33,Roger Tambellini,77,69.73,866,1242,-0.19
28,T28,Jeff Gove,57,69.72,640,918,-0.18
29,24,Billy Mayfair,78,69.68,878,1260,-0.2
30,27,Nick Watney,91,69.63,1103,1584,-0.29
31,T28,Adam Scott,70,69.61,852,1224,-0.26
32,T25,Heath Slocum,97,69.59,1165,1674,-0.22
33,35,Briny Baird,87,69.41,1037,1494,-0.22
34,34,Matt Kuchar,97,69.36,1186,1710,-0.3
35,36,Rocco Mediate,71,69.32,861,1242,-0.2
36,T37,Chris Stroud,90,69.31,1023,1476,-0.23
37,T37,Bo Van Pelt,104,69.23,1296,1872,-0.27
38,32,Henrik Bjornstad,72,69.11,821,1188,-0.24
39,T40,Chad Campbell,94,69.06,1156,1674,-0.23
40,42,Kenny Perry,69,69.04,845,1224,-0.21
41,44,Greg Owen,69,69.0,857,1242,-0.23
42,43,Dean Wilson,54,68.98,596,864,-0.26
T43,39,Jay Williamson,76,68.95,844,1224,-0.22
T43,T40,Pat Perez,90,68.95,1117,1620,-0.27
45,45,Josh Teater,101,68.8,1226,1782,-0.24
46,47,J.J. Henry,92,68.72,1039,1512,-0.24
47,48,Steve Elkington,74,68.71,841,1224,-0.25
48,49,Paul Casey,64,68.68,717,1044,-0.3
T49,50,Hunter Mahan,85,68.65,1038,1512,-0.25
T49,51,Michael Bradley,77,68.65,902,1314,-0.23
51,T63,Vijay Singh,75,68.62,914,1332,-0.24
52,66,Stewart Cink,84,68.61,988,1440,-0.27
53,53,Alex Prugh,88,68.6,1062,1548,-0.28
54,57,Charles Howell III,103,68.57,1222,1782,-0.26
55,54,Bubba Watson,77,68.54,950,1386,-0.31
T56,46,Will MacKenzie,72,68.52,888,1296,-0.24
T56,55,K.J. Choi,82,68.52,962,1404,-0.26
58,52,Richard Johnson,90,68.5,1011,1476,-0.23
59,56,Vaughn Taylor,87,68.33,1070,1566,-0.27
60,58,Steve Stricker,73,68.29,885,1296,-0.29
61,68,Johnson Wagner,85,68.24,995,1458,-0.24
62,61,Ricky Barnes,103,68.23,1265,1854,-0.26
T63,T69,Sean O'Hair,84,68.22,1007,1476,-0.23
T63,62,Ben Crane,85,68.22,1007,1476,-0.27
T63,73,Omar Uresti,74,68.22,835,1224,-0.19
66,59,John Rollins,81,68.18,994,1458,-0.25
67,T63,Robert Allenby,76,68.17,908,1332,-0.27
68,80,Brett Wetterich,54,68.11,662,972,-0.26
69,72,Ben Curtis,78,68.02,955,1404,-0.21
T70,T69,Kevin Stadler,86,67.95,954,1404,-0.27
T70,T69,Dustin Johnson,83,67.95,1003,1476,-0.3
T72,65,Michael Letzig,84,67.92,1027,1512,-0.26
T72,76,Woody Austin,93,67.92,1088,1602,-0.24
74,81,D.A. Points,90,67.9,1100,1620,-0.23
T75,74,Ernie Els,72,67.86,855,1260,-0.27
T75,60,Nicholas Thompson,88,67.86,1026,1512,-0.23
77,75,Martin Laird,91,67.83,1111,1638,-0.26
78,77,Freddie Jacobson,83,67.8,1013,1494,-0.26
T79,88,Jason Bohn,84,67.79,1025,1512,-0.27
T79,T78,Stephen Ames,75,67.79,903,1332,-0.25
T79,86,Bob Estes,79,67.79,964,1422,-0.23
82,T78,Scott Piercy,88,67.74,1073,1584,-0.28
83,82,Geoff Ogilvy,62,67.69,731,1080,-0.28
T84,T84,Lee Janzen,77,67.68,938,1386,-0.23
T84,83,Jason Day,82,67.68,999,1476,-0.25
86,T89,Robert Garrigus,71,67.61,791,1170,-0.28
87,T84,David Toms,86,67.58,1034,1530,-0.27
T88,T91,Jerry Kelly,99,67.49,1154,1710,-0.24
T88,97,Steve Marino,81,67.49,984,1458,-0.27
90,87,Lucas Glover,75,67.42,898,1332,-0.26
91,67,Chris DiMarco,88,67.39,1019,1512,-0.25
92,T91,Chris Riley,73,67.33,812,1206,-0.24
93,T89,Jim Furyk,76,67.12,894,1332,-0.26
94,T94,John Mallinger,78,67.11,918,1368,-0.24
95,T113,Michael Connell,89,66.94,976,1458,-0.25
96,98,Jeff Overton,89,66.86,1023,1530,-0.29
97,93,James Driscoll,78,66.81,938,1404,-0.26
98,96,Brent Delahoussaye,57,66.78,613,918,-0.2
99,T94,Mathias Grönberg,61,66.77,661,990,-0.21
100,116,Jeff Maggert,76,66.75,817,1224,-0.22
101,120,Rory Sabbatini,79,66.74,913,1368,-0.27
T102,99,Tim Clark,88,66.73,1021,1530,-0.27
T102,T100,Blake Adams,84,66.73,985,1476,-0.26
T104,T100,Ryan Moore,80,66.67,948,1422,-0.27
T104,T100,Marc Leishman,87,66.67,1044,1566,-0.25
T104,T100,Kevin Streelman,90,66.67,1032,1548,-0.29
T104,T100,Jason Dufner,87,66.67,1044,1566,-0.23
T104,,Cliff Kresge,50,66.67,552,828,-0.22
109,106,Alex Cejka,81,66.6,947,1422,-0.23
110,112,Charlie Wi,95,66.55,1138,1710,-0.27
111,108,Zach Johnson,93,66.54,1090,1638,-0.28
112,109,Charley Hoffman,85,66.53,994,1494,-0.31
113,107,Tim Herron,79,66.51,874,1314,-0.24
114,T100,Chris Couch,66,66.5,790,1188,-0.3
115,T113,Brenden Pappas,66,66.49,742,1116,-0.24
116,110,James Nitties,92,66.47,1029,1548,-0.26
117,111,Chris Tidland,77,66.36,872,1314,-0.24
118,115,Tim Petrovic,105,66.35,1254,1890,-0.25
119,117,Justin Rose,78,66.31,931,1404,-0.28
120,119,Rory McIlroy,54,66.24,620,936,-0.25
121,121,Webb Simpson,98,66.16,1167,1764,-0.28
122,122,Cameron Beckman,68,66.15,762,1152,-0.21
123,123,Sergio Garcia,58,66.13,619,936,-0.24
124,124,David Duval,71,66.1,821,1242,-0.27
125,129,Joe Ogilvie,99,66.07,1106,1674,-0.26
126,T126,Trevor Immelman,55,66.06,654,990,-0.2
127,128,Camilo Villegas,78,66.05,856,1296,-0.25
128,125,George McNeill,79,66.03,939,1422,-0.27
129,130,Greg Chalmers,93,66.01,1105,1674,-0.27
130,131,J.P. Hayes,79,66.0,891,1350,-0.28
131,118,Tom Gillis,97,65.98,1152,1746,-0.3
132,T126,Andrew McLardy,52,65.97,570,864,-0.22
133,132,Retief Goosen,75,65.96,843,1278,-0.29
T134,T133,Paul Goydos,78,65.95,926,1404,-0.25
T134,T133,Y.E. Yang,72,65.95,831,1260,-0.28
136,142,Roland Thatcher,72,65.9,854,1296,-0.21
137,135,Kevin Na,94,65.89,1103,1674,-0.28
138,136,Jimmy Walker,82,65.88,925,1404,-0.26
139,T137,Bill Lunde,79,65.85,889,1350,-0.22
140,T137,Scott McCarron,90,65.8,1066,1620,-0.26
141,139,Ángel Cabrera,64,65.78,746,1134,-0.25
142,140,John Daly,63,65.66,650,990,-0.26
143,141,Steve Lowery,67,65.52,743,1134,-0.23
144,151,J.B. Holmes,100,65.5,1179,1800,-0.29
T145,143,Troy Merritt,86,65.48,990,1512,-0.29
T145,160,Mark Calcavecchia,50,65.48,495,756,-0.22
T145,152,Ryan Palmer,84,65.48,990,1512,-0.3
148,150,Jeff Quinney,91,65.45,1025,1566,-0.28
T149,T144,Jarrod Lyle,54,65.34,541,828,-0.23
T149,T144,Michael Sim,64,65.34,741,1134,-0.28
151,159,Matt Jones,89,65.29,1046,1602,-0.29
T152,T147,Bryce Molder,84,65.28,940,1440,-0.25
T152,T147,Luke Donald,71,65.28,799,1224,-0.26
T152,T147,Jeev Milkha Singh,59,65.28,611,936,-0.23
155,153,Phil Mickelson,76,65.13,891,1368,-0.31
156,157,Justin Leonard,89,65.09,1031,1584,-0.26
157,T155,Andres Romero,73,65.07,855,1314,-0.26
158,T155,Brian Stuard,81,65.04,878,1350,-0.24
159,158,Rod Pampling,77,64.94,900,1386,-0.24
160,164,Justin Bolli,55,64.85,572,882,-0.19
161,154,Martin Flores,75,64.79,828,1278,-0.25
162,146,Matt Every,60,64.75,676,1044,-0.28
163,163,Shaun Micheel,70,64.61,721,1116,-0.25
164,161,Aaron Baddeley,94,64.6,1093,1692,-0.31
165,162,Ryuji Imada,90,64.51,1045,1620,-0.27
166,165,David Lutterus,69,64.29,729,1134,-0.21
167,168,Ted Purdy,86,63.96,944,1476,-0.24
168,166,Scott Verplank,74,63.85,839,1314,-0.26
169,167,Carl Pettersson,99,63.8,1045,1638,-0.29
