RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Robert Garrigus,71,315.5,41009,130
2,2,Bubba Watson,77,309.8,47703,154
3,3,Dustin Johnson,83,308.5,50588,164
4,4,Brett Wetterich,54,307.3,33187,108
5,5,J.B. Holmes,100,307.2,61437,200
T6,T6,Graham DeLaet,88,305.7,50142,164
T6,T6,John Daly,63,305.7,33623,110
8,8,Ángel Cabrera,64,304.5,38362,126
9,9,Charles Warren,64,302.5,35089,116
10,10,D.J. Trahan,92,301.1,55411,184
11,11,Martin Flores,75,300.7,42705,142
12,12,Rory McIlroy,54,300.0,31201,104
13,14,Phil Mickelson,76,299.1,45459,152
14,13,Aaron Baddeley,94,298.9,56202,188
T15,T15,Charley Hoffman,85,298.2,49509,166
T15,T15,Jason Day,82,298.2,48901,164
17,17,Davis Love III,79,297.7,47042,158
18,18,Jeff Overton,89,297.3,50543,170
19,19,Scott Piercy,88,296.8,52242,176
T20,T20,Nick Watney,91,296.5,51883,175
T20,T20,Martin Laird,91,296.5,53669,181
22,22,Troy Matteson,84,296.3,49774,168
23,23,Jarrod Lyle,54,296.2,27253,92
24,T24,Andres Romero,73,296.0,43223,146
25,T26,Daniel Chopra,74,295.9,43800,148
26,T24,Ryan Palmer,84,295.8,49702,168
T27,T28,Lucas Glover,75,295.7,43764,148
T27,T28,Alex Prugh,88,295.7,50856,172
29,T26,Garth Mulroy,53,295.6,28967,98
30,T28,John Rollins,81,295.5,47863,162
31,T31,Marc Leishman,87,295.0,51331,174
32,T35,Cameron Tringale,55,294.5,28864,98
33,T35,Adam Scott,70,294.4,40045,136
34,34,Charles Howell III,103,294.3,58274,198
35,37,Paul Casey,64,294.2,34125,116
T36,40,Derek Lamely,81,294.0,44101,150
T36,T31,Cameron Percy,73,294.0,39980,136
T36,33,Matt Bettencourt,91,294.0,48798,166
39,T38,James Driscoll,78,293.9,45843,156
40,T38,Mathias Grönberg,61,293.7,32311,110
41,44,George McNeill,79,293.4,46352,158
T42,42,Bill Haas,87,293.3,51026,174
T42,41,Matt Jones,89,293.3,52199,178
44,43,Josh Teater,101,293.1,58031,198
45,T45,Jimmy Walker,82,292.9,45686,156
46,47,J.J. Henry,92,292.8,49190,168
T47,T48,Sergio Garcia,58,292.7,30438,104
T47,T45,Rickie Fowler,98,292.7,57363,196
T49,51,Stewart Cink,84,292.4,46786,160
T49,T48,Chris Couch,66,292.4,38592,132
51,50,Vijay Singh,75,292.3,43267,148
52,52,Padraig Harrington,57,292.1,32715,112
T53,T53,Roger Tambellini,77,292.0,40293,138
T53,T53,Bo Van Pelt,104,292.0,60731,208
T55,T58,David Lutterus,69,291.9,36781,126
T55,T56,Boo Weekley,88,291.9,46700,160
57,T58,Hunter Mahan,85,291.8,49029,168
T58,T56,Tim Herron,79,291.7,42591,146
T58,T53,Chris Wilson,65,291.7,34421,118
T60,60,John Merrick,109,291.4,58862,202
T60,61,Retief Goosen,75,291.4,41383,142
T60,T62,Greg Owen,69,291.4,40218,138
63,T62,Blake Adams,84,291.3,47781,164
T64,66,Matt Every,60,290.9,33750,116
T64,67,Jonathan Byrd,85,290.9,49461,170
T66,T62,Will MacKenzie,72,290.8,41868,144
T66,69,Ted Purdy,86,290.8,47685,164
T68,70,Kenny Perry,69,290.6,39522,136
T68,68,Steve Marino,81,290.6,47079,162
T70,71,Kevin Streelman,90,290.3,49933,172
T70,T62,Paul Stankowski,62,290.3,31354,108
T72,T72,John Senden,103,290.2,59781,206
T72,T72,Kevin Stadler,86,290.2,45264,156
74,75,Andrew McLardy,52,289.9,27835,96
T75,80,Michael Letzig,84,289.7,48665,168
T75,T76,Ryan Moore,80,289.7,45476,157
77,79,Camilo Villegas,78,289.6,41703,144
T78,T76,Sean O'Hair,84,289.3,47162,163
T78,T76,Mathew Goggin,85,289.3,49181,170
T80,81,Steve Elkington,74,289.2,39333,136
T80,74,Nicholas Thompson,88,289.2,48593,168
T82,T82,Robert Allenby,76,289.1,42505,147
T82,T82,Rory Sabbatini,79,289.1,43946,152
84,84,Stuart Appleby,101,289.0,57221,198
85,T85,Bill Lunde,79,288.9,43329,150
T86,T94,Jeff Gove,57,288.7,29449,102
T86,T85,Tom Gillis,97,288.7,56016,194
T88,T90,Scott McCarron,90,288.6,51943,180
T88,T88,Y.E. Yang,72,288.6,40409,140
T90,87,Brenden Pappas,66,288.4,35766,124
T90,92,Ernie Els,72,288.4,40374,140
92,T88,Troy Merritt,86,288.2,48417,168
T93,93,Chris Tidland,77,288.1,42060,146
T93,T90,Henrik Bjornstad,72,288.1,38024,132
95,T94,Roland Thatcher,72,288.0,41467,144
96,96,Kevin Sutherland,86,287.9,49523,172
97,T97,Justin Rose,78,287.8,44894,156
98,99,Lee Janzen,77,287.7,44302,154
