RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Adam Scott,70,1.609,0.472,1.164,-0.027,52
2,2,Vijay Singh,75,1.494,0.369,0.979,0.145,57
3,3,Steve Stricker,73,1.383,0.191,0.773,0.419,56
4,4,Jim Furyk,76,1.159,0.15,0.641,0.367,60
5,5,Phil Mickelson,76,1.151,0.185,0.738,0.228,57
6,6,Bo Van Pelt,104,1.091,0.724,0.26,0.107,87
7,7,Camilo Villegas,78,1.087,0.21,0.755,0.122,56
8,9,Robert Allenby,76,1.014,0.403,0.642,-0.031,61
9,10,Ernie Els,72,0.992,0.215,0.735,0.043,55
10,11,Bill Haas,87,0.985,0.464,0.515,0.005,75
11,8,D.J. Trahan,92,0.963,0.692,0.45,-0.179,82
12,12,Justin Rose,78,0.952,0.338,0.168,0.447,70
13,13,Rory McIlroy,54,0.944,0.698,0.271,-0.025,40
14,14,K.J. Choi,82,0.927,0.151,0.507,0.269,61
15,15,Retief Goosen,75,0.917,0.337,0.185,0.395,53
16,17,Charley Hoffman,85,0.889,0.638,0.317,-0.065,77
17,18,Dustin Johnson,83,0.869,0.76,0.288,-0.179,63
18,19,J.B. Holmes,100,0.868,0.729,0.026,0.113,88
19,16,Heath Slocum,97,0.837,0.156,0.546,0.134,73
20,20,Matt Kuchar,97,0.827,0.158,0.336,0.334,75
21,21,Nick Watney,91,0.806,0.593,0.517,-0.304,69
22,23,Padraig Harrington,57,0.799,-0.104,0.524,0.379,44
23,22,Joe Durant,67,0.775,0.597,0.296,-0.118,57
24,24,Bubba Watson,77,0.77,0.798,0.14,-0.168,67
25,25,Brendon de Jonge,114,0.757,0.16,0.721,-0.125,91
T26,T26,Graham DeLaet,88,0.752,0.678,0.111,-0.038,76
T26,T26,Jason Day,82,0.752,0.254,0.054,0.444,71
28,28,Chad Campbell,94,0.75,0.102,0.606,0.042,81
29,32,John Senden,103,0.749,0.372,0.455,-0.078,87
30,30,John Rollins,81,0.71,0.56,-0.074,0.224,75
31,29,Sean O'Hair,84,0.697,0.431,0.198,0.068,65
32,38,Davis Love III,79,0.68,0.297,0.364,0.019,66
33,T34,Rickie Fowler,98,0.665,0.408,0.395,-0.138,83
34,T34,Jerry Kelly,99,0.658,0.051,0.246,0.361,82
35,33,Kenny Perry,69,0.645,0.605,0.151,-0.111,56
36,31,Will MacKenzie,72,0.644,0.363,0.177,0.103,68
37,48,Stewart Cink,84,0.628,0.431,0.309,-0.111,65
38,36,Luke Donald,71,0.619,-0.506,0.661,0.464,53
39,37,Jason Dufner,87,0.606,0.435,0.176,-0.006,69
40,39,Hunter Mahan,85,0.596,0.642,0.069,-0.115,67
41,40,Ben Crane,85,0.594,0.169,0.379,0.046,66
42,41,Paul Casey,64,0.587,0.215,0.483,-0.111,44
43,42,Ricky Barnes,103,0.58,-0.244,0.675,0.149,83
44,44,Tim Clark,88,0.564,-0.025,0.591,-0.003,68
45,45,Marc Leishman,87,0.563,0.074,0.417,0.072,72
T46,T46,Boo Weekley,88,0.558,0.662,0.058,-0.162,74
T46,T46,Kevin Sutherland,86,0.558,0.201,0.054,0.303,78
48,43,Billy Mayfair,78,0.543,0.053,0.424,0.067,65
49,T62,Charles Warren,64,0.521,0.581,0.327,-0.387,55
50,49,Jonathan Byrd,85,0.491,0.091,0.046,0.354,82
51,51,Freddie Jacobson,83,0.479,-0.064,0.302,0.241,77
52,52,Martin Laird,91,0.448,0.354,0.143,-0.049,79
53,50,Vaughn Taylor,87,0.446,0.074,0.333,0.039,79
T54,53,David Toms,86,0.433,0.254,0.122,0.058,70
T54,57,Spencer Levin,110,0.433,0.054,0.413,-0.034,98
56,54,Sergio Garcia,58,0.424,0.272,0.199,-0.046,36
57,56,Lucas Glover,75,0.416,0.285,0.138,-0.006,59
58,55,Kris Blanks,91,0.408,0.201,0.417,-0.21,74
59,58,Ángel Cabrera,64,0.4,0.598,-0.027,-0.17,51
60,59,Alex Cejka,81,0.396,-0.146,0.464,0.077,68
61,T62,Ryan Moore,80,0.385,0.45,0.026,-0.091,61
62,64,Rocco Mediate,71,0.378,-0.082,0.568,-0.107,61
63,65,Geoff Ogilvy,62,0.364,-0.165,0.488,0.041,50
64,67,Kevin Na,94,0.362,-0.247,0.333,0.276,76
65,77,Rory Sabbatini,79,0.358,0.3,-0.218,0.276,67
